date,open,high,low,close,volume,amount,pctChg
2025-01-02,5.9400,6.0600,5.8000,5.8600,10397800,61616151.0000,-1.180400
2025-01-03,5.8800,5.9000,5.5900,5.6000,9747720,55742488.0000,-4.436900
2025-01-06,5.6000,5.6900,5.3700,5.6100,8237621,45878356.0200,0.178600
2025-01-07,5.6200,5.8200,5.6100,5.8200,9105500,51991132.0000,3.743300
2025-01-08,5.7700,5.8000,5.5400,5.7500,8166776,46466722.4800,-1.202700
2025-01-09,5.7400,5.8000,5.6600,5.7300,5298303,30458139.3400,-0.347800
2025-01-10,5.7200,5.7700,5.4700,5.4900,7397200,41530726.0000,-4.188500
2025-01-13,5.4600,5.5600,5.3000,5.5300,6329835,34459324.2000,0.728600
2025-01-14,5.6000,5.7900,5.5500,5.7900,7555700,43135295.0000,4.701600
2025-01-15,5.7900,5.8500,5.7400,5.7700,5838500,33800157.6900,-0.345400
2025-01-16,5.7900,5.8900,5.7000,5.7500,6178935,35744818.8500,-0.346600
2025-01-17,5.7200,5.8000,5.7000,5.7500,5432900,31266077.0000,0.000000
2025-01-20,5.8100,5.9400,5.7900,5.9000,7829710,46039856.8000,2.608700
2025-01-21,5.9000,5.9800,5.7700,5.8500,5406800,31583406.0000,-0.847500
2025-01-22,5.8100,5.9400,5.7900,5.8400,5772100,33852147.0000,-0.170900
2025-01-23,5.8900,6.0000,5.7900,5.8000,6573100,38913962.0000,-0.684900
2025-01-24,5.7800,5.8400,5.7400,5.8000,5892000,34085341.0000,0.000000
2025-01-27,5.8000,5.8900,5.7600,5.7700,6612600,38558840.0000,-0.517200
2025-02-05,5.7600,5.8500,5.7300,5.7600,4379499,25300975.2500,-0.173300
2025-02-06,5.7600,5.8600,5.6000,5.8500,8258000,47545482.0000,1.562500
2025-02-07,5.8500,6.0300,5.8100,5.9400,10292900,61244211.0000,1.538500
2025-02-10,5.9800,6.0500,5.9500,6.0400,8415003,50554610.1200,1.683500
2025-02-11,6.0400,6.0900,5.9400,6.0100,6493503,38830481.9400,-0.496700
2025-02-12,5.9700,6.1700,5.9700,6.1500,12850199,78152969.8800,2.329500
2025-02-13,6.1200,6.7300,6.0600,6.3000,34205700,217892219.9300,2.439000
2025-02-14,6.2100,6.2300,6.0500,6.1200,21457023,131333308.5000,-2.857100
2025-02-17,6.1200,6.3900,6.1200,6.3600,22049323,138081865.8700,3.921600
2025-02-18,6.3700,6.6400,6.2000,6.2500,32337727,207016000.1200,-1.729600
2025-02-19,6.3000,6.3100,6.1500,6.2300,19933769,123931812.2500,-0.320000
2025-02-20,6.1900,6.2200,6.0900,6.1600,14214055,87376742.6300,-1.123600
2025-02-21,6.1800,6.2500,6.1200,6.1600,13969022,86267568.1800,0.000000
2025-02-24,6.1800,6.2300,6.1200,6.1900,11731400,72412173.0000,0.487000
2025-02-25,6.1300,6.1800,6.0600,6.0900,11976439,73210524.1400,-1.615500
2025-02-26,6.1200,6.2900,6.0700,6.2800,17044322,105847236.9400,3.119900
2025-02-27,6.4100,6.6000,6.2900,6.3600,33203397,213765180.7100,1.273900
2025-02-28,6.2100,6.5000,6.1700,6.1900,23168958,145763886.9400,-2.673000
2025-03-03,6.1900,6.3200,6.0700,6.1200,15730446,97548073.7600,-1.130900
2025-03-04,6.0600,6.2400,6.0500,6.2200,11197200,68984174.0000,1.634000
2025-03-05,6.2000,6.2100,6.0800,6.1400,9367500,57361381.0000,-1.286200
2025-03-06,6.1500,6.2900,6.1400,6.2500,15892730,99141854.9000,1.791500
2025-03-07,6.2200,6.2500,6.0800,6.1100,12479330,76632296.3000,-2.240000
2025-03-10,6.1200,6.1600,6.0800,6.1300,7597700,46498076.0000,0.327300
2025-03-11,6.0800,6.2800,6.0100,6.2800,19754500,121878927.0000,2.447000
2025-03-12,6.3600,6.5600,6.2600,6.4200,30669800,195898026.9500,2.229300
2025-03-13,6.3500,6.4900,6.3300,6.3900,20112120,128642530.2000,-0.467300
2025-03-14,6.4000,6.4200,6.3000,6.4000,14925200,95089977.0000,0.156500
2025-03-17,6.3900,6.5500,6.3600,6.5000,18260600,118464893.0000,1.562500
2025-03-18,6.4600,6.7000,6.4600,6.6200,26787000,177457753.0200,1.846200
2025-03-19,6.5300,6.8200,6.5100,6.5900,25847500,171640487.0000,-0.453200
2025-03-20,6.5500,6.7200,6.5500,6.6000,21173500,140216602.0000,0.151700
2025-03-21,6.5600,6.7600,6.5100,6.5500,21908500,145188837.0000,-0.757600
2025-03-24,6.5400,6.6800,6.3100,6.4800,21217448,137988609.1200,-1.068700
2025-03-25,6.4300,6.8400,6.3800,6.7500,36259648,242774268.2800,4.166700
2025-03-26,6.6800,6.7200,6.5000,6.6600,24616600,163260544.8800,-1.333300
2025-03-27,6.6500,6.6500,6.4200,6.4300,17535400,113823313.0000,-3.453500
2025-03-28,6.4200,6.4900,6.2700,6.2900,13235200,84233306.0000,-2.177300
2025-03-31,6.2200,6.4000,6.1400,6.2500,11795000,73673653.0000,-0.635900
