date,open,high,low,close,volume,amount,pctChg
2025-01-02,14.7400,14.7800,13.5900,13.8100,10950646,154915258.8600,-6.054400
2025-01-03,13.7200,14.0000,13.1600,13.2300,11273520,152373185.2000,-4.199900
2025-01-06,13.2600,13.3800,12.5300,12.7500,7724380,99181908.6000,-3.628100
2025-01-07,12.7700,13.1100,12.6700,13.0600,6942264,89749119.9600,2.431400
2025-01-08,13.0900,13.4000,12.5600,12.8900,7393144,95972866.7200,-1.301700
2025-01-09,12.8800,13.1900,12.8100,12.9100,5484000,71136593.4000,0.155200
2025-01-10,12.9800,13.4400,12.5400,12.6000,9008000,117323550.0000,-2.401200
2025-01-13,12.3800,12.5800,11.8800,12.5300,7761886,95291492.2600,-0.555600
2025-01-14,12.5000,13.2000,12.5000,13.1800,8630788,112114727.5600,5.187500
2025-01-15,13.1800,13.3000,12.9300,13.2200,8449740,111217949.2000,0.303500
2025-01-16,13.3900,13.9600,13.2400,13.8800,14264720,195071195.0000,4.992400
2025-01-17,13.8500,13.8800,13.3600,13.5200,9629600,130324722.0000,-2.593700
2025-01-20,13.6200,13.8400,13.3500,13.5700,5307000,71678301.0000,0.369800
2025-01-21,13.6000,13.6800,13.3400,13.4500,5570732,75016009.3200,-0.884300
2025-01-22,13.5500,13.7500,13.0200,13.2400,7266200,96755553.4000,-1.561300
2025-01-23,13.4000,13.6600,13.2900,13.3300,6278280,84580303.2000,0.679800
2025-01-24,13.3300,13.4700,13.1300,13.4200,6117520,81458301.0000,0.675200
2025-01-27,13.5400,14.0000,13.4300,13.5000,8023500,109698995.0000,0.596100
2025-02-05,13.7000,13.8100,13.5100,13.7200,5754780,78747610.4000,1.629600
2025-02-06,13.5800,14.0800,13.5300,14.0100,8801214,121651812.7200,2.113700
2025-02-07,14.0100,14.2400,13.7800,13.9900,8803342,123146550.7000,-0.142800
2025-02-10,14.0300,14.1600,13.9200,14.0000,7871877,110307028.9200,0.071500
2025-02-11,14.1000,14.1000,13.7100,13.8200,7386886,102118844.4600,-1.285700
2025-02-12,13.8200,14.6000,13.7500,14.4400,12630526,179740536.6000,4.486300
2025-02-13,14.3200,14.3900,13.9000,13.9100,9199686,129064145.0600,-3.670400
2025-02-14,13.8600,13.9900,13.6600,13.7800,7497700,103705860.0000,-0.934600
2025-02-17,13.9300,14.5600,13.8300,14.1600,10986740,155326630.6000,2.757600
2025-02-18,14.1000,14.2200,13.3900,13.5000,9218472,127013113.3200,-4.661000
2025-02-19,13.5000,13.9300,13.4200,13.9000,6262097,86101401.1300,2.963000
2025-02-20,13.8500,14.1200,13.7400,14.0400,10056292,140301197.8000,1.007200
2025-02-21,14.0500,14.1200,13.8900,13.9700,9429940,131736141.8000,-0.498600
2025-02-24,14.3000,15.0400,14.2000,14.4100,19934860,291099814.1300,3.149600
2025-02-25,14.3100,14.4400,13.9900,14.1200,10452432,148349574.7600,-2.012500
2025-02-26,14.2000,15.6000,14.0700,15.1000,26813821,400488017.8000,6.940500
2025-02-27,14.9600,15.9000,14.9100,15.5900,27639180,430229558.0000,3.245000
2025-02-28,16.1900,16.8000,15.6300,15.7800,49026016,795783929.9700,1.218700
2025-03-03,16.6700,18.9400,16.2900,18.1800,78020946,1384890368.9600,15.209100
2025-03-04,17.0800,19.5800,17.0800,18.2900,79799096,1466380468.6800,0.605100
2025-03-05,17.8000,19.3000,17.4000,19.0300,74624308,1382947195.9300,4.045900
2025-03-06,19.7000,20.0000,18.7100,18.9700,71778260,1381987930.0000,-0.315300
2025-03-07,18.5700,18.9700,17.0100,17.6100,66903700,1192927323.4100,-7.169200
2025-03-10,17.7000,18.3000,17.1600,17.7000,38066585,669397269.2500,0.511100
2025-03-11,17.1100,17.3300,16.4000,16.9700,35815320,603845290.0000,-4.124300
2025-03-12,16.9500,17.4600,16.7000,17.0800,28734136,493985000.1200,0.648200
2025-03-13,17.0000,17.2200,16.1800,16.4300,27213620,451398930.9200,-3.805600
2025-03-14,16.6100,16.6900,16.0000,16.6300,22857436,373467927.8400,1.217300
2025-03-17,16.5500,16.6800,16.2800,16.4800,19320776,317832870.2000,-0.902000
2025-03-18,16.7200,16.9900,16.5000,16.9800,26123176,438553075.2000,3.034000
2025-03-19,17.0900,17.4700,16.6700,17.1100,25433400,434846034.0000,0.765600
2025-03-20,16.8400,16.9500,16.0000,16.1400,24562483,401215315.9400,-5.669200
2025-03-21,16.1000,16.1400,15.4600,15.5200,18075360,283546058.4000,-3.841400
2025-03-24,15.5300,15.7500,14.5000,14.9200,15067740,226115220.8000,-3.866000
