date,open,high,low,close,volume,amount,pctChg
2025-01-02,17.0000,17.1500,16.2300,16.4200,12886653,215170337.6300,-3.638500
2025-01-03,16.5200,16.8300,16.2900,16.3200,11042360,182837239.6000,-0.609000
2025-01-06,16.3100,16.5200,16.1800,16.3300,7241910,118248156.5000,0.061300
2025-01-07,16.3400,16.4100,16.0500,16.2500,8508200,137763631.0000,-0.489900
2025-01-08,16.2500,16.4000,15.7300,16.2000,13670263,219483029.5300,-0.307700
2025-01-09,16.1200,16.7000,16.0100,16.4000,10620400,174649092.0800,1.234600
2025-01-10,16.3700,16.6200,16.0600,16.0600,9210550,149594783.8000,-2.073200
2025-01-13,15.9000,16.3800,15.8600,16.2800,10293357,166337553.7000,1.369900
2025-01-14,16.2400,16.8500,16.1400,16.8200,12896192,214065639.7900,3.317000
2025-01-15,16.8400,16.8900,16.4600,16.5200,7500157,124675232.5000,-1.783600
2025-01-16,16.5800,16.8800,16.5100,16.8100,9420627,157374213.7800,1.755400
2025-01-17,16.6600,17.2400,16.6500,17.1400,11723767,199854846.6900,1.963100
2025-01-20,17.1600,17.3100,16.9700,17.1200,8672000,148544825.0000,-0.116700
2025-01-21,17.1700,17.2800,16.8900,17.2300,9173824,156998834.5200,0.642500
2025-01-22,17.1100,17.1900,17.0200,17.0900,5523273,94457701.0200,-0.812500
2025-01-23,17.2200,17.3800,16.9300,16.9300,9003000,154433756.0000,-0.936200
2025-01-24,16.8700,17.1800,16.8600,17.0800,7737442,132181825.2200,0.886000
2025-01-27,17.1000,17.3200,16.9700,17.0000,7469903,128012505.8400,-0.468400
2025-02-05,17.1300,17.4000,17.0100,17.2600,8799625,151333762.2500,1.529400
2025-02-06,17.2000,17.3600,17.1100,17.3300,13663500,236068490.9100,0.405600
2025-02-07,17.3300,17.8100,17.1800,17.5800,21630800,378897075.0000,1.442600
2025-02-10,17.5400,17.7400,17.3200,17.5300,13613600,237840151.1700,-0.284400
2025-02-11,17.5300,17.5500,17.1500,17.2200,10197300,175957095.0000,-1.768400
2025-02-12,17.1600,17.2900,16.9800,17.2300,13825799,236929228.8100,0.058100
2025-02-13,17.3500,17.5800,17.2200,17.3500,19558500,340361235.0000,0.696500
2025-02-14,17.3400,17.6200,17.2000,17.3400,17475630,304234793.0000,-0.057600
2025-02-17,17.4000,17.6400,17.2100,17.4800,15499682,270077792.1400,0.807400
