date,open,high,low,close,volume,amount,pctChg
2025-01-02,5.7700,5.9300,5.6000,5.6700,4611800,26656107.0000,-1.903100
2025-01-03,5.6700,5.7600,5.3800,5.4200,5302800,29302231.0000,-4.409200
2025-01-06,5.4600,5.4600,5.1500,5.3400,4271700,22763333.0000,-1.476000
2025-01-07,5.3400,5.5300,5.3400,5.5300,3120100,16972677.0000,3.558100
2025-01-08,5.5500,5.6000,5.3200,5.5200,3601400,19723427.0000,-0.180800
2025-01-09,5.4900,5.6100,5.4600,5.5300,2931400,16267515.0000,0.181200
2025-01-10,5.5400,5.5800,5.3000,5.3000,3516800,19041015.0000,-4.159100
2025-01-13,5.2400,5.3800,5.1100,5.3400,3670400,19387041.0000,0.754700
2025-01-14,5.5100,5.6700,5.4000,5.6300,5729600,32018646.0000,5.430700
2025-01-15,5.6200,5.7100,5.5200,5.5500,4920700,27521763.0000,-1.421000
2025-01-16,5.5900,5.6900,5.5200,5.5800,4322200,24219528.0000,0.540500
2025-01-17,5.5600,5.6300,5.4800,5.5000,3727200,20550786.0000,-1.433700
2025-01-20,5.5300,5.6200,5.3700,5.5700,5595500,30973918.0000,1.272700
2025-01-21,5.5800,5.6600,5.3600,5.4100,5384000,29284343.0000,-2.872500
2025-01-22,5.4000,5.6000,5.3000,5.3900,5355900,28866301.0000,-0.369700
2025-01-23,5.4700,5.6400,5.4000,5.4000,6542300,36105168.0000,0.185500
2025-01-24,5.5000,5.6100,5.4400,5.5900,6369700,35322474.0000,3.518500
2025-01-27,5.5900,5.6800,5.5300,5.5400,5462200,30588349.7900,-0.894500
2025-02-05,5.6600,5.7800,5.5600,5.7500,7616040,43516437.3400,3.790600
2025-02-06,5.7400,5.7800,5.6600,5.7800,4672000,26779102.0000,0.521700
2025-02-07,5.8000,5.8900,5.7300,5.8500,5479050,31916116.0000,1.211100
2025-02-10,5.8800,6.0000,5.8600,6.0000,4248650,25252165.0000,2.564100
2025-02-11,6.0000,6.0200,5.8500,5.9400,3622100,21375288.0000,-1.000000
2025-02-12,5.9700,6.0000,5.8800,5.9600,3666600,21769008.0000,0.336700
2025-02-13,5.9500,6.1300,5.8800,5.9300,6435699,38516536.0200,-0.503400
2025-02-14,5.9100,6.0700,5.9100,5.9300,5961700,35521836.0000,0.000000
2025-02-17,5.9200,6.1800,5.8500,6.1600,7749300,46999274.0000,3.878600
2025-02-18,6.1500,6.1500,5.9100,5.9300,6095299,36733123.4100,-3.733800
2025-02-19,5.9800,6.0400,5.9100,5.9700,4286000,25580815.0000,0.674500
2025-02-20,5.9600,6.0900,5.9300,6.0800,4090200,24660249.0000,1.842500
2025-02-21,6.0600,6.0700,5.8800,5.9800,4800156,28541759.3200,-1.644700
2025-02-24,5.9700,6.1500,5.9400,6.0800,5766400,34936278.0000,1.672200
2025-02-25,6.0600,6.1800,6.0100,6.1100,4839606,29533493.5400,0.493400
2025-02-26,6.1200,6.1700,6.0600,6.1700,4880200,29944653.0000,0.982000
2025-02-27,6.1800,6.2000,5.9700,6.1000,5233000,31741018.0000,-1.134500
2025-02-28,6.0900,6.1000,5.8800,5.8800,3944901,23568430.8900,-3.606600
2025-03-03,5.9200,6.0700,5.8800,5.9800,5037006,30263538.3600,1.700700
2025-03-04,6.0000,6.1700,5.9300,6.1500,5464300,33232679.0000,2.842800
2025-03-05,6.1500,6.1500,5.9800,6.0700,5534800,33401964.0000,-1.300800
2025-03-06,6.1000,6.2900,6.0300,6.2000,8253607,50882150.0900,2.141700
2025-03-07,6.2000,6.3100,6.1500,6.1600,6451606,40100692.7400,-0.645200
2025-03-10,6.1800,6.2600,6.1600,6.2100,3750000,23311538.0000,0.811700
2025-03-11,6.1800,6.2700,6.1100,6.2600,4099100,25436289.0000,0.805200
2025-03-12,6.2900,6.3300,6.1800,6.2300,3596800,22445236.0000,-0.479200
2025-03-13,6.2500,6.2900,6.1600,6.2700,4854500,30240365.0000,0.642100
2025-03-14,6.2700,6.3900,6.2200,6.3700,6048600,38134947.0000,1.594900
2025-03-17,6.3600,6.4500,6.3200,6.4100,4367456,27888111.3600,0.627900
2025-03-18,6.4100,6.4600,6.3600,6.4300,5974110,38225943.2000,0.312000
2025-03-19,6.4300,6.4800,6.3700,6.4100,5030266,32306853.1200,-0.311000
2025-03-20,6.4300,6.7200,6.2800,6.4700,11408555,74123412.2000,0.936000
2025-03-21,6.5200,6.7400,6.4300,6.5000,13177490,86605498.2000,0.463700
2025-03-24,6.4700,6.5300,6.0100,6.1500,10775376,67409110.8000,-5.384600
2025-03-25,6.1900,6.3300,6.0700,6.2600,7687892,47884205.9200,1.788600
2025-03-26,6.2300,6.4100,6.2100,6.3400,5644300,35850375.0000,1.278000
2025-03-27,6.3300,6.3800,6.1500,6.2700,5747400,35860516.0000,-1.104100
2025-03-28,6.2600,6.3100,6.0500,6.0900,5034290,30909385.2000,-2.870800
2025-03-31,6.0700,6.0900,5.8600,5.9700,5194590,30936504.4000,-1.970400
2025-04-01,5.9700,6.2700,5.9700,6.1500,5258990,32442430.5000,3.015100
2025-04-02,6.1300,6.2600,6.0900,6.1300,3124500,19261068.8700,-0.325200
2025-04-03,6.0600,6.2300,6.0600,6.2100,4079000,25107001.0000,1.305100
2025-04-07,6.0200,6.0800,5.1400,5.2600,9198900,50920498.0000,-15.297900
2025-04-08,5.1900,5.6000,5.1800,5.4000,7269400,39546795.0000,2.661600
2025-04-09,5.3100,5.7500,5.0100,5.6800,8736300,47481919.0000,5.185200
2025-04-10,5.7600,5.9700,5.7600,5.8500,6486702,38143081.8000,2.993000
2025-04-11,5.8500,5.9600,5.7900,5.8100,4424300,25979177.0000,-0.683800
2025-04-14,5.8900,6.0200,5.8700,5.9300,4112290,24472078.1000,2.065400
2025-04-15,5.9400,6.0000,5.8900,5.9800,3760100,22386833.0000,0.843200
2025-04-16,6.0200,6.0200,5.7100,5.8500,5528000,32375653.0000,-2.173900
2025-04-17,5.8500,6.0100,5.7800,5.9100,4153000,24673550.0000,1.025600
2025-04-18,5.8900,5.9700,5.8300,5.9400,3952400,23324228.0000,0.507600
2025-04-21,5.9200,6.0000,5.8100,5.9600,5711900,33799164.0000,0.336700
2025-04-22,5.9600,6.0600,5.9000,5.9800,4007400,23885160.0000,0.335600
2025-04-23,6.0400,6.0800,6.0000,6.0500,4273825,25805359.7500,1.170600
2025-04-24,6.1100,6.1400,5.9700,6.0200,4043475,24406753.0000,-0.495900
2025-04-25,6.0800,6.0900,5.9400,6.0100,3529700,21205777.0000,-0.166100
2025-04-28,6.0900,6.0900,5.8500,5.9000,4208700,24897699.0000,-1.830300
2025-04-29,5.9400,6.1300,5.8900,6.0700,5611002,34013539.1200,2.881400
2025-04-30,6.0700,6.1600,6.0600,6.0600,2977793,18191874.1600,-0.164700
2025-05-06,6.1100,6.2200,6.1000,6.1800,5425700,33513010.0000,1.980200
2025-05-07,6.2800,6.5300,6.2000,6.3600,9134700,58112791.0000,2.912600
2025-05-08,6.3100,6.4800,6.3100,6.4800,7493200,47987101.0000,1.886800
2025-05-09,6.4400,6.5500,6.3600,6.3900,5862800,37657428.8200,-1.388900
2025-05-12,6.3900,6.5000,6.3300,6.4300,5238900,33497982.0000,0.626000
2025-05-13,6.4500,6.4900,6.3100,6.3300,4648718,29627109.7600,-1.555200
2025-05-14,6.3300,6.3900,6.2400,6.3000,4355418,27393558.0400,-0.473900
2025-05-15,6.2900,6.3700,6.2500,6.2900,3565800,22455341.0000,-0.158700
2025-05-16,6.3100,6.3600,6.2800,6.3100,3812100,24090069.0000,0.318000
2025-05-19,6.4000,6.5400,6.3200,6.4900,5942506,38335099.6100,2.852600
2025-05-20,6.4700,6.6500,6.4700,6.6100,6063000,39893227.0000,1.849000
2025-05-21,6.6500,6.6500,6.5400,6.5900,4803201,31583989.5600,-0.302600
2025-05-22,6.5800,6.6200,6.4000,6.4300,4584000,29655436.0000,-2.427900
2025-05-23,6.4500,6.4900,6.3400,6.3800,4672200,30030021.0000,-0.777600
2025-05-26,6.3900,6.5400,6.3500,6.4800,3274900,21118603.0000,1.567400
2025-05-27,6.4800,6.5800,6.4400,6.5500,4196200,27395934.0000,1.080200
2025-05-28,6.5700,6.7000,6.5300,6.6500,5427500,35967924.0000,1.526700
2025-05-29,6.6200,6.7300,6.5800,6.6700,5260400,35142283.0000,0.300800
2025-05-30,6.8400,6.9400,6.5400,6.5800,6188700,41117468.0000,-1.349300
2025-06-03,6.4900,6.6200,6.4500,6.6000,5049200,33170562.0000,0.304000
2025-06-04,6.6700,6.6800,6.5300,6.5800,3096900,20395889.0000,-0.303000
2025-06-05,6.6100,6.6300,6.5000,6.5700,3339200,21922711.9900,-0.152000
2025-06-06,6.6100,6.6600,6.5400,6.6500,3942300,26031365.0000,1.217700
2025-06-09,6.6700,6.7600,6.6400,6.7500,4803300,32233499.0000,1.503800
2025-06-10,6.8100,6.8100,6.5500,6.6500,6436800,43058498.0000,-1.481500
2025-06-11,6.7000,6.7500,6.6600,6.6700,3862000,25859351.0000,0.300800
2025-06-12,6.6700,6.7300,6.6200,6.6800,3186800,21234937.0000,0.149900
2025-06-13,6.6800,6.7100,6.5900,6.6200,5620200,37318483.0000,-0.898200
2025-06-16,6.5800,6.7000,6.5200,6.5700,4228800,27890886.0000,-0.755300
2025-06-17,6.5900,6.6200,6.5100,6.5800,3607700,23661581.0000,0.152200
2025-06-18,6.5700,6.7300,6.5200,6.5300,7993900,52790350.0000,-0.759900
2025-06-19,6.4800,6.5600,6.3300,6.3800,5833800,37438748.0000,-2.297100
2025-06-20,6.3900,6.4700,6.3200,6.3500,3596400,22956151.0000,-0.470200
2025-06-23,6.3500,6.5500,6.3100,6.5200,4831300,31256541.0000,2.677200
2025-06-24,6.5200,6.7200,6.4900,6.7100,5538903,36758450.1000,2.914100
2025-06-25,6.7300,6.7800,6.6500,6.7600,5696903,38293876.2500,0.745200
2025-06-26,6.7700,6.8400,6.6900,6.7400,3908908,26353729.8600,-0.295900
2025-06-27,6.8000,6.8800,6.7100,6.7900,4133700,28040054.0000,0.741800
2025-06-30,6.8200,6.8800,6.7500,6.8700,4415200,30197265.0000,1.178200
2025-07-01,6.9100,7.0200,6.8600,6.9900,6902102,47851545.7800,1.746700
2025-07-02,7.0000,7.2000,6.9100,7.1000,12430725,87884583.7500,1.573700
2025-07-03,7.0700,7.0900,6.9200,7.0200,7242300,50707946.0000,-1.126800
2025-07-04,7.0100,7.0600,6.9000,6.9500,5279100,36820551.0000,-0.997200
2025-07-07,6.9400,7.1900,6.9400,7.1800,7139400,50672366.7500,3.309400
2025-07-08,7.2600,7.6500,7.2000,7.4300,22898225,169945344.5000,3.481900
2025-07-09,7.4500,7.5200,7.2800,7.3100,11544307,85191264.3800,-1.615100
2025-07-10,7.3000,7.3700,7.1800,7.2500,7545500,54680658.0000,-0.820800
2025-07-11,7.2800,7.2900,7.1100,7.2100,6570000,47225211.0000,-0.551700
2025-07-14,7.1900,7.2500,7.1500,7.2200,6076500,43759884.0000,0.138700
2025-07-15,7.1600,7.2400,6.9800,7.0700,7646625,54033535.5000,-2.077600
2025-07-16,7.0700,7.1500,7.0400,7.0800,3883700,27511876.0000,0.141400
2025-07-17,7.1100,7.1300,7.0500,7.0900,3190200,22587487.0000,0.141200
2025-07-18,7.1300,7.1600,7.0600,7.1400,3796700,27003466.0000,0.705200
