date,open,high,low,close,volume,amount,pctChg
2025-01-02,20.3400,20.4500,19.4300,19.6100,5994752,119879690.2800,-3.494100
2025-01-03,19.8200,20.0300,19.1800,19.2800,5996357,117552229.9900,-1.682800
2025-01-06,19.2800,19.7800,19.2500,19.5200,4919920,95881368.2000,1.244800
2025-01-07,19.5200,19.5200,19.1200,19.4000,4232236,81788814.6100,-0.614800
2025-01-08,19.3700,19.4400,18.6800,19.0100,5723025,108793424.7500,-2.010300
2025-01-09,18.9100,19.2300,18.7300,19.0100,3518605,67021598.7100,0.000000
2025-01-10,18.9300,19.1600,18.4000,18.4300,3711625,69570765.7500,-2.538300
2025-01-13,18.3000,18.7700,18.2300,18.7500,3940925,73305143.7500,1.736300
2025-01-14,18.8300,19.4200,18.7600,19.3500,5073544,96988703.9600,3.200000
2025-01-15,19.2700,19.3600,19.0400,19.0800,3488100,66670218.0000,-1.395300
2025-01-16,19.1800,19.5500,19.0300,19.1300,3806300,73433397.0000,0.262100
2025-01-17,19.1400,19.4300,18.9200,19.2800,2941412,56494179.1600,0.784100
2025-01-20,19.4100,19.6800,19.3100,19.3600,4101554,79878473.7800,0.414900
2025-01-21,19.4900,19.5500,19.1300,19.4500,3555100,68830200.7500,0.464900
2025-01-22,19.3800,19.4800,19.1700,19.4300,3145822,60762610.2800,-0.102800
2025-01-23,19.6100,19.8500,19.4500,19.5300,5338285,104832037.5200,0.514700
2025-01-24,19.4500,19.8800,19.3800,19.7500,5124100,100827312.0000,1.126500
2025-01-27,19.7800,19.9400,19.4700,19.4700,3577800,70468807.0000,-1.417700
2025-02-05,19.6600,19.8500,19.5600,19.8300,4174336,82523854.0800,1.849000
2025-02-06,19.8300,20.0300,19.5800,19.9200,4692111,93035285.3500,0.453900
2025-02-07,19.9000,20.5100,19.7800,20.2500,6557410,132566561.8000,1.656600
2025-02-10,20.3000,20.6900,20.2300,20.6300,6840267,140276860.5500,1.876500
2025-02-11,20.6100,20.6800,20.1500,20.2900,5448609,110665347.8800,-1.648100
2025-02-12,20.2500,20.3500,20.0800,20.2800,3755909,75881165.5200,-0.049300
2025-02-13,20.2900,20.4000,20.1500,20.1900,3665708,74290643.9600,-0.443800
2025-02-14,20.0800,20.9100,20.0800,20.7400,8068722,166770092.0600,2.724100
2025-02-17,21.1100,23.6500,21.0800,22.5600,33781082,768009830.6600,8.775300
2025-02-18,22.5800,22.6600,21.6600,21.8100,18752973,414556639.3600,-3.324500
2025-02-19,21.8400,22.2800,21.4800,22.2000,13308261,292328916.5800,1.788200
2025-02-20,22.2600,23.5000,22.2000,22.7800,17892464,411224713.9200,2.612600
2025-02-21,22.6300,23.0700,22.3900,22.7000,13627869,308052238.9300,-0.351200
2025-02-24,22.8300,22.8300,21.9700,22.1500,10525975,233429239.4000,-2.422900
2025-02-25,21.9600,22.4200,21.7600,22.2000,7795717,172479454.3100,0.225700
2025-02-26,22.2000,22.5300,22.0200,22.3100,8200405,182836398.9800,0.495500
2025-02-27,22.3200,22.5700,21.8700,22.3500,7962151,177100695.4700,0.179300
2025-02-28,22.1800,22.4000,21.1400,21.3000,9015718,195470480.6400,-4.698000
2025-03-03,21.3800,22.1500,21.3300,21.7000,6750988,147371030.9200,1.877900
2025-03-04,21.6600,22.0600,21.5000,21.9500,5082984,111021018.9600,1.152100
2025-03-05,22.0300,22.0300,21.5000,21.7200,4633360,100342435.0200,-1.047800
2025-03-06,21.7900,22.0900,21.6800,22.0600,6494194,142511108.8100,1.565400
2025-03-07,21.9700,21.9800,21.5000,21.6900,5898853,128194755.9000,-1.677200
2025-03-10,21.7700,22.1300,21.6200,21.7900,4629500,101146201.0000,0.461000
2025-03-11,21.5000,21.7800,21.3600,21.7100,4127854,89145612.2500,-0.367100
2025-03-12,21.8900,21.9000,21.4800,21.5200,4663673,100728530.7200,-0.875200
2025-03-13,21.5700,21.6600,21.1000,21.2300,5183572,110494094.6900,-1.347600
2025-03-14,21.2700,21.8400,21.1300,21.7900,6320835,136304128.8600,2.637800
2025-03-17,21.7600,22.0800,21.6000,21.8800,5902919,128884408.7300,0.413000
2025-03-18,21.9000,22.3500,21.7500,22.1000,7965654,176352877.6800,1.005500
2025-03-19,22.0000,22.3700,21.9600,22.0800,5550800,123069962.0000,-0.090500
2025-03-20,22.0500,22.0800,21.7000,21.7200,4384092,95699359.9200,-1.630400
