date,open,high,low,close,volume,amount,pctChg
2025-01-02,15.7400,15.9600,15.1000,15.2700,8694978,135344478.3600,-3.170600
2025-01-03,15.3000,15.5800,15.0900,15.2800,10529111,161502333.8500,0.065500
2025-01-06,15.7400,16.1300,15.3000,15.5300,13887971,217943669.4500,1.636100
2025-01-07,15.7100,15.7300,14.9800,15.3200,10454835,159063267.7300,-1.352200
2025-01-08,15.2300,15.3800,14.7200,15.3000,9560600,144235628.4800,-0.130500
2025-01-09,15.1100,15.4700,15.0300,15.2300,5801800,88698029.0000,-0.457500
2025-01-10,15.2300,15.4000,14.7400,14.7500,5643154,84915548.5400,-3.151700
2025-01-13,14.5100,14.9400,14.4500,14.8700,5238150,77359736.5000,0.813600
2025-01-14,14.9600,15.4000,14.9000,15.3800,6953104,105746876.4000,3.429700
2025-01-15,15.3300,15.3600,15.0600,15.2000,5877700,89147916.0000,-1.170400
2025-01-16,15.2500,15.6300,15.0800,15.2800,7943955,122128378.3000,0.526300
2025-01-17,15.2300,15.9600,15.1500,15.5900,9717567,151655182.8400,2.028800
2025-01-20,15.7900,16.3700,15.6600,15.9300,11118530,178253125.1000,2.180900
2025-01-21,16.1100,16.5100,15.7500,15.8300,8991600,144099989.2000,-0.627700
2025-01-22,15.7200,15.7900,15.4900,15.6000,4673800,72909963.0000,-1.452900
2025-01-23,15.8800,16.2900,15.6800,15.8600,10690456,171354080.6000,1.666700
2025-01-24,15.9100,16.1200,15.7200,15.9700,6513800,103871562.6800,0.693600
2025-01-27,15.9700,16.2300,15.7600,15.7600,4964104,79310508.6200,-1.315000
2025-02-05,15.9500,16.1800,15.8600,16.0900,6192704,99428466.1900,2.093900
2025-02-06,15.9600,16.6400,15.7800,16.5400,9296000,151877665.0000,2.796800
2025-02-07,16.5100,17.3900,16.4400,17.2500,15753600,270321730.0000,4.292600
2025-02-10,17.2500,17.5600,17.1700,17.4800,11081690,192423360.1000,1.333300
2025-02-11,17.4800,17.4800,16.8500,17.0500,9065234,154329098.6100,-2.460000
2025-02-12,17.0500,17.0800,16.8000,17.0300,6078122,102984656.5400,-0.117300
2025-02-13,17.0200,17.0900,16.8400,16.8400,6464036,109504538.4800,-1.115700
2025-02-14,16.9700,17.5300,16.8200,17.3000,12204806,211128031.6800,2.731600
2025-02-17,17.5800,17.8900,17.1600,17.2600,11217280,196164025.0200,-0.231200
2025-02-18,17.2300,17.2600,16.6900,16.7500,8112498,137531996.5600,-2.954800
2025-02-19,16.6600,16.9900,16.5100,16.8100,6677000,111947610.0000,0.358200
2025-02-20,16.9000,18.4200,16.7800,18.1300,25728873,457071395.1400,7.852500
2025-02-21,18.0500,18.3500,17.6000,18.2800,17670900,318813222.4200,0.827400
2025-02-24,18.1800,18.3200,17.7300,17.9600,12041212,216267189.9200,-1.750500
2025-02-25,17.6600,17.8000,17.3600,17.4600,10422900,182912841.0000,-2.784000
2025-02-26,17.5500,18.1500,17.3600,17.9200,11993262,212969941.4800,2.634600
2025-02-27,17.9800,18.0800,17.5000,17.8800,8884500,158285344.0000,-0.223200
2025-02-28,17.7000,17.9400,16.6100,16.6800,12265403,209594511.9500,-6.711400
2025-03-03,16.7200,17.3500,16.6500,16.8900,9084200,155007454.0000,1.259000
2025-03-04,16.8400,17.1600,16.7700,17.0400,5459758,92740978.4800,0.888100
2025-03-05,17.0400,17.0800,16.5000,16.6600,7432555,123842005.6600,-2.230000
2025-03-06,16.7800,17.8300,16.7400,17.3900,13007361,227301312.1700,4.381800
2025-03-07,17.2800,17.5500,16.7700,16.8700,8171452,139260459.7200,-2.990200
2025-03-10,17.0600,17.3900,16.6400,16.7500,7364982,124461404.7800,-0.711300
2025-03-11,16.5500,16.6500,16.4000,16.5300,5893034,97235980.8700,-1.313400
2025-03-12,16.7600,17.0500,16.3900,16.3900,8962919,149066148.0500,-0.846900
2025-03-13,16.4100,16.5500,15.9900,16.1800,6367141,102756864.7300,-1.281300
2025-03-14,16.1300,16.9000,16.0600,16.8400,12962071,215117507.8100,4.079100
2025-03-17,16.8200,17.4600,16.7500,17.0900,11461203,196002939.0500,1.484600
2025-03-18,17.7800,18.2800,17.5000,17.6000,20802297,372357334.0700,2.984200
2025-03-19,17.3200,17.6600,17.2300,17.3600,9733283,169173895.7300,-1.363600
2025-03-20,17.3000,17.4800,17.1200,17.1400,5330200,91782348.2300,-1.267300
2025-03-21,17.1400,17.3000,16.6800,16.7300,5626807,95161990.4200,-2.392100
2025-03-24,16.6900,16.8800,16.1500,16.4800,5919624,97395551.8400,-1.494300
2025-03-25,16.4300,17.5000,16.2100,16.9600,14637924,245195430.1600,2.912600
2025-03-26,16.7900,18.8800,16.7800,18.4900,41466476,757138160.4000,9.021200
2025-03-27,18.7600,19.8800,18.2000,19.4300,50386991,968697638.8700,5.083800
2025-03-28,19.2700,19.8600,18.9000,19.2100,25076141,487225627.3500,-1.132300
2025-03-31,18.7000,19.3400,17.5000,17.6000,28414954,518041175.0500,-8.381100
2025-04-01,17.8000,19.3900,17.7100,18.6000,24076487,450493063.1000,5.681800
2025-04-02,18.6300,19.4500,18.2900,18.9600,26444171,499838041.0000,1.935500
2025-04-03,18.7600,19.6800,18.5000,18.8400,24612025,469677234.0000,-0.632900
2025-04-07,17.5500,17.9900,15.0700,15.0700,29492800,482332742.7900,-20.010600
2025-04-08,15.1100,15.5500,13.7100,14.1100,34083831,492182958.3400,-6.370300
