date,open,high,low,close,volume,amount,pctChg
2025-01-02,9.2900,9.4200,8.8600,9.0000,17831600,163054402.0000,-3.225800
2025-01-03,9.0200,9.1500,8.4000,8.4500,20922643,181332242.0300,-6.111100
2025-01-06,8.4400,8.5200,8.1300,8.3000,16683683,139181282.4300,-1.775100
2025-01-07,8.3700,8.6300,8.3700,8.6100,14923854,126727650.9100,3.734900
2025-01-08,8.5800,8.6800,8.1500,8.4900,16736541,141140562.0900,-1.393700
2025-01-09,8.4600,8.6200,8.4000,8.5400,12593500,107777169.8700,0.588900
2025-01-10,8.5600,8.6900,8.1000,8.1000,20665772,173129927.3200,-5.152200
2025-01-13,8.0300,8.2600,7.8100,8.2000,14423513,116676389.9500,1.234600
2025-01-14,8.3000,8.8500,8.2500,8.8300,21249946,183319372.6600,7.682900
2025-01-15,8.8300,8.8900,8.6700,8.7300,14004094,122624226.6800,-1.132500
2025-01-16,8.8000,9.0600,8.7000,8.7900,16061294,142466738.3200,0.687300
2025-01-17,8.7100,8.8300,8.6400,8.7200,12032494,105085450.8000,-0.796400
2025-01-20,8.8000,8.9300,8.6500,8.7800,14555913,128159828.7500,0.688100
2025-01-21,8.7900,8.8900,8.5800,8.6700,11268874,97836825.5800,-1.252800
2025-01-22,8.6300,8.6700,8.4800,8.5500,10307300,88290696.0000,-1.384100
2025-01-23,8.7300,9.0800,8.5900,8.5900,23214400,205378354.0000,0.467800
2025-01-24,8.5400,9.1500,8.5300,9.1300,29649677,265220708.5500,6.286400
2025-01-27,9.2200,9.4000,8.9400,8.9600,20711900,188854948.0000,-1.862000
2025-02-05,9.2600,9.5900,9.1900,9.5000,31740839,299933509.3900,6.026800
2025-02-06,9.4900,9.7800,9.3300,9.7600,28175790,270965294.8900,2.736800
2025-02-07,9.7100,10.2300,9.7100,10.0200,37326319,373956815.9900,2.663900
2025-02-10,10.0600,10.5000,10.0300,10.4900,36848080,379837276.5900,4.690600
2025-02-11,10.3500,10.4500,10.1200,10.3300,30600665,314277070.9800,-1.525300
2025-02-12,10.3600,10.6200,10.2800,10.5500,30283574,318355013.5200,2.129700
2025-02-13,10.5800,10.5800,10.2300,10.3800,27693401,287575607.1700,-1.611400
2025-02-14,10.3300,10.7500,10.2700,10.6500,39635460,419990995.1600,2.601200
2025-02-17,10.7900,10.8300,10.4100,10.6000,35692417,378355638.1700,-0.469500
2025-02-18,10.6800,10.7300,10.0600,10.0800,29126041,301574573.3500,-4.905700
2025-02-19,10.1400,10.4300,10.0600,10.4300,21687700,223356462.0000,3.472200
2025-02-20,10.3400,10.8900,10.3000,10.7000,38275022,405832837.7700,2.588700
2025-02-21,10.8200,11.2100,10.4600,11.1800,59991779,654848087.7500,4.486000
2025-02-24,11.0600,11.1600,10.8200,10.9600,40947499,449455513.0600,-1.967800
2025-02-25,10.7800,11.0800,10.6700,10.8500,32390674,352544302.3500,-1.003600
2025-02-26,10.8300,11.2300,10.7000,11.1000,39303283,431679388.1300,2.304100
2025-02-27,10.9900,11.2300,10.6800,10.8300,29470640,320688504.6800,-2.432400
2025-02-28,10.7600,10.8300,10.0800,10.1200,30413814,315960723.2600,-6.555900
2025-03-03,10.2600,10.5100,10.0700,10.2800,20825500,215239888.0000,1.581000
2025-03-04,10.1300,10.6000,10.1300,10.5700,20340708,213138151.2400,2.821000
2025-03-05,10.5800,10.7100,10.3400,10.6400,22142600,233608313.0000,0.662300
2025-03-06,10.7700,11.6000,10.7700,11.1800,48900636,547045268.7800,5.075200
2025-03-07,11.1800,11.3800,10.8900,11.0200,40464889,452013941.7700,-1.431100
2025-03-10,10.9100,11.0000,10.7800,10.9000,24602700,267723522.0000,-1.088900
2025-03-11,10.6700,10.9700,10.6000,10.8700,18113441,195487672.6200,-0.275200
2025-03-12,10.9100,11.2000,10.8200,11.0500,27481888,303720072.4000,1.655900
2025-03-13,11.0200,11.0400,10.4300,10.6800,26998700,287454159.0000,-3.348400
2025-03-14,10.6100,10.8900,10.4500,10.7800,20358214,217698267.3000,0.936300
2025-03-17,10.7300,10.8800,10.5700,10.7200,17379355,186465623.2500,-0.556600
2025-03-18,10.7200,10.8600,10.5500,10.5800,21223970,226655657.6000,-1.306000
2025-03-19,10.5300,10.6300,10.3600,10.4300,16229360,169801587.0000,-1.417800
2025-03-20,10.4000,10.6000,10.3000,10.4200,13486660,141205876.4000,-0.095900
2025-03-21,10.3200,10.4400,10.0800,10.0800,16159385,165043579.8000,-3.263000
2025-03-24,10.0100,10.0400,9.1800,9.4700,28879369,275841312.3200,-6.051600
2025-03-25,9.4600,9.5600,9.3000,9.4100,14451995,136242304.0000,-0.633600
2025-03-26,9.3700,9.5600,9.3300,9.4400,10797249,102361707.9900,0.318800
2025-03-27,9.4100,9.5000,9.1900,9.3400,11751713,109883340.4200,-1.059300
2025-03-28,9.3400,9.4600,9.1700,9.1800,11991662,110899478.4000,-1.713100
2025-03-31,7.3400,7.3400,7.3400,7.3400,7075700,51935638.0000,-20.043600
2025-04-01,6.7000,7.0800,6.6000,6.8600,104568044,710124162.1600,-6.539500
2025-04-02,6.7000,6.7900,6.5500,6.5700,67674298,449177816.6400,-4.227400
2025-04-03,6.5000,6.7600,6.4800,6.5700,39945706,265141802.5600,0.000000
2025-04-07,6.2500,6.3000,5.2600,5.4000,52598850,298167072.9000,-17.808200
2025-04-08,5.4000,5.8800,5.4000,5.6900,42262370,240263497.7400,5.370400
2025-04-09,5.6400,6.0300,5.2400,6.0200,38532724,219693497.6500,5.799600
2025-04-10,6.2600,6.4700,6.1600,6.2200,37370200,235828569.1000,3.322300
2025-04-11,6.2900,6.3800,6.1600,6.2600,24573485,154118917.5500,0.643100
2025-04-14,6.3900,6.4900,6.3300,6.3700,22782995,145699930.2000,1.757200
2025-04-15,6.3500,6.4300,6.2100,6.2700,19643200,123483780.0000,-1.569900
2025-04-16,6.2500,6.2800,5.9300,6.0700,22076600,134254908.0000,-3.189800
2025-04-17,6.0600,6.1500,6.0100,6.0100,20590100,125056934.0000,-0.988500
2025-04-18,6.0200,6.0500,5.9000,6.0100,15855800,94634784.0000,0.000000
2025-04-21,6.0000,6.2800,5.9500,6.2800,20159850,124243910.7000,4.492500
2025-04-22,6.2700,6.3000,6.1100,6.1400,17896500,110587253.0000,-2.229300
2025-04-23,6.2100,6.3500,6.1100,6.1500,19290600,119678782.0000,0.162900
2025-04-24,6.1500,6.1800,5.9100,5.9400,19813971,118672788.0300,-3.414600
2025-04-25,5.9700,6.0400,5.8900,5.9200,14767739,87956659.8300,-0.336700
2025-04-28,5.8900,5.9400,5.7300,5.7900,16938886,98401310.9400,-2.195900
2025-04-29,5.8400,6.0600,5.7400,5.9700,21045900,125300247.0000,3.108800
2025-04-30,6.0300,7.1600,5.9800,7.1600,52676001,366306853.1600,19.933000
2025-05-06,7.3800,8.2000,7.2800,7.9000,134428931,1029136529.7900,10.335200
2025-05-07,7.9000,8.6500,7.6500,7.9500,114132795,921997001.6700,0.632900
2025-05-08,7.8800,7.9200,7.6800,7.7500,74504962,577515963.7300,-2.515700
2025-05-09,7.7400,7.7500,7.4600,7.4700,49796394,376612844.3800,-3.612900
2025-05-12,7.6100,7.6400,7.4800,7.6000,33008705,249570236.9500,1.740300
2025-05-13,7.6900,7.8100,7.5000,7.5400,33506343,255328066.3300,-0.789500
2025-05-14,7.5400,8.0400,7.4500,7.8700,78997200,615692239.4500,4.376700
2025-05-15,7.9100,7.9100,7.4600,7.4900,47273049,356635115.6400,-4.828500
2025-05-16,7.4400,7.5500,7.3400,7.4800,27523679,205562157.6300,-0.133500
2025-05-19,7.4700,7.5600,7.3600,7.5600,24093320,179929469.4700,1.069500
2025-05-20,7.5800,7.6600,7.4800,7.5800,24415200,184655253.0000,0.264600
2025-05-21,7.5600,7.5600,7.3700,7.4000,22559739,167470408.3700,-2.374700
2025-05-22,7.4600,8.3700,7.3400,8.0000,92883263,739143576.2900,8.108100
2025-05-23,7.9700,7.9900,7.4500,7.4800,62606587,476054308.0900,-6.500000
2025-05-26,7.4500,7.6800,7.3900,7.6100,35002884,264269104.0000,1.738000
2025-05-27,7.6100,7.9800,7.4800,7.8600,49743306,387114207.1000,3.285200
2025-05-28,7.8600,8.5900,7.7700,8.3000,89778208,737314438.7000,5.598000
2025-05-29,8.2600,8.3600,8.0300,8.3400,71803859,590740657.3700,0.481900
2025-05-30,8.2500,8.6000,8.1400,8.4500,76101840,641256657.2600,1.318900
2025-06-03,8.6800,8.9800,8.1500,8.2800,68852903,579743401.9300,-2.011800
2025-06-04,8.1800,8.2700,8.0200,8.0600,45337473,366335278.9100,-2.657000
2025-06-05,8.0300,8.4800,7.9500,8.1900,48331841,396261106.3400,1.612900
2025-06-06,8.1000,8.1800,7.9000,7.9200,38789719,310110617.6700,-3.296700
2025-06-09,7.9700,8.2500,7.9700,8.1600,39817601,323462735.3500,3.030300
2025-06-10,8.1400,8.1600,7.8000,7.9300,34409982,274368100.9800,-2.818600
2025-06-11,7.9500,7.9500,7.7700,7.8200,28619660,224021858.7500,-1.387100
2025-06-12,7.7900,7.8700,7.7000,7.7700,22288700,173326073.0000,-0.639400
2025-06-13,7.7100,7.7200,7.3900,7.3900,38805038,290809512.8400,-4.890600
2025-06-16,7.3300,7.6600,7.3000,7.6400,26672736,202184668.3800,3.382900
2025-06-17,7.6100,7.7100,7.5500,7.6800,19792672,151054148.7800,0.523600
2025-06-18,7.6300,7.7000,7.5700,7.6600,16237300,123897156.0000,-0.260400
2025-06-19,7.7100,8.2400,7.7100,7.8700,60034832,477998988.4300,2.741500
2025-06-20,7.7200,7.7700,7.4100,7.4700,33692482,252971089.5900,-5.082600
2025-06-23,7.3300,7.7500,7.2100,7.7400,30774271,233345207.5400,3.614500
2025-06-24,7.8200,7.9600,7.7000,7.9400,35324432,277660996.9600,2.584000
2025-06-25,7.8800,8.0200,7.8000,8.0000,34370823,272728361.8900,0.755700
2025-06-26,7.9600,8.0900,7.9100,7.9300,35397251,283011630.5500,-0.875000
2025-06-27,7.9200,8.0500,7.8700,7.8900,26366543,209315966.8900,-0.504400
2025-06-30,7.8900,8.1200,7.8900,8.0600,28227000,226975763.0000,2.154600
2025-07-01,8.0600,8.1600,7.9700,7.9900,28882900,232189498.0000,-0.868500
2025-07-02,7.9800,8.0000,7.7900,7.8800,21976709,172699337.1800,-1.376700
2025-07-03,7.9000,8.0500,7.8800,7.9500,18642400,148724731.0000,0.888300
2025-07-04,7.9900,8.0000,7.7700,7.7700,22350400,175586488.0000,-2.264200
2025-07-07,7.7500,7.8100,7.6900,7.7600,13935186,108084614.5000,-0.128700
2025-07-08,7.7800,7.9000,7.7200,7.9000,17604100,138223847.0000,1.804100
2025-07-09,7.8700,7.9500,7.8100,7.8200,16354276,128844046.3400,-1.012700
2025-07-10,7.8200,7.8600,7.6800,7.7500,17705500,137336268.0000,-0.895100
2025-07-11,7.7900,8.3300,7.7600,8.0600,75794190,617468308.7400,4.000000
2025-07-14,8.2200,8.2400,7.9200,7.9800,31817900,253888302.0000,-0.992600
2025-07-15,7.9200,8.0300,7.7000,8.0100,39318892,309221606.5200,0.375900
2025-07-16,8.1100,8.2400,7.9700,7.9900,36655700,296521986.0000,-0.249700
2025-07-17,7.9300,8.1500,7.9200,8.0900,32222400,259791113.4000,1.251600
2025-07-18,8.0900,8.1700,8.0400,8.1000,25401200,205345416.0000,0.123600
2025-07-21,8.2000,8.2200,8.0600,8.1300,33760323,274734346.5300,0.370400
2025-07-22,8.0700,8.1300,7.9700,8.0000,28196726,226079477.7300,-1.599000
2025-07-23,7.9700,8.0200,7.8900,7.9100,21829563,173609110.7400,-1.125000
2025-07-24,7.9000,8.0800,7.9000,8.0600,23601484,188948815.5200,1.896300
