date,open,high,low,close,volume,amount,pctChg
2025-01-02,23.0500,23.2200,22.0700,22.4000,12501970,283701371.1000,-2.820000
2025-01-03,22.4000,22.7500,21.7800,21.8800,11265390,250216264.3000,-2.321400
2025-01-06,22.1700,22.8300,21.8800,22.1300,11925335,265661736.6000,1.142600
2025-01-07,22.0000,22.5100,21.8600,22.4800,10316840,229542191.0000,1.581600
2025-01-08,22.3400,22.4000,21.5100,22.1700,11150420,244997441.5000,-1.379000
2025-01-09,22.0000,22.4700,21.9900,22.2000,7521760,167594688.4000,0.135300
2025-01-10,22.2600,22.3800,21.4600,21.4800,9195500,201482440.5000,-3.243200
2025-01-13,21.2100,22.3000,21.2000,21.9200,12382182,271538119.3600,2.048400
2025-01-14,21.9200,22.7600,21.7700,22.6600,14754511,329923085.5200,3.375900
2025-01-15,22.6600,22.8900,22.2700,22.5500,11811550,266947355.5000,-0.485400
2025-01-16,22.7400,22.9800,22.1900,22.3500,10776040,242910741.0000,-0.886900
2025-01-17,22.3500,23.0500,22.2900,22.4800,10467846,236564105.4200,0.581700
2025-01-20,22.5400,22.9700,22.5400,22.5900,9223398,209276562.8600,0.489300
2025-01-21,22.7500,22.8000,22.1300,22.3900,8695141,194158736.3500,-0.885300
2025-01-22,22.2500,22.2600,21.8600,21.9400,8431986,185586235.7200,-2.009800
2025-01-23,22.1700,22.6200,21.9100,21.9200,10248178,228401778.2200,-0.091200
2025-01-24,21.9300,22.2100,21.7700,22.1100,7702430,169802081.6000,0.866800
2025-01-27,22.2000,22.5400,21.7500,21.7500,8726900,191847036.4000,-1.628200
2025-02-05,21.8600,22.0400,21.6400,21.8300,7397730,161517646.5000,0.367800
2025-02-06,21.7100,22.3900,21.6000,22.3700,14858645,328391278.0100,2.473700
2025-02-07,22.4300,23.1800,22.3300,22.8500,20212121,460441480.3900,2.145700
2025-02-10,22.8800,23.0800,22.4300,23.0100,15920020,362335766.6500,0.700200
2025-02-11,22.9600,22.9900,22.3200,22.4500,13620993,306444515.9600,-2.433700
2025-02-12,22.4300,23.6800,22.3200,23.4300,24708115,569110376.6600,4.365300
2025-02-13,23.3000,23.8000,23.0800,23.1000,19911247,466180005.6600,-1.408500
2025-02-14,23.1000,23.9100,23.0200,23.0800,14785289,344448104.0500,-0.086600
2025-02-17,23.0700,23.2600,22.6100,22.8300,17435819,397779856.1500,-1.083200
2025-02-18,23.0200,23.6500,22.6700,22.8500,25158503,583477668.3700,0.087600
2025-02-19,22.7000,22.9700,22.4000,22.9400,16083748,365832245.8800,0.393900
2025-02-20,22.8400,23.0900,22.6600,22.8600,14154591,322883743.1800,-0.348700
2025-02-21,22.8000,23.2900,22.7800,23.1900,21054654,486614128.1200,1.443600
2025-02-24,23.2000,23.3500,22.8500,22.9900,17659550,406631732.0400,-0.862400
2025-02-25,22.8900,24.0000,22.8000,23.5400,33663762,794720210.4400,2.392300
2025-02-26,23.2900,23.7200,23.2600,23.5700,20963364,492701920.5800,0.127400
2025-02-27,23.6800,24.8000,23.4400,24.4200,38542372,931298385.4900,3.606300
2025-02-28,24.3000,24.7200,23.5000,23.5700,29191459,704738931.5200,-3.480800
2025-03-03,23.7900,25.3000,23.7600,24.9700,46566694,1152636389.9300,5.939800
