date,open,high,low,close,volume,amount,pctChg
2025-01-02,38.5100,38.7500,36.7800,37.0300,17024200,636715497.0000,-3.843200
2025-01-03,36.9600,37.2500,36.3100,36.4200,13842000,506958480.2000,-1.647300
2025-01-06,36.4200,36.6900,35.9100,36.3000,12492845,453500366.2700,-0.329500
2025-01-07,36.5000,37.3000,36.3000,37.0100,13482105,496354049.4800,1.955900
2025-01-08,36.9800,37.2500,36.0000,36.9300,9926149,363912684.8500,-0.216200
2025-01-09,36.9500,38.3700,36.7600,37.7900,15199140,576100024.4600,2.328700
2025-01-10,37.5000,38.0600,37.3900,37.3900,9313963,351950719.6400,-1.058500
2025-01-13,37.2200,37.6800,36.2800,36.5000,8311794,306345717.4300,-2.380300
2025-01-14,36.4700,37.4600,35.6500,37.0000,18644688,683772054.8000,1.369900
2025-01-15,37.0000,37.6600,36.5500,36.8700,11865379,440885458.6000,-0.351400
2025-01-16,36.9800,37.2300,36.2100,36.3200,8839456,323376133.0200,-1.491700
2025-01-17,36.5000,38.5000,36.3600,37.8700,17161170,646264589.0400,4.267600
2025-01-20,37.9400,38.2100,37.3700,37.4900,12019309,452833632.3600,-1.003400
2025-01-21,37.6400,38.1300,37.1200,37.9500,11437404,431603294.1600,1.227000
2025-01-22,37.8300,38.0800,37.0500,37.7700,9005941,339080821.0500,-0.474300
2025-01-23,38.0000,38.1100,37.3000,37.4300,10337231,389439698.1000,-0.900200
2025-01-24,37.4100,38.7600,37.2900,38.6400,17051150,651913175.5800,3.232700
2025-01-27,38.8000,39.0400,37.8800,37.9000,13907914,535403651.7600,-1.915100
2025-02-05,38.1000,38.2900,37.4000,37.7700,9519231,360020790.7900,-0.343000
2025-02-06,37.7000,38.9300,37.4500,38.7700,13607354,522333033.2200,2.647600
2025-02-07,38.6000,38.8600,37.4700,37.8500,22189838,847521343.2600,-2.373000
2025-02-10,37.8100,38.4800,37.4400,38.3400,13037377,496490531.9800,1.294600
2025-02-11,38.1800,38.9800,37.9800,38.3800,10489869,403259218.1500,0.104300
2025-02-12,38.3500,39.4300,38.2300,39.3100,16444380,641803475.4200,2.423100
2025-02-13,39.1900,39.7000,38.6800,38.6900,12465789,488050956.2600,-1.577200
2025-02-14,38.5900,38.7500,37.8800,38.2000,10132605,387928596.4600,-1.266500
2025-02-17,38.2000,38.9900,37.8700,38.2100,13157774,504380693.6200,0.026200
2025-02-18,38.3200,38.3900,36.9900,37.2400,12478354,470670864.0400,-2.538600
2025-02-19,37.4400,38.1400,37.1200,37.7400,9503131,358910324.3600,1.342600
2025-02-20,37.8600,39.0600,37.6600,38.8800,13075841,504417017.1800,3.020700
2025-02-21,39.1400,39.7900,38.5500,39.6500,16056173,631493297.3600,1.980500
2025-02-24,39.3100,40.3000,39.0000,40.0700,20643082,822433325.8500,1.059300
2025-02-25,39.3900,40.0000,38.3000,38.5700,18381046,715742592.0200,-3.743400
2025-02-26,38.6600,39.1300,38.1400,38.4100,12014849,462229597.7000,-0.414800
2025-02-27,38.9900,41.0000,38.9900,40.6000,28527580,1139714163.4600,5.701600
2025-02-28,40.6000,40.6000,38.7800,38.9000,17938236,710139613.0200,-4.187200
2025-03-03,39.2600,41.1300,38.8700,40.1000,20639817,829602648.9500,3.084800
2025-03-04,39.8800,40.2900,39.4100,39.5700,12928204,512028067.9200,-1.321700
2025-03-05,39.5900,40.4600,39.4300,39.8800,12173242,486713654.4200,0.783400
2025-03-06,39.9000,40.8800,39.8600,40.2700,13583820,547938551.7300,0.977900
2025-03-07,40.2000,41.3500,39.9500,40.3000,13636888,554161489.8400,0.074500
2025-03-10,39.9200,40.0700,38.9100,39.3500,14585949,573489350.8500,-2.357300
