date,open,high,low,close,volume,amount,pctChg
2025-01-02,4.3100,4.4300,4.2200,4.2800,13258660,57283719.8000,-1.382500
2025-01-03,4.3000,4.3400,4.0300,4.0500,17064720,70772009.4000,-5.373800
2025-01-06,4.0100,4.0600,3.7900,3.9800,15050800,59472692.0000,-1.728400
2025-01-07,3.9800,4.1400,3.9700,4.1400,12621560,51111397.4000,4.020100
2025-01-08,4.1200,4.2200,3.9900,4.1700,17362200,71657315.0000,0.724600
2025-01-09,4.0800,4.2400,4.0700,4.1600,13485500,56483022.0000,-0.239800
2025-01-10,4.1400,4.1700,3.9700,3.9700,12011600,48986102.0000,-4.567300
2025-01-13,3.9400,4.0400,3.9000,4.0400,8975900,35758276.0000,1.763200
2025-01-14,4.0400,4.2800,4.0400,4.2500,16776200,70598338.0000,5.198000
2025-01-15,4.2500,4.2700,4.1800,4.2300,12526360,52952843.2000,-0.470600
2025-01-16,4.2600,4.4400,4.2500,4.3700,18312300,79737722.0000,3.309700
2025-01-17,4.3400,4.4100,4.2600,4.3000,13471500,58198747.0000,-1.601800
2025-01-20,4.3200,4.3800,4.2300,4.3100,11080300,47733205.0000,0.232600
2025-01-21,4.3300,4.3500,4.2200,4.2900,10914100,46609068.0000,-0.464000
2025-01-22,4.2600,4.4800,4.2200,4.3500,13101100,56769559.0000,1.398600
2025-01-23,4.5000,4.7300,4.4800,4.4800,28096437,129171694.3500,2.988500
2025-01-24,4.4600,4.6200,4.4600,4.5400,23609000,107121194.0000,1.339300
2025-01-27,4.6300,4.8300,4.6200,4.7700,23711300,112110679.0000,5.066100
2025-02-05,4.8500,5.0300,4.8100,4.8300,26330400,129552990.0000,1.257900
2025-02-06,4.8000,4.9100,4.7100,4.9100,20420755,98128936.8500,1.656300
2025-02-07,4.9000,4.9800,4.8100,4.8800,23201800,113804888.0000,-0.611000
2025-02-10,4.8800,5.1100,4.8800,5.0900,23441180,117054541.2000,4.303300
2025-02-11,5.0700,5.1200,4.9500,5.0900,18990580,95755644.0000,0.000000
2025-02-12,5.0400,5.1800,5.0300,5.1000,15671420,80049688.2000,0.196500
2025-02-13,5.0900,5.0900,4.9400,5.0100,18438646,92677489.7000,-1.764700
2025-02-14,5.0300,5.1300,5.0000,5.0800,15848566,80501634.9600,1.397200
2025-02-17,5.0800,5.2300,5.0300,5.0500,15828400,80941160.0000,-0.590600
2025-02-18,5.1300,5.2900,5.0300,5.0600,22417100,115540213.0000,0.198000
2025-02-19,5.0800,5.1300,5.0200,5.1200,15157200,77129812.0000,1.185800
2025-02-20,5.2300,5.5800,5.1900,5.5300,36697466,197310205.4800,8.007800
2025-02-21,5.4600,5.7500,5.4500,5.4500,33090400,183910543.0000,-1.446700
2025-02-24,5.4200,5.6700,5.3600,5.5700,21684976,119804082.1200,2.201800
2025-02-25,5.4800,5.5800,5.4300,5.4900,17283300,95021873.0000,-1.436300
2025-02-26,5.5000,5.6000,5.4300,5.4500,15546600,85525260.0000,-0.728600
2025-02-27,5.4400,5.4700,5.1500,5.2800,23243000,123332822.0000,-3.119300
2025-02-28,5.2100,5.2700,5.0300,5.0700,17356500,89683256.0000,-3.977300
2025-03-03,5.0800,5.2000,5.0300,5.1000,13818200,70717738.0000,0.591700
2025-03-04,5.0500,5.1900,5.0200,5.1900,10753800,55148852.0000,1.764700
2025-03-05,5.2000,5.3000,5.1600,5.2900,15142900,79184126.6000,1.926800
2025-03-06,5.3500,5.5200,5.3200,5.3800,18696400,101286173.0000,1.701300
2025-03-07,5.3700,5.6000,5.3700,5.4300,19555200,107152865.0000,0.929400
2025-03-10,5.4100,5.4200,5.2800,5.3200,13012836,69472871.0400,-2.025800
2025-03-11,5.2400,5.4100,5.2100,5.3700,10449136,55797799.2000,0.939800
2025-03-12,5.3700,5.5000,5.3500,5.4500,12137200,66061135.0000,1.489800
2025-03-13,5.4300,5.4600,5.2800,5.3800,11503300,61629452.0000,-1.284400
