date,open,high,low,close,volume,amount,pctChg
2025-01-02,11.1800,11.4600,10.8600,10.9900,10621800,118120036.8000,-1.787300
2025-01-03,11.1200,11.2000,10.2600,10.3100,11303060,120020987.4000,-6.187400
2025-01-06,10.3800,10.4200,10.0300,10.1900,7988728,81658288.6800,-1.163900
2025-01-07,10.2400,10.7700,10.2000,10.7700,11711760,123160576.0000,5.691900
2025-01-08,10.7300,11.1500,10.5200,11.0600,14348164,155800493.0800,2.692700
2025-01-09,11.0000,11.6900,10.9100,11.4600,19459647,220288011.6200,3.616600
2025-01-10,11.4400,11.8100,11.2300,11.2300,19116784,220761618.0000,-2.007000
2025-01-13,11.0400,12.0900,10.9000,11.5900,24010924,277948274.3700,3.205700
2025-01-14,11.6000,12.4500,11.4600,12.4000,28534268,346049627.4500,6.988800
2025-01-15,12.3300,12.4900,12.1800,12.2400,20422784,251328665.4000,-1.290300
2025-01-16,12.3200,12.4300,11.9500,12.1600,16932940,206635844.6000,-0.653600
2025-01-17,12.0400,12.5800,12.0400,12.2700,19276740,237760020.2000,0.904600
2025-01-20,12.3200,12.5100,12.1000,12.4400,17876160,220934751.4000,1.385500
2025-01-21,12.4900,12.8800,12.3800,12.8000,25233501,319498273.0800,2.893900
2025-01-22,12.6700,12.7900,12.4700,12.6300,16509301,208730698.1300,-1.328100
2025-01-23,12.7000,13.1800,12.5900,12.6500,22944240,294867716.6000,0.158400
2025-01-24,12.5300,12.9200,12.4300,12.8900,18676053,237388865.1000,1.897200
2025-01-27,12.9200,13.0300,12.3500,12.4100,15415933,193091801.3800,-3.723800
2025-02-05,12.6000,12.7000,12.4000,12.6000,14914260,187542549.9200,1.531000
2025-02-06,12.5000,13.4500,12.5000,13.3300,26014437,340607647.2900,5.793700
2025-02-07,13.1800,13.4500,12.9100,13.1500,27739380,366323724.6000,-1.350300
2025-02-10,13.0600,13.2000,12.6900,13.0000,19117652,247374928.2700,-1.140700
2025-02-11,12.9200,13.1000,12.8100,13.0400,17297712,224522572.6400,0.307700
2025-02-12,12.9700,14.4700,12.7000,13.9300,43898351,604827379.1300,6.825200
2025-02-13,13.9500,13.9800,13.1100,13.1900,26661968,359116376.6800,-5.312300
2025-02-14,13.1500,13.2900,12.6900,12.7500,21087220,272506705.2000,-3.335900
2025-02-17,12.7900,13.2200,12.7600,13.2000,20892260,273045199.0000,3.529400
2025-02-18,13.0800,13.3800,12.8300,12.8800,17311488,226272202.0000,-2.424200
2025-02-19,12.7800,13.7400,12.7300,13.7200,34070777,460916640.6900,6.521700
2025-02-20,13.7800,14.6800,13.7300,14.5100,46366046,659688028.7800,5.758000
2025-02-21,14.3100,14.4800,14.0400,14.3100,32994361,469648890.3800,-1.378400
2025-02-24,14.1800,14.6400,13.8700,14.4400,30767013,441650850.2800,0.908500
2025-02-25,14.2300,15.4400,14.1000,14.8300,42498361,633168616.7400,2.700800
2025-02-26,15.1700,17.8000,15.1300,17.8000,94677926,1622151904.2900,20.027000
2025-02-27,17.3700,17.6600,16.1500,16.5100,78039124,1314932387.1700,-7.247200
2025-02-28,16.4300,16.5100,15.0000,15.0700,47836305,736611963.1800,-8.722000
2025-03-03,15.1200,15.2400,14.3300,14.5200,34378356,503845602.4800,-3.649600
2025-03-04,14.2700,15.0100,14.1800,14.7200,30262356,447375298.9200,1.377400
2025-03-05,14.6900,15.1500,14.6100,15.0500,31942691,475759968.1900,2.241800
2025-03-06,15.0100,15.6500,14.9500,15.3300,39524185,608571147.5400,1.860500
2025-03-07,15.1000,15.5700,15.0000,15.3500,28384132,433883650.5100,0.130500
2025-03-10,15.3300,15.5900,15.0800,15.5100,27108605,416481627.0000,1.042300
2025-03-11,15.1900,15.5300,14.8400,15.1000,25004659,378291002.3500,-2.643500
2025-03-12,15.0800,15.2700,14.8800,14.9800,22306460,336412151.2000,-0.794700
2025-03-13,14.9000,14.9600,14.0000,14.2300,26938896,385359650.4000,-5.006700
2025-03-14,14.1900,14.7900,14.0400,14.6800,19596976,283694062.5200,3.162300
2025-03-17,14.6500,15.0800,14.4400,15.0700,19947580,295360722.6000,2.656700
2025-03-18,15.0600,15.9400,14.9500,15.8500,39898868,618012968.9300,5.175800
2025-03-19,15.6500,17.4100,15.5800,16.7600,53968710,893219984.6200,5.741300
2025-03-20,16.6800,17.8900,16.5100,16.9300,62384167,1073896262.7800,1.014300
2025-03-21,16.9300,16.9900,15.6600,15.8000,42283700,680200050.9100,-6.674500
2025-03-24,15.7800,15.9200,14.4300,14.8800,31444767,474523711.5500,-5.822800
2025-03-25,15.0100,17.6400,15.0100,15.7400,58408866,960037751.0500,5.779600
2025-03-26,15.6200,18.8900,15.4300,18.8900,47547707,856255142.4200,20.012700
2025-03-27,19.0000,19.3900,17.0100,17.0800,86785198,1553513705.1800,-9.581800
2025-03-28,17.1100,18.5600,17.1100,17.7700,78190656,1396608044.0200,4.039800
2025-03-31,17.2100,18.5800,15.8600,18.2300,67939864,1158006861.3800,2.588600
2025-04-01,17.9500,19.5900,17.7400,18.7100,79879723,1491937834.0800,2.633000
2025-04-02,18.3300,19.2000,17.4500,17.6000,58589894,1063189777.6100,-5.932700
2025-04-03,17.2600,18.8100,16.7300,16.9700,48482506,856358754.6200,-3.579500
2025-04-07,15.0800,15.4900,13.5800,13.5800,40467140,578742766.0000,-19.976400
2025-04-08,13.7200,14.2300,12.4500,13.3900,50589180,673756862.8200,-1.399100
2025-04-09,12.8300,13.9400,11.2900,13.6400,49691269,636822688.6100,1.867100
2025-04-10,14.0000,15.0300,14.0000,14.4300,46381525,672334941.6300,5.791800
2025-04-11,14.3000,14.7300,14.1000,14.4000,29203460,422561596.3000,-0.207900
2025-04-14,14.7900,15.0400,14.5400,14.7200,25876199,382934440.8700,2.222200
2025-04-15,14.7200,15.0200,14.4000,14.7400,24815200,364641746.0000,0.135900
2025-04-16,14.5800,14.7500,13.9400,14.1200,22132387,315775432.3700,-4.206200
2025-04-17,14.0000,14.2900,13.7100,13.7500,18065720,252368088.0200,-2.620400
2025-04-18,13.7000,14.1000,13.4200,13.6200,16028656,218590362.8000,-0.945500
2025-04-21,13.4500,13.9800,13.3500,13.9500,17149620,235466511.2000,2.422900
2025-04-22,13.8700,13.9500,13.5500,13.5800,14780860,201837722.8000,-2.652300
2025-04-23,13.6800,14.6500,13.6600,14.5000,36209099,517749628.6800,6.774700
2025-04-24,14.4000,14.9400,14.1400,14.2500,26099380,377854642.4000,-1.724100
2025-04-25,14.4300,15.0300,14.4300,14.8200,32447900,478785695.0400,4.000000
2025-04-28,14.7800,14.8300,14.3400,14.4400,20271000,294330493.2000,-2.564100
2025-04-29,14.3000,15.3600,14.2000,15.1200,35331976,528195711.1200,4.709100
2025-04-30,15.1700,15.7700,15.0000,15.5900,37942740,585551450.3300,3.108500
2025-05-06,15.8900,18.7000,15.5500,18.1100,69821224,1205215750.3400,16.164200
2025-05-07,18.2900,18.4000,17.2600,17.5700,54511104,959330063.2000,-2.981800
2025-05-08,17.5300,17.6500,17.1800,17.5300,37895064,660109559.2400,-0.227700
2025-05-09,17.3500,17.4500,16.6000,16.8600,28399044,479765418.1600,-3.822000
2025-05-12,17.1200,17.6800,17.1000,17.5000,38324340,666369584.1600,3.796000
2025-05-13,17.6800,17.9500,17.1700,17.2700,32025060,559639549.6000,-1.314300
2025-05-14,17.3100,17.5200,16.9600,17.0900,23227820,398600809.7600,-1.042300
2025-05-15,17.0500,17.0500,16.4700,16.5900,19250100,320165504.4000,-2.925700
2025-05-16,16.5000,17.3100,16.5000,16.9700,24813100,423625503.1600,2.290500
2025-05-19,16.9000,17.3900,16.3100,16.8900,20163272,336619499.4400,-0.471400
2025-05-20,17.1500,17.1800,16.5000,16.7200,16658508,279889517.0400,-1.006500
2025-05-21,16.5700,16.6800,16.1600,16.2800,17776160,289707126.0000,-2.631600
2025-05-22,16.2000,16.7700,16.1000,16.1800,17982660,294166256.4000,-0.614300
2025-05-23,16.2500,16.4600,15.7500,15.7700,17319148,278588519.5600,-2.534000
2025-05-26,15.1500,15.4800,15.0100,15.4500,17541416,267773977.3600,-2.029200
2025-05-27,15.4500,15.5200,15.0500,15.2200,13038080,198885550.8000,-1.488700
2025-05-28,15.1000,15.3600,14.9100,14.9900,12768500,192998830.9300,-0.728500
2025-05-29,14.9100,15.3500,14.9100,15.1200,11660940,177101843.8000,0.867200
2025-05-30,15.0100,15.0600,14.5500,14.6200,12270972,180525895.9200,-3.306900
2025-06-03,14.4600,14.7800,14.4600,14.6400,8701427,127541197.8100,0.136800
