date,open,high,low,close,volume,amount,pctChg
2025-01-02,8.7400,8.8600,8.4500,8.5800,17530508,151490075.9200,-1.605500
2025-01-03,8.6200,8.6700,8.1000,8.1300,18019180,150833387.6000,-5.244800
2025-01-06,8.1000,8.2900,7.9100,8.1300,13003400,105761782.0000,0.000000
2025-01-07,8.1800,8.3100,8.0800,8.3100,11468660,94130760.4000,2.214000
2025-01-08,8.2600,8.3100,7.9900,8.2400,13789404,112693072.0800,-0.842400
2025-01-09,8.1900,8.3900,8.1700,8.3200,11914980,98872596.8000,0.970900
2025-01-10,8.3300,8.3600,8.0600,8.0600,9737944,80068012.3600,-3.125000
2025-01-13,7.9200,8.1100,7.8700,8.0200,8729379,69706429.4000,-0.496300
2025-01-14,8.0700,8.6600,8.0300,8.6500,20746267,175046200.2700,7.855400
2025-01-15,8.5500,8.7000,8.5100,8.5600,10814100,92837511.0000,-1.040500
2025-01-16,8.6100,8.7300,8.4500,8.6500,13683349,117830775.2100,1.051400
2025-01-17,8.5700,8.6800,8.5000,8.6200,9205100,79146593.0000,-0.346800
2025-01-20,8.6900,9.1900,8.6200,9.0600,28966720,258921061.7600,5.104400
2025-01-21,9.0300,9.1500,8.9000,9.0500,21161923,190458567.6600,-0.110400
2025-01-22,9.0300,9.0300,8.8000,8.8700,14855349,132283241.0200,-1.989000
2025-01-23,9.0000,9.0700,8.8100,8.8100,17242324,154575774.7200,-0.676400
2025-01-24,8.7900,8.9500,8.7000,8.9300,13077420,115556018.2000,1.362100
2025-01-27,8.9700,9.0600,8.8100,8.8300,11207540,99694365.2000,-1.119800
2025-02-05,8.8400,8.8900,8.6700,8.7200,10326000,90162134.0000,-1.245800
2025-02-06,8.6900,9.0200,8.6700,9.0100,18998711,169688658.9400,3.325700
2025-02-07,9.0000,9.0800,8.8700,9.0100,21720220,195374385.0000,0.000000
2025-02-10,8.9800,9.0000,8.8800,8.9900,13937960,124624339.4000,-0.222000
2025-02-11,8.9800,9.4800,8.8200,9.4400,42037535,387595013.0800,5.005600
2025-02-12,9.3200,9.4200,9.2300,9.3300,22810407,211890502.8200,-1.165300
2025-02-13,9.2600,9.3700,9.1900,9.2100,16913925,156767191.0200,-1.286200
2025-02-14,9.1600,9.2500,9.0700,9.1400,13605404,124180040.4800,-0.760000
2025-02-17,9.2000,9.6500,9.0700,9.6000,38722544,364606732.1700,5.032800
2025-02-18,9.5000,10.0400,9.3700,9.7000,52992834,514162666.5800,1.041700
2025-02-19,9.6000,9.7300,9.5500,9.6900,27256741,262599637.3900,-0.103100
2025-02-20,9.6900,9.8200,9.5300,9.7000,23467407,226282920.1700,0.103200
2025-02-21,9.7000,9.7400,9.5300,9.6100,20965972,201785522.9100,-0.927800
2025-02-24,9.5800,9.5800,9.3700,9.4300,18506640,175024139.3600,-1.873000
2025-02-25,9.3700,9.7800,9.3000,9.5300,22636448,216997628.8000,1.060400
2025-02-26,9.5600,9.7800,9.5200,9.6700,21612264,208840110.7200,1.469000
2025-02-27,9.6700,10.1600,9.6000,10.1500,50886274,507228820.3000,4.963800
2025-02-28,9.9800,10.0600,9.4000,9.4200,35170004,340696762.5300,-7.192100
2025-03-03,9.4500,9.6600,9.3000,9.3700,19253688,183080333.1200,-0.530800
2025-03-04,9.3300,9.5000,9.2700,9.4500,16186180,152126654.3600,0.853800
2025-03-05,9.4000,9.8000,9.2200,9.7000,26677594,254425781.4900,2.645500
2025-03-06,9.7000,9.8400,9.6700,9.7500,22217068,216379118.0200,0.515500
2025-03-07,9.7500,9.9400,9.6300,9.7900,23606380,231275578.3000,0.410300
2025-03-10,9.8500,9.9600,9.7400,9.8500,21479532,211853078.2000,0.612900
2025-03-11,9.9700,11.7900,9.9700,11.0200,92912797,1010852196.5600,11.878200
2025-03-12,11.1300,11.3200,10.7300,10.8300,61958502,673698713.5400,-1.724100
2025-03-13,10.7100,10.8800,10.4000,10.5300,41982945,444178066.4500,-2.770100
2025-03-14,10.6500,11.5800,10.5900,11.4700,80429900,899807790.2900,8.926900
2025-03-17,11.4700,11.5000,11.1200,11.1800,47611600,534293561.0700,-2.528300
2025-03-18,11.1800,11.3700,11.0400,11.3100,35757354,400585528.7200,1.162800
2025-03-19,11.1500,11.2300,10.8400,10.9000,32362511,355279452.6400,-3.625100
2025-03-20,10.9000,11.2200,10.8800,11.0500,30234733,333569357.2900,1.376100
2025-03-21,11.0000,12.2600,10.9400,11.5000,63512362,737048536.2800,4.072400
2025-03-24,10.8400,11.0200,10.1000,10.5600,54190400,571900942.5600,-8.173900
2025-03-25,10.5600,11.3000,10.5000,10.8800,47160446,516751136.3600,3.030300
