date,open,high,low,close,volume,amount,pctChg
2025-01-02,19.9100,20.1200,19.2900,19.4800,5742300,113238673.0000,-2.208800
2025-01-03,19.5900,20.1500,19.3100,19.4000,6892600,135958761.0000,-0.410700
2025-01-06,19.4600,19.7800,19.0600,19.6200,5685250,110946746.0000,1.134000
2025-01-07,19.5600,20.1400,19.5000,20.0600,5780072,114766510.6600,2.242600
2025-01-08,19.9300,20.0600,19.4500,19.8400,4991427,98814328.6000,-1.096700
2025-01-09,19.6900,20.2300,19.6100,19.9700,4800700,96233298.0000,0.655200
2025-01-10,19.9800,20.0800,19.5100,19.5200,4757574,94169147.5600,-2.253400
2025-01-13,19.2700,19.9200,19.1000,19.7700,3406174,66855030.1800,1.280700
2025-01-14,19.7600,20.6000,19.7600,20.4900,5826900,118582377.5000,3.641900
2025-01-15,20.4900,20.5200,19.9500,20.0500,5234662,105153324.9500,-2.147400
2025-01-16,20.1000,20.4200,19.6100,19.9000,6068100,121423072.0000,-0.748100
2025-01-17,19.9200,20.9000,19.8200,20.1700,7846238,159348998.6700,1.356800
2025-01-20,20.2500,20.4500,20.0000,20.0800,4570643,92139534.1000,-0.446200
2025-01-21,20.1500,20.4100,19.6300,20.2600,6362853,127488944.6300,0.896400
2025-01-22,20.2400,20.5500,20.0100,20.2100,5663400,114792157.0000,-0.246800
2025-01-23,20.4800,20.6000,20.0500,20.0500,5381807,109020756.1900,-0.791700
2025-01-24,20.0000,20.3400,19.8500,20.2400,3995200,80705201.0000,0.947600
2025-01-27,20.2500,20.3500,19.4600,19.4800,5694887,112868707.7600,-3.754900
2025-02-05,19.7100,21.0000,19.5800,20.4700,12072207,246139329.8900,5.082100
2025-02-06,20.2500,20.6500,19.9200,20.5200,7914142,160540858.3100,0.244300
2025-02-07,20.5000,21.4700,20.5000,21.0500,11858831,249193978.0200,2.582800
2025-02-10,21.1600,21.2300,20.2200,20.6000,12139203,248866883.7600,-2.137800
2025-02-11,20.5200,20.5500,19.9700,20.0900,7947300,159794434.0000,-2.475700
2025-02-12,20.0200,20.4500,19.9200,20.4100,6489800,131226305.0000,1.592800
2025-02-13,20.4100,20.5600,20.1800,20.2200,6520600,132873246.0000,-0.930900
2025-02-14,20.2000,20.6100,20.1200,20.2900,5935755,121034210.5400,0.346200
2025-02-17,20.2900,20.3700,19.9200,20.1000,6981984,140458722.5400,-0.936400
2025-02-18,20.1400,20.2200,19.3100,19.4300,8917284,175700939.1400,-3.333300
2025-02-19,19.3100,19.8900,19.2300,19.8100,5574796,109840114.8200,1.955700
2025-02-20,19.8200,20.6500,19.7000,20.2300,9288635,189059925.8000,2.120100
2025-02-21,20.1600,20.4400,19.9500,20.1700,6654600,133917589.0000,-0.296600
2025-02-24,20.1400,20.4300,19.8900,20.1800,6369700,128663487.0000,0.049600
2025-02-25,20.1600,22.5000,19.9400,21.6100,23996097,513892128.9900,7.086200
2025-02-26,21.5100,22.1600,21.5100,21.7400,11917009,260000698.4300,0.601600
2025-02-27,21.8500,22.2500,21.2200,21.8000,9166651,198575021.8000,0.276000
2025-02-28,21.7200,21.9500,21.3100,21.4600,8960500,193567827.8300,-1.559600
2025-03-03,21.4600,22.9400,21.3100,22.1500,15768214,352947519.4400,3.215300
2025-03-04,22.1500,22.3500,21.7600,22.2400,7648893,168873044.0500,0.406300
2025-03-05,22.1700,22.6000,21.6700,21.8400,6543312,143882416.6000,-1.798600
2025-03-06,22.0200,22.8700,21.8500,22.4500,10949209,246781371.0700,2.793000
