date,open,high,low,close,volume,amount,pctChg
2025-01-02,19.0900,19.1400,18.1900,18.4300,11264400,210782265.2100,-3.709500
2025-01-03,18.4600,18.7400,17.8800,17.9800,11701860,214518240.0400,-2.441700
2025-01-06,17.8900,18.1600,17.6000,17.7700,9828281,175370360.6500,-1.168000
2025-01-07,17.7700,18.2700,17.5100,18.0400,12557589,224015361.6400,1.519400
2025-01-08,17.9100,17.9300,17.1000,17.6900,15186301,266396342.7000,-1.940100
2025-01-09,17.5700,18.0000,17.5000,17.7300,10796025,192076868.0000,0.226100
2025-01-10,17.7700,17.9700,17.2600,17.2600,8473382,149281874.2000,-2.650900
2025-01-13,17.1300,17.5100,17.0300,17.3700,7920900,137087168.0000,0.637300
2025-01-14,17.4900,18.4600,17.3500,18.4100,13195583,237205326.8500,5.987300
2025-01-15,18.3200,18.4500,18.0700,18.2000,8674400,157790998.0000,-1.140700
2025-01-16,18.3000,18.7000,18.0000,18.2500,8884474,163086309.0000,0.274700
2025-01-17,18.2500,18.4500,18.0200,18.2900,8587270,156666312.3000,0.219200
2025-01-20,18.4500,18.8500,18.4500,18.6100,10892225,203062752.5000,1.749600
2025-01-21,18.7800,18.8500,18.1100,18.3000,10794531,197520161.3200,-1.665800
2025-01-22,18.2000,18.3000,18.0000,18.1200,7572909,137348959.0800,-0.983600
2025-01-23,18.3400,18.6500,18.1000,18.1200,11972723,220213996.2600,0.000000
2025-01-24,18.2600,18.9400,18.2100,18.8000,18313224,342118510.5600,3.752800
2025-01-27,18.9400,19.1700,18.3200,18.3200,13036972,243002435.5600,-2.553200
2025-02-05,18.4700,18.5500,18.1400,18.2700,11244236,206215185.6800,-0.272900
2025-02-06,18.2100,19.0100,18.1400,19.0100,14861725,278217398.2500,4.050400
2025-02-07,19.0100,19.6600,18.9000,19.3600,18090797,349283646.0100,1.841100
2025-02-10,19.4300,19.5000,19.0600,19.3400,15483103,298250332.9900,-0.103300
2025-02-11,19.4000,20.6800,19.0300,20.4700,34349463,682931000.5200,5.842800
2025-02-12,20.2700,21.0100,20.0300,20.8700,31142067,642026892.6100,1.954100
2025-02-13,21.1800,21.2500,20.2900,20.3300,22872225,473600908.8900,-2.587400
2025-02-14,20.2400,20.7700,20.1800,20.2700,15812101,323117937.5200,-0.295100
2025-02-17,20.3400,20.6700,19.9000,20.1300,17732943,357226962.0000,-0.690700
2025-02-18,20.3800,21.2000,20.1500,20.5400,32872373,682109100.4000,2.036800
2025-02-19,20.3400,21.0400,20.0800,20.9100,25831133,535962711.5900,1.801400
2025-02-20,20.7700,21.3800,20.5100,21.2300,22038095,462240866.2000,1.530400
2025-02-21,21.2900,21.7000,21.1600,21.4300,25876225,554838266.0400,0.942100
2025-02-24,21.2700,21.5500,21.0200,21.2100,17798355,377491457.6200,-1.026600
2025-02-25,20.9200,21.3000,20.7800,20.9900,16507641,347492244.5000,-1.037200
2025-02-26,21.0000,21.6300,20.9500,21.4100,19061932,407114840.2700,2.001000
2025-02-27,21.4100,21.9600,21.1600,21.6900,26977827,582625927.3500,1.307800
2025-02-28,21.4500,21.5700,20.5100,20.5900,24223955,508295161.9600,-5.071500
2025-03-03,20.9600,22.3500,20.6800,21.9000,37565931,817807813.4600,6.362300
2025-03-04,21.5500,21.5900,20.9500,21.1200,22681908,479485253.9200,-3.561600
2025-03-05,21.7200,22.1300,21.0800,21.5000,20520698,441119611.7600,1.799200
2025-03-06,21.5600,22.0300,21.5600,21.8600,26856682,585799268.3700,1.674400
2025-03-07,21.9200,21.9400,21.1700,21.2700,19051364,408242487.4300,-2.699000
2025-03-10,21.6000,22.6000,21.4500,22.2800,31938989,707507161.0700,4.748500
2025-03-11,21.9200,23.1500,21.8100,22.9800,33819011,766619685.2900,3.141800
2025-03-12,22.9800,23.1200,22.5400,22.8300,21896193,499262929.4700,-0.652700
