date,open,high,low,close,volume,amount,pctChg
2025-01-02,6.9300,6.9900,6.6300,6.7200,10264700,69862831.0000,-1.754400
2025-01-03,6.7300,6.7800,6.2300,6.2600,13920465,89740587.8000,-6.845200
2025-01-06,6.1900,6.2900,5.9800,6.2200,12191339,75272257.8600,-0.639000
2025-01-07,6.2000,6.4500,6.2000,6.4400,10663650,67423859.0000,3.537000
2025-01-08,6.4000,6.5900,6.1700,6.5000,13107650,83917678.0000,0.931700
2025-01-09,6.5400,6.6600,6.4700,6.5800,11076874,72888312.6800,1.230800
2025-01-10,6.5200,6.6700,6.2800,6.2900,11068600,72192057.0000,-4.407300
2025-01-13,6.1900,6.5000,6.0100,6.4400,10978250,69277558.5000,2.384700
2025-01-14,6.5300,6.9800,6.5100,6.9800,19901882,135530955.4400,8.385100
2025-01-15,6.9600,7.0300,6.8700,6.9200,11300950,78391302.5000,-0.859600
2025-01-16,6.9600,7.0900,6.8000,6.9000,10880675,75435727.5000,-0.289000
2025-01-17,6.8500,6.9900,6.8100,6.8500,8479282,58306907.1600,-0.724600
2025-01-20,6.9100,6.9200,6.7200,6.8200,8692075,59337457.2500,-0.438000
2025-01-21,6.8500,6.9000,6.6800,6.7100,9498653,63990301.9800,-1.612900
2025-01-22,6.6500,6.6600,6.5200,6.5700,8699596,57221552.4700,-2.086400
2025-01-23,6.6600,6.9100,6.6300,6.6300,12488700,84528329.2500,0.913200
2025-01-24,6.6200,6.7500,6.4800,6.7500,10496400,69561765.5000,1.810000
2025-01-27,6.8000,6.8300,6.5600,6.5600,8347275,55838363.7500,-2.814800
2025-02-05,6.6000,6.8500,6.6000,6.7800,11242482,76070329.7400,3.353700
2025-02-06,6.7200,7.0200,6.7200,7.0100,13640284,94329656.8000,3.392300
2025-02-07,7.0100,7.1200,6.9100,7.0200,16923575,118943588.5000,0.142700
2025-02-10,7.0200,7.2200,6.9900,7.1900,15434343,109681789.3000,2.421700
2025-02-11,7.1600,7.1700,7.0100,7.1000,10550100,74532459.0700,-1.251700
2025-02-12,7.0500,7.5100,7.0500,7.4400,34134199,251145316.7000,4.788700
2025-02-13,7.2900,7.4500,7.1800,7.2200,23774475,173458510.9300,-2.957000
2025-02-14,7.2100,7.2100,7.0700,7.1200,14699730,104803704.2100,-1.385000
2025-02-17,7.1300,7.3600,7.1300,7.3300,17203700,125212694.7500,2.949400
2025-02-18,7.3500,7.3500,7.0400,7.0500,15575125,111675184.2500,-3.819900
2025-02-19,7.1100,7.5000,7.0500,7.5000,24343775,178888772.0000,6.383000
2025-02-20,7.7500,8.1600,7.5200,7.9000,48211095,375834261.7800,5.333300
2025-02-21,7.7300,7.9200,7.6500,7.8200,28373949,220500880.1400,-1.012700
2025-02-24,7.7800,7.8300,7.6000,7.6900,20233516,155568868.9700,-1.662400
2025-02-25,7.6000,7.7900,7.5000,7.6200,17045724,130806954.2100,-0.910300
2025-02-26,7.7600,8.1800,7.7600,8.1300,38882175,309906412.7700,6.692900
2025-02-27,8.0500,8.0600,7.7000,7.8600,27194150,214160342.0000,-3.321000
2025-02-28,7.9500,8.3600,7.4900,7.5300,28192534,223991838.5800,-4.198500
2025-03-03,7.5600,7.7000,7.3100,7.3800,18594325,139614902.5100,-1.992000
2025-03-04,7.3800,7.8200,7.3400,7.7600,21591942,165180817.4700,5.149100
2025-03-05,8.0200,8.2800,7.7600,7.9000,31450410,251799799.2500,1.804100
2025-03-06,7.8800,8.0100,7.7600,7.8900,24581175,193867317.2500,-0.126600
2025-03-07,7.8400,7.9400,7.6700,7.7400,18448649,143834593.1500,-1.901100
2025-03-10,7.7000,7.8800,7.6100,7.6800,14282674,110205349.5600,-0.775200
2025-03-11,7.5500,8.0300,7.5200,7.8100,17735075,137831719.7500,1.692700
2025-03-12,7.8100,7.8600,7.7300,7.7700,14944625,116425149.7500,-0.512200
2025-03-13,7.7700,7.7700,7.3900,7.5400,16200500,121806710.0000,-2.960100
2025-03-14,7.5800,7.5900,7.3400,7.5700,12593765,94299026.0000,0.397900
2025-03-17,7.5400,7.6000,7.4900,7.5400,8779400,66231926.0000,-0.396300
2025-03-18,7.4400,7.4400,7.2500,7.3600,20035325,146713387.1100,-2.387300
2025-03-19,7.3100,7.5300,7.2800,7.3800,14397649,106423809.4300,0.271700
2025-03-20,7.4900,7.7600,7.4700,7.5500,24351315,185353180.3500,2.303500
2025-03-21,7.4800,7.5100,7.1700,7.2100,17090125,124491364.7500,-4.503300
2025-03-24,7.1600,7.2200,6.6100,6.7900,17083285,116897774.5000,-5.825200
2025-03-25,6.7800,6.9000,6.7100,6.7900,8902825,60595924.2500,0.000000
2025-03-26,6.7900,7.0300,6.7600,6.9400,10111600,70307779.0000,2.209100
2025-03-27,6.9500,7.0200,6.7900,6.8800,9956800,68696447.0000,-0.864600
2025-03-28,6.8600,6.9600,6.6600,6.6800,7819800,52892357.0000,-2.907000
2025-03-31,6.7100,6.7200,6.4600,6.6200,8169275,53672771.5000,-0.898200
2025-04-01,6.6200,6.7400,6.6200,6.6700,6806075,45476323.0000,0.755300
2025-04-02,6.7100,6.7800,6.6300,6.6600,5535200,37120500.0000,-0.149900
2025-04-03,6.6100,6.7500,6.6100,6.7000,7689100,51536186.0000,0.600600
2025-04-07,6.2400,6.3000,5.3600,5.3600,18198535,104546707.1000,-20.000000
2025-04-08,5.4300,5.7500,5.4300,5.5800,14158874,78995473.5000,4.104500
2025-04-09,5.4400,5.8900,5.0200,5.7900,17068524,93739210.7400,3.763400
2025-04-10,6.1000,6.3300,5.9200,6.0900,14932800,91460149.6500,5.181300
2025-04-11,6.0000,6.5800,6.0000,6.2100,22793694,143177987.8100,1.970400
2025-04-14,6.2800,6.3600,6.2000,6.2500,14262375,89483640.0000,0.644100
2025-04-15,6.2500,6.3800,6.1500,6.3800,11506575,71851565.7500,2.080000
2025-04-16,6.3700,6.8800,6.0200,6.1100,22604877,143550463.6000,-4.232000
2025-04-17,6.1000,6.1600,5.9500,6.0300,11642025,70914740.2500,-1.309300
2025-04-18,6.1000,6.3500,6.0500,6.2100,15550234,96698294.1600,2.985100
2025-04-21,6.2900,6.3500,6.1200,6.3100,11026550,69085548.5000,1.610300
2025-04-22,6.3100,6.4500,6.3000,6.3700,8965300,57107959.0000,0.950900
2025-04-23,6.3700,6.5900,6.3700,6.5700,13725375,89160186.0000,3.139700
2025-04-24,6.5800,6.5800,6.3600,6.4300,9563425,61615676.7500,-2.130900
2025-04-25,6.4000,6.4900,6.3500,6.4400,7411125,47615399.0000,0.155500
2025-04-28,6.5400,6.5400,6.3500,6.4200,7247000,46550487.0000,-0.310600
2025-04-29,6.3900,6.5800,6.3300,6.5200,9181591,59897631.9500,1.557600
2025-04-30,6.5700,6.6800,6.5200,6.6400,7668800,50823685.0000,1.840500
2025-05-06,6.7400,6.8500,6.7000,6.8400,9473100,64346146.0000,3.012000
2025-05-07,6.9100,6.9800,6.7600,6.8400,12581350,86523155.2200,0.000000
2025-05-08,6.8000,6.9400,6.8000,6.9000,8065094,55587532.0800,0.877200
2025-05-09,6.9300,6.9400,6.7700,6.8300,8436700,57693408.0000,-1.014500
2025-05-12,6.9000,6.9900,6.8500,6.9600,8914548,61915289.6400,1.903400
2025-05-13,7.0000,7.1700,6.9200,6.9500,13015900,91552367.7500,-0.143700
2025-05-14,6.9000,6.9800,6.8600,6.9300,7696075,53157794.7500,-0.287800
2025-05-15,6.9300,6.9500,6.8300,6.8500,5921250,40698907.5000,-1.154400
2025-05-16,6.8000,6.9400,6.8000,6.8800,6616425,45648084.7500,0.438000
2025-05-19,6.9600,7.0200,6.8800,6.9600,7150250,49657919.5000,1.162800
2025-05-20,6.9600,7.4000,6.8900,7.3500,25402425,182926455.7500,5.603400
2025-05-21,7.2400,7.9500,7.1000,7.6600,43272800,323314947.7500,4.217700
2025-05-22,7.4900,7.6000,7.2900,7.3500,28301825,209747546.2500,-4.047000
2025-05-23,7.2500,7.3200,7.0300,7.0700,19161650,137499652.5000,-3.809500
2025-05-26,7.0700,7.8000,7.0200,7.6100,32093804,240660015.5300,7.637900
2025-05-27,7.5500,7.9500,7.5200,7.7000,38218175,296839250.2500,1.182700
2025-05-28,7.8600,8.1600,7.6600,7.7000,33436967,262076550.1200,0.000000
2025-05-29,7.8500,8.1600,7.7100,8.0100,39100650,311624897.5000,4.026000
2025-05-30,7.8900,7.9700,7.4600,7.5300,30969500,234977621.0000,-5.992500
2025-06-03,7.4600,7.6100,7.4000,7.5500,16375800,123424231.7500,0.265600
2025-06-04,7.5300,7.5600,7.3200,7.3600,17185025,126663510.2500,-2.516600
2025-06-05,7.3900,7.4000,7.2500,7.3600,11998499,87836936.1700,0.000000
2025-06-06,7.3500,7.3500,7.2200,7.2700,10855749,78945957.2500,-1.222800
