date,open,high,low,close,volume,amount,pctChg
2025-01-02,33.9800,33.9800,32.1700,32.5200,1713750,56577643.5000,-3.872300
2025-01-03,32.6000,33.0200,31.1400,31.2400,1903200,60966970.0000,-3.936000
2025-01-06,31.7000,31.8100,30.6700,31.4300,1370500,43003955.0000,0.608200
2025-01-07,31.4400,32.1500,31.2100,32.0400,1143700,36258755.0000,1.940800
2025-01-08,32.0400,32.2000,30.8000,31.9400,1490400,47187155.0000,-0.312100
2025-01-09,31.7000,32.9900,31.4800,32.1700,1346100,43519525.0000,0.720100
2025-01-10,32.2700,32.7000,31.4800,31.4800,1301450,41893091.5000,-2.144900
2025-01-13,31.1700,32.1300,30.6800,32.0000,1300850,40971260.0000,1.651800
2025-01-14,32.0800,33.0000,32.0200,32.9600,1596250,52078121.0000,3.000000
2025-01-15,32.9400,33.1000,32.4100,32.4900,1070200,34953027.0000,-1.426000
2025-01-16,33.0000,33.0000,32.1700,32.5700,1184750,38627255.0000,0.246200
2025-01-17,32.5000,32.8500,32.2300,32.5900,845250,27544042.0000,0.061400
2025-01-20,32.8000,33.0000,32.5900,32.7500,868600,28487561.5000,0.490900
2025-01-21,33.0400,33.1000,32.3000,32.7700,1007000,32792579.0000,0.061100
2025-01-22,32.7500,32.7500,32.2500,32.4000,767250,24904063.0000,-1.129100
2025-01-23,32.7600,33.1700,32.4200,32.4700,1301700,42710495.5000,0.216000
2025-01-24,32.4000,32.7500,32.2300,32.6200,802700,26166339.0000,0.462000
2025-01-27,32.5800,32.8400,31.6000,31.7000,1115600,35949973.0000,-2.820400
2025-02-05,32.0700,32.2000,31.6600,31.9000,839500,26744442.0000,0.630900
2025-02-06,31.9000,32.8600,31.7100,32.8400,1181200,38392727.0000,2.946700
2025-02-07,32.8400,33.4700,32.6500,33.1000,1546950,51285400.5000,0.791700
2025-02-10,33.2200,33.6700,33.1000,33.5600,1120700,37517554.5000,1.389700
2025-02-11,33.7400,33.7600,33.0400,33.3100,1120300,37257641.5000,-0.744900
2025-02-12,33.1900,33.6000,33.1300,33.4400,1135200,37834288.0000,0.390300
2025-02-13,33.4300,33.5100,32.6900,32.8000,1405250,46349397.0000,-1.913900
2025-02-14,32.6000,32.8800,32.3800,32.7200,1166100,38041089.0000,-0.243900
2025-02-17,32.9800,33.1000,32.5400,33.0300,1171400,38553011.5000,0.947400
2025-02-18,32.8900,33.1500,31.7100,31.8400,1397900,45262916.0000,-3.602800
2025-02-19,32.0000,33.0100,31.8400,32.8700,1564250,50975663.5000,3.234900
2025-02-20,32.9800,34.1700,32.9500,33.8800,2369250,79862571.0000,3.072700
2025-02-21,34.2100,34.5300,33.5000,34.0300,1820550,61551349.5000,0.442700
2025-02-24,33.7900,34.0700,33.5700,33.9600,1370500,46402511.5000,-0.205700
2025-02-25,33.5700,34.2700,33.5700,33.8000,1335650,45306402.0000,-0.471100
2025-02-26,33.8400,34.1500,33.5500,33.7700,1312750,44327236.5000,-0.088800
2025-02-27,34.1000,34.2600,33.0800,33.8300,1566250,52786144.5000,0.177700
