date,open,high,low,close,volume,amount,pctChg
2025-01-02,10.5800,10.8400,10.2100,10.4400,3615000,38203352.0000,-1.694900
2025-01-03,10.4300,10.6500,9.8400,9.8500,3675200,37171784.0000,-5.651300
2025-01-06,9.7700,9.9600,9.3600,9.7900,3167040,30827451.6000,-0.609100
2025-01-07,9.8900,10.2000,9.8600,10.2000,3611800,36273873.0000,4.187900
2025-01-08,10.2500,10.3600,9.8400,10.2700,3607800,36671915.0000,0.686300
2025-01-09,10.2000,10.4000,10.1600,10.3600,2460000,25435272.0000,0.876300
2025-01-10,10.3000,10.5700,10.0000,10.0000,3781700,39186117.8100,-3.474900
2025-01-13,9.9100,10.5200,9.7000,10.2200,4265000,43190477.0000,2.200000
2025-01-14,10.2500,12.2600,10.2500,12.2600,9890500,117032848.0000,19.960900
2025-01-15,13.1600,13.5100,12.2900,12.3200,31232270,398438456.9600,0.489400
2025-01-16,12.0800,12.4800,11.8100,11.8300,21107221,255076690.6300,-3.977300
2025-01-17,11.7900,12.2400,11.7200,11.8600,12235774,146023943.8100,0.253600
2025-01-20,11.7800,12.0300,11.7100,11.8300,8813556,104207538.3400,-0.253000
2025-01-21,11.8300,12.0800,11.7000,12.0700,12925734,154521786.7800,2.028700
2025-01-22,11.9300,12.4900,11.6400,12.3300,16444249,200438215.9400,2.154100
2025-01-23,12.3400,12.5500,12.1100,12.1400,14133087,174168436.6500,-1.541000
2025-01-24,12.0100,12.2500,11.7700,12.2400,11005180,132333705.6000,0.823700
2025-01-27,12.1600,12.2500,11.7100,11.7600,7581000,90139886.2400,-3.921600
2025-02-05,11.7400,11.9500,11.7000,11.8600,5870624,69378504.4800,0.850300
2025-02-06,11.7500,12.4000,11.7400,12.4000,9763600,118732381.0000,4.553100
2025-02-07,12.4100,12.5900,12.1100,12.3000,11459100,141897245.0000,-0.806500
2025-02-10,12.4300,12.6100,12.1700,12.5800,10312400,128037747.6000,2.276400
2025-02-11,12.5000,12.5200,12.3000,12.3700,6384300,78935431.0000,-1.669300
2025-02-12,12.3300,12.5400,12.2200,12.4800,7277100,90192396.0000,0.889200
2025-02-13,12.7500,12.9000,12.1500,12.1500,9469500,117548227.0000,-2.644200
2025-02-14,12.0700,12.2000,11.8800,11.9200,7423700,89387555.0000,-1.893000
2025-02-17,11.8900,12.1900,11.8500,12.1100,7207700,86824971.0000,1.594000
2025-02-18,12.1400,13.2200,12.0300,13.1900,21329281,268419559.9200,8.918200
2025-02-19,12.8000,13.6800,12.6800,13.2000,24103804,316575324.6500,0.075800
2025-02-20,13.2300,14.7600,12.9400,13.8900,29466307,405971725.1500,5.227300
2025-02-21,13.6600,14.2800,13.3800,14.1100,22034445,304146012.1600,1.583900
2025-02-24,13.8600,13.9800,13.4600,13.7100,13238600,181167510.3200,-2.834900
2025-02-25,13.4300,13.7500,13.3100,13.5000,10908274,147708813.3600,-1.531700
2025-02-26,13.6000,16.2000,13.5000,16.2000,20846994,318725171.6800,20.000000
2025-02-27,16.4400,18.7000,15.5900,18.0000,47470299,806272888.8400,11.111100
2025-02-28,16.7700,17.1200,15.3800,15.7100,28055026,453784072.4500,-12.722200
2025-03-03,15.3700,15.5500,14.6100,14.8500,20372966,306688414.3300,-5.474200
2025-03-04,14.5600,15.7000,14.4900,15.3900,19132153,289703478.6900,3.636400
2025-03-05,15.0800,15.8200,14.8600,15.5900,17167498,263046318.0400,1.299500
2025-03-06,15.4400,16.4600,15.3200,16.1900,23705732,375700026.8000,3.848600
2025-03-07,15.9000,16.5000,15.5900,16.1200,17664808,281402062.3200,-0.432400
2025-03-10,16.1200,16.8800,15.4000,15.6800,15733571,253099157.3000,-2.729500
2025-03-11,14.8500,15.5400,14.8500,15.2900,11785388,178888811.5400,-2.487200
2025-03-12,15.3400,15.3900,15.0800,15.0800,10355286,157625106.6000,-1.373400
2025-03-13,15.0400,15.2200,14.2500,14.6300,11574656,169086453.5100,-2.984100
2025-03-14,14.5400,14.9300,14.2600,14.9200,8387600,122993326.0000,1.982200
2025-03-17,14.9200,14.9900,14.6100,14.9000,6803820,100807539.8000,-0.134000
2025-03-18,15.0000,15.9300,14.8200,15.8300,19725956,305587090.8800,6.241600
2025-03-19,15.6800,17.6400,15.6100,16.8200,30230455,503822672.7200,6.253900
2025-03-20,16.5300,18.3800,16.5000,17.4200,32882871,575503710.6700,3.567200
2025-03-21,17.1500,17.2400,15.8800,16.1400,22083960,359424833.2500,-7.347900
2025-03-24,16.3000,16.3400,14.8700,15.3000,13802740,213020078.6000,-5.204500
2025-03-25,15.4100,15.9800,14.6000,14.6600,12271800,185172731.0000,-4.183000
2025-03-26,14.5200,16.7900,14.5200,16.0600,21257580,337586613.0000,9.549800
2025-03-27,16.0600,16.0600,15.0700,15.2700,13647100,211540456.8000,-4.919100
2025-03-28,15.2800,15.8000,14.8000,14.8800,13676820,208112639.4000,-2.554000
2025-03-31,14.5200,15.0800,14.1300,14.9300,12131020,176237068.6000,0.336000
2025-04-01,15.2100,15.3500,14.0300,14.0300,11508900,165868443.7000,-6.028100
2025-04-02,13.8200,15.1800,13.8200,14.3900,13817600,200657422.0000,2.565900
2025-04-03,14.1700,14.4600,13.7600,13.9300,8014700,112800145.0000,-3.196700
2025-04-07,12.1100,12.8700,11.1400,11.1400,11183660,131100395.4000,-20.028700
2025-04-08,11.3600,12.1000,11.2400,11.6100,10554500,122983379.0000,4.219000
2025-04-09,11.3700,12.1100,10.3300,11.9900,9562255,108715378.2500,3.273000
2025-04-10,12.4500,12.9800,12.3700,12.4200,8077400,101872296.0000,3.586300
2025-04-11,12.2900,12.8200,12.2900,12.5800,5537784,69956834.6400,1.288200
