date,open,high,low,close,volume,amount,pctChg
2025-01-02,10.4900,10.7800,10.1100,10.2200,14788758,153818036.6800,-2.480900
2025-01-03,10.2800,10.3800,9.2000,9.2400,19102830,183259061.9800,-9.589000
2025-01-06,9.1700,9.4800,8.7800,9.3500,12933972,119358153.1900,1.190500
2025-01-07,9.3400,9.6800,9.2300,9.6700,10402223,99000579.8600,3.422500
2025-01-08,9.6100,9.6800,9.0600,9.5000,11290200,106475436.3800,-1.758000
2025-01-09,9.5500,9.9500,9.5000,9.7400,12850058,126139220.3400,2.526300
2025-01-10,9.6800,9.8900,9.2900,9.3000,9808384,94498415.3000,-4.517500
2025-01-13,9.1800,9.4000,8.8800,9.3000,6968192,63818295.5800,0.000000
2025-01-14,9.3400,10.0100,9.3400,10.0100,10642488,103907579.8200,7.634400
2025-01-15,10.0600,10.1400,9.8000,9.8500,8246720,81738508.2000,-1.598400
2025-01-16,9.9300,10.1100,9.6500,9.8200,6583111,65013449.5800,-0.304600
2025-01-17,9.8900,10.2800,9.7300,10.0000,8415513,84410420.7600,1.833000
2025-01-20,10.1900,10.2700,9.9900,10.2100,8243795,83698474.8200,2.100000
2025-01-21,10.2300,10.3800,10.0800,10.3100,6950761,71047514.7300,0.979400
2025-01-22,10.1800,10.2900,10.0700,10.1500,5389100,54784603.0000,-1.551900
2025-01-23,10.1800,10.4300,10.0700,10.1300,9515900,97943583.0000,-0.197000
2025-01-24,10.1300,10.6600,10.1300,10.6600,15232362,159054051.2000,5.232000
2025-01-27,10.6900,10.7600,10.2600,10.3000,9966023,103943236.1300,-3.377100
2025-02-05,10.6400,11.1200,10.5100,10.8400,17219549,186645949.8300,5.242700
2025-02-06,11.0400,11.8000,11.0000,11.4500,28921198,332331639.1500,5.627300
2025-02-07,11.3100,11.3800,11.0100,11.1500,25827321,289801500.3000,-2.620100
2025-02-10,11.2100,11.3300,11.0300,11.2100,14433258,160869878.2400,0.538100
2025-02-11,11.1800,11.3500,11.1200,11.2500,13362923,150153765.5300,0.356800
2025-02-12,11.2500,11.3200,11.1100,11.2600,11744852,131937913.3000,0.088900
2025-02-13,11.3000,11.3000,10.9500,11.0100,9956966,110221525.8800,-2.220200
2025-02-14,11.0000,11.0100,10.8100,10.8800,9485769,103409023.0600,-1.180700
2025-02-17,10.8800,11.4500,10.8800,11.4400,16520249,185167100.6400,5.147100
2025-02-18,11.4600,11.6300,11.0800,11.1900,18530565,210449974.0300,-2.185300
2025-02-19,11.1000,11.8300,11.0200,11.7200,26997160,313897788.7600,4.736400
2025-02-20,11.8000,14.0600,11.6500,14.0600,67888208,889834725.1000,19.965900
2025-02-21,13.9200,14.3400,13.2600,13.5800,67756975,923482605.8800,-3.413900
2025-02-24,13.4000,13.5900,12.7000,13.0100,44084561,569618769.0500,-4.197300
2025-02-25,13.4000,13.8800,13.2000,13.4400,53201627,718995853.8300,3.305100
2025-02-26,13.1700,14.7500,12.8700,14.7500,60803402,835005657.0500,9.747000
2025-02-27,14.3000,14.3200,13.3000,13.5000,38735761,534175991.4700,-8.474600
2025-02-28,13.3800,13.5500,12.4500,12.5500,25246112,326734653.0700,-7.037000
2025-03-03,12.6200,12.9000,12.3000,12.4900,15287331,192392249.0500,-0.478100
2025-03-04,12.3800,12.7700,12.3300,12.7100,13486030,170408279.1500,1.761400
2025-03-05,12.7000,13.8500,12.5100,13.6800,33301196,442184046.5700,7.631800
2025-03-06,13.6700,15.9700,13.5000,14.9000,55470076,799965606.9000,8.918100
2025-03-07,14.6000,15.4200,14.4500,14.8500,42926480,637863788.5600,-0.335600
2025-03-10,14.6000,14.8000,13.8000,13.8300,28700172,403425039.8700,-6.868700
2025-03-11,13.7500,14.0100,13.4400,13.7300,19835694,271028323.6600,-0.723100
2025-03-12,13.9800,14.3300,13.8100,13.8900,24583135,345138042.9800,1.165300
2025-03-13,13.9500,14.0900,13.0700,13.3600,20451869,274213298.0600,-3.815700
2025-03-14,13.3100,14.1900,13.1800,14.0600,25806522,355662565.9100,5.239500
2025-03-17,13.9000,14.1200,13.6600,13.8100,17413017,240584838.9800,-1.778100
2025-03-18,13.8000,14.1500,13.6000,14.0800,22301008,309775404.1000,1.955100
2025-03-19,13.7900,13.9400,13.3300,13.3900,25451576,345360135.3300,-4.900600
2025-03-20,13.1400,13.3500,12.9600,12.9700,25151549,329481107.5400,-3.136700
2025-03-21,12.8000,12.8800,12.2700,12.3300,20754359,258709887.0500,-4.934500
2025-03-24,12.3300,12.3500,11.5100,11.9300,18758865,223372125.7300,-3.244100
2025-03-25,11.8500,11.9500,11.6100,11.8100,11783335,138896787.2400,-1.005900
2025-03-26,11.7900,12.3000,11.7500,12.1500,17749997,214015184.0600,2.878900
2025-03-27,12.0800,12.1500,11.7200,11.8700,14467753,172127702.7100,-2.304500
2025-03-28,11.8000,11.9900,11.5800,11.6400,11336028,133392676.8700,-1.937700
2025-03-31,11.4500,11.5300,11.1000,11.4900,12545314,141794730.0000,-1.288700
