date,open,high,low,close,volume,amount,pctChg
2025-01-02,9.8800,9.9600,9.3800,9.4900,21517025,207593695.0000,-4.814400
2025-01-03,9.7000,9.7300,8.9300,8.9400,18751900,172498999.0000,-5.795600
2025-01-06,8.8700,9.0900,8.4000,8.8800,18110995,159512049.9500,-0.671100
2025-01-07,9.0600,9.3000,8.9300,9.3000,17961945,164493652.7500,4.729700
2025-01-08,9.2800,9.5500,8.9100,9.4100,20922300,194121598.0000,1.182800
2025-01-09,9.4100,9.5400,9.3300,9.4400,13988775,132336385.5000,0.318800
2025-01-10,9.4400,9.5700,8.8900,8.8900,13743275,126980537.7500,-5.826300
2025-01-13,8.8100,9.0400,8.4600,9.0000,12743221,112190878.0700,1.237300
2025-01-14,9.2500,9.7000,9.0500,9.6800,18308295,173324604.7500,7.555600
2025-01-15,9.6900,9.7900,9.5100,9.5800,13039405,125708485.4000,-1.033100
2025-01-16,9.6500,10.0000,9.5600,9.6700,15030300,146880398.0000,0.939500
2025-01-17,9.6000,9.7000,9.5000,9.5700,9589600,91986548.0000,-1.034100
2025-01-20,9.7500,9.8500,9.4100,9.5400,10650800,102299279.0000,-0.313500
2025-01-21,9.6000,9.6300,9.2400,9.3300,10762325,100602807.2500,-2.201300
2025-01-22,9.2700,9.2700,9.0300,9.0900,9204750,83957988.5000,-2.572300
2025-01-23,9.2500,9.6000,8.9900,9.0000,12794275,119212915.7500,-0.990100
2025-01-24,9.0200,9.3100,8.9100,9.2600,11485800,105049929.9000,2.888900
2025-01-27,9.2900,9.4100,8.9000,8.9500,11476700,104331377.0000,-3.347700
2025-02-05,9.0900,9.4500,9.0300,9.2700,12168000,112874803.0000,3.575400
2025-02-06,9.3800,9.6800,9.1600,9.6700,15345300,145211357.0000,4.315000
2025-02-07,9.7100,10.1400,9.6500,9.9700,21571285,213520528.3000,3.102400
2025-02-10,10.0000,10.3800,10.0000,10.3700,17963500,183630212.0000,4.012000
2025-02-11,10.3200,10.3500,10.0800,10.1600,14249000,144688581.0000,-2.025100
2025-02-12,10.1600,10.4000,10.1100,10.3100,12875700,132348254.0000,1.476400
2025-02-13,10.3200,10.3900,10.1200,10.2400,12243500,125603347.0000,-0.679000
2025-02-14,10.2000,10.2900,10.0100,10.1800,12191500,124138720.0000,-0.585900
2025-02-17,10.3500,10.4500,10.1100,10.2800,14371450,148084376.7500,0.982300
2025-02-18,10.2100,10.3400,9.5500,9.5900,18046080,178986920.3000,-6.712100
2025-02-19,9.5600,9.8000,9.5200,9.7800,12238500,118835889.0000,1.981200
2025-02-20,9.8300,9.9900,9.7400,9.8000,12092060,118957104.3000,0.204500
2025-02-21,9.8000,9.8400,9.3500,9.7900,18802315,181052552.0500,-0.102000
2025-02-24,9.7700,10.1600,9.6000,9.9700,22619066,225079541.3800,1.838600
2025-02-25,9.9400,11.7000,9.7000,10.8800,62099474,679648204.3800,9.127400
2025-02-26,10.8900,11.4400,10.5100,11.3300,53052131,579386086.1500,4.136000
2025-02-27,11.1700,11.3300,10.7300,10.9100,33336787,367303632.6000,-3.707000
2025-02-28,10.8800,11.7400,10.8600,11.1600,46480853,524792923.6200,2.291500
2025-03-03,11.3000,12.6800,10.9000,12.1600,56659843,663966463.1800,8.960600
2025-03-04,11.7100,12.5200,11.5100,12.2900,51476074,620734884.1300,1.069100
2025-03-05,12.1000,12.2600,11.6500,11.8500,37136403,441980967.2900,-3.580100
2025-03-06,11.8000,12.5000,11.4000,11.9400,42761795,508228341.5500,0.759500
2025-03-07,11.6600,11.7900,11.0400,11.1100,32856290,376849976.0000,-6.951400
2025-03-10,11.1200,11.4500,11.1200,11.2100,15773209,177424684.2700,0.900100
2025-03-11,11.0900,11.2500,10.8400,11.2200,15009265,165836513.7000,0.089200
2025-03-12,11.2200,11.3500,11.0700,11.0700,17499800,196186811.7500,-1.336900
2025-03-13,11.0400,11.0700,10.3800,10.5600,20630700,219615523.0000,-4.607000
2025-03-14,10.5600,10.9600,10.4300,10.8600,17285210,186004472.4000,2.840900
2025-03-17,10.8000,11.1300,10.7900,10.8500,13840146,151244011.5800,-0.092100
2025-03-18,10.8900,11.1800,10.8100,10.8700,12380535,135544135.4000,0.184300
2025-03-19,10.7800,10.8500,10.5300,10.6200,10914335,116554770.2000,-2.299900
2025-03-20,10.6200,10.7500,10.4500,10.4600,9089000,96102879.0000,-1.506600
2025-03-21,10.4000,10.4600,10.1500,10.2000,11587370,118772703.9500,-2.485700
2025-03-24,10.2100,10.2700,9.4800,9.7900,14894500,146027806.0000,-4.019600
