date,open,high,low,close,volume,amount,pctChg
2025-01-02,55.0000,59.1500,55.0000,58.0100,60964897,3480942405.9100,5.549500
2025-01-03,57.5000,59.3500,55.1000,58.3900,54563200,3161973762.1600,0.655100
2025-01-06,56.8500,59.0000,48.6200,49.4200,54124903,2899891289.2300,-15.362200
2025-01-07,49.0000,59.3000,49.0000,59.3000,67304228,3672597828.8500,19.991900
2025-01-08,59.0000,68.3000,58.1100,61.5000,85542703,5283373122.5600,3.709900
2025-01-09,61.0000,62.2000,58.5000,60.3200,56795771,3407916213.8200,-1.918700
2025-01-10,59.3100,60.6000,57.0000,57.0000,44480660,2605624768.8100,-5.504000
2025-01-13,56.0000,62.5800,56.0000,61.2000,60302059,3633452853.8200,7.368400
2025-01-14,61.1000,67.0000,59.4400,63.6000,75941757,4738555124.2400,3.921600
2025-01-15,61.5000,61.9500,58.9900,59.4200,46141965,2782703355.7600,-6.572300
2025-01-16,60.4500,62.6500,58.0000,58.4000,43160702,2600286898.1500,-1.716600
2025-01-17,57.1100,60.3000,56.1600,57.0500,40879778,2373337669.1200,-2.311600
2025-01-20,58.0700,58.4400,55.6500,56.4700,30050078,1703586615.9700,-1.016700
2025-01-21,57.2100,57.2700,54.0500,55.5300,30386252,1689374239.2300,-1.664600
2025-01-22,54.5500,63.2700,53.7500,61.1200,63438265,3742247584.8800,10.066600
2025-01-23,62.5800,63.6500,57.0000,57.2400,54795387,3284869982.7600,-6.348200
2025-01-24,55.7100,57.2000,54.1200,54.5400,37477520,2068747567.7200,-4.717000
2025-01-27,53.1100,54.2000,49.1300,49.5800,32622681,1656707371.9100,-9.094200
2025-02-05,49.6200,53.8000,48.6100,52.4600,36122983,1855883001.8700,5.808800
2025-02-06,51.4400,53.9900,50.8000,52.4300,35089474,1844190279.4800,-0.057200
2025-02-07,52.0000,56.9400,52.0000,53.8700,47593255,2587638745.9600,2.746500
2025-02-10,53.5000,53.7700,52.3300,53.4000,32355357,1716598152.3000,-0.872500
2025-02-11,53.1500,56.3000,52.5200,54.0900,46360132,2556229044.7900,1.292100
2025-02-12,52.5000,55.1500,51.7300,54.6400,39123565,2070865329.2900,1.016800
2025-02-13,53.5500,53.6600,51.8500,51.9300,28546394,1500816324.2600,-4.959700
2025-02-14,51.6200,52.6700,50.7000,50.8500,22094593,1134139680.5700,-2.079700
2025-02-17,51.9500,53.7400,51.3100,51.6900,26104601,1368185363.5600,1.651900
2025-02-18,51.0000,51.4000,48.3600,48.4100,28196787,1394116836.6000,-6.345500
2025-02-19,48.6600,50.1500,47.6800,49.2700,22763244,1116594824.9600,1.776500
2025-02-20,48.6100,50.5000,48.6000,49.3200,19185962,950027569.0900,0.101500
2025-02-21,49.0000,50.1700,47.1800,49.4900,31013400,1512793189.3700,0.344700
2025-02-24,48.6000,49.2900,47.8600,48.5700,20184481,980690670.7000,-1.859000
2025-02-25,47.9400,49.0900,46.5700,46.8100,21387029,1015914509.5700,-3.623600
2025-02-26,47.0000,47.7600,45.5000,47.7600,27515335,1278978712.9500,2.029500
2025-02-27,47.1200,47.6400,44.5600,45.4600,23843681,1093232484.8400,-4.815700
2025-02-28,45.2800,49.6500,45.1000,46.8800,35254911,1682704805.2300,3.123600
2025-03-03,45.1200,45.5300,41.7100,42.2400,28396563,1219873435.7100,-9.897600
2025-03-04,41.2300,42.5400,41.2300,42.2300,14050829,590551523.8100,-0.023700
2025-03-05,42.1200,45.5200,41.2000,43.5100,29250516,1267262920.3400,3.031000
2025-03-06,43.5100,45.3800,43.2000,44.6400,26930114,1198967727.4100,2.597100
2025-03-07,43.5400,43.9000,42.0000,42.1500,21607420,927940245.6400,-5.578000
2025-03-10,42.1500,42.7800,41.8000,42.4900,11159344,471496000.1200,0.806600
