date,open,high,low,close,volume,amount,pctChg
2025-01-02,19.4300,20.2900,18.7000,19.0600,23839178,464893531.0100,-3.346900
2025-01-03,19.4800,20.3600,18.4500,19.6600,38440554,755331111.2700,3.148000
2025-01-06,19.0100,20.7600,18.4000,20.7600,45263462,894062889.4600,5.595100
2025-01-07,20.1900,21.2900,20.0100,21.1900,39940795,823637732.9100,2.071300
2025-01-08,20.8700,21.0600,19.2900,20.3200,34817081,706335761.7500,-4.105700
2025-01-09,19.9600,20.6200,19.7100,19.9300,24901460,500348267.0400,-1.919300
2025-01-10,19.7200,19.7800,17.5000,17.7600,32141450,605208441.0600,-10.888100
2025-01-13,17.1200,17.2600,16.4300,16.8300,18294776,307562000.4200,-5.236500
2025-01-14,16.9100,17.8300,16.7100,17.7500,19009703,331429947.8300,5.466400
2025-01-15,17.7900,17.9100,17.2600,17.3000,11857745,207292460.0000,-2.535200
2025-01-16,17.5200,18.0400,17.3400,17.5600,12167013,215096721.8100,1.502900
2025-01-17,17.4800,17.7400,17.1800,17.5500,10216000,178654224.0000,-0.056900
2025-01-20,17.8300,18.7200,17.5900,18.1800,15589607,282575535.3500,3.589700
2025-01-21,18.4300,18.7000,18.1800,18.4900,14505850,267605498.0000,1.705200
2025-01-22,18.3900,18.7300,18.2100,18.4300,12469552,230900884.1600,-0.324500
2025-01-23,18.6000,19.0400,18.3800,18.3800,16057902,300697923.9600,-0.271300
2025-01-24,18.3000,19.1300,18.3000,19.0800,15718480,295713302.6700,3.808500
2025-01-27,19.2300,19.3600,18.5500,18.6100,10775600,202371362.5500,-2.463300
2025-02-05,18.9800,19.3000,18.8800,19.1400,12860950,245699550.1600,2.847900
2025-02-06,18.9900,20.4000,18.9400,20.3200,28272626,563716936.8200,6.165100
2025-02-07,20.3900,22.0000,20.1700,20.7400,45744126,961151951.8800,2.066900
2025-02-10,20.8400,21.4800,20.7300,21.1800,26151731,550455917.1600,2.121500
2025-02-11,21.1200,21.2000,20.7000,20.7700,17304606,360689435.5200,-1.935800
2025-02-12,20.8100,21.0700,20.7100,20.8300,16247144,338768298.6200,0.288900
2025-02-13,20.6900,20.7700,20.0300,20.0900,20465900,414440472.0000,-3.552600
2025-02-14,20.1000,20.4800,19.7300,19.9300,16733806,336227611.5600,-0.796400
2025-02-17,19.9300,20.3300,19.8600,20.0200,14431044,290030433.3000,0.451600
2025-02-18,20.1200,20.2900,19.3600,19.4500,14451527,285560586.2300,-2.847200
2025-02-19,19.5900,20.3800,19.4600,20.3400,16507472,330772687.0000,4.575800
2025-02-20,20.9300,23.5000,20.7800,23.3300,61677406,1381109720.6700,14.700100
2025-02-21,22.7900,23.2000,22.2700,22.8200,46491300,1052553511.0500,-2.186000
2025-02-24,22.9000,22.9100,22.0600,22.6000,26538200,597818119.7600,-0.964100
2025-02-25,22.0100,23.4800,21.9800,23.0000,34948132,798363367.6100,1.769900
2025-02-26,23.0000,23.4400,22.4700,22.9200,28374023,650659230.8400,-0.347800
2025-02-27,23.0000,23.1600,22.1800,22.8100,22384096,506984047.8800,-0.479900
2025-02-28,22.4100,22.7100,20.9000,20.9600,23858046,516311874.4900,-8.110500
2025-03-03,21.0400,21.4300,20.6500,20.9500,13505200,284104099.1400,-0.047700
2025-03-04,20.9300,21.1500,20.6800,21.0500,12021459,252412737.7000,0.477300
2025-03-05,21.0400,21.2200,20.5800,21.2000,13563430,283721152.1700,0.712600
2025-03-06,21.5500,21.9800,21.3700,21.7900,17569350,381410064.5000,2.783000
2025-03-07,21.6500,22.7000,21.5000,21.8700,18183600,400111579.1300,0.367100
2025-03-10,21.7000,22.1000,21.5500,22.0000,12243022,267801285.9900,0.594400
2025-03-11,21.6500,22.1900,21.4800,21.9400,12201061,265700912.9700,-0.272700
2025-03-12,22.0000,22.6500,21.7900,22.2600,19416430,431044045.6800,1.458500
2025-03-13,22.2000,22.2000,21.1100,21.3200,16538316,355163807.7000,-4.222800
2025-03-14,21.3700,21.6700,20.8500,21.5100,10374881,221659820.6400,0.891200
2025-03-17,21.6300,21.6500,21.2800,21.6400,7943029,170940842.7500,0.604400
2025-03-18,21.6400,21.9900,21.5100,21.9000,11319562,246570328.3600,1.201500
2025-03-19,21.7700,21.7800,21.2200,21.3900,9223595,197907101.5500,-2.328800
2025-03-20,21.4500,21.5400,20.9700,20.9900,8820325,187419227.0200,-1.870000
2025-03-21,20.8500,20.9000,20.3900,20.5400,8384450,172532988.6500,-2.143900
2025-03-24,20.5400,20.9500,19.8200,20.4500,8956556,182258649.9800,-0.438200
2025-03-25,20.1900,20.4200,19.9200,20.2400,6462100,130312937.1700,-1.026900
2025-03-26,20.2400,20.4300,20.1300,20.1900,4743685,96167855.7000,-0.247000
