date,open,high,low,close,volume,amount,pctChg
2025-01-02,42.4800,42.5000,39.0000,39.6500,41316552,1673412574.2300,-10.151800
2025-01-03,39.5100,39.5500,38.0600,38.1800,20425908,792899763.7500,-3.707400
2025-01-06,38.0800,39.3900,37.7600,38.1800,16575422,637819162.1000,0.000000
2025-01-07,38.3800,39.3800,38.2100,39.2000,16313689,633571965.3300,2.671600
2025-01-08,38.9900,40.1800,37.9100,39.5000,20488454,800778807.2900,0.765300
2025-01-09,39.3000,40.2000,39.1000,39.7300,15183195,605092148.8600,0.582300
2025-01-10,39.6500,41.0900,39.4400,39.4400,20606401,831076046.6400,-0.729900
2025-01-13,39.0100,40.4900,38.8200,40.2500,17728187,707642594.5800,2.053800
2025-01-14,40.3300,43.1800,39.8200,43.1000,29263370,1221186018.2600,7.080700
2025-01-15,42.8000,43.5600,42.4300,43.4000,21942860,943285354.7500,0.696100
2025-01-16,43.2600,45.2700,43.2500,44.1100,25787847,1144340574.1400,1.635900
2025-01-17,43.7000,45.9900,43.5200,44.8100,26247659,1175675473.1500,1.586900
2025-01-20,45.4800,45.5600,44.5100,44.8800,18758698,842793153.5600,0.156200
2025-01-21,45.1100,46.2000,44.4700,45.8900,23115384,1048490792.3600,2.250400
2025-01-22,45.6800,46.9600,45.5200,46.1800,26242719,1214360543.3100,0.631900
2025-01-23,46.9000,47.0800,44.9800,44.9900,25927773,1192952946.9100,-2.576900
2025-01-24,44.7800,45.4700,44.7100,45.1800,17870534,807934479.6200,0.422300
2025-01-27,45.3700,45.5000,44.2300,44.2300,14314653,640196289.0600,-2.102700
2025-02-05,45.0000,45.2900,44.2200,44.2500,15792587,707692700.2500,0.045200
2025-02-06,44.3700,46.9800,44.0500,46.8300,29489320,1360603733.1300,5.830500
2025-02-07,46.8300,47.9000,46.0800,46.8200,35078627,1649066917.0500,-0.021400
2025-02-10,47.0000,47.1000,45.9300,46.2400,26390047,1221569826.0800,-1.238800
2025-02-11,46.1800,46.1800,44.7600,45.3000,21407342,966712686.5400,-2.032900
