date,open,high,low,close,volume,amount,pctChg
2025-01-02,11.7200,11.9800,11.1500,11.3400,3958074,45870567.6200,-3.159700
2025-01-03,11.4500,11.4500,10.4000,10.4800,5237540,56566221.7500,-7.583800
2025-01-06,10.6000,10.6000,9.8800,10.3800,3447273,35618252.9000,-0.954200
2025-01-07,10.4700,10.9400,10.4700,10.9200,4102508,43965879.5300,5.202300
2025-01-08,11.5800,11.8100,10.5500,11.1500,8144291,90384794.8700,2.106200
2025-01-09,11.0000,11.3500,10.9000,11.1300,5270400,59009038.0000,-0.179400
2025-01-10,11.0600,11.2200,10.5100,10.5600,3819445,41556961.1000,-5.121300
2025-01-13,10.3700,10.8500,10.0500,10.8200,3425100,36191541.1500,2.462100
2025-01-14,11.0100,11.4800,10.9700,11.4500,3517650,39680912.0000,5.822600
2025-01-15,11.4500,11.5300,11.2400,11.2700,2429795,27531638.1000,-1.572100
2025-01-16,11.3700,11.6300,11.1900,11.3300,3041723,34633282.9000,0.532400
2025-01-17,11.2900,11.3900,11.1100,11.2600,2692800,30330786.0000,-0.617800
2025-01-20,11.3600,11.6000,11.1600,11.5300,3185700,36522435.0000,2.397900
2025-01-21,11.5900,11.6300,11.1800,11.3500,2259500,25620689.0000,-1.561100
2025-01-22,11.2700,11.6200,11.1200,11.2200,3328600,37558808.0000,-1.145400
2025-01-23,11.3200,11.8200,11.3200,11.4200,3616869,42013630.4500,1.782500
2025-01-24,11.4600,11.8300,11.3100,11.7500,3893800,45415305.0000,2.889700
2025-01-27,11.9000,12.8800,11.7900,12.3900,11117727,138625215.3700,5.446800
2025-02-05,12.8100,13.3800,12.6900,13.0300,8957700,117001843.2400,5.165500
2025-02-06,13.0300,13.2700,12.8000,13.1600,6031769,78649004.1000,0.997700
2025-02-07,13.0500,13.2900,12.7500,13.0400,7928046,103565989.9200,-0.911900
2025-02-10,13.0600,13.5600,13.0600,13.5400,6640247,88542883.9000,3.834400
2025-02-11,13.3700,13.6000,13.2300,13.3900,5220895,69881087.0000,-1.107800
2025-02-12,13.3800,13.7100,13.3800,13.7100,5532600,75077370.4500,2.389800
2025-02-13,14.1600,14.2000,13.4800,13.8600,8653037,119650104.8200,1.094100
2025-02-14,13.8000,14.5000,13.5400,14.2500,9771115,137972468.2200,2.813900
2025-02-17,14.3700,14.5100,14.0000,14.1500,7636959,108641997.0200,-0.701800
2025-02-18,14.1600,14.6500,13.5500,13.6400,8551700,119871367.2900,-3.604200
2025-02-19,13.6500,13.8300,13.5000,13.7500,5269644,72221672.9200,0.806500
2025-02-20,13.8800,14.0800,13.6900,13.9200,5695100,79154369.0000,1.236400
2025-02-21,13.9800,14.4500,13.7700,14.3700,7517471,106801967.3100,3.232800
2025-02-24,14.5800,14.6500,13.9300,14.1400,6638000,94032905.0000,-1.600600
2025-02-25,13.8300,14.2400,13.7800,14.0300,4067274,57091614.0400,-0.777900
2025-02-26,14.1700,14.6000,14.0600,14.3900,7121074,102111601.5800,2.565900
2025-02-27,14.2600,15.1700,14.0000,14.1900,7847846,112975897.4600,-1.389900
2025-02-28,14.1200,14.2200,13.3200,13.3700,6963574,95287133.8400,-5.778700
2025-03-03,13.6900,14.1500,13.3100,13.7100,6077920,83820286.9200,2.543000
2025-03-04,13.7200,14.1000,13.4200,13.9300,4925740,68075163.8500,1.604700
2025-03-05,13.8500,14.0500,13.6200,14.0100,4048895,55943772.1600,0.574300
2025-03-06,14.1700,16.3400,14.1700,16.3400,21387323,324722279.2400,16.631000
2025-03-07,16.9600,19.6100,16.8800,17.8000,44492051,805817145.8600,8.935100
2025-03-10,17.0000,19.8700,17.0000,19.0200,42154278,790807603.8300,6.853900
2025-03-11,18.0000,19.0500,17.9600,18.6000,29679531,544499750.5600,-2.208200
2025-03-12,18.4500,20.0400,18.3000,20.0200,46289397,887983116.1600,7.634400
2025-03-13,19.3000,19.3000,17.3000,18.5000,27146456,494762029.3800,-7.592400
2025-03-14,17.8500,18.3800,17.3000,17.9600,18359559,327472446.5900,-2.918900
2025-03-17,17.3200,17.8400,17.1100,17.6800,15162702,264560489.6000,-1.559000
2025-03-18,17.5100,17.6000,16.5100,16.9700,17934537,304201351.9100,-4.015800
2025-03-19,16.9200,17.1700,16.5000,17.1400,11733023,198758539.0600,1.001800
2025-03-20,16.9900,17.2000,16.3100,16.5300,10791081,181734760.5200,-3.558900
2025-03-21,16.3500,16.6700,15.2500,15.3400,13827314,218504150.8400,-7.199000
2025-03-24,15.3200,15.3300,14.1000,14.6200,13437395,196650586.1100,-4.693600
2025-03-25,14.5300,14.5900,14.0300,14.2300,7372583,105181821.9300,-2.667600
2025-03-26,14.3700,14.5700,14.2800,14.5000,6557700,94686915.7100,1.897400
2025-03-27,14.5000,14.5300,14.0400,14.0800,5907279,83942751.6500,-2.896600
2025-03-28,14.0900,14.2400,13.8200,13.9100,5673055,79353764.0600,-1.207400
2025-03-31,13.8200,14.1100,13.2700,13.9900,7721703,105459185.9300,0.575100
2025-04-01,13.9900,14.1500,13.7600,13.8100,4988820,69511795.4000,-1.286600
2025-04-02,13.8600,14.0300,13.7300,13.7500,3389900,47028298.0000,-0.434500
2025-04-03,13.5200,13.9300,13.4700,13.6100,4160600,56900618.7700,-1.018200
2025-04-07,12.7600,12.8400,10.8900,10.8900,10074421,115003354.8800,-19.985300
2025-04-08,11.0000,11.6500,10.7900,11.2200,7114716,79691009.3800,3.030300
2025-04-09,11.3400,11.7400,10.2000,11.6400,7418074,82571975.5600,3.743300
2025-04-10,12.0000,12.4900,11.9000,12.0900,8421703,102790382.9000,3.866000
2025-04-11,11.9800,12.4800,11.9100,12.2800,4921040,60257368.0500,1.571500
2025-04-14,12.4800,13.1700,12.4100,12.9500,10039489,128304528.6200,5.456000
2025-04-15,12.8700,13.0000,12.6100,12.9000,5527400,70764901.0000,-0.386100
2025-04-16,12.8200,15.4800,12.7200,15.4800,22987800,342895284.4800,20.000000
2025-04-17,14.8600,15.9800,14.5700,15.5700,29330014,444990808.8000,0.581400
2025-04-18,15.2500,15.5000,14.4000,14.4300,18183317,269181405.4300,-7.321800
2025-04-21,14.7700,17.3200,14.3000,17.3200,34832199,561435983.7200,20.027700
2025-04-22,17.1100,17.2000,15.9800,16.1100,31149971,508669766.4200,-6.986100
2025-04-23,15.8000,16.4900,15.6100,16.2200,21761123,348903969.8600,0.682800
2025-04-24,15.9000,15.9900,15.0700,15.3200,14639278,224991995.7800,-5.548700
2025-04-25,15.4200,15.6600,14.9000,14.9500,12982859,197221709.9000,-2.415100
2025-04-28,15.7800,16.8000,15.6000,15.6600,20310390,325913454.6300,4.749200
2025-04-29,15.6100,16.4000,15.2100,16.0600,20047837,320880137.4100,2.554300
2025-04-30,16.1500,17.7000,15.7000,15.8000,23195149,381665607.9000,-1.618900
2025-05-06,15.7000,16.3900,15.6200,16.3800,18052981,290977697.0300,3.670900
2025-05-07,16.5300,16.8000,15.8000,16.0300,17036619,276196272.6600,-2.136800
2025-05-08,15.9000,16.9800,15.9000,16.7800,20857658,345492720.3600,4.678700
2025-05-09,16.5400,16.6400,16.1600,16.3400,12216472,200110395.4000,-2.622200
2025-05-12,16.4500,16.4500,15.9700,16.2200,11375877,184095394.3400,-0.734400
2025-05-13,16.3900,17.2100,16.1400,16.2200,15469794,256607200.3800,0.000000
2025-05-14,15.9600,16.3600,15.6600,15.9100,13080201,207863939.9900,-1.911200
2025-05-15,15.7300,15.7400,14.5800,14.6100,20306195,305087470.9300,-8.171000
2025-05-16,14.7000,15.0700,14.2800,15.0600,10746214,160077647.3600,3.080100
2025-05-19,15.0600,15.2700,14.7500,15.0700,7574100,113520412.0000,0.066400
2025-05-20,15.1100,15.4200,14.9000,15.3200,7332800,111534685.0000,1.658900
2025-05-21,15.3000,15.4000,14.7200,14.8600,6943177,103732417.2700,-3.002600
2025-05-22,14.8400,15.1100,14.5300,14.6400,5814800,85842524.4000,-1.480500
2025-05-23,14.6400,15.1300,14.3200,14.3600,8868260,130347358.0000,-1.912600
2025-05-26,14.3200,14.6300,14.2700,14.5500,6339900,91547451.0000,1.323100
2025-05-27,14.6600,14.6800,14.2100,14.3400,5178200,74179396.0000,-1.443300
2025-05-28,14.4000,14.5400,13.8400,13.9300,6813177,95894244.1100,-2.859100
2025-05-29,13.8400,14.4400,13.8300,14.4000,6777900,96706009.0000,3.374000
2025-05-30,14.4300,15.1300,14.0400,14.7400,23264354,343228460.8800,2.361100
2025-06-03,14.2400,14.8800,14.2400,14.5200,12414373,181013778.5200,-1.492500
2025-06-04,14.5200,14.7600,14.3600,14.5200,8588600,125205906.0000,0.000000
2025-06-05,14.4500,14.7300,14.2300,14.6100,8253800,119346362.0000,0.619800
2025-06-06,14.5600,14.6900,14.3600,14.5300,5584452,80997210.7600,-0.547600
2025-06-09,14.5300,14.8100,14.4700,14.7800,6042073,88878577.3700,1.720600
2025-06-10,14.7100,14.7900,13.9800,14.2100,8319838,118997842.9000,-3.856600
