date,open,high,low,close,volume,amount,pctChg
2025-01-02,41.5000,42.0000,37.8400,38.3600,15730827,621772967.7500,-8.229700
2025-01-03,38.5000,38.7800,37.2000,37.4100,10935584,413622918.6300,-2.476500
2025-01-06,37.2700,38.3300,37.1000,37.7700,7818254,295165134.6600,0.962300
2025-01-07,37.7700,38.7700,37.1900,38.6200,6337743,240560384.2600,2.250500
2025-01-08,38.3600,38.6200,36.1400,37.2500,9838482,365785340.4000,-3.547400
2025-01-09,37.1500,37.5600,36.4300,37.0600,5737632,213401727.5200,-0.510100
2025-01-10,36.9200,38.3300,36.7900,36.9500,6688955,251462049.4000,-0.296800
2025-01-13,36.8300,37.4400,36.3200,36.9000,5395053,199088599.8100,-0.135300
2025-01-14,37.0600,38.8600,36.6000,38.6000,7407651,281242383.1900,4.607000
2025-01-15,38.5300,38.6400,37.6500,37.9200,4566384,174013014.9200,-1.761700
2025-01-16,38.0800,39.0100,37.7200,38.1600,5555436,212561335.6600,0.632900
2025-01-17,38.0000,38.8900,37.7800,38.5200,4074367,156326417.6700,0.943400
2025-01-20,38.5700,40.3300,38.5700,39.6800,6905261,273404022.5300,3.011400
2025-01-21,40.0600,40.9800,39.0900,40.7900,8030118,322687327.5000,2.797400
2025-01-22,40.7900,41.2700,39.7100,40.1200,6424905,258109152.6000,-1.642600
2025-01-23,40.5000,40.7800,39.5300,39.5600,6484469,259614466.2100,-1.395800
2025-01-24,39.5000,40.6000,39.4200,40.2400,5634545,225916753.6000,1.718900
2025-01-27,40.5600,40.7700,39.7000,40.1500,5897952,237450595.7800,-0.223700
2025-02-05,40.5000,40.8600,39.6100,40.0800,5410429,218273218.5900,-0.174300
2025-02-06,39.9700,41.5400,39.7300,41.3800,7428994,303598629.9000,3.243500
2025-02-07,41.6800,46.2100,41.4100,45.1600,20738447,912344969.8300,9.134800
2025-02-10,45.4400,45.9500,43.8400,44.5800,15797104,703587462.5000,-1.284300
2025-02-11,44.6200,45.2000,43.7000,44.2500,8910644,395005231.1300,-0.740200
2025-02-12,44.0800,44.8600,43.8800,44.7500,9846852,436888463.2600,1.129900
2025-02-13,44.7200,45.1500,42.3700,42.4600,15241287,659822683.6100,-5.117300
2025-02-14,42.4100,43.8700,42.3800,43.1000,9550619,412036983.1100,1.507300
2025-02-17,43.7700,43.8000,42.7600,43.2000,8258088,356839569.8800,0.232000
2025-02-18,42.8600,43.2800,41.8700,42.2500,8175902,348395800.5400,-2.199100
2025-02-19,42.2900,43.9800,42.1200,43.8800,9233193,400359964.4100,3.858000
2025-02-20,43.8600,44.3500,43.2300,44.1500,7025481,308584216.8400,0.615300
2025-02-21,44.2700,44.8000,43.6100,44.5200,9733804,430605854.6600,0.838100
2025-02-24,45.0800,45.4500,44.1500,44.5800,8722750,390288299.6100,0.134800
2025-02-25,43.8100,46.6500,43.7300,45.8900,14980159,686565430.5900,2.938500
2025-02-26,45.5600,45.9900,44.7600,45.4200,8607920,391479500.2600,-1.024200
2025-02-27,45.5000,46.1700,43.0400,43.4300,11241716,492766298.2300,-4.381300
2025-02-28,43.2100,43.4300,41.0200,41.1200,10095483,423378998.5600,-5.318900
2025-03-03,41.2800,42.0700,40.6800,41.0900,6502621,268998106.5500,-0.073000
2025-03-04,40.7300,42.4300,40.7300,41.5900,6519962,272290817.0600,1.216800
2025-03-05,41.6600,42.4800,41.2600,42.2900,5210204,218300340.5600,1.683100
2025-03-06,42.4400,42.9700,42.2000,42.3000,6658296,283042258.6600,0.023600
2025-03-07,42.1600,43.6500,42.1000,42.6700,7578303,325702270.6400,0.874700
2025-03-10,42.4400,42.6700,41.2000,41.6300,6695472,279354206.3600,-2.437300
2025-03-11,41.4100,42.1100,41.1000,41.5500,4813742,199378127.5600,-0.192200
2025-03-12,41.7000,42.2000,41.2100,41.6300,6113371,255467789.2900,0.192500
2025-03-13,41.6300,41.7800,40.4700,40.9000,6207836,254711484.5200,-1.753500
2025-03-14,40.7500,41.8400,40.5800,41.6700,4929512,204161396.5600,1.882600
2025-03-17,41.9900,42.1800,41.2700,41.5700,4020357,167925674.5000,-0.240000
2025-03-18,41.7000,42.2000,41.0000,41.2300,5976757,247625081.5800,-0.817900
2025-03-19,41.1100,41.9600,40.6800,41.6200,6676460,275617743.5700,0.945900
2025-03-20,41.4300,42.8500,41.4200,42.4900,7766730,329032719.8800,2.090300
2025-03-21,42.1300,43.3900,41.0600,41.6700,6994989,295087979.8900,-1.929900
2025-03-24,41.5000,41.9400,40.0000,40.7000,6975273,284527294.9700,-2.327800
2025-03-25,40.6000,40.9600,39.9000,40.0600,4524305,182250871.3800,-1.572500
2025-03-26,40.0800,40.7600,40.0000,40.0600,3742357,151005305.5800,0.000000
2025-03-27,40.0100,41.2000,39.7600,40.7700,4424257,180121875.5900,1.772300
2025-03-28,40.8500,41.4400,40.6300,40.8000,3302461,135309378.6000,0.073600
2025-03-31,40.7900,41.8900,40.6900,41.3500,5427054,224314998.9000,1.348000
2025-04-01,41.6800,41.7400,40.7000,40.7100,4418935,182339674.9000,-1.547800
2025-04-02,40.7300,41.8600,40.6800,41.3400,5115857,211670163.7200,1.547500
2025-04-03,41.0100,41.6300,39.8000,40.2000,5915327,238220625.0200,-2.757600
2025-04-07,38.1200,39.0000,35.5300,36.5500,10582532,395066220.8500,-9.079600
2025-04-08,37.2400,38.5900,37.0800,37.6300,8478490,319570766.6700,2.954900
2025-04-09,37.7300,40.8700,37.2000,39.4100,12740829,499825351.6300,4.730300
2025-04-10,40.2500,40.6600,39.6000,40.1600,8724109,351583636.8400,1.903100
2025-04-11,39.8700,41.7500,39.8000,41.5300,7508907,307369779.5600,3.411400
2025-04-14,41.5100,41.7700,39.7500,39.8000,9236852,374097777.1100,-4.165700
2025-04-15,39.8500,39.9800,38.9500,39.5000,5913443,233069225.8100,-0.753800
2025-04-16,39.3900,39.6800,38.8200,39.3000,3333152,130729802.0100,-0.506300
2025-04-17,38.9900,39.9000,38.9100,39.5700,4043595,160023453.8700,0.687000
2025-04-18,40.0000,41.2700,39.9900,40.8500,6290456,256877333.3600,3.234800
2025-04-21,40.7400,41.3000,40.6100,40.8200,3687607,150682230.5900,-0.073400
2025-04-22,40.7100,41.1200,40.2000,41.0000,4265644,173783507.4000,0.441000
2025-04-23,41.1800,41.3800,40.3000,40.9000,9141952,373016070.9000,-0.243900
2025-04-24,40.8500,40.9500,40.0100,40.6300,4683777,189710647.5400,-0.660100
2025-04-25,40.7800,42.4000,40.7600,42.2100,10099176,421361850.4200,3.888800
2025-04-28,41.9000,43.2400,41.6500,42.5300,8269956,353126029.3000,0.758100
2025-04-29,42.5000,42.5000,41.3100,41.8100,4599277,192473843.6500,-1.692900
2025-04-30,41.7500,42.8200,41.7500,42.5500,4564273,193949354.4600,1.769900
2025-05-06,42.6000,43.6600,42.6000,43.4900,8989983,388888482.9200,2.209200
2025-05-07,43.9500,44.2900,42.7900,43.0500,6687791,290516347.1000,-1.011700
2025-05-08,42.8700,43.9500,42.7800,43.5400,4947501,215004532.9700,1.138200
2025-05-09,43.7000,43.8800,42.7000,42.8800,4904288,210807402.2800,-1.515800
2025-05-12,43.1800,44.3400,42.9500,43.9600,7421640,325832458.4000,2.518700
2025-05-13,44.0000,44.0200,42.9000,43.0500,5451945,236012005.1000,-2.070100
2025-05-14,42.9400,44.0500,42.9000,43.3800,4430536,192543208.9200,0.766600
