date,open,high,low,close,volume,amount,pctChg
2025-01-02,14.6500,14.8700,14.0500,14.2400,4243650,61470152.5000,-3.063300
2025-01-03,14.2200,14.3600,13.4000,13.6800,5287700,73174081.9000,-3.932600
2025-01-06,13.5500,13.6900,13.0200,13.4200,4154800,55629005.0000,-1.900600
2025-01-07,13.5600,13.9800,13.5600,13.9500,4367010,60397480.3000,3.949300
2025-01-08,13.9500,14.1700,13.3700,13.8400,4047169,55811208.5400,-0.788500
2025-01-09,13.7200,14.0700,13.7000,13.8200,3224675,44865588.2500,-0.144500
2025-01-10,13.8200,13.9800,13.2000,13.2000,3033800,41301856.0000,-4.486300
2025-01-13,13.0100,13.4800,12.7200,13.3900,3605300,47465622.0000,1.439400
2025-01-14,13.5200,14.1800,13.5000,14.1500,4580775,63743409.7500,5.675900
2025-01-15,14.1600,14.3200,13.9800,14.0100,3476800,49166674.0000,-0.989400
2025-01-16,14.0800,14.3500,13.8800,14.0200,3418000,48263510.0000,0.071400
2025-01-17,14.1000,14.1000,13.8100,13.9300,2642700,36890587.0000,-0.641900
2025-01-20,14.3500,14.4200,13.8800,14.3500,4225100,60271265.0000,3.015100
2025-01-21,14.4000,14.4800,14.0100,14.2200,3168900,44949268.0000,-0.905900
2025-01-22,14.2200,14.2400,13.9500,14.0000,2748510,38681952.8000,-1.547100
2025-01-23,14.2500,14.5800,14.1100,14.1200,3655190,52573680.7500,0.857100
2025-01-24,14.0800,15.0900,14.0800,14.9600,7650490,112721579.5000,5.949000
2025-01-27,15.1900,15.3000,14.6700,14.8100,4741795,70891493.0000,-1.002700
2025-02-05,15.1100,15.4700,15.1100,15.3700,4726800,72356348.0000,3.781200
2025-02-06,15.3700,15.5000,15.1700,15.4100,5218200,80146461.0000,0.260200
2025-02-07,15.4800,15.7300,15.2900,15.5700,5572610,86470112.3000,1.038300
2025-02-10,15.6500,16.3700,15.6400,16.3200,7670800,123141100.0000,4.817000
2025-02-11,16.1500,16.9100,16.0000,16.4900,9543299,156468577.0100,1.041700
2025-02-12,16.5500,17.4700,16.4800,17.0600,12664750,216087236.5000,3.456600
2025-02-13,17.2300,17.2600,16.4100,16.9100,10569200,177887837.1000,-0.879200
2025-02-14,17.2300,17.9000,16.8400,17.5700,15212804,264727411.1200,3.903000
2025-02-17,18.1000,18.1800,17.2800,17.5400,17231790,305671248.9000,-0.170700
2025-02-18,17.3900,17.6800,16.5200,16.5800,12019940,204896962.9000,-5.473200
2025-02-19,16.6200,17.5500,16.6200,17.1800,10320670,176816996.5000,3.618800
2025-02-20,17.1500,17.4800,16.8700,17.0700,8004249,137106339.9800,-0.640300
2025-02-21,17.2800,17.6600,17.0000,17.5100,10536500,183002837.6000,2.577600
2025-02-24,17.5500,17.7500,17.0100,17.2800,8838550,153045355.0000,-1.313500
2025-02-25,16.8800,17.2800,16.8200,17.0100,5641030,96239022.5000,-1.562500
2025-02-26,17.1200,17.7400,17.0100,17.2900,7488400,129464737.5100,1.646100
2025-02-27,17.6400,17.6900,16.8700,17.2100,7218150,124450300.5000,-0.462700
2025-02-28,17.0500,17.1600,16.1600,16.2400,5690100,94530537.0000,-5.636300
2025-03-03,16.3600,16.7800,16.1100,16.3100,5034641,82921853.6800,0.431000
2025-03-04,16.2200,16.8600,16.1500,16.7800,4550770,75531950.4500,2.881700
2025-03-05,16.9400,17.0400,16.5000,16.9000,3778500,63380785.0000,0.715100
2025-03-06,17.0400,17.6600,17.0400,17.4000,7921900,138064680.0000,2.958600
2025-03-07,17.5400,17.9700,17.1500,17.3600,8962095,157699929.6500,-0.229900
2025-03-10,17.3100,17.7500,16.7700,16.9800,6161200,104956609.0000,-2.188900
2025-03-11,16.8000,16.8400,16.4200,16.7400,4382800,72968632.0000,-1.413400
2025-03-12,16.9000,17.4200,16.7600,17.0100,4818500,82067346.0000,1.612900
2025-03-13,16.8600,17.1900,16.1700,16.8900,6523750,108560063.9000,-0.705500
2025-03-14,16.6900,17.0300,16.3500,17.0100,7532600,126468415.0000,0.710500
2025-03-17,17.1200,17.1700,16.6800,16.7700,5574100,93814581.0000,-1.410900
2025-03-18,16.7800,16.9500,16.4700,16.6900,4736038,79136584.6400,-0.477000
2025-03-19,16.6800,16.6900,16.2500,16.4200,4199670,68956132.3000,-1.617700
2025-03-20,16.2900,16.6300,16.2300,16.2900,3375800,55358123.0000,-0.791700
2025-03-21,16.2400,16.2400,15.7500,15.7900,4183400,66715734.0000,-3.069400
2025-03-24,15.7200,15.8600,14.5000,14.9700,6497600,97967759.0000,-5.193200
2025-03-25,14.8500,14.9900,14.5200,14.8600,4658500,68867776.0000,-0.734800
2025-03-26,14.8300,15.3500,14.7500,15.0800,4227200,63792772.0000,1.480500
2025-03-27,15.0300,15.1000,14.6400,14.9400,3282200,48875067.0000,-0.928400
2025-03-28,14.9900,15.0800,14.6400,14.6900,3090850,45788548.5000,-1.673400
2025-03-31,14.5500,14.8600,14.2000,14.7400,4446728,64415496.0400,0.340400
2025-04-01,14.7400,15.0700,14.7400,14.8000,3147530,46865575.7100,0.407100
2025-04-02,14.8000,15.0500,14.7500,14.8900,2537099,37891205.2200,0.608100
2025-04-03,14.8200,15.0200,14.5600,14.7600,2550000,37734060.0000,-0.873100
2025-04-07,13.8800,13.9300,11.8100,11.8500,8460852,106602731.2400,-19.715400
2025-04-08,12.1200,12.7800,11.9100,12.3300,6541600,80788978.0000,4.050600
2025-04-09,12.2500,12.9500,11.2700,12.8700,7031350,85507503.0000,4.379600
2025-04-10,13.1500,13.5200,13.1000,13.3100,5785200,77136542.0000,3.418800
2025-04-11,13.3000,13.5900,13.1100,13.3600,3809150,51157220.5000,0.375700
2025-04-14,13.5400,13.7500,13.4000,13.5200,3262600,44387799.0000,1.197600
2025-04-15,13.5300,13.7500,13.3500,13.5600,2918041,39388499.3200,0.295900
2025-04-16,13.4700,13.7500,13.0100,13.4100,4306250,57493443.5000,-1.106200
2025-04-17,13.3900,14.5000,13.2400,13.5700,9242250,127385633.9500,1.193100
2025-04-18,13.5900,14.7700,13.5900,14.0100,12375714,172590256.0700,3.242400
2025-04-21,13.8900,14.3300,13.7400,14.0500,10845900,152395630.8900,0.285500
2025-04-22,14.1500,14.4700,14.0500,14.1700,8661300,123137099.0000,0.854100
2025-04-23,14.1800,14.4600,14.1500,14.1700,7043699,100651946.6500,0.000000
2025-04-24,14.1000,14.1900,13.7400,13.9300,5795500,80872627.0000,-1.693700
2025-04-25,13.8200,14.0600,13.7700,13.8200,4479470,62213197.1000,-0.789700
2025-04-28,13.7800,13.8600,13.2600,13.3800,5664700,76306479.0000,-3.183800
2025-04-29,13.3100,13.8700,13.2600,13.7300,5562150,76187850.5000,2.615800
2025-04-30,13.8600,14.1400,13.7100,14.0200,3805000,53387003.0000,2.112200
2025-05-06,14.2500,14.4900,14.1100,14.4400,5230600,75212367.2000,2.995700
2025-05-07,14.6600,14.7600,14.1200,14.2900,4520000,64950932.0000,-1.038800
2025-05-08,14.2900,14.6200,14.1900,14.5800,4394900,63764426.0000,2.029400
2025-05-09,14.5200,14.6800,14.2400,14.3700,3954400,56873963.8000,-1.440300
2025-05-12,14.5400,14.6100,14.4300,14.6000,3258415,47391532.5500,1.600600
2025-05-13,14.6600,14.7900,14.3900,14.4100,3480970,50656266.0000,-1.301400
2025-05-14,14.4100,14.6300,14.1900,14.4700,3294600,47511692.0000,0.416400
2025-05-15,14.4600,14.4900,14.1600,14.2700,3204390,45670515.5500,-1.382200
2025-05-16,14.2100,14.3700,14.0500,14.2200,3156400,45069949.0000,-0.350400
2025-05-19,14.3100,14.4800,14.0800,14.4000,2918500,41793922.0000,1.265800
2025-05-20,14.4400,14.6100,14.2700,14.6000,3360800,48657176.0000,1.388900
2025-05-21,14.5900,14.6400,14.2000,14.3600,3534600,50768278.0000,-1.643800
2025-05-22,14.3000,14.5400,14.0200,14.1100,3079890,43828836.9000,-1.740900
2025-05-23,14.1100,14.3000,13.8300,13.8300,3689780,51794654.5000,-1.984400
2025-05-26,13.9300,14.3500,13.9000,14.1900,3640950,51433261.5000,2.603000
2025-05-27,14.3000,14.4200,14.0200,14.1200,3080745,43561382.3500,-0.493300
2025-05-28,14.0800,14.5600,14.0200,14.1800,3707200,52768228.0000,0.567400
2025-05-29,14.1200,15.0000,14.1200,14.9700,7779100,114317708.0000,5.571200
2025-05-30,15.0600,15.5200,14.6400,14.8400,9133090,137642641.8000,-0.868400
2025-06-03,15.1600,15.3800,14.8100,14.8500,7558800,113815561.0000,0.067400
