date,open,high,low,close,volume,amount,pctChg
2025-01-02,9.3500,9.3800,8.7600,8.9100,26338415,238938652.4900,-4.807700
2025-01-03,9.0100,9.0700,8.5700,8.5800,23771232,209264836.5700,-3.703700
2025-01-06,8.6200,8.7300,8.4400,8.5200,19158411,163632857.8500,-0.699300
2025-01-07,8.5500,8.7100,8.4900,8.7000,18308260,157697999.1400,2.112700
2025-01-08,8.6200,8.7000,8.2400,8.5800,21913377,186118672.5200,-1.379300
2025-01-09,8.5000,8.7700,8.4600,8.6600,17634965,153117610.8900,0.932400
2025-01-10,8.6900,8.8500,8.4200,8.4200,18155915,157147899.6100,-2.771400
2025-01-13,8.3500,8.6200,8.1900,8.5700,16635677,140188041.3300,1.781500
2025-01-14,8.6400,9.0100,8.5200,9.0100,23947023,211586855.5400,5.134200
2025-01-15,9.0100,9.0200,8.8600,8.8900,16199522,144593150.8800,-1.331900
2025-01-16,9.0000,9.1500,8.8300,8.9100,18437223,165560552.6300,0.225000
2025-01-17,8.9300,9.1600,8.8500,9.0200,21147467,190833859.3400,1.234600
2025-01-20,9.0800,9.1600,9.0100,9.0400,13014187,117942660.2100,0.221700
2025-01-21,9.1000,9.1500,8.8700,9.0300,12468704,112002565.6500,-0.110600
2025-01-22,8.9800,9.0100,8.8400,8.9100,11029773,98486699.6500,-1.328900
2025-01-23,8.7900,8.8800,8.2200,8.2900,56740360,483683930.5700,-6.958500
2025-01-24,8.2700,8.5200,8.2600,8.5000,29564098,248990726.4800,2.533200
2025-01-27,8.5500,8.5900,8.2500,8.2500,16786099,140495326.4500,-2.941200
2025-02-05,8.4000,8.5500,8.3000,8.4600,18922811,160121604.2900,2.545500
2025-02-06,8.4300,8.9300,8.3800,8.9300,27922453,244521815.2400,5.555600
2025-02-07,8.9300,9.2000,8.8500,9.0300,30409567,274493029.1800,1.119800
2025-02-10,9.0300,9.1600,8.9700,9.1400,21696027,196967990.8400,1.218200
2025-02-11,9.1400,9.1900,8.9200,8.9500,18633535,167276725.7300,-2.078800
2025-02-12,8.9500,9.1900,8.8800,9.1800,23720651,214825064.8900,2.569800
2025-02-13,9.1800,9.1900,8.9600,8.9700,19471169,176166132.1500,-2.287600
2025-02-14,8.9600,9.0000,8.8300,8.8900,18682869,166253801.4500,-0.891900
2025-02-17,9.2100,9.4100,8.9800,9.0700,37516781,342846527.8000,2.024700
2025-02-18,9.0700,9.2800,8.8500,8.9200,35183715,319237024.0900,-1.653800
2025-02-19,8.9400,9.2000,8.9100,9.2000,31104833,283417200.2500,3.139000
2025-02-20,9.1500,9.1800,9.0100,9.1300,25573649,232806936.8300,-0.760900
2025-02-21,9.1100,9.3600,8.9900,9.3000,38402604,353311953.1400,1.862000
2025-02-24,9.3000,9.3400,9.1200,9.2100,27150925,250405457.0200,-0.967700
2025-02-25,9.0300,9.4700,9.0300,9.3000,39484536,366799238.7500,0.977200
2025-02-26,9.3800,9.4200,9.2100,9.3700,28747399,267953136.2900,0.752700
2025-02-27,9.3700,9.4000,9.0600,9.2400,26710866,246140820.1600,-1.387400
2025-02-28,9.2000,9.2300,8.7600,8.7900,27970004,250745363.1000,-4.870100
2025-03-03,8.8400,9.0700,8.7100,8.8700,22555317,200580895.0100,0.910100
2025-03-04,8.7800,9.0700,8.7600,9.0500,28509787,255362972.9000,2.029300
2025-03-05,9.0000,9.4600,8.9800,9.1400,35457995,324380932.7400,0.994500
2025-03-06,9.1100,9.2700,9.1000,9.1800,28383681,261014332.7300,0.437600
2025-03-07,9.1100,9.1600,8.9200,8.9800,25725290,232452684.7300,-2.178600
2025-03-10,8.9600,9.1500,8.9300,9.0500,18897025,170671405.1100,0.779500
2025-03-11,8.9200,9.1000,8.9200,9.0600,19227406,172985064.9400,0.110500
2025-03-12,9.0800,9.1600,8.9400,8.9700,27702288,249634558.8400,-0.993400
2025-03-13,8.9500,8.9700,8.6400,8.7400,27493224,241108096.6700,-2.564100
2025-03-14,8.7700,8.8900,8.6500,8.8900,19620052,172635971.5500,1.716200
2025-03-17,8.8700,8.9900,8.8500,8.9100,17179667,153106898.7900,0.225000
2025-03-18,8.9200,9.0200,8.8300,8.8600,17977875,160212879.3600,-0.561200
2025-03-19,8.8700,8.8700,8.5900,8.6100,26753525,232352435.6000,-2.821700
2025-03-20,8.6200,8.7200,8.5300,8.5900,14840389,128061554.9600,-0.232300
2025-03-21,8.5900,8.6000,8.3800,8.4000,17660067,149371009.2400,-2.211900
2025-03-24,8.4500,8.4500,8.0500,8.2100,20320069,167099955.3800,-2.261900
2025-03-25,8.2700,8.2900,8.1300,8.2100,11621361,95270587.4000,0.000000
2025-03-26,8.2000,8.2900,8.1600,8.2000,9005369,74195649.9800,-0.121800
2025-03-27,8.1700,8.9700,8.1000,8.7100,60467487,523454625.3600,6.219500
2025-03-28,8.7400,9.0700,8.5000,8.5100,58448957,514711466.0800,-2.296200
2025-03-31,8.3500,8.7400,8.3100,8.4100,37840693,321984066.3700,-1.175100
2025-04-01,8.4300,8.6500,8.3600,8.5400,30271724,257497968.5300,1.545800
2025-04-02,8.5700,8.8400,8.4200,8.4400,25579996,219246432.0000,-1.171000
2025-04-03,8.3200,8.4900,8.1300,8.2200,26149698,216553305.1200,-2.606600
2025-04-07,7.8200,7.9700,6.7600,7.0800,51088346,378466417.8400,-13.868600
2025-04-08,7.1500,7.6300,7.1100,7.3000,35913708,263506706.4600,3.107300
2025-04-09,7.1100,7.6600,6.8000,7.6300,42145892,310582219.7900,4.520500
2025-04-10,7.8000,7.9500,7.6600,7.6900,29385088,229295397.5900,0.786400
2025-04-11,7.5900,8.0700,7.5300,7.9300,36276409,286120013.4800,3.120900
2025-04-14,8.1200,8.1200,7.9200,7.9900,24926200,199138528.2500,0.756600
2025-04-15,8.0000,8.0000,7.8400,7.8600,14630198,115485399.2200,-1.627000
2025-04-16,7.8300,7.9000,7.6000,7.7300,15545282,120383398.1700,-1.653900
2025-04-17,7.6800,8.2000,7.6800,7.9600,36851380,295771450.9900,2.975400
2025-04-18,7.9500,7.9500,7.7400,7.8000,20348184,158903052.1400,-2.010100
2025-04-21,7.7600,8.0500,7.7500,8.0300,19411554,154069269.7900,2.948700
2025-04-22,7.9800,8.1500,7.9000,8.0300,18919970,151760855.4900,0.000000
2025-04-23,8.0300,8.1800,8.0100,8.1600,23156786,187587326.6400,1.618900
2025-04-24,8.5600,8.6300,8.2400,8.2800,48680574,408510563.9000,1.470600
2025-04-25,8.3700,8.5400,8.2700,8.4400,30815085,259477587.9700,1.932400
2025-04-28,8.4000,8.4400,8.2700,8.3200,18572058,154924865.8800,-1.421800
2025-04-29,8.3000,8.5200,8.3000,8.4700,20714208,175105978.8500,1.802900
2025-04-30,8.4900,8.6800,8.4600,8.6400,22328890,191939273.6300,2.007100
2025-05-06,8.6900,8.9700,8.6400,8.9600,31729668,280323867.2800,3.703700
2025-05-07,9.0500,9.1200,8.8500,8.9600,37008123,332592516.4600,0.000000
2025-05-08,8.9000,8.9800,8.8400,8.9200,18598890,165793973.3300,-0.446400
2025-05-09,8.9300,8.9400,8.7500,8.7600,17099718,150379703.2800,-1.793700
2025-05-12,8.8500,8.8800,8.7500,8.7900,18280243,161059840.3700,0.342500
2025-05-13,8.9000,8.9200,8.7600,8.8100,17841389,157521117.4400,0.227500
2025-05-14,8.8000,8.9200,8.7400,8.8500,18116352,159896107.9500,0.454000
2025-05-15,8.8100,8.8500,8.6200,8.6400,15766115,136981817.8200,-2.372900
2025-05-16,8.6100,8.7800,8.6000,8.6800,11523503,100447349.9000,0.463000
2025-05-19,8.7300,8.8200,8.6400,8.7400,13743281,120017346.4500,0.691200
2025-05-20,8.7700,8.9000,8.6800,8.8900,17150517,151012958.5600,1.716200
2025-05-21,8.8800,8.8900,8.7100,8.7600,14909498,130806137.2100,-1.462300
2025-05-22,8.7400,8.8500,8.5700,8.5800,16973673,147436268.7500,-2.054800
2025-05-23,8.5500,8.9000,8.5200,8.6900,26966599,235655163.6900,1.282100
2025-05-26,8.7000,9.0500,8.6500,8.8300,27586354,243515278.0100,1.611000
2025-05-27,8.7400,8.8900,8.7200,8.8500,20283067,179053186.4000,0.226500
2025-05-28,8.8300,8.8500,8.5600,8.6000,23058254,199692418.1400,-2.824900
2025-05-29,8.6000,9.1100,8.5800,9.0400,45092635,402915524.5500,5.116300
2025-05-30,9.0100,9.0200,8.7500,8.7800,27872443,246441920.9800,-2.876100
2025-06-03,8.7600,8.8300,8.6800,8.6900,19717938,172285870.5900,-1.025100
