date,open,high,low,close,volume,amount,pctChg
2025-01-02,31.0000,31.1000,29.4100,29.7700,4339600,131614039.0000,-4.276500
2025-01-03,29.9100,29.9600,28.2500,28.2500,4583300,132930846.3100,-5.105800
2025-01-06,28.2600,28.5200,27.6100,27.9900,3727687,104741453.1400,-0.920400
2025-01-07,28.1000,29.4900,27.8000,29.3600,5079656,145543952.6900,4.894600
2025-01-08,29.0800,29.4600,27.6200,28.4300,6028589,171736721.1700,-3.167600
2025-01-09,28.0600,29.4900,28.0000,28.8800,4659400,135063338.4200,1.582800
2025-01-10,28.7000,29.3800,27.8500,27.8500,3870100,111097252.3500,-3.566500
2025-01-13,27.6800,28.7000,27.5100,28.3000,3827300,107868453.0000,1.615800
2025-01-14,28.3800,29.3700,28.0500,29.2800,4330609,125281265.4200,3.462900
2025-01-15,29.1700,29.4500,28.7700,28.9400,3298176,95623032.2000,-1.161200
2025-01-16,29.0900,29.6600,28.6100,28.8100,3024200,87981426.0000,-0.449200
2025-01-17,28.6700,29.6500,28.5900,29.3000,3511000,102472102.0000,1.700800
2025-01-20,29.5100,29.6800,29.1700,29.3700,2955009,86933828.6800,0.238900
2025-01-21,29.5500,29.6000,28.7500,29.1500,3035500,88212941.0000,-0.749100
2025-01-22,29.0600,29.1800,28.6100,29.0000,2322447,67172941.6500,-0.514600
2025-01-23,29.2800,29.9200,28.9500,28.9500,3554700,104838563.0600,-0.172400
2025-01-24,28.9700,29.4200,28.8600,29.3700,2761300,80734413.0000,1.450800
2025-01-27,29.3800,29.7500,28.6900,28.6900,2473868,72101404.9600,-2.315300
2025-02-05,29.0200,29.3800,28.8200,28.9500,2638668,76710832.7600,0.906200
2025-02-06,28.8900,29.9100,28.7300,29.8700,4164511,123065534.8600,3.177900
2025-02-07,29.9800,30.7000,29.7400,30.3100,4960800,149982905.0000,1.473000
2025-02-10,30.3800,30.6100,29.9600,30.4100,3525800,107125296.0000,0.329900
2025-02-11,30.4100,30.5000,29.8200,30.0400,2935700,88110466.0000,-1.216700
2025-02-12,29.9900,30.7200,29.8600,30.7100,3657700,110851393.0000,2.230400
2025-02-13,30.5100,30.7100,29.9600,30.0000,3047900,92225346.0000,-2.312000
2025-02-14,30.1600,30.3700,29.6700,29.9000,3369100,100707913.0000,-0.333300
2025-02-17,29.9900,30.3300,29.7500,29.9900,3721100,111558540.0000,0.301000
2025-02-18,29.9700,30.1700,28.8300,29.0000,4180700,123309099.0000,-3.301100
2025-02-19,29.1400,30.0600,28.9500,29.9800,4333500,128468230.0000,3.379300
2025-02-20,29.9700,31.5400,29.7800,31.4400,9033600,279886581.0000,4.869900
2025-02-21,31.2500,31.6900,30.8800,31.4100,5749738,179731126.0400,-0.095400
2025-02-24,31.4000,31.4600,30.9100,31.1700,4186000,130372729.0000,-0.764100
2025-02-25,30.8100,31.1700,30.6000,30.6900,4187992,129192118.6800,-1.539900
2025-02-26,30.8100,31.8600,30.6500,31.5000,6304952,198258425.4000,2.639300
2025-02-27,31.5000,31.7900,30.5900,31.2600,4560800,142022538.0000,-0.761900
2025-02-28,31.2600,31.2600,29.8700,30.0000,4536000,138215744.9200,-4.030700
2025-03-03,30.0000,31.0500,29.9100,30.4000,3915900,119848779.0000,1.333300
2025-03-04,30.4000,32.5700,30.0900,32.1700,9904720,315584159.5800,5.822400
2025-03-05,31.9900,32.9300,31.8000,32.5500,8204700,266316514.0000,1.181200
2025-03-06,32.4300,32.9800,32.0700,32.4500,8329491,271368107.3400,-0.307200
2025-03-07,32.3800,34.1500,32.1000,33.4500,12676727,424030830.6600,3.081700
2025-03-10,33.5000,36.1900,33.5000,35.5200,19584432,688343817.9300,6.188300
2025-03-11,34.9100,39.6400,34.8200,39.0700,26284552,991008917.3100,9.994400
2025-03-12,39.3000,41.5800,38.7800,39.9800,32623561,1308717167.5700,2.329200
2025-03-13,39.7100,40.2600,38.2900,39.8400,20881898,822710702.6500,-0.350200
2025-03-14,39.6000,39.6000,38.1700,38.9300,13605264,528033793.9900,-2.284100
2025-03-17,38.8700,40.0000,37.6900,38.8500,14111602,549121795.0300,-0.205500
2025-03-18,38.6100,40.7800,38.1400,38.4500,13750800,539842900.6600,-1.029600
2025-03-19,38.3200,39.5500,37.6000,39.0000,12921762,499141502.0800,1.430400
2025-03-20,38.6100,41.1800,38.5000,39.7500,15981837,641625190.4400,1.923100
2025-03-21,39.0500,40.6800,39.0500,40.0000,13664655,546404008.3500,0.628900
2025-03-24,39.9500,40.0800,37.4300,38.0700,15749119,601713477.8000,-4.825000
2025-03-25,38.4600,43.6700,38.0300,41.4700,25748030,1076531604.2600,8.930900
2025-03-26,41.2700,42.5000,40.1100,41.2000,15942241,656869399.3300,-0.651100
2025-03-27,41.1000,41.2700,39.1000,39.4000,11567806,461397749.6200,-4.368900
2025-03-28,39.2300,40.0800,38.7000,38.8900,6932647,271736751.6400,-1.294400
2025-03-31,38.4600,38.9000,37.5000,37.9300,7732680,294079106.6000,-2.468500
2025-04-01,38.3900,40.3600,38.3000,39.4900,13817949,546902384.5800,4.112800
2025-04-02,39.4000,40.8000,39.1000,40.2100,11691490,468426874.0000,1.823200
2025-04-03,40.9000,41.5000,39.8200,39.9900,10922700,442152823.8800,-0.547100
2025-04-07,37.5200,39.7000,34.8000,36.2800,15464880,582959585.6000,-9.277300
2025-04-08,36.5000,38.0000,34.4300,35.5800,15292916,548976329.9400,-1.929400
2025-04-09,35.1900,40.1600,34.5300,38.8600,17586300,666619412.9000,9.218700
2025-04-10,38.8000,40.5700,38.3000,39.6300,17034569,677227127.8300,1.981500
2025-04-11,39.8400,41.7700,39.3500,40.6800,19337300,790369234.0000,2.649500
2025-04-14,41.0000,41.6000,39.7300,40.3000,14958105,605796833.8600,-0.934100
2025-04-15,40.2900,40.3800,36.7800,37.4100,16600099,626845767.0100,-7.171200
2025-04-16,37.1800,38.2000,36.5500,37.5400,10939629,408773741.8300,0.347500
2025-04-17,37.0300,37.9600,35.7100,35.8000,13246300,485025752.9100,-4.635100
2025-04-18,35.7200,36.0500,35.2000,35.6800,7279547,259615238.9900,-0.335200
2025-04-21,35.5000,36.3600,35.4300,35.8800,6575800,236030162.7700,0.560500
2025-04-22,35.6200,36.3600,34.8000,35.4000,6913047,245906627.9300,-1.337800
2025-04-23,35.8000,35.9000,35.2200,35.5900,6159048,218683574.9600,0.536700
2025-04-24,34.6500,35.5800,33.5000,35.3900,8251147,286651145.8800,-0.562000
2025-04-25,35.2000,36.1200,35.0800,35.3500,6332161,225318094.3600,-0.113000
2025-04-28,34.8000,35.4800,33.8900,34.0700,7139700,245917035.0000,-3.620900
2025-04-29,33.8800,34.2600,33.6000,33.8600,5625600,190793306.0000,-0.616400
2025-04-30,33.8700,34.4900,33.6000,33.6000,5777500,195877330.0000,-0.767900
2025-05-06,33.8500,34.3500,33.5200,34.2900,7480119,254060010.2200,2.053600
2025-05-07,34.6900,35.8900,34.5000,35.2900,12076303,424291789.0200,2.916300
2025-05-08,35.2700,35.7700,34.5000,35.7700,10906599,382874948.4600,1.360200
2025-05-09,35.5500,35.7200,34.0500,34.4600,9604703,331541300.3700,-3.662300
2025-05-12,35.9900,40.8800,34.9800,39.8800,31841627,1227297526.8500,15.728400
2025-05-13,39.7000,39.7000,37.2900,37.3500,20864200,793651750.2000,-6.344000
2025-05-14,37.3500,37.8600,36.6300,36.7900,11549600,426473901.0000,-1.499300
2025-05-15,36.8200,36.9000,35.8300,36.0000,7985600,288851712.0000,-2.147300
2025-05-16,35.8200,36.3400,35.1700,35.1900,9950151,355744703.4000,-2.250000
2025-05-19,35.3500,35.7600,34.5800,35.4600,7460519,262163143.0500,0.767300
2025-05-20,35.2500,35.4000,34.8400,35.1000,5334400,187076462.0000,-1.015200
2025-05-21,34.9300,35.1800,34.6300,34.9400,4666800,162934583.0000,-0.455800
2025-05-22,34.8100,35.7700,34.6600,34.9800,6744799,237746605.8600,0.114500
2025-05-23,34.7000,34.7000,33.7000,33.7100,7020300,240251539.0000,-3.630600
2025-05-26,33.5800,34.1900,33.5300,34.1800,3731500,126647382.0000,1.394200
2025-05-27,33.9500,34.1700,33.4000,33.6700,3535800,119145222.0000,-1.492100
2025-05-28,33.7100,33.8400,33.2500,33.2900,3202011,107438930.2600,-1.128600
2025-05-29,33.2500,33.8700,33.2000,33.8400,3411246,114824741.4500,1.652100
2025-05-30,33.7600,34.3500,33.4400,34.0400,4488361,152641696.8400,0.591000
2025-06-03,34.0400,34.9800,34.0000,34.6800,4820910,166874115.5300,1.880100
2025-06-04,34.5900,34.8700,34.1500,34.4200,4256159,146286409.5000,-0.749700
2025-06-05,34.3400,34.4600,33.8400,34.3700,4562553,155920295.7200,-0.145300
2025-06-06,34.6000,35.5200,34.5000,34.7000,7020434,246298756.0700,0.960100
2025-06-09,34.6500,35.2000,34.4800,34.4900,5421151,188604120.3900,-0.605200
2025-06-10,34.5800,34.5800,33.2800,33.7300,5812141,196591518.2000,-2.203500
