date,open,high,low,close,volume,amount,pctChg
2025-01-02,27.9800,28.1200,26.6300,26.9900,19535704,535235182.4000,-3.572700
2025-01-03,27.1500,28.2800,26.2500,27.0600,33507398,913838876.7000,0.259400
2025-01-06,26.9000,27.4000,25.8900,26.1700,22178526,586840271.4000,-3.289000
2025-01-07,26.3000,26.8400,26.1900,26.7800,17032938,451963138.0000,2.330900
2025-01-08,26.5300,27.2800,26.0000,26.9200,25661408,684912700.4200,0.522800
2025-01-09,26.6600,27.3900,26.6600,26.7600,20355948,549991958.5600,-0.594400
2025-01-10,26.7000,27.0300,25.7000,25.7000,16334494,431264098.7200,-3.961100
2025-01-13,25.5600,26.0800,25.0900,25.9000,13994407,359194047.8000,0.778200
2025-01-14,25.9800,28.0800,25.7700,27.9100,28772618,780893075.8200,7.760600
2025-01-15,27.7400,28.0000,27.2000,27.3300,16310195,449367672.3600,-2.078100
2025-01-16,27.8100,28.4200,27.3200,27.5900,20026942,556865252.0000,0.951300
2025-01-17,27.5600,29.4300,27.2600,28.9200,41748847,1192015884.1800,4.820600
2025-01-20,29.1100,29.3500,28.2300,28.4900,33297700,958151157.2200,-1.486900
2025-01-21,28.5000,28.7100,27.8200,28.4400,20927966,591423893.7600,-0.175500
2025-01-22,28.1500,28.3800,27.7200,27.8700,15421260,432441767.7800,-2.004200
2025-01-23,28.2800,28.8000,27.4400,27.4400,21565420,607150452.9100,-1.542900
2025-01-24,27.4100,28.3600,27.3300,28.2500,21408351,599755862.4900,2.951900
2025-01-27,28.5000,28.6700,27.0300,27.0500,16005810,442374225.5000,-4.247800
2025-02-05,27.4600,28.2500,27.3000,27.8900,16850342,469155197.7800,3.105400
2025-02-06,27.9000,32.4900,27.6600,32.0300,69638370,2133199330.9200,14.844000
2025-02-07,32.0500,34.3700,31.6500,33.6700,84210222,2779495595.9300,5.120200
2025-02-10,35.3900,35.8000,33.6600,34.3800,65992580,2280125472.9100,2.108700
2025-02-11,34.4000,35.0300,33.0300,33.8500,49788954,1697225008.8600,-1.541600
2025-02-12,34.4000,36.3200,33.4800,35.6000,65166867,2284836952.8400,5.169900
2025-02-13,35.0200,36.0300,34.3700,34.8000,48426544,1696050364.5700,-2.247200
2025-02-14,34.4500,34.6500,32.8800,33.8300,44457051,1493414786.9200,-2.787400
2025-02-17,33.6300,34.3300,33.1300,33.7100,32896811,1109361971.7300,-0.354700
2025-02-18,33.7000,34.1000,31.4500,31.6600,37780101,1228112236.8500,-6.081300
2025-02-19,31.6100,32.5000,31.5000,32.2300,25673099,825225680.3200,1.800400
2025-02-20,32.3900,33.3300,32.1400,32.8000,31903601,1043445241.8100,1.768500
2025-02-21,33.0600,33.3500,32.0600,33.0700,37490354,1230788593.5300,0.823200
2025-02-24,32.7400,35.6200,32.3200,35.6000,80101813,2745846954.6100,7.650400
2025-02-25,34.9600,38.3900,34.6600,36.3900,92557456,3410257853.5100,2.219100
2025-02-26,37.0200,37.2000,35.2100,35.8900,55921452,2006736349.8700,-1.374000
2025-02-27,35.4800,35.7100,33.8800,35.2700,47230850,1643933769.4900,-1.727500
2025-02-28,35.0000,36.2200,34.1600,34.6400,52836200,1873367743.4400,-1.786200
2025-03-03,34.6300,35.8800,33.3200,34.1900,35249962,1222564981.1100,-1.299100
2025-03-04,33.9000,34.7700,33.7300,34.5000,24908296,852854503.0400,0.906700
2025-03-05,35.7500,36.3800,34.5000,34.5300,42438424,1504660273.4800,0.087000
2025-03-06,34.2800,35.5500,33.6000,34.7000,46690716,1614162273.3700,0.492300
2025-03-07,34.0700,34.1800,32.8000,33.0500,37480186,1258117869.6600,-4.755000
2025-03-10,33.0000,33.4800,32.5900,33.2900,19050546,631151851.2700,0.726200
2025-03-11,32.7900,33.9000,32.5600,33.8900,23145418,773495554.8000,1.802300
2025-03-12,34.1000,34.8700,33.6800,33.9900,30660648,1053235878.6700,0.295100
2025-03-13,33.9800,34.8000,33.3100,33.5700,24378720,831436280.6800,-1.235700
2025-03-14,34.1500,34.5300,33.0400,34.4700,24586648,836853060.0600,2.681000
2025-03-17,34.8100,35.7500,34.5300,35.1000,33047813,1165014247.5800,1.827700
2025-03-18,35.4900,35.5000,34.3200,34.6100,24513076,851758007.3400,-1.396000
2025-03-19,34.5100,34.8000,33.4800,33.9500,22374356,760819195.7400,-1.907000
2025-03-20,33.9500,34.2900,31.5600,32.1700,23595394,785753344.9200,-5.243000
2025-03-21,31.4000,31.4000,29.0700,29.0800,44710327,1331813057.0400,-9.605200
2025-03-24,28.8800,29.4800,28.1800,29.1000,20641163,594704576.0800,0.068800
2025-03-25,29.1200,29.2100,27.9400,28.0700,16189686,460048236.3000,-3.539500
2025-03-26,28.0200,28.4800,27.9500,28.0100,11910696,335941055.4000,-0.213800
2025-03-27,28.0000,28.3300,27.5700,28.1400,10959000,307905188.0000,0.464100
2025-03-28,28.1600,28.2800,27.5000,27.5000,10357030,288359930.5800,-2.274300
2025-03-31,27.3900,27.8700,26.8200,27.6900,13566416,369838115.7800,0.690900
2025-04-01,27.9200,27.9900,27.2200,27.2300,11506400,316922694.8400,-1.661200
2025-04-02,27.2500,27.4300,27.1000,27.1700,8222824,223883218.5600,-0.220300
2025-04-03,26.7200,27.2300,26.4100,26.5400,11094949,296668007.6000,-2.318700
2025-04-07,24.1400,24.8000,21.2300,21.2300,25728491,584697517.4900,-20.007500
2025-04-08,21.6300,23.2200,21.6200,22.6800,30580756,689589126.3800,6.830000
2025-04-09,22.2100,23.6100,21.1000,23.3800,26724805,607708838.1900,3.086400
2025-04-10,24.9000,25.3400,24.1000,24.2300,26216552,648346068.9200,3.635600
2025-04-11,24.1000,24.9600,23.9000,24.5800,17800509,435987740.8000,1.444500
