date,open,high,low,close,volume,amount,pctChg
2025-01-02,5.0700,5.1500,4.8300,4.8800,16510999,82683558.5100,-3.747500
2025-01-03,4.8900,4.9200,4.6700,4.7000,14001458,67056204.8200,-3.688500
2025-01-06,4.6800,4.7600,4.5500,4.7000,12086280,56529389.5600,0.000000
2025-01-07,4.7100,4.7900,4.6700,4.7900,9508402,45006182.6700,1.914900
2025-01-08,4.8000,4.8000,4.6100,4.7400,11130093,52507212.2800,-1.043800
2025-01-09,4.7000,4.7800,4.6600,4.7100,8336310,39469155.9000,-0.632900
2025-01-10,4.6900,4.7500,4.5400,4.5400,8977970,41631184.8000,-3.609300
2025-01-13,4.5000,4.6100,4.4400,4.5700,10617269,48155843.9300,0.660800
2025-01-14,4.6000,4.7500,4.5700,4.7400,10247130,47895244.3400,3.719900
2025-01-15,4.7400,4.7600,4.6500,4.7200,11397720,53555412.6000,-0.421900
2025-01-16,4.7500,4.8800,4.7200,4.7800,11492570,55054736.4000,1.271200
2025-01-17,4.7600,4.8200,4.6800,4.7700,10218185,48616751.4000,-0.209200
2025-01-20,4.8000,4.8700,4.7200,4.8200,9523275,45854282.3000,1.048200
2025-01-21,4.8400,4.8600,4.6700,4.6800,13074188,61921743.0100,-2.904600
2025-01-22,4.6700,4.6700,4.5600,4.6300,10199019,46984744.0200,-1.068400
2025-01-23,4.6500,4.7700,4.6200,4.6300,11897860,55976272.4200,0.000000
2025-01-24,4.6500,4.7100,4.6100,4.6900,10402075,48558660.6500,1.295900
2025-01-27,4.7200,4.8800,4.6800,4.7200,15195377,72507633.0100,0.639700
2025-02-05,4.7600,4.8000,4.6800,4.7100,12022778,57034701.2000,-0.211900
2025-02-06,4.7000,4.7800,4.6200,4.7700,15458700,72841199.0000,1.273900
2025-02-07,4.7700,4.9100,4.7600,4.8400,19728848,95742921.8200,1.467500
2025-02-10,4.8600,4.9300,4.8400,4.9300,16154530,79005533.7000,1.859500
2025-02-11,4.9300,4.9500,4.7700,4.8300,13849523,66644443.2300,-2.028400
2025-02-12,4.8600,4.8900,4.7700,4.8800,12731395,61541963.6300,1.035200
2025-02-13,4.9100,4.9900,4.8800,4.9000,18551035,91462776.3900,0.409800
2025-02-14,4.9000,4.9100,4.8100,4.8400,12609491,61068351.2900,-1.224500
2025-02-17,4.8500,4.9400,4.8100,4.9200,16753550,81715670.9400,1.652900
2025-02-18,4.9000,4.9000,4.7400,4.7600,13918448,67096015.0000,-3.252000
2025-02-19,4.7700,4.8500,4.7500,4.8500,9813822,47049877.4400,1.890800
2025-02-20,4.8300,4.8800,4.7800,4.8600,12329918,59521685.6800,0.206200
2025-02-21,4.8700,4.9400,4.7600,4.8100,15801578,76282930.3200,-1.028800
2025-02-24,4.8000,4.9200,4.7900,4.8900,17909381,87237628.2600,1.663200
2025-02-25,4.8700,4.8800,4.7700,4.8200,13973501,67473187.2400,-1.431500
2025-02-26,4.8300,4.9300,4.8300,4.9200,17830956,87101465.4600,2.074700
2025-02-27,4.9300,4.9900,4.8200,4.9100,15380778,75328725.3400,-0.203300
2025-02-28,4.8800,4.9400,4.7500,4.7700,19304751,93105795.2900,-2.851300
2025-03-03,4.7700,4.9000,4.7500,4.8000,18070251,87486208.2200,0.628900
2025-03-04,4.7700,4.8300,4.7600,4.8300,12321001,59119879.6900,0.625000
2025-03-05,4.8300,4.8400,4.6900,4.7400,15293711,72321840.8300,-1.863400
2025-03-06,4.7500,4.8700,4.7200,4.8700,17000088,81849427.2200,2.742600
2025-03-07,4.8700,4.9200,4.8200,4.8700,12751565,62023543.1000,0.000000
2025-03-10,4.8800,5.3500,4.8800,5.1500,47939583,245161486.1400,5.749500
2025-03-11,5.1500,5.4600,5.0700,5.3700,53317346,282826577.3200,4.271800
2025-03-12,5.3200,5.3600,5.2000,5.2200,29110740,152470783.0000,-2.793300
2025-03-13,5.2000,5.2500,5.1300,5.2000,18870400,97489196.2000,-0.383100
2025-03-14,5.1900,5.2800,5.1500,5.2500,21458750,112349995.6000,0.961500
2025-03-17,5.3000,5.3400,5.2100,5.2800,17271619,90906872.7300,0.571400
2025-03-18,5.2900,5.3000,5.1900,5.2600,15797700,82706478.0000,-0.378800
2025-03-19,5.2600,5.2700,5.1900,5.2200,10159740,53048025.4000,-0.760500
2025-03-20,5.2100,5.2400,5.1600,5.1800,9578522,49728762.8000,-0.766300
2025-03-21,5.1500,5.1900,5.0900,5.1100,9755928,50079858.2000,-1.351400
2025-03-24,5.0900,5.1200,4.9100,4.9800,13208880,66010687.8000,-2.544000
2025-03-25,4.9700,5.0300,4.9300,5.0000,9353811,46558932.1400,0.401600
2025-03-26,4.9900,5.1000,4.9800,5.0700,9684700,49074257.0000,1.400000
2025-03-27,5.0500,5.1000,4.9700,5.0400,8722807,44029161.6900,-0.591700
2025-03-28,5.0500,5.0900,4.9400,4.9600,8284541,41434976.1600,-1.587300
2025-03-31,4.9400,4.9600,4.8200,4.8500,9727255,47506727.8300,-2.217700
2025-04-01,4.8600,4.9600,4.8600,4.8900,8357574,41011989.5600,0.824700
2025-04-02,4.9000,4.9500,4.8500,4.9000,7938517,39033638.1800,0.204500
2025-04-03,4.8700,5.0300,4.8400,4.9900,12258895,60904276.1700,1.836700
2025-04-07,4.8800,4.8800,4.1700,4.2900,24899666,110836065.2700,-14.028100
2025-04-08,4.3500,4.5200,4.3500,4.4700,18439131,81989390.0300,4.195800
2025-04-09,4.4300,4.6300,4.1700,4.5900,19203760,85598956.5000,2.684600
2025-04-10,4.6400,4.7200,4.6000,4.6800,13939830,65129895.0000,1.960800
2025-04-11,4.6100,4.7000,4.5800,4.6500,11638900,54088899.0000,-0.641000
2025-04-14,4.6900,4.7300,4.6500,4.6600,10004800,46917992.4900,0.215100
2025-04-15,4.7000,4.7000,4.5900,4.6400,8988177,41659005.5400,-0.429200
2025-04-16,4.6200,4.6600,4.5200,4.6000,9722852,44595777.4000,-0.862100
2025-04-17,4.5800,4.8600,4.5400,4.7300,17517084,83256966.5200,2.826100
2025-04-18,4.7300,4.7600,4.6100,4.7200,11490469,53889593.3000,-0.211400
2025-04-21,4.7000,4.7700,4.6700,4.7400,8436137,39813238.9000,0.423700
