date,open,high,low,close,volume,amount,pctChg
2025-01-02,14.8700,15.1900,14.2900,14.4900,2616064,38634626.5600,-2.686400
2025-01-03,14.5400,14.6200,13.6100,13.6100,2878707,40186413.2400,-6.073200
2025-01-06,13.5200,13.9200,13.0400,13.8500,2305700,31421704.9200,1.763400
2025-01-07,13.8300,14.4900,13.8300,14.4300,1940880,27609294.8000,4.187700
2025-01-08,14.4300,14.7800,14.1900,14.5400,1916600,27840702.0000,0.762300
2025-01-09,14.5400,14.6800,14.3400,14.5700,1232152,17898280.0000,0.206300
2025-01-10,14.4700,14.6700,14.1100,14.1100,1431900,20647759.9000,-3.157200
2025-01-13,14.0000,14.3900,13.7900,14.2800,1152715,16310073.3000,1.204800
2025-01-14,14.5500,15.2800,14.5100,15.2300,3099628,46546028.3200,6.652700
2025-01-15,15.2600,15.4700,15.0800,15.2300,2799986,42848458.4800,0.000000
2025-01-16,15.3000,15.4400,15.1000,15.2800,2420700,37041335.0000,0.328300
2025-01-17,15.2000,15.6800,15.2000,15.4500,3635100,56207969.0000,1.112600
2025-01-20,15.8100,16.0400,15.4000,15.8000,3831521,60667194.0300,2.265400
2025-01-21,15.9000,15.9500,15.6000,15.7000,2637216,41518877.9600,-0.632900
2025-01-22,15.6800,15.6800,15.2200,15.3000,3377600,51875166.0000,-2.547800
2025-01-23,15.4000,15.6700,15.2000,15.3200,2783884,43046995.2000,0.130700
2025-01-24,15.3300,16.1600,15.3300,16.1400,5330889,84841536.4000,5.352500
2025-01-27,16.1600,16.8500,16.1600,16.6400,5550464,92278519.0400,3.097900
2025-02-05,16.6400,16.8000,16.1800,16.2900,2982179,48787644.0300,-2.103400
2025-02-06,16.2900,16.5800,16.1600,16.5300,2890292,47307252.3300,1.473300
2025-02-07,16.5200,16.9800,16.3600,16.5800,3231770,54035372.1200,0.302500
2025-02-10,16.5000,16.8300,16.5000,16.7900,2571216,43037099.8000,1.266600
2025-02-11,16.8100,17.0000,16.7000,16.8700,2749034,46343350.3400,0.476500
2025-02-12,16.8500,17.4300,16.8500,17.3600,4063366,69984983.8500,2.904600
2025-02-13,17.3600,17.5300,16.6500,16.7400,4478880,76458637.2000,-3.571400
2025-02-14,16.7400,16.9900,16.5400,16.8600,3209726,53892315.2600,0.716800
2025-02-17,16.8300,16.9800,16.6100,16.8900,3419418,57278862.0100,0.177900
2025-02-18,16.8200,17.0100,16.4100,16.5200,2356700,39336289.0000,-2.190600
2025-02-19,16.5200,16.7400,16.4300,16.5200,2446674,40475275.3100,0.000000
2025-02-20,16.4000,16.7700,16.4000,16.6500,2706311,44973809.8400,0.786900
2025-02-21,16.6600,17.0800,16.5000,16.7100,2918258,48738569.8900,0.360400
2025-02-24,16.7900,18.3500,16.5100,17.0100,9594084,167892061.4800,1.795300
2025-02-25,16.9400,18.1200,16.7200,17.7300,8616573,150542729.3700,4.232800
2025-02-26,17.7400,18.1700,17.6300,17.9000,8465132,151954978.9900,0.958800
2025-02-27,17.8900,18.3000,17.4900,17.5700,5471345,97559111.6400,-1.843600
2025-02-28,17.4900,17.7500,17.3000,17.4900,4496553,78560296.7200,-0.455300
2025-03-03,17.6100,18.5000,17.5100,17.6100,9510618,171864418.2800,0.686100
2025-03-04,17.7000,18.0600,17.5500,17.8300,4154885,73894040.2000,1.249300
2025-03-05,17.7000,17.8300,17.4100,17.7100,3325520,58616646.2000,-0.673000
2025-03-06,17.7500,17.8500,17.5800,17.6500,2909820,51487520.8800,-0.338800
2025-03-07,17.5500,17.7900,17.2800,17.4500,3191544,55767658.0000,-1.133100
2025-03-10,17.4500,17.6200,17.3000,17.4700,2040806,35646943.4000,0.114600
2025-03-11,17.3500,17.5500,17.2000,17.5100,1987684,34601646.6400,0.229000
2025-03-12,17.5100,17.6000,17.2800,17.3400,2279300,39616396.0000,-0.970900
2025-03-13,17.3600,17.3600,16.5900,16.8300,4433922,74707748.4000,-2.941200
2025-03-14,16.9000,17.2700,16.5100,17.1900,3462442,58752273.1200,2.139000
2025-03-17,17.2100,17.5600,17.0700,17.2300,2626011,45357289.8500,0.232700
2025-03-18,17.2000,17.4200,17.1000,17.2500,1983869,34145149.5500,0.116100
2025-03-19,17.1700,17.3200,16.9700,17.0500,1947820,33386410.0000,-1.159400
2025-03-20,16.9000,17.2100,16.7700,16.8100,2486559,42223153.7400,-1.407600
2025-03-21,16.7100,17.4400,16.3800,16.7200,4851138,81065278.1600,-0.535400
2025-03-24,16.8700,17.1800,16.2800,16.6300,5679574,94917978.1200,-0.538300
2025-03-25,16.4900,17.0900,16.3100,16.9200,5073778,84587775.4600,1.743800
2025-03-26,16.8200,17.5200,16.7900,17.3300,4316722,74633925.4400,2.423200
