date,open,high,low,close,volume,amount,pctChg
2025-01-02,224.0000,228.3300,214.0700,215.6600,7510620,1656221807.7400,-4.287200
2025-01-03,218.0000,219.9900,198.0100,200.0000,7882603,1628781099.9100,-7.261400
2025-01-06,164.0000,177.0000,160.0000,160.0000,13316470,2191940852.4200,-20.000000
2025-01-07,160.5700,163.0000,154.0000,162.8900,10133057,1612958430.0500,1.806300
2025-01-08,162.2000,174.2200,162.0000,169.8000,10764608,1826388097.2500,4.242100
2025-01-09,168.7800,170.1600,162.5000,162.9000,7409217,1227193950.8000,-4.063600
2025-01-10,158.0100,161.9900,153.0100,153.0100,6606195,1040513776.9300,-6.071200
2025-01-13,154.7000,162.4500,154.7000,158.5400,6878796,1090957102.7200,3.614100
2025-01-14,160.9100,164.8100,155.5000,164.2900,7774775,1252886759.5000,3.626800
2025-01-15,166.0000,169.9900,162.5500,167.5000,7021415,1173061924.3800,1.953900
2025-01-16,173.3800,195.7900,168.1000,190.0000,12824657,2303377939.0100,13.432800
2025-01-17,188.4800,193.9800,185.1900,189.9500,7869740,1492839268.6200,-0.026300
2025-01-20,188.0000,192.7200,185.1400,189.2900,5458060,1032496174.2000,-0.347500
2025-01-21,189.9100,191.0000,185.0000,189.3100,5190310,973134386.7000,0.010600
2025-01-22,189.2400,198.6000,188.0100,193.9400,7552773,1465616015.4700,2.445700
2025-01-23,195.0000,207.5200,192.5500,196.0000,7940820,1583951451.2000,1.062200
2025-01-24,195.0000,204.8000,194.2800,200.1600,6297626,1265972885.0800,2.122400
2025-01-27,192.0000,194.0000,179.5000,179.5000,8643826,1588694489.6200,-10.321700
2025-02-05,170.4600,175.0000,163.0300,170.6000,8129191,1356134767.5200,-4.958200
2025-02-06,174.0000,175.0000,168.6000,173.9600,4937700,852339216.0000,1.969500
2025-02-07,173.2600,183.5000,173.0700,179.0000,7229763,1299031238.8800,2.897200
2025-02-10,178.1700,181.3500,176.8500,179.7700,4437839,793947670.9400,0.430200
2025-02-11,179.7700,184.7700,178.5900,179.8000,4382170,793307326.8400,0.016700
2025-02-12,178.8000,189.4000,177.2000,185.7900,5992931,1098577050.7900,3.331500
2025-02-13,184.2000,187.0000,181.0000,181.0300,4715758,863727949.6900,-2.562000
2025-02-14,181.0300,188.2900,175.0000,178.0000,5287464,954058840.6500,-1.673800
2025-02-17,175.7800,186.6800,175.7600,182.6800,6551213,1189839811.8400,2.629200
2025-02-18,181.0000,195.3800,180.0200,190.0300,8682911,1653495553.0700,4.023400
2025-02-19,186.4200,186.4200,182.3000,185.0000,6549320,1203023246.8000,-2.647000
2025-02-20,186.0000,202.2000,186.0000,198.0000,10292321,2009355322.4700,7.027000
2025-02-21,195.6600,205.9700,190.8000,202.2100,8050133,1594778850.9000,2.126300
2025-02-24,199.9900,215.0000,196.0900,201.4300,8363883,1721102806.0000,-0.385700
2025-02-25,197.7200,211.0000,192.5000,208.1000,8498098,1714372477.3000,3.311300
2025-02-26,205.0000,208.5000,200.0000,204.9800,5643370,1148928645.2900,-1.499300
2025-02-27,202.5900,211.2500,197.0000,202.0000,4732660,960739823.6500,-1.453800
2025-02-28,193.8500,212.0000,192.0000,199.6000,7834419,1591667466.5200,-1.188100
2025-03-03,197.0000,200.0000,168.0000,170.9900,11498438,2082536572.6900,-14.333700
2025-03-04,166.0000,180.0000,165.0300,177.0000,6858616,1179218370.4400,3.514800
2025-03-05,177.0100,178.8800,170.8000,176.0000,4706181,822154131.9500,-0.565000
2025-03-06,179.8200,196.6600,173.0100,194.3600,8181921,1514047662.7500,10.431800
2025-03-07,189.3600,194.2700,187.0000,189.7100,5032128,956905048.1500,-2.392500
2025-03-10,187.0000,187.9000,178.1600,183.2500,4879080,889525060.8500,-3.405200
2025-03-11,178.5000,184.7000,178.0600,182.0400,3269621,591608086.6100,-0.660300
2025-03-12,183.0000,191.9800,181.1400,185.5000,4123925,766718560.9100,1.900700
2025-03-13,186.1000,187.5000,178.5000,180.0800,3730960,680794861.6000,-2.921800
