date,open,high,low,close,volume,amount,pctChg
2025-01-02,255.4100,256.5600,246.2600,247.8500,6209262,1549132329.6200,-2.803900
2025-01-03,247.8600,249.1300,243.0700,243.6600,4743398,1167652149.6900,-1.690500
2025-01-06,246.0000,249.8400,244.6000,245.5000,3883975,957320820.8900,0.755200
2025-01-07,246.3300,246.7300,239.5100,241.3000,4885408,1180095473.9600,-1.710800
2025-01-08,241.1900,241.8200,237.2000,239.2800,5343419,1278735512.8900,-0.837100
2025-01-09,238.3200,240.3000,236.1600,236.2800,4544767,1077240418.5000,-1.253800
2025-01-10,236.3100,237.1000,231.0000,231.0000,6134944,1429155212.5300,-2.234600
2025-01-13,230.0000,232.3000,229.9700,231.4500,3513863,811311260.6900,0.194800
2025-01-14,230.9500,237.2100,230.1800,236.0000,5712559,1341057937.0700,1.965900
2025-01-15,235.0000,236.0600,232.6600,235.0000,3847721,901960203.6300,-0.423700
2025-01-16,236.1800,238.7800,234.2400,234.5400,3203238,757055875.9400,-0.195700
2025-01-17,234.1200,236.4800,232.8500,233.8500,4007313,938568031.0000,-0.294200
2025-01-20,234.7800,237.3300,234.0000,236.4000,4579318,1079408679.4500,1.090400
2025-01-21,237.0000,237.5700,232.6200,235.3800,3186414,748336813.6300,-0.431500
2025-01-22,234.7700,234.9400,228.6000,229.3700,5385232,1240071459.5600,-2.553300
2025-01-23,231.4600,235.9500,231.0000,233.3300,5325494,1245232508.5300,1.726500
2025-01-24,232.3200,237.4800,231.6200,234.0400,4473633,1050665995.4700,0.304300
2025-01-27,235.0300,235.8000,232.3600,232.4000,3479291,813682638.7100,-0.700700
2025-02-05,234.1300,239.2000,232.4000,236.8000,6118197,1445795159.6000,1.893300
2025-02-06,237.5100,243.7800,235.2800,240.0000,6983332,1670991969.5600,1.351400
2025-02-07,242.0800,252.5000,240.3100,251.1900,10857643,2695825170.4600,4.662500
2025-02-10,251.3100,256.7500,249.0300,254.0500,7344587,1863146765.8100,1.138600
2025-02-11,254.6500,257.8500,252.2200,252.6700,5978428,1523071463.6300,-0.543200
2025-02-12,250.5000,253.6500,250.1000,252.3300,3896673,980997356.8300,-0.134600
2025-02-13,252.4000,252.9800,248.6600,251.0000,3552872,891977237.3100,-0.527100
2025-02-14,250.5000,262.9600,250.1800,261.8000,8572800,2216846099.6500,4.302800
2025-02-17,266.8000,267.1000,258.3700,258.8400,7533666,1975765934.7300,-1.130600
2025-02-18,258.5800,261.8000,255.0500,256.4000,5431621,1402938688.3900,-0.942700
2025-02-19,255.8000,257.2000,253.5000,256.0000,4599821,1175727660.7600,-0.156000
2025-02-20,255.7800,260.8000,255.2100,256.6600,4515835,1163846169.7100,0.257800
2025-02-21,256.6600,263.8000,255.3600,257.8200,6808712,1762338480.4200,0.452000
2025-02-24,260.0000,262.8400,254.6100,260.3700,6420178,1669179798.5600,0.989100
2025-02-25,257.0000,260.7600,254.5000,254.5000,5100521,1308833590.6700,-2.254500
2025-02-26,254.1300,255.9300,252.7800,255.2800,3777753,961247837.4300,0.306500
2025-02-27,254.0000,257.1200,252.0800,255.7900,4508322,1148973116.5700,0.199800
2025-02-28,254.9800,261.8000,252.4000,252.9100,6187170,1587994066.4500,-1.125900
2025-03-03,251.6100,252.6000,248.1400,249.9100,7172955,1791770044.3000,-1.186200
2025-03-04,248.8000,248.8000,241.3500,246.0000,6155905,1504333117.4500,-1.564600
2025-03-05,246.0000,246.8500,242.8500,243.2500,4095130,998913804.3400,-1.117900
2025-03-06,244.9000,248.6400,243.5000,247.3400,5701458,1405708175.8400,1.681400
2025-03-07,248.2000,248.3400,243.6500,244.0800,4965063,1217338145.8300,-1.318000
2025-03-10,245.5000,247.7800,243.6200,245.8000,5428301,1330245418.3400,0.704700
2025-03-11,244.0000,245.5300,243.3500,245.1000,5132810,1253811684.7200,-0.284800
2025-03-12,246.3800,246.4600,243.6500,244.2100,4198020,1026923018.7600,-0.363100
2025-03-13,245.2000,246.3000,243.7200,244.5500,4447930,1088770923.1800,0.139200
2025-03-14,244.9900,252.2500,243.5100,250.4200,8959583,2239411518.3700,2.400300
2025-03-17,252.0000,253.3500,249.1000,250.1500,5279271,1325303977.7900,-0.107800
2025-03-18,251.6100,255.6000,248.8500,250.5200,5520200,1395227652.5900,0.147900
2025-03-19,250.0300,251.8300,248.0000,249.1200,3675967,916997290.2800,-0.558800
2025-03-20,249.0000,249.5400,243.8800,243.9800,4403995,1083557993.3200,-2.063300
2025-03-21,243.6200,245.8800,240.2500,240.5000,4960047,1202174321.0800,-1.426300
2025-03-24,239.6500,241.4400,238.2600,239.5000,4104306,983260708.1900,-0.415800
2025-03-25,240.0100,241.3100,238.2900,240.3300,3006644,721792270.5900,0.346600
2025-03-26,240.4600,241.2500,238.4000,240.1000,2853690,684541289.1600,-0.095700
2025-03-27,239.3000,242.6400,238.7400,242.3800,3380302,814780546.5800,0.949600
2025-03-28,241.7800,242.6000,238.0800,238.0800,4300883,1031221439.2800,-1.774100
2025-03-31,238.0800,239.7800,234.0000,234.0000,6186726,1460519562.1100,-1.713700
2025-04-01,234.9900,239.8000,232.2500,236.6600,8206701,1940733181.8600,1.136800
2025-04-02,236.6000,238.3600,229.2500,229.8600,9288801,2161650608.7500,-2.873300
2025-04-03,228.0000,230.4900,225.1100,225.2700,10704404,2428159009.8800,-1.996900
2025-04-07,217.0600,222.0000,206.8000,211.5900,17462338,3778398606.3700,-6.072700
2025-04-08,213.8200,214.8000,209.1700,214.1100,11179043,2378599472.7000,1.191000
2025-04-09,211.5300,214.9800,209.6000,213.7600,9185788,1957556629.2400,-0.163500
2025-04-10,216.8000,219.3000,214.6000,215.8500,8685182,1886480161.5000,0.977700
2025-04-11,215.0400,216.6700,212.5100,214.9000,6134377,1315833241.1100,-0.440100
2025-04-14,216.7500,218.5000,214.4800,214.7100,6487237,1401863784.8700,-0.088400
2025-04-15,214.7300,215.2200,212.7300,214.1500,3935005,841800509.4500,-0.260800
2025-04-16,213.1400,214.1000,210.6800,213.2600,5088736,1077948126.6800,-0.415600
2025-04-17,212.7000,222.8800,212.1900,221.6600,8453553,1853379471.3700,3.938900
2025-04-18,221.2700,221.2700,215.0500,217.0800,4857088,1054451267.3900,-2.066200
2025-04-21,215.0500,216.7900,215.0500,216.0200,2821304,609486586.2400,-0.488300
2025-04-22,216.0500,221.1400,215.3100,219.6000,7839933,1719013375.8900,1.657300
2025-04-23,220.0200,220.6000,216.6000,217.2200,4875898,1062967704.1800,-1.083800
2025-04-24,217.0000,218.9600,213.9600,214.7100,4845525,1047505475.6400,-1.155500
2025-04-25,214.7700,219.3100,214.7700,217.0100,4636334,1009368314.5700,1.071200
2025-04-28,216.8000,217.0000,214.2700,214.8000,4401808,947574206.4300,-1.018400
2025-04-29,210.7000,218.8100,209.9900,215.8500,9008470,1935767244.6300,0.488800
2025-04-30,215.5000,221.6400,214.1800,219.6600,8264395,1811710768.9300,1.765100
2025-05-06,222.5900,222.5900,217.0300,220.2400,6303245,1382989158.8100,0.264000
2025-05-07,222.5700,223.1800,219.8300,222.4100,6656398,1476426178.0500,0.985300
2025-05-08,221.2300,226.5200,221.2200,225.8500,6871630,1547399578.7200,1.546700
