date,open,high,low,close,volume,amount,pctChg
2025-01-02,40.5700,41.1500,38.6100,39.0500,3724221,148833321.3600,-3.365500
2025-01-03,39.2200,39.5000,38.0200,38.1900,2860790,110620606.9000,-2.202300
2025-01-06,38.2100,38.6900,37.7200,38.2100,3022401,115568398.2200,0.052400
2025-01-07,38.1500,38.3600,37.6000,38.0500,2458981,93278612.6200,-0.418700
2025-01-08,37.9900,38.3700,37.0200,38.0100,2422811,91471528.0600,-0.105100
2025-01-09,37.8400,38.2000,37.7400,37.8200,1722619,65321494.4100,-0.499900
2025-01-10,37.8600,38.1500,37.0100,37.0100,1968360,73855686.2000,-2.141700
2025-01-13,36.8000,37.5000,36.5900,37.3300,1690100,62780413.0000,0.864600
2025-01-14,37.4500,39.0900,37.3800,39.0500,3193240,122341681.6000,4.607600
2025-01-15,38.9900,39.6500,38.8700,39.1200,2714699,106551989.6100,0.179300
2025-01-16,39.3800,40.1800,39.1000,39.2100,2528812,100034401.0800,0.230100
2025-01-17,39.1000,39.6800,38.8800,39.3600,1516110,59618086.1000,0.382600
2025-01-20,39.6800,40.0900,39.2500,39.2900,1497900,59407893.4000,-0.177800
2025-01-21,39.4900,39.6700,39.0200,39.2800,1246040,48904004.8000,-0.025500
2025-01-22,39.2800,39.4500,38.7000,38.7700,1595127,62095163.7100,-1.298400
2025-01-23,39.2800,39.6000,38.7600,38.8000,2088010,81718379.2000,0.077400
2025-01-24,38.7500,39.7300,38.6900,39.5700,2093400,82266120.0000,1.984500
2025-01-27,39.7800,40.1800,39.5800,39.7400,1997500,79753523.0000,0.429600
2025-02-05,40.1000,40.6000,39.7400,40.0100,2104490,84541520.0800,0.679400
2025-02-06,40.0700,40.6800,39.8100,40.6700,2585010,104580535.8000,1.649600
2025-02-07,40.6000,41.0500,40.3100,40.8700,3651907,148637613.6000,0.491800
2025-02-10,40.9100,41.5100,40.6600,41.3900,2840651,117028580.4000,1.272300
2025-02-11,41.4100,42.2500,41.0800,42.0700,3101882,129439391.3700,1.642900
2025-02-12,41.9700,42.7500,41.7000,42.1700,3037295,128531849.5200,0.237700
2025-02-13,42.3000,42.3000,41.2000,41.5300,4040394,168398940.7500,-1.517700
2025-02-14,41.5000,41.9300,40.7000,41.8600,2849822,117735390.6500,0.794600
2025-02-17,42.0300,42.3300,41.3200,41.6500,3454180,144454239.2000,-0.501700
2025-02-18,41.4700,41.6700,40.0000,40.3600,3104949,126769746.5100,-3.097200
2025-02-19,40.3000,40.7700,40.2000,40.4500,2270880,91850598.8000,0.223000
2025-02-20,40.4500,40.7300,39.9300,40.0000,3374624,135592063.3600,-1.112500
2025-02-21,40.1600,40.9500,39.5900,40.6200,4974870,200235002.8700,1.550000
2025-02-24,40.9400,40.9400,39.8500,40.1600,3430997,137784772.4300,-1.132400
2025-02-25,39.5800,39.9500,39.0100,39.2600,2952580,116152030.9900,-2.241000
2025-02-26,39.5000,39.7000,39.0500,39.1600,2719900,106746711.1800,-0.254700
2025-02-27,39.1600,39.3800,38.4100,38.9300,2535934,98642491.0200,-0.587300
2025-02-28,38.8300,38.9000,37.7200,38.1200,3215640,122889274.2400,-2.080700
2025-03-03,38.0900,38.7700,37.8200,38.0900,2950724,113134659.5900,-0.078700
2025-03-04,37.9400,38.5100,37.8700,38.2900,2681800,102545200.6000,0.525100
2025-03-05,38.4000,38.6400,37.9700,38.5100,2423645,92917933.2100,0.574600
2025-03-06,38.6800,39.5500,38.5000,39.2500,2883935,112729763.2000,1.921600
2025-03-07,39.3000,39.6500,38.7500,39.0400,2202216,86405182.8800,-0.535000
2025-03-10,39.3000,39.3800,38.6000,38.7000,2099400,81526355.0000,-0.870900
2025-03-11,38.5000,38.8900,38.0800,38.8000,1691540,65282982.4000,0.258400
2025-03-12,39.1900,40.9400,39.1800,40.6200,6263195,253212316.0800,4.690700
2025-03-13,40.2400,40.2400,38.8800,39.3100,4167709,164066368.7300,-3.225000
2025-03-14,39.2300,39.7700,38.7800,39.7500,3534540,139090188.1300,1.119300
2025-03-17,40.1900,41.6000,40.1900,40.6300,5150059,210399288.1300,2.213800
2025-03-18,40.6900,40.8000,40.2200,40.4100,2329980,94290905.0000,-0.541500
2025-03-19,40.4100,40.4100,39.7900,39.9400,2540460,101556321.8000,-1.163100
2025-03-20,39.9800,40.0500,39.6000,39.7000,1867260,74361274.1900,-0.600900
2025-03-21,39.6000,39.7500,39.0200,39.1700,2120137,83424289.2800,-1.335000
2025-03-24,39.0800,39.4800,38.6100,39.2100,2423559,94517433.9400,0.102100
2025-03-25,39.1800,39.3500,38.8500,39.2000,1640759,64149867.0500,-0.025500
2025-03-26,39.0700,39.6200,39.0700,39.3100,1492858,58729714.2000,0.280600
2025-03-27,39.2900,39.9700,39.0100,39.7300,1931988,76484509.6200,1.068400
2025-03-28,39.6000,40.3600,39.6000,40.1000,2682873,107405841.0800,0.931300
2025-03-31,39.8700,40.2900,39.2500,39.6300,2490754,98969861.9400,-1.172100
2025-04-01,39.6300,40.2000,39.6300,39.8900,2130720,85156331.6000,0.656100
2025-04-02,39.9400,40.9500,39.9400,40.4000,2579700,104484658.0000,1.278500
2025-04-03,39.9800,40.2700,39.6500,40.1600,2443800,97674711.0000,-0.594100
2025-04-07,38.9900,38.9900,34.6100,35.4300,6388648,235926888.2100,-11.777900
2025-04-08,35.6100,37.1700,35.6100,36.2100,4221020,153892172.8000,2.201500
2025-04-09,35.8800,37.0000,34.7200,36.7500,3842633,138325350.5100,1.491300
2025-04-10,37.1900,37.9000,37.1000,37.4800,2707865,101854463.0500,1.986400
2025-04-11,37.3900,37.7700,37.1900,37.3000,1989280,74542223.2400,-0.480300
2025-04-14,37.7100,37.8300,37.4000,37.4800,1995200,75008325.0000,0.482600
2025-04-15,37.5000,38.1900,37.2500,38.0600,2313300,87350755.4800,1.547500
2025-04-16,37.9000,38.4300,37.3000,37.9300,1979198,75033451.3800,-0.341600
2025-04-17,37.5500,38.0300,37.5500,37.6400,1174300,44319016.0000,-0.764600
2025-04-18,37.7300,37.7300,37.1900,37.5000,1194806,44710614.2400,-0.371900
2025-04-21,37.5000,37.9900,37.2700,37.9500,1454400,54954834.2000,1.200000
2025-04-22,37.7800,37.9800,37.6500,37.8200,1013700,38304872.4600,-0.342600
2025-04-23,37.9300,38.2900,37.8300,37.8500,1724350,65559060.9000,0.079300
2025-04-24,37.8500,38.7900,37.5300,38.5400,2896468,111308231.8200,1.823000
2025-04-25,38.4900,39.6000,38.2800,39.1600,2756743,107907684.9500,1.608700
2025-04-28,39.1200,39.6300,38.0800,38.2700,3326718,128123287.4200,-2.272700
2025-04-29,38.1200,39.2700,38.0500,38.9800,2828300,110027828.0000,1.855200
2025-04-30,38.9000,39.2500,38.8200,39.0000,1418930,55472781.6200,0.051300
2025-05-06,39.1500,39.3500,39.0100,39.1600,2318460,90846945.0300,0.410300
2025-05-07,39.4000,39.9300,39.2000,39.2700,2477200,97844395.0000,0.280900
2025-05-08,39.1800,39.6900,39.1700,39.5500,1881660,74325969.6000,0.713000
2025-05-09,39.4000,39.4900,39.0900,39.2700,1397843,54865923.7300,-0.708000
2025-05-12,39.4000,39.5900,39.1200,39.3500,1692600,66550605.8000,0.203700
2025-05-13,39.5500,39.6000,39.1200,39.2100,1536200,60351950.0000,-0.355800
