date,open,high,low,close,volume,amount,pctChg
2025-01-02,25.0000,25.0000,23.3100,23.5300,14642700,351950664.7100,-5.615700
2025-01-03,23.4500,23.6100,22.5000,22.5300,11343867,260450276.4400,-4.249900
2025-01-06,22.5400,22.7400,22.3200,22.4900,5776046,130088306.2200,-0.177500
2025-01-07,22.4700,22.7100,22.4100,22.6900,5707100,128868547.0000,0.889300
2025-01-08,22.6600,22.6600,21.5800,22.1500,10393321,228678329.2200,-2.379900
2025-01-09,22.0300,22.7300,21.8300,22.4800,8838321,197497154.0900,1.489800
2025-01-10,22.3600,22.7800,21.8000,21.8000,6466283,144031989.1300,-3.024900
2025-01-13,21.7500,22.1500,21.4000,21.9400,4773443,104082064.2900,0.642200
2025-01-14,21.9500,22.8500,21.8200,22.7600,8306444,186335761.2000,3.737500
2025-01-15,22.7600,22.8600,22.2900,22.3700,6348184,142659481.4000,-1.713500
2025-01-16,22.4900,22.8300,22.2500,22.4200,5593999,125985266.4000,0.223500
2025-01-17,22.3200,22.8800,22.2600,22.5800,6175862,139284034.8200,0.713600
2025-01-20,22.6800,22.8800,22.4400,22.4800,6234300,140827390.0000,-0.442900
2025-01-21,22.5000,22.5500,22.0000,22.3100,5410071,120005007.1000,-0.756200
2025-01-22,22.2500,22.2500,21.9200,21.9800,5145781,113297200.6400,-1.479200
2025-01-23,22.1900,22.5000,21.9100,21.9100,7311291,162318476.9300,-0.318500
2025-01-24,21.9800,22.0900,21.6800,21.9000,8044000,175809630.0000,-0.045600
2025-01-27,21.9700,22.2300,21.4500,21.4600,7745944,168393350.7600,-2.009100
2025-02-05,21.6600,21.9700,21.6000,21.8600,6970778,152219622.2400,1.863900
2025-02-06,21.8100,22.5500,21.7000,22.5100,9688590,215258114.2000,2.973500
2025-02-07,22.5100,23.4300,22.3500,23.1100,13873205,319297256.2100,2.665500
2025-02-10,23.1500,23.2800,22.8800,23.1900,8146055,188263018.5600,0.346200
2025-02-11,23.2400,23.3400,22.8800,23.0700,6186024,142433289.9700,-0.517500
2025-02-12,23.0000,23.1900,22.8800,23.1700,6769337,156084176.3900,0.433500
2025-02-13,23.1700,23.4500,23.0400,23.0500,9174955,213392129.8000,-0.517900
2025-02-14,22.9900,23.1300,22.7300,22.9100,7176200,164294456.0400,-0.607400
2025-02-17,22.9000,23.0500,22.6500,22.8100,7315283,167143403.7600,-0.436500
2025-02-18,22.8000,22.8900,22.1000,22.1900,8331200,187451845.2800,-2.718100
2025-02-19,22.1900,22.7200,22.1500,22.6700,7027358,158134847.7200,2.163100
2025-02-20,22.7200,23.5600,22.4600,23.2200,13486506,312237576.6800,2.426100
2025-02-21,23.0100,23.3200,22.9100,23.2400,9623907,222460690.0400,0.086100
2025-02-24,23.3100,23.4300,22.9000,23.1200,8116813,187905540.1000,-0.516400
2025-02-25,22.9800,23.1100,22.8300,22.8800,6090105,139904586.0000,-1.038100
2025-02-26,22.9300,23.4500,22.8000,23.3000,7964980,184651594.4000,1.835700
2025-02-27,23.2900,23.3200,22.7900,23.1000,8421218,193508282.3800,-0.858400
2025-02-28,23.0600,23.1800,22.4600,22.5300,8788002,200039830.6100,-2.467500
2025-03-03,22.5100,22.9900,22.5100,22.5700,6485200,147936878.2300,0.177500
2025-03-04,22.6500,23.5300,22.5700,23.3700,17087801,397121150.3200,3.544500
2025-03-05,23.2000,23.5500,23.1000,23.2800,9709307,226083637.6000,-0.385100
2025-03-06,23.3100,23.5800,23.1200,23.4800,11190856,261775998.2400,0.859100
2025-03-07,23.4600,25.3800,23.2600,24.6000,31605718,776318891.5800,4.770000
2025-03-10,24.5700,25.4600,24.5000,24.5700,20149578,501367951.7500,-0.122000
2025-03-11,24.2100,25.2000,24.2000,25.0500,19502354,484670516.9800,1.953600
2025-03-12,25.1200,25.2700,24.6100,24.6300,14232920,353415047.1200,-1.676600
2025-03-13,24.5400,25.9900,24.0800,25.7000,33448519,845608603.1200,4.344300
2025-03-14,25.4800,25.5600,24.8500,25.3800,22248876,561597173.8400,-1.245100
2025-03-17,25.0000,25.3900,24.7000,24.9200,16887232,422081104.9200,-1.812500
2025-03-18,24.9000,25.0500,24.4900,24.6500,14589639,360518259.9300,-1.083500
2025-03-19,24.6000,24.6000,24.2400,24.3600,9057607,221059103.4500,-1.176500
2025-03-20,24.7200,27.9100,24.6200,26.5500,50639828,1328632152.6000,8.990100
2025-03-21,26.5000,27.0300,25.9000,26.1300,40436530,1067692072.7300,-1.581900
2025-03-24,25.9100,26.0800,24.1500,24.7800,31504854,783695860.5800,-5.166500
2025-03-25,24.6000,25.6400,24.5500,24.8300,23066353,581508752.8100,0.201800
2025-03-26,24.5400,25.2800,24.4700,24.6200,20487780,507921488.1700,-0.845800
2025-03-27,24.5000,24.5000,23.6500,24.1000,15801555,380485711.0300,-2.112100
2025-03-28,24.0600,24.1900,23.6100,23.6100,11093850,264248055.4100,-2.033200
2025-03-31,23.5100,23.5800,22.6000,23.1500,11406689,264136558.5500,-1.948300
2025-04-01,23.3800,24.1500,23.3800,23.7600,11963915,284533363.5100,2.635000
2025-04-02,23.6500,23.7700,23.3900,23.5600,7268225,170930961.4500,-0.841800
2025-04-03,23.3500,23.8800,23.2300,23.6100,7681853,181385197.4200,0.212200
2025-04-07,22.8500,23.5500,19.5300,20.4600,23349626,507472590.4200,-13.341800
2025-04-08,21.0200,22.0000,21.0200,21.5600,17143947,367665895.9800,5.376300
2025-04-09,21.3600,24.4000,21.1500,23.9000,34707858,809744512.5100,10.853400
2025-04-10,23.5000,24.2600,23.2000,23.9800,29018914,693204963.0000,0.334700
2025-04-11,23.7200,24.1200,23.5500,23.8100,15554685,370821506.8100,-0.708900
2025-04-14,23.8600,23.9800,23.6000,23.8900,12714161,302688240.1800,0.336000
2025-04-15,23.9500,24.9800,23.5500,24.3500,21242293,514218195.1400,1.925500
2025-04-16,26.1000,26.8000,24.6300,25.0000,35345644,903960147.6000,2.669400
2025-04-17,24.9400,26.1000,24.8100,25.6200,34755386,887988008.3900,2.480000
2025-04-18,25.2200,25.5000,24.3300,24.4200,23819082,589066541.9900,-4.683800
2025-04-21,24.6400,26.1600,24.4100,25.7700,30307269,775843278.3300,5.528300
2025-04-22,25.4100,26.1100,25.3000,25.6400,25636647,659742016.2500,-0.504500
2025-04-23,25.7400,25.7400,24.9200,25.0500,17228856,432931700.1500,-2.301100
2025-04-24,25.0500,25.8600,24.5400,24.6600,14520700,362124055.7800,-1.556900
2025-04-25,24.4700,24.6000,24.1400,24.4200,10948131,266984243.9300,-0.973200
2025-04-28,24.5000,24.5000,23.8100,23.8300,10006200,239877326.0000,-2.416100
2025-04-29,24.2000,24.7900,23.9000,24.4900,12676615,309446164.0200,2.769600
2025-04-30,24.4000,24.7800,24.3800,24.7000,9460376,233261811.7200,0.857500
2025-05-06,24.7500,25.1600,24.6600,25.1600,12688192,316922730.6600,1.862300
2025-05-07,25.7400,27.7400,25.5200,26.5200,52100070,1377391454.5600,5.405400
2025-05-08,26.3000,27.1700,25.9700,27.0100,40982871,1092462709.7500,1.847700
2025-05-09,26.9600,26.9600,26.0000,26.1700,28700799,754145868.5700,-3.110000
2025-05-12,26.0800,27.6000,25.8500,26.7900,41302396,1113118147.6700,2.369100
2025-05-13,26.8000,26.8500,25.9500,26.0000,26398636,694611206.4500,-2.948900
2025-05-14,25.9600,26.3600,25.4900,25.6100,16752402,430711960.3000,-1.500000
2025-05-15,25.6500,25.8000,25.1100,25.1200,14708067,372698498.6300,-1.913300
2025-05-16,25.1000,25.5700,25.0000,25.1300,11287115,285465371.7000,0.039800
2025-05-19,25.1400,25.4000,24.8000,25.3400,11908319,299555367.3200,0.835700
2025-05-20,25.3000,25.3600,25.0200,25.2300,9286451,233997467.2800,-0.434100
2025-05-21,25.1800,25.3200,24.8100,25.0800,10103800,252793722.0000,-0.594500
2025-05-22,25.0900,25.3800,24.8200,24.8200,11094851,278485935.4300,-1.036700
2025-05-23,24.7100,25.2900,24.5300,24.9300,11341457,282666301.1500,0.443200
2025-05-26,24.9000,25.1500,24.7300,25.1200,7463900,186574494.0000,0.762100
2025-05-27,25.1200,25.1800,24.7200,24.9400,7219099,179523090.1700,-0.716600
2025-05-28,24.9900,24.9900,24.4400,24.5000,7714000,190523566.0000,-1.764200
2025-05-29,24.4800,24.8800,24.4500,24.8100,7471282,184533453.0800,1.265300
2025-05-30,24.6900,25.2800,24.6300,25.0900,12208329,305813448.1500,1.128600
2025-06-03,25.1600,25.4200,25.0200,25.1700,11925701,300601553.1400,0.318900
2025-06-04,25.0800,25.2000,24.8000,24.9600,9457834,235888677.8600,-0.834300
2025-06-05,24.9100,25.1200,24.7100,25.0700,7849156,195982648.5100,0.440700
2025-06-06,25.1200,25.3600,24.9000,24.9300,9418676,236544974.1800,-0.558400
2025-06-09,24.9900,25.3400,24.9900,25.1500,9570715,241136703.0500,0.882500
2025-06-10,25.0700,25.0800,24.1500,24.4600,14506588,356847781.4200,-2.743500
2025-06-11,24.4500,24.6600,24.3600,24.5400,6457141,158245466.5100,0.327100
2025-06-12,24.4600,24.4600,23.9400,23.9900,13607500,328551985.0000,-2.241200
2025-06-13,24.1900,24.9000,23.9500,24.6000,32167024,783691063.9400,2.542700
2025-06-16,24.5000,24.5000,23.9700,24.1700,16523912,399067481.0900,-1.748000
2025-06-17,24.1200,24.3300,23.7500,24.2000,13361697,320656563.4600,0.124100
2025-06-18,24.0600,24.5600,24.0200,24.2900,14362565,349274910.6100,0.371900
2025-06-19,24.1500,25.1800,24.0100,25.0900,32706281,810903025.7100,3.293500
2025-06-20,24.8800,24.9600,24.5200,24.7800,15019100,371281305.9000,-1.235600
2025-06-23,24.9000,25.1100,24.7300,25.0500,15100110,376789656.0000,1.089600
2025-06-24,24.6300,24.7300,24.1300,24.6800,20909920,511682808.7600,-1.477000
2025-06-25,24.6300,25.8800,24.5900,25.6600,34467804,874895608.8900,3.970800
2025-06-26,25.6200,26.5400,25.5200,25.7500,38468903,1001971664.7100,0.350700
2025-06-27,25.7600,26.1600,25.7600,25.8800,23824453,618035545.1100,0.504900
2025-06-30,26.0000,26.9800,25.9800,26.8600,36355159,970452393.9600,3.786700
2025-07-01,26.7100,27.2500,26.2500,26.8400,32009474,856056764.3400,-0.074500
2025-07-02,26.6600,26.9400,26.0700,26.2800,26711127,706112420.5800,-2.086400
2025-07-03,26.2500,26.6300,26.0500,26.1200,15670700,411299776.4200,-0.608800
2025-07-04,26.2800,26.5500,25.8200,26.2700,17337622,453722703.2900,0.574300
2025-07-07,26.0200,26.4200,25.9200,26.0900,10725000,280340817.2000,-0.685200
2025-07-08,26.0000,26.2400,25.9800,26.1700,12354900,322659129.0000,0.306600
2025-07-09,26.2000,26.6100,25.8500,25.9200,16610108,436172394.2600,-0.955300
2025-07-10,25.8800,26.2500,25.6800,26.1500,11661962,303037696.6800,0.887300
2025-07-11,26.1500,26.6600,26.0200,26.4400,15541998,409805755.0000,1.109000
2025-07-14,26.4300,26.7300,26.3000,26.4200,11949620,316804537.2000,-0.075600
2025-07-15,26.4600,27.1300,26.3200,26.5400,17309210,460650481.4000,0.454200
2025-07-16,26.4600,26.6100,26.2800,26.3600,8936200,236233897.1300,-0.678200
2025-07-17,26.3500,27.2400,26.3500,26.9500,20704311,554728084.8200,2.238200
2025-07-18,26.9500,27.3800,26.8000,27.2900,22984214,623466206.8400,1.261600
2025-07-21,27.0100,27.1700,26.8300,27.0100,16084517,433752452.8300,-0.295300
2025-07-22,26.4400,26.8400,26.2000,26.6700,22506962,598219785.3300,-1.258800
2025-07-23,26.4600,26.5000,25.8200,25.9400,20511392,535665195.1300,-2.737200
2025-07-24,25.9000,27.1600,25.8500,27.1100,32226500,862666694.0000,4.510400
2025-07-25,27.4100,27.7700,26.8600,27.1900,20284913,550825819.6700,0.295100
2025-07-28,27.2800,27.4600,27.0300,27.2400,15897937,432903944.3500,0.183900
2025-07-29,27.1600,27.7400,27.0300,27.6900,20948719,573560522.0600,1.652000
2025-07-30,27.6500,27.9700,26.8600,27.2200,22905433,627704480.0700,-1.697400
2025-07-31,27.0200,27.4400,26.5300,26.6700,17473298,470622349.2300,-2.020600
