date,open,high,low,close,volume,amount,pctChg
2025-01-02,24.5800,27.1600,24.3100,25.4300,23379055,603224861.2100,5.958300
2025-01-03,25.3000,25.5000,22.6000,22.7300,17597702,418207517.5800,-10.617400
2025-01-06,22.4700,22.4900,21.0200,21.3700,11571936,251383783.9500,-5.983300
2025-01-07,21.6100,22.4500,21.1600,22.4400,10852102,236689779.6900,5.007000
2025-01-08,22.0000,23.9600,21.8000,23.7800,17288402,395868781.4800,5.971500
2025-01-09,23.3500,24.6600,23.3000,23.7500,16282567,390222805.3300,-0.126200
2025-01-10,23.3200,23.7400,22.2700,22.3100,10358857,238425403.9600,-6.063200
2025-01-13,21.9300,22.1600,21.0500,21.7600,7350546,158669163.0200,-2.465300
2025-01-14,26.1100,26.1100,26.1100,26.1100,7331384,191422436.2400,19.990800
2025-01-15,31.3300,31.3300,31.3300,31.3300,5343103,167399416.9900,19.992300
2025-01-16,35.0000,37.6000,34.4300,37.6000,79246915,2890420413.3500,20.012800
2025-01-17,37.2200,37.6000,32.4800,32.6600,64652685,2230252088.3500,-13.138300
2025-01-20,33.3900,33.9900,30.5100,30.7900,48477230,1531634575.3100,-5.725700
2025-01-21,30.9900,31.1900,29.2100,30.3100,42736029,1283710221.4200,-1.558900
2025-01-22,29.6100,29.8300,28.2500,28.6000,32377834,935697400.8800,-5.641700
2025-01-23,28.6100,29.2400,27.9600,27.9900,30373776,869729636.1900,-2.132900
2025-01-24,27.7200,29.0500,27.5000,28.8200,30317450,861828488.5400,2.965300
2025-01-27,28.9100,29.2100,27.1200,27.3300,22986551,647796742.3600,-5.170000
2025-02-05,27.3600,28.0600,27.1200,27.8700,19784178,547321878.9700,1.975900
2025-02-06,27.5100,28.5700,27.4500,28.4300,22350942,628428909.5100,2.009300
2025-02-07,28.0900,28.8800,27.6700,28.3400,26970864,765816134.1900,-0.316600
2025-02-10,28.1100,28.8000,28.0800,28.7700,21675449,618987753.6000,1.517300
2025-02-11,28.9900,33.8000,28.6000,32.8900,55506077,1719445777.1200,14.320500
2025-02-12,30.9900,32.4000,30.7600,31.7900,36089248,1136847997.1900,-3.344500
2025-02-13,31.5100,34.0000,31.1300,31.1400,36240381,1178786697.3000,-2.044700
2025-02-14,30.2900,32.1200,29.5100,31.5100,32207086,985195766.3500,1.188200
