date,open,high,low,close,volume,amount,pctChg
2025-01-02,9.8400,10.3500,9.8100,10.0000,14362911,145128828.8400,2.249500
2025-01-03,10.0000,10.6600,9.1100,9.1400,18189342,176770508.2100,-8.600000
2025-01-06,8.8800,9.2200,8.6600,9.0000,10106760,90416305.8000,-1.531700
2025-01-07,9.0100,9.3600,8.8900,9.2100,7706250,70520428.5000,2.333300
2025-01-08,9.1600,9.6500,8.9900,9.6500,14775361,138050446.3900,4.777400
2025-01-09,9.5000,9.5400,9.3200,9.4000,8630650,81230503.0000,-2.590700
2025-01-10,9.3100,9.3900,8.4300,8.4900,11132930,98960124.3000,-9.680900
2025-01-13,8.3700,8.4800,8.0400,8.2300,7447800,61134450.2000,-3.062400
2025-01-14,8.3300,9.0100,8.3300,8.9800,11601670,101856894.2000,9.113000
2025-01-15,9.0000,9.1200,8.7600,8.8400,6766850,60201997.0000,-1.559000
2025-01-16,8.9100,9.8400,8.8800,9.4700,16353900,154632350.5000,7.126700
2025-01-17,9.4900,9.5200,9.1800,9.2500,10652700,99227372.0000,-2.323100
2025-01-20,9.3100,9.4200,9.1500,9.3500,6787850,63167932.5000,1.081100
2025-01-21,9.3800,9.4900,9.2500,9.3800,6145853,57356618.0800,0.320900
2025-01-22,9.4000,9.4000,9.0000,9.1100,5082950,46607658.0000,-2.878500
2025-01-23,9.2500,9.3300,9.0500,9.0500,4645110,42718895.4000,-0.658600
2025-01-24,9.0600,9.1300,8.9300,9.1200,4156100,37573057.5000,0.773500
2025-01-27,9.2000,9.2800,8.9800,9.0000,3252700,29617858.0000,-1.315800
2025-02-05,9.0600,9.0700,8.8800,8.9900,3546895,31763468.1500,-0.111100
2025-02-06,9.0000,9.1400,8.9300,9.1400,4028350,36463455.5000,1.668500
2025-02-07,9.1400,9.2900,9.0700,9.2100,7319650,67312589.5000,0.765900
2025-02-10,9.2300,9.4700,9.1100,9.3600,6997950,65142633.0000,1.628700
2025-02-11,9.3800,9.4300,9.2100,9.3300,4223450,39232600.0000,-0.320500
2025-02-12,9.3300,9.4900,9.2500,9.4800,5937350,55539328.0000,1.607700
2025-02-13,9.4400,9.6100,9.3300,9.4200,7368750,69704181.0000,-0.632900
2025-02-14,9.4000,9.4800,9.2600,9.2700,6595700,61845761.5000,-1.592400
2025-02-17,9.3000,9.3800,9.2000,9.3000,5518917,51252299.2600,0.323600
2025-02-18,9.3100,9.3100,8.8400,8.9100,6603319,59922464.2800,-4.193500
2025-02-19,8.8800,9.0700,8.8200,9.0300,3789712,34015607.7800,1.346800
2025-02-20,9.0200,9.2400,9.0200,9.1800,5072662,46590383.4200,1.661100
2025-02-21,9.1900,9.2000,9.0300,9.1500,4239503,38688900.1200,-0.326800
2025-02-24,9.1500,9.1800,9.0100,9.0700,4110300,37380157.5000,-0.874300
2025-02-25,8.9400,9.1000,8.8700,8.9800,4596400,41349811.0000,-0.992300
2025-02-26,9.0100,9.3700,9.0100,9.3000,8145567,75369916.6000,3.563500
