date,open,high,low,close,volume,amount,pctChg
2025-01-02,12.8100,13.0600,12.1900,12.3300,4171988,52649203.3400,-3.747100
2025-01-03,12.4100,12.4900,11.5000,11.5500,5375787,63916244.0100,-6.326000
2025-01-06,11.5500,11.7000,10.8500,11.3900,4643956,52704690.0000,-1.385300
2025-01-07,11.5000,12.1500,11.5000,12.1500,5852903,69137042.8400,6.672500
2025-01-08,12.0400,12.1700,11.5000,11.8500,5140780,60871502.8200,-2.469100
2025-01-09,11.8300,12.0700,11.7700,12.0100,3303611,39528726.1900,1.350200
2025-01-10,12.0000,12.0600,11.3300,11.3500,3401760,39749272.0200,-5.495400
2025-01-13,11.2400,11.6600,10.8800,11.5700,3539118,40036983.4000,1.938300
2025-01-14,11.6500,12.2800,11.6500,12.2600,3997698,48085660.4000,5.963700
2025-01-15,12.3000,12.3800,12.0800,12.1200,3092704,37695882.8600,-1.141900
2025-01-16,12.2000,12.3700,11.9600,12.1000,2910666,35365175.3200,-0.165000
2025-01-17,12.0300,12.1800,11.8900,12.0700,2618252,31482902.9800,-0.247900
2025-01-20,12.1400,12.4800,11.9600,12.2500,4867814,59600258.3800,1.491300
2025-01-21,12.3800,12.3800,12.0100,12.2000,3132710,38100904.9000,-0.408200
2025-01-22,12.1200,12.1800,11.9800,12.0700,2400864,29008987.2600,-1.065600
2025-01-23,12.1700,12.5200,12.1500,12.1500,3857628,47663509.8800,0.662800
2025-01-24,12.2200,12.5700,12.1100,12.5400,3666882,45352696.1000,3.209900
2025-01-27,12.6500,12.8300,12.4400,12.5100,3678772,46471983.0200,-0.239200
2025-02-05,12.8000,13.2800,12.6600,13.0800,4617568,60060806.0000,4.556400
2025-02-06,13.2000,13.2600,12.8800,13.2500,4261752,56057599.6600,1.299700
2025-02-07,13.3000,13.3900,12.9800,13.2000,5146502,68190340.8800,-0.377400
2025-02-10,13.2200,13.7000,13.2200,13.6800,5758443,77502312.8300,3.636400
2025-02-11,13.7000,13.9000,13.4800,13.7300,5382520,73877095.8200,0.365500
2025-02-12,13.7300,13.9900,13.6600,13.9800,4958437,68824731.2400,1.820800
2025-02-13,13.9600,13.9600,13.6200,13.7000,3571940,49121724.7000,-2.002900
2025-02-14,13.7700,13.9800,13.5800,13.9300,3726000,51485342.8600,1.678800
2025-02-17,14.0700,14.1400,13.7700,13.9000,4961860,69338748.4400,-0.215400
2025-02-18,13.8300,14.0400,13.3400,13.4000,5896681,80422461.7500,-3.597100
2025-02-19,13.3900,13.7200,13.3500,13.6300,3528102,47942184.8200,1.716400
2025-02-20,13.7000,13.8400,13.5300,13.7200,2950408,40416282.5100,0.660300
2025-02-21,13.7100,14.1000,13.5500,14.0000,4925378,68374190.6400,2.040800
2025-02-24,13.9100,14.3800,13.8000,14.0100,4768892,66790718.8000,0.071400
2025-02-25,13.9000,14.1800,13.7200,14.0000,4148692,57959606.6800,-0.071400
2025-02-26,14.0000,14.1200,13.9200,14.1200,3496111,49050953.7800,0.857100
2025-02-27,14.1600,14.1900,13.6600,13.9300,4041946,56170397.6600,-1.345600
2025-02-28,13.8900,13.8900,13.0600,13.2000,3862608,52036340.5400,-5.240500
2025-03-03,13.3200,13.6900,13.1800,13.3100,4189744,56374810.1800,0.833300
2025-03-04,13.1200,13.8000,13.1200,13.7600,3640489,49396922.6700,3.380900
2025-03-05,13.8000,13.9500,13.5100,13.9400,3970220,54639774.8000,1.308100
2025-03-06,13.9100,14.4900,13.9100,14.2500,6290138,89677441.9200,2.223800
2025-03-07,14.1600,14.4600,14.0900,14.2000,4262391,60904143.5900,-0.350900
2025-03-10,14.2100,14.3800,14.0100,14.1300,3178300,44931907.1000,-0.493000
2025-03-11,13.9100,14.1500,13.8200,14.1500,2898435,40573102.6400,0.141500
2025-03-12,14.2200,14.5500,14.1200,14.3700,4975374,71489751.4500,1.554800
2025-03-13,14.4000,14.4400,13.8000,14.1600,4059298,57122491.2400,-1.461400
2025-03-14,14.0300,14.9700,13.9200,14.4700,6875578,98773254.0000,2.189300
2025-03-17,14.4600,14.9300,14.4100,14.5400,8014145,117233647.5900,0.483800
2025-03-18,14.5400,14.6200,14.2300,14.3900,6212585,89307007.7600,-1.031600
2025-03-19,14.4000,14.4400,14.1700,14.2500,3750046,53533565.8400,-0.972900
2025-03-20,14.2200,14.4600,14.1000,14.3000,3915706,56041554.7000,0.350900
2025-03-21,14.2700,14.6600,14.0300,14.0800,6836822,97752965.8200,-1.538500
2025-03-24,14.0800,14.1400,12.6200,13.0400,9877046,130779092.6400,-7.386400
2025-03-25,13.0300,13.2700,12.6800,12.9000,5474138,70920762.7200,-1.073600
2025-03-26,12.9000,13.6900,12.9000,13.3700,6419450,85887686.1800,3.643400
2025-03-27,13.3600,13.4300,12.9600,13.1800,3797990,50076118.4800,-1.421100
2025-03-28,13.1800,13.2900,12.8200,12.8900,3347860,43537526.2200,-2.200300
2025-03-31,12.8600,12.9000,12.4900,12.8000,4202466,53284889.1400,-0.698200
2025-04-01,12.8400,13.3600,12.8400,12.9500,4152434,54467733.1800,1.171900
2025-04-02,12.9500,13.2700,12.9300,13.0700,3114188,40913962.0400,0.926600
2025-04-03,12.9700,13.2400,12.8900,13.1700,3889452,50932118.5200,0.765100
2025-04-07,12.5600,12.6400,10.5500,10.8800,8251648,94441094.4400,-17.388000
2025-04-08,11.0000,11.7000,10.8700,11.2400,5579368,62813291.6400,3.308800
2025-04-09,11.1300,11.8200,10.2500,11.7100,6700256,74689803.9600,4.181500
2025-04-10,11.8700,12.3200,11.8600,12.0500,5027816,61076661.2200,2.903500
2025-04-11,11.9100,12.2200,11.9100,12.1000,2770894,33554234.9600,0.414900
2025-04-14,12.3600,12.4400,12.1400,12.2600,3254990,40021536.7000,1.322300
2025-04-15,12.2700,12.3900,12.1200,12.2900,1998042,24464917.5800,0.244700
2025-04-16,12.3000,12.3100,11.7800,12.0700,3653088,43992581.6200,-1.790100
2025-04-17,12.0400,12.2900,11.9700,12.1400,2762086,33676205.9400,0.580000
2025-04-18,12.1100,12.4900,11.9300,12.3400,5067734,61974507.2200,1.647400
2025-04-21,12.2000,12.6200,12.1500,12.5200,4114840,51326441.4000,1.458700
2025-04-22,12.5400,12.6700,12.4200,12.6000,3512992,44066835.4900,0.639000
2025-04-23,12.7500,13.0200,12.7000,12.9600,3961310,50908148.8600,2.857100
2025-04-24,13.6900,13.8300,13.1400,13.3000,11958839,160308108.2100,2.623500
2025-04-25,13.1800,13.4300,12.8100,12.8800,7124216,92422744.7600,-3.157900
2025-04-28,12.8700,12.9700,12.5800,12.8000,3798446,48495744.4600,-0.621100
2025-04-29,12.7500,13.1000,12.7500,13.0200,3077166,40028535.7400,1.718800
2025-04-30,13.0000,13.2400,13.0000,13.1300,3037104,39960360.3400,0.844900
2025-05-06,13.2500,13.4900,13.1800,13.4300,4708256,63107049.8800,2.284800
2025-05-07,13.6000,13.7800,13.4000,13.5500,5445942,73991576.4200,0.893500
2025-05-08,13.5300,13.9300,13.5100,13.8900,4769438,65783518.1600,2.509200
2025-05-09,13.8100,14.1300,13.8000,13.8500,5517650,77053781.8000,-0.288000
2025-05-12,13.9200,14.5800,13.8000,14.1900,8546936,122297121.2600,2.454900
2025-05-13,14.3100,14.8800,14.3000,14.7500,12722652,186334420.3800,3.946400
2025-05-14,14.9200,17.7000,14.9100,17.7000,36580093,620689453.4000,20.000000
2025-05-15,16.9300,17.3200,15.8800,16.3000,38426912,628364485.5700,-7.909600
2025-05-16,15.9600,15.9600,15.2500,15.3800,25981906,403943016.2800,-5.644200
2025-05-19,15.3000,15.6200,15.0200,15.6100,18243553,279008170.1900,1.495400
2025-05-20,15.2600,15.8400,15.1300,15.7200,17661140,273608544.0100,0.704700
2025-05-21,15.6300,15.7500,14.9100,14.9800,15628120,237192802.4900,-4.707400
2025-05-22,14.9400,15.1700,14.7600,14.9800,8412237,126448128.8500,0.000000
2025-05-23,15.0000,15.0600,14.5000,14.5100,10004682,146944742.5300,-3.137500
2025-05-26,14.7000,15.2600,14.5800,15.2100,10699337,160122109.3300,4.824300
2025-05-27,15.0300,15.2900,14.9500,15.0000,7812076,117692513.9600,-1.380700
2025-05-28,10.5600,10.7000,10.4100,10.5200,10653232,112339852.2400,0.190500
2025-05-29,10.4900,10.7200,10.4500,10.7000,11866640,125959160.9800,1.711000
2025-05-30,10.6300,10.6600,10.2900,10.3400,11954210,124128173.2000,-3.364500
2025-06-03,10.3300,10.5200,10.3100,10.3600,8092258,84194513.4200,0.193400
2025-06-04,10.3600,10.4800,10.3200,10.3900,7249262,75387526.8200,0.289600
2025-06-05,10.3500,10.6500,10.2100,10.6100,9954364,103974751.1400,2.117400
2025-06-06,10.5800,10.6500,10.4700,10.5600,6414438,67706203.2200,-0.471300
2025-06-09,10.5600,10.6900,10.5000,10.6000,5934380,62808563.0000,0.378800
2025-06-10,10.6100,10.6200,10.3300,10.4800,7974773,83454035.3000,-1.132100
2025-06-11,10.5300,10.6400,10.4000,10.5300,5973944,62949601.1800,0.477100
2025-06-12,10.4500,10.6200,10.4200,10.6000,6511223,68770075.6300,0.664800
2025-06-13,10.4700,10.5600,10.2300,10.3100,9138037,94782112.8500,-2.735800
2025-06-16,10.2300,10.6900,10.2300,10.6100,9629350,101970839.8800,2.909800
2025-06-17,10.6100,10.6800,10.4500,10.5300,6266064,66015974.6000,-0.754000
2025-06-18,10.5200,10.5800,10.3800,10.4500,4606665,48158699.2700,-0.759700
2025-06-19,10.4900,10.5100,10.2200,10.2300,5777753,59675120.5700,-2.105300
2025-06-20,10.2300,10.4300,9.9800,10.1600,7181742,72952490.5000,-0.684300
2025-06-23,10.1300,10.5000,10.1200,10.4600,7177015,74274869.2600,2.952800
2025-06-24,10.4500,10.6800,10.4200,10.6400,7203045,76413151.5100,1.720800
2025-06-25,10.6400,10.7800,10.5700,10.7600,8852463,94691003.5300,1.127800
2025-06-26,10.7100,11.0300,10.7100,10.9200,11407946,124241243.4400,1.487000
2025-06-27,11.0500,11.3800,11.0300,11.0900,17771079,198805551.0200,1.556800
2025-06-30,11.2000,11.3400,11.0900,11.1800,12027464,134794360.4100,0.811500
2025-07-01,11.2500,11.3300,10.9600,11.0900,10092892,112241219.7600,-0.805000
2025-07-02,11.1200,11.1300,10.8300,10.9400,9094412,99635025.3800,-1.352600
2025-07-03,10.9600,11.2000,10.8800,10.9700,6699948,73739522.3100,0.274200
2025-07-04,10.9600,11.0500,10.7500,10.8900,6945007,75723404.9900,-0.729300
2025-07-07,10.8200,11.0200,10.8100,10.9900,5506436,60278194.3200,0.918300
2025-07-08,10.9600,11.1400,10.9100,11.0700,6130892,67662882.3200,0.727900
2025-07-09,11.0600,11.1500,11.0000,11.0700,5461795,60523031.8700,0.000000
2025-07-10,11.0400,11.1100,10.9100,10.9600,5139394,56499560.2600,-0.993700
2025-07-11,11.0200,11.0400,10.8500,10.9700,5763668,63078752.5200,0.091200
2025-07-14,10.9900,11.0100,10.8400,10.9800,4826889,52815409.9200,0.091200
2025-07-15,10.9100,10.9800,10.5700,10.7500,7860802,84283364.7800,-2.094700
2025-07-16,10.8000,10.9300,10.7400,10.8600,6378105,69280978.4300,1.023300
2025-07-17,10.8900,11.0700,10.7500,10.9500,5300098,58007015.2400,0.828700
2025-07-18,10.9800,11.0400,10.8600,10.9600,4790642,52423410.2200,0.091300
2025-07-21,10.9600,11.1400,10.9000,11.0900,6100335,67542667.6700,1.186100
2025-07-22,11.0600,11.1300,10.8800,10.9300,5554294,60928215.4600,-1.442700
2025-07-23,10.9900,11.0100,10.8300,10.8800,4225928,46192279.4400,-0.457500
2025-07-24,10.8700,11.0000,10.8300,10.9400,5049226,55223694.1600,0.551500
2025-07-25,10.9300,11.1000,10.8800,11.0900,6901878,76072479.0300,1.371100
2025-07-28,11.1000,11.1800,11.0400,11.1700,5841248,65015395.1800,0.721400
2025-07-29,11.1700,11.2100,10.9800,11.0800,4987946,55119767.9000,-0.805700
2025-07-30,11.0800,11.1100,10.9100,11.0300,4961579,54713094.0800,-0.451300
2025-07-31,11.0600,11.1800,10.9000,10.9400,6268629,69184192.1600,-0.816000
2025-08-01,10.9700,11.4700,10.8500,11.4100,15938681,180227975.7700,4.296200
2025-08-04,11.3300,11.7500,11.1800,11.7400,19746168,229270593.2100,2.892200
2025-08-05,11.7100,12.0500,11.5600,11.9500,19915787,235610548.0700,1.788800
2025-08-06,12.0000,12.2500,11.9000,12.1400,17084664,206172289.0400,1.590000
2025-08-07,12.1400,12.2800,11.8300,11.8400,16229605,194052768.0400,-2.471200
2025-08-08,11.9500,11.9700,11.6300,11.8000,11140681,131242135.8900,-0.337800
2025-08-11,11.8500,12.1200,11.7500,11.9000,9520975,113581450.8600,0.847500
2025-08-12,11.9000,12.0900,11.8200,11.9200,7847481,93570777.6000,0.168100
2025-08-13,11.9900,12.0300,11.7800,11.8400,9619695,114232797.9400,-0.671100
2025-08-14,11.8500,11.9000,11.4100,11.4300,9905686,114717256.2100,-3.462800
2025-08-15,11.6600,12.2100,11.5800,12.1000,17753746,212226655.0000,5.861800
2025-08-18,12.5100,13.6000,12.2800,13.3600,32867676,427578484.3200,10.413200
2025-08-19,13.1800,13.4300,12.9000,13.1100,23858639,313034301.7500,-1.871300
2025-08-20,13.1000,13.2300,12.8000,13.0800,13264147,172045306.5500,-0.228800
2025-08-21,13.1400,13.3900,12.9000,13.0500,13615042,178010842.2700,-0.229400
2025-08-22,13.0500,13.7400,13.0000,13.4600,17263035,230712196.2000,3.141800
2025-08-25,13.5200,13.6500,12.8000,12.9100,17122648,222494526.4600,-4.086200
2025-08-26,12.8900,13.0300,12.6000,12.9600,8585573,110901486.9900,0.387300
2025-08-27,12.9700,13.2900,12.7500,12.7900,16608463,216336578.8300,-1.311700
2025-08-28,13.1000,13.1000,12.2500,12.9500,18193303,231532281.2200,1.251000
2025-08-29,12.9800,13.0900,12.6400,12.9300,13880874,178856321.4600,-0.154400
2025-09-01,12.7000,13.6700,12.5600,13.0600,31435407,410217848.9800,1.005400
2025-09-02,12.8600,12.8600,11.4700,11.7000,32371697,379208047.8600,-10.413500
2025-09-03,11.5700,11.7000,11.0400,11.0900,18055142,205013406.2400,-5.213700
2025-09-04,11.1200,11.4200,10.9900,11.0800,13184615,147780541.4400,-0.090200
2025-09-05,11.1800,11.2700,10.9600,11.2300,8660492,96662831.8100,1.353800
2025-09-08,11.2300,11.3800,11.1100,11.3200,8138286,91661134.5100,0.801400
2025-09-09,11.3000,11.3700,11.0700,11.1200,6578262,73593533.0200,-1.766800
2025-09-10,11.2000,11.3000,11.0800,11.1500,5225254,58396861.4100,0.269800
2025-09-11,11.1900,11.3600,11.0100,11.3600,7021157,78716672.9700,1.883400
2025-09-12,11.3600,11.4000,11.1500,11.1800,6176731,69486980.9300,-1.584500
2025-09-15,11.2400,11.2400,11.0400,11.1300,4782684,53146024.5500,-0.447200
2025-09-16,11.1500,11.3000,11.0800,11.3000,6614291,74320570.7600,1.527400
2025-09-17,11.3000,11.3700,11.2000,11.2500,6002969,67610837.2000,-0.442500
2025-09-18,11.2600,11.3400,10.8300,10.9900,8404234,93611637.9600,-2.311100
2025-09-19,11.0900,11.1500,10.8200,10.9200,6833621,74807063.5300,-0.636900
2025-09-22,10.9600,10.9800,10.8100,10.9100,4003072,43573083.8800,-0.091600
2025-09-23,10.8700,10.9500,10.1700,10.5700,9981958,104257568.6000,-3.116400
2025-09-24,10.5700,11.0900,10.4600,11.0800,8752922,95370164.2200,4.825000
2025-09-25,11.0200,11.2200,10.8900,10.8900,5632736,62198280.1600,-1.714800
2025-09-26,10.8200,11.0000,10.6600,10.7500,5190368,56192242.1000,-1.285600
2025-09-29,10.7500,10.9900,10.6200,10.9800,4927799,53614834.7100,2.139500
2025-09-30,11.0300,11.0800,10.9500,10.9900,4097981,45141806.9200,0.091100
2025-10-09,11.0100,11.0900,10.7500,10.7900,5715893,62246489.4800,-1.819800
2025-10-10,10.8300,10.9600,10.7200,10.8500,5400424,58645711.1400,0.556100
2025-10-13,10.5100,10.9700,10.1900,10.9200,6170361,66418465.2400,0.645200
2025-10-14,10.9500,11.0800,10.7700,10.8800,6034803,65937684.8700,-0.366300
2025-10-15,10.9000,11.0800,10.7700,10.9800,5223342,57172932.1000,0.919100
2025-10-16,10.9900,11.0000,10.7300,10.7800,4022605,43582267.0000,-1.821500
2025-10-17,10.7500,10.9500,10.6300,10.6500,4991650,53900782.2000,-1.205900
2025-10-20,10.8300,10.9600,10.7700,10.8700,4613209,50242118.5300,2.065700
2025-10-21,10.8900,11.1100,10.8700,11.1000,4584696,50591831.2000,2.115900
2025-10-22,11.0700,11.2000,11.0000,11.1100,4025718,44809171.8800,0.090100
2025-10-23,11.1100,11.2300,10.9800,11.2000,5301502,58949620.1000,0.810100
2025-10-24,11.2500,11.4100,11.2000,11.2700,5019572,56685551.0600,0.625000
