date,open,high,low,close,volume,amount,pctChg
2025-01-02,26.5800,26.6700,25.7000,26.5000,1112126,29051530.5400,0.000000
2025-01-03,26.2800,26.2800,25.5800,25.7700,838858,21733947.9000,-2.754700
2025-01-06,25.6500,25.7100,24.6000,24.9400,773200,19403070.0000,-3.220800
2025-01-07,24.9200,25.6500,24.8000,25.6400,774100,19569729.0000,2.806700
2025-01-08,25.4700,25.6000,24.7200,25.3300,686500,17339710.0000,-1.209000
2025-01-09,25.3400,25.6000,25.1200,25.2600,444119,11270157.3700,-0.276400
2025-01-10,25.1900,25.5300,24.7000,24.7100,514300,12943634.0000,-2.177400
2025-01-13,24.3100,25.0400,23.9400,24.8600,554000,13651529.6000,0.607000
2025-01-14,24.9300,25.7000,24.9300,25.6800,781840,19937024.0000,3.298500
2025-01-15,25.8100,25.8600,25.4700,25.8500,644140,16511325.6000,0.662000
2025-01-16,25.8300,26.0900,25.5200,25.8800,688600,17810064.0000,0.116100
2025-01-17,25.8900,25.8900,25.4800,25.7100,333400,8570501.0000,-0.656900
2025-01-20,25.8400,26.1500,25.7100,25.9700,813100,21144777.6100,1.011300
2025-01-21,26.1200,26.1700,25.5100,25.9500,585800,15127004.0000,-0.077000
2025-01-22,25.6500,25.9700,25.5600,25.7000,374700,9668158.0000,-0.963400
2025-01-23,25.8900,26.2800,25.6600,25.6600,500700,13037538.0000,-0.155600
2025-01-24,25.6500,26.1100,25.5200,26.0600,595000,15374711.0000,1.558800
2025-01-27,26.1800,26.4500,26.0400,26.1900,662800,17395502.0000,0.498800
2025-02-05,26.1900,26.9500,25.9000,26.7900,944180,25090315.7600,2.291000
2025-02-06,26.6300,27.8700,26.5100,27.6500,1317300,35966012.0000,3.210200
2025-02-07,27.6000,27.9300,27.1900,27.3500,1119400,30886679.0000,-1.085000
2025-02-10,27.4000,27.5500,27.2500,27.5000,698400,19159024.0000,0.548400
2025-02-11,27.4600,27.8500,27.2500,27.5200,599800,16482148.0000,0.072700
2025-02-12,27.5100,27.6900,27.4000,27.6400,762800,21029797.0000,0.436000
2025-02-13,27.4900,27.5500,26.9300,26.9300,732100,19923581.0000,-2.568700
2025-02-14,26.7300,27.1700,26.7300,26.9400,562200,15183927.0000,0.037100
2025-02-17,26.8000,27.4400,26.8000,27.2800,645300,17577281.0000,1.262100
2025-02-18,27.4000,29.7700,27.0900,27.8200,2777600,78598686.9200,1.979500
2025-02-19,27.6000,28.4600,27.5400,28.0900,2058800,57751748.0000,0.970500
2025-02-20,28.0400,28.1000,27.6900,27.8500,1393377,38781145.0700,-0.854400
2025-02-21,27.7100,28.0100,27.5800,27.8500,1088600,30260749.0000,0.000000
2025-02-24,27.8500,28.1500,27.6200,28.0400,887300,24767368.7000,0.682200
2025-02-25,27.8600,28.0400,27.6300,27.9000,589300,16415342.0000,-0.499300
2025-02-26,27.8600,28.3500,27.8600,28.1600,979050,27565612.0000,0.931900
2025-02-27,28.1600,28.1600,27.3700,27.9400,950900,26369952.0000,-0.781300
2025-02-28,27.8500,27.9200,26.9900,27.0300,800400,21938393.0000,-3.257000
2025-03-03,27.0200,27.6400,26.9500,27.4500,662200,18144897.0000,1.553800
2025-03-04,27.6700,27.7900,27.2200,27.7800,595986,16507080.0600,1.202200
2025-03-05,27.7800,27.9400,27.4100,27.8600,491200,13592481.0000,0.288000
2025-03-06,28.1600,28.3300,27.8600,28.2200,1205500,34026701.0000,1.292200
2025-03-07,28.1100,28.2700,27.6800,28.0000,1087500,30415903.0000,-0.779600
2025-03-10,28.0000,28.2500,27.9000,28.1800,813918,22893219.7000,0.642900
2025-03-11,27.9800,28.2400,27.9300,28.2000,523000,14687512.0000,0.071000
2025-03-12,28.2100,28.3400,28.0200,28.0400,561814,15804072.2400,-0.567400
2025-03-13,28.0900,28.2100,27.3700,27.7700,1125800,31152788.0000,-0.962900
2025-03-14,27.6100,28.3400,27.5000,28.3100,1170100,32843359.0000,1.944500
2025-03-17,28.2500,28.7000,28.0800,28.6100,1149100,32721519.0000,1.059700
2025-03-18,28.6900,28.8000,28.5600,28.7400,743800,21328332.0000,0.454400
2025-03-19,28.7400,28.7900,28.2800,28.4200,680000,19363290.0000,-1.113400
2025-03-20,28.2800,28.6400,28.2600,28.4200,563900,16033099.0000,0.000000
2025-03-21,28.2300,28.5800,27.9100,28.0800,823200,23179732.0000,-1.196300
2025-03-24,28.0800,28.5000,26.0000,26.8500,1881600,50576360.0000,-4.380300
2025-03-25,26.6100,27.0800,26.4800,26.8600,881900,23659701.0000,0.037200
2025-03-26,26.9900,27.9200,26.7500,27.7700,1416378,38999197.0200,3.387900
2025-03-27,27.6000,27.7600,26.8100,27.6000,993900,27175146.0000,-0.612200
2025-03-28,27.5700,27.6900,27.0100,27.3200,810800,22101441.0000,-1.014500
2025-03-31,27.0200,27.0800,26.0800,26.9300,1454378,38559249.0600,-1.427500
2025-04-01,26.6600,27.4800,26.6600,27.1300,966300,26222797.0000,0.742700
2025-04-02,27.0500,27.6600,26.9200,27.1700,831700,22795999.0000,0.147400
2025-04-03,27.0700,29.0700,26.7500,28.0300,2512300,70680155.0000,3.165300
2025-04-07,25.1300,26.1800,22.6600,22.9400,2502557,61019215.3200,-18.159100
2025-04-08,23.4000,24.9600,23.3000,24.9500,2389000,58076788.0000,8.762000
2025-04-09,25.0900,25.5000,23.6600,25.2300,1740500,42897974.0000,1.122200
2025-04-10,25.7400,26.9900,25.3900,26.2200,1889093,49870959.4600,3.923900
2025-04-11,25.7300,31.3000,25.6200,29.3100,5832966,168163531.0400,11.784900
2025-04-14,29.0400,31.1000,28.5100,30.2700,6382230,190970834.4000,3.275300
2025-04-15,29.8900,29.9300,28.3300,28.6800,4083300,117396060.0000,-5.252700
2025-04-16,28.4000,29.0000,27.6700,28.3800,2480300,70111211.0000,-1.046000
2025-04-17,28.2800,28.7400,27.8200,28.6700,2430600,68789276.7200,1.021800
2025-04-18,28.0600,28.1600,27.3800,27.7500,1901100,52763812.0000,-3.208900
2025-04-21,27.7100,28.5600,27.5000,28.0900,1668558,47027701.1000,1.225200
2025-04-22,27.2600,27.2600,26.3000,26.6400,3000888,80090627.8600,-5.162000
2025-04-23,26.6400,26.8400,26.3900,26.4000,1323770,35187192.2000,-0.900900
2025-04-24,26.4300,26.5500,25.8300,26.0500,1224300,32026565.0000,-1.325800
2025-04-25,26.0500,26.3000,25.8400,26.0400,740300,19245558.0000,-0.038400
2025-04-28,26.1200,26.4800,25.2600,26.3500,1831418,47569481.1800,1.190500
2025-04-29,26.3900,26.7900,25.8200,25.9000,1402900,36571692.0000,-1.707800
2025-04-30,25.9900,26.2900,25.9100,26.2500,865500,22590934.0000,1.351400
2025-05-06,26.7900,26.7900,26.1000,26.4800,973000,25685362.0000,0.876200
