date,open,high,low,close,volume,amount,pctChg
2025-01-02,12.2000,12.6900,12.0000,12.0900,2104367,25979451.0500,-1.063800
2025-01-03,12.1200,12.2300,11.3600,11.3900,2804924,32866599.5600,-5.789900
2025-01-06,11.3000,11.4900,10.6000,11.3100,2095700,23453407.0000,-0.702400
2025-01-07,11.4200,11.9200,11.3200,11.9200,2399000,27937787.0000,5.393500
2025-01-08,11.9400,12.0900,11.4300,11.9000,2383200,28219701.0000,-0.167800
2025-01-09,12.0400,12.0400,11.7600,11.8900,1549900,18440499.0000,-0.084000
2025-01-10,11.8300,12.0500,11.4300,11.4300,1784900,20911633.0000,-3.868800
2025-01-13,11.4000,11.6400,11.0500,11.4900,1950800,22140468.0000,0.524900
2025-01-14,11.6500,12.3000,11.6100,12.2700,2545626,30581215.4800,6.788500
2025-01-15,12.4000,12.6500,12.1400,12.4200,2420800,29909997.0000,1.222500
2025-01-16,12.4600,12.7000,12.2000,12.3500,1344600,16657646.0000,-0.563600
2025-01-17,12.3800,12.3800,12.1200,12.2500,1196424,14631329.2800,-0.809700
2025-01-20,12.2700,12.7000,12.1200,12.6500,1934400,24232858.0000,3.265300
2025-01-21,12.7100,12.7800,12.2500,12.4600,2264000,28176052.0000,-1.502000
2025-01-22,12.4600,12.4600,12.1800,12.3800,985000,12145026.0000,-0.642100
2025-01-23,12.5300,12.8200,12.4500,12.5400,1832800,23251946.0000,1.292400
2025-01-24,12.4700,12.7500,12.4200,12.7000,1595400,20029359.0000,1.275900
2025-01-27,12.7400,13.0900,12.7300,12.8800,2172630,28106275.6000,1.417300
2025-02-05,12.8900,13.4000,12.8800,13.2000,2006639,26448683.4200,2.484500
2025-02-06,13.2800,13.4100,13.0500,13.3300,2172920,28814675.4000,0.984800
2025-02-07,13.3800,13.5700,13.1000,13.3000,1927700,25792110.7600,-0.225100
2025-02-10,13.3100,13.4500,13.1600,13.4000,1552900,20702878.0000,0.751900
2025-02-11,13.4300,13.5000,13.2800,13.4100,1059500,14189907.0000,0.074600
2025-02-12,13.4100,13.5500,13.1700,13.4800,1177486,15828343.1200,0.522000
2025-02-13,13.5500,13.5500,13.1800,13.2400,1200500,15979875.0000,-1.780400
