date,open,high,low,close,volume,amount,pctChg
2025-01-02,97.7900,97.9300,92.1800,93.4200,5496626,520931731.5800,-4.322000
2025-01-03,92.6000,94.6700,90.8800,91.1800,3424835,317184211.0600,-2.397800
2025-01-06,91.1800,95.5600,91.1800,94.4500,5059564,475709468.2100,3.586300
2025-01-07,94.4900,103.0000,94.4500,100.8300,6851155,687085445.9900,6.754900
2025-01-08,100.2900,104.6600,99.5000,103.4700,6580972,672192874.5500,2.618300
2025-01-09,103.6200,107.1500,102.0200,104.3100,4279876,449055152.4700,0.811800
2025-01-10,103.0000,106.0000,102.5000,102.5000,2926240,304022023.1100,-1.735200
2025-01-13,101.0000,103.5800,100.5300,103.4400,3221576,329727891.2500,0.917100
2025-01-14,102.6500,105.4900,101.2300,104.3300,4389382,456828191.9300,0.860400
2025-01-15,104.3300,106.0000,103.5100,104.7900,4002733,420068315.7100,0.440900
2025-01-16,105.4000,106.0000,102.6000,104.2900,4147439,432724249.0600,-0.477100
2025-01-17,103.5100,108.8400,102.8300,107.1500,4224227,449265108.4400,2.742400
2025-01-20,109.9700,112.0000,105.2000,106.0800,5760734,620139069.0300,-0.998600
2025-01-21,106.8300,107.9700,104.2100,106.9700,3776126,401292922.0200,0.839000
2025-01-22,106.9800,108.3500,105.0000,108.1100,3128007,334578844.5300,1.065700
2025-01-23,108.5900,108.6500,103.7000,104.4000,4711300,495749706.6800,-3.431700
2025-01-24,103.4100,105.8300,103.3500,105.3100,3173692,333113161.7600,0.871600
2025-01-27,105.5000,110.1000,103.6100,108.5200,4031330,435245230.1000,3.048100
2025-02-05,109.4000,114.8000,108.1600,113.2000,6640972,746715340.7800,4.312600
2025-02-06,112.0900,112.9600,110.1000,111.6200,3724546,415138793.6000,-1.395800
2025-02-07,111.5500,112.4000,107.3200,110.0700,4850677,530803651.4300,-1.388600
2025-02-10,110.0100,110.0100,105.8800,107.3600,5223930,559562856.7900,-2.462100
2025-02-11,106.9700,111.1100,106.5200,110.4700,4380643,480154392.6100,2.896800
2025-02-12,110.0200,112.3800,109.4300,111.6800,2974526,330650685.1200,1.095300
