date,open,high,low,close,volume,amount,pctChg
2025-01-02,27.1000,27.5900,26.2700,26.8300,1597981,43183154.2100,-0.923200
2025-01-03,27.2000,27.7700,26.2900,26.8900,1894305,51137805.9500,0.223600
2025-01-06,26.6300,26.6300,24.8000,26.1100,1774954,45657051.4000,-2.900700
2025-01-07,26.4800,27.9800,26.1300,27.9600,3386718,93090156.2600,7.085400
2025-01-08,27.8000,28.6000,26.8000,28.6000,2790986,77666844.4000,2.289000
2025-01-09,28.9300,29.9300,28.9300,29.6700,5212651,153909170.8700,3.741300
2025-01-10,29.0100,29.1400,26.6100,26.7500,4086235,113366217.9000,-9.841600
2025-01-13,26.0000,27.2400,25.2000,26.8500,1662400,43956439.0000,0.373800
2025-01-14,27.0300,27.7900,26.6600,27.7200,1853000,50807428.0000,3.240200
2025-01-15,27.7200,28.0900,26.7800,26.8400,1582500,43255871.0000,-3.174600
2025-01-16,26.9700,27.4500,26.5400,26.8800,1437900,38742424.0000,0.149000
2025-01-17,26.7600,27.4000,26.6200,27.1300,1339200,36307353.0000,0.930100
2025-01-20,27.1700,28.0800,27.0000,27.7300,2022481,55972496.4100,2.211600
2025-01-21,28.0000,28.0000,27.3500,27.8600,1275126,35306605.6400,0.468800
2025-01-22,27.8500,28.0500,27.2700,27.4100,1051245,29066056.1000,-1.615200
2025-01-23,27.8200,28.0000,26.9600,26.9600,1189367,32729080.3700,-1.641700
2025-01-24,27.0000,27.1900,26.7500,26.8400,1079567,29053410.9600,-0.445100
2025-01-27,27.0000,27.2000,26.5000,26.8000,1193700,32223806.0000,-0.149000
2025-02-05,27.3500,27.5700,27.0200,27.3600,1253755,34278791.2200,2.089600
2025-02-06,27.4300,28.3800,27.2700,28.1700,1977500,55416898.0000,2.960500
2025-02-07,28.2300,29.3800,28.0500,28.3900,3060188,87997611.2800,0.781000
2025-02-10,28.3300,28.6500,28.0100,28.2200,1929888,54456418.6000,-0.598800
2025-02-11,28.1700,28.7800,27.7900,28.5500,2047467,58034213.7800,1.169400
2025-02-12,28.4000,29.2100,28.2100,28.6600,1826116,52174389.8800,0.385300
2025-02-13,28.5400,28.6000,28.0500,28.1500,1282300,36253085.3800,-1.779500
2025-02-14,28.0100,29.3800,27.9400,28.8700,2689100,77505823.0000,2.557700
2025-02-17,28.8700,29.1300,28.3100,28.7400,1756809,50352551.2400,-0.450300
2025-02-18,28.6500,28.7800,27.6200,27.6700,1779000,50052454.0000,-3.723000
2025-02-19,27.5800,29.2000,27.5100,29.1000,3606700,103628025.0000,5.168100
2025-02-20,32.5000,34.9200,32.5000,34.9200,5724419,198417450.5000,20.000000
2025-02-21,38.9900,38.9900,35.1400,35.4700,21706727,794406972.9600,1.575000
2025-02-24,33.4600,34.0500,32.5500,33.4400,10795142,360175166.9400,-5.723100
2025-02-25,32.6800,33.9700,31.6000,32.7100,8081043,266019098.0100,-2.183000
2025-02-26,33.1800,33.1800,32.1200,32.4200,6387700,207438297.0000,-0.886600
2025-02-27,32.7100,32.7100,30.7000,31.2000,6604580,206932315.6000,-3.763100
2025-02-28,30.9200,31.3500,29.4000,29.4300,4566101,137958428.4900,-5.673100
2025-03-03,29.5500,30.3500,29.0100,29.6200,3524400,105313225.0000,0.645600
2025-03-04,29.6900,30.2200,29.6300,29.8900,3013100,90173004.0000,0.911500
2025-03-05,30.1000,30.9600,29.6500,30.9100,4568781,138879994.3700,3.412500
2025-03-06,30.8000,31.4000,30.4200,31.0600,4944641,153370663.4100,0.485300
2025-03-07,31.1500,31.3900,30.6000,30.8200,3436615,106412114.4000,-0.772700
