date,open,high,low,close,volume,amount,pctChg
2025-01-02,10.0900,10.4900,9.9200,10.0300,3191350,32385405.0000,-0.298200
2025-01-03,9.9900,10.0700,9.4100,9.4500,3619300,35189878.0000,-5.782700
2025-01-06,9.4200,9.5900,9.0200,9.3800,2765453,25923938.3000,-0.740700
2025-01-07,9.3700,9.7000,9.2800,9.6500,2336562,22165336.7000,2.878500
2025-01-08,9.7000,9.8800,9.2100,9.6200,3598262,34420170.3000,-0.310900
2025-01-09,9.6100,9.7000,9.4600,9.4800,2195200,21007243.0000,-1.455300
2025-01-10,9.5200,9.5800,9.1500,9.1700,1943100,18130884.0000,-3.270000
2025-01-13,9.0300,9.3100,8.8000,9.2000,2316200,21032954.0000,0.327200
2025-01-14,9.5800,10.0600,9.4100,10.0400,4709300,46012369.0000,9.130400
2025-01-15,10.1700,10.2300,9.8900,9.9700,3162200,31679749.0000,-0.697200
2025-01-16,10.0200,10.2300,9.9100,9.9900,2027600,20395326.0000,0.200600
2025-01-17,9.9500,10.0400,9.8300,10.0100,1668916,16615708.3400,0.200200
2025-01-20,10.0800,10.4100,10.0000,10.3100,2074200,21245534.0000,2.997000
2025-01-21,10.2900,10.4200,9.9500,10.1200,2363400,23902863.0000,-1.842900
2025-01-22,10.1800,10.1900,9.9700,10.0800,1397166,14053561.5000,-0.395300
2025-01-23,10.2800,10.3600,10.0500,10.0700,2008867,20531490.7600,-0.099200
2025-01-24,10.0800,10.1600,9.9800,10.1500,2404184,24242455.2200,0.794400
2025-01-27,10.3300,10.5400,10.2300,10.3700,2563831,26639170.3300,2.167500
2025-02-05,10.4700,10.9500,10.3200,10.8100,3803850,40896289.5000,4.243000
2025-02-06,10.8100,11.0900,10.6300,10.7300,2819542,30355015.0000,-0.740100
2025-02-07,10.8400,11.2500,10.7300,11.0400,3745600,41357332.0000,2.889100
2025-02-10,11.1600,12.8000,11.1600,11.7400,6907150,81404006.1600,6.340600
2025-02-11,11.6900,12.0900,11.4800,11.8500,5051896,59479692.8400,0.937000
2025-02-12,11.7400,11.8300,11.3200,11.4000,3422442,39265664.0000,-3.797500
2025-02-13,11.4300,11.6100,11.2700,11.2900,3302060,37815257.1000,-0.964900
2025-02-14,11.3000,11.4800,11.2500,11.3800,2411850,27414415.5000,0.797200
2025-02-17,11.3200,11.6200,11.3100,11.4600,2559800,29268599.0000,0.703000
2025-02-18,11.3900,11.5700,11.1200,11.1300,2396217,27062465.9100,-2.879600
2025-02-19,11.1000,11.3400,11.1000,11.3400,1596400,17961487.5000,1.886800
2025-02-20,11.3000,11.5800,11.2800,11.3500,1829850,20804905.0000,0.088200
2025-02-21,11.3100,11.4200,11.0700,11.1900,2507580,28115874.1000,-1.409700
2025-02-24,11.2800,11.3500,11.1300,11.2500,2465650,27652132.0000,0.536200
2025-02-25,11.2500,11.3100,11.0900,11.1500,1847400,20676667.0000,-0.888900
2025-02-26,11.2300,11.3900,11.1200,11.2800,2162450,24390261.5000,1.165900
2025-02-27,11.2500,11.4300,10.9900,11.2600,2302550,25831603.5000,-0.177300
2025-02-28,11.1600,11.2700,11.0300,11.0500,2258352,25181678.1000,-1.865000
2025-03-03,11.0700,11.5900,11.0300,11.1600,4184102,47225987.4400,0.995500
2025-03-04,11.0800,11.6800,11.0600,11.5600,3075150,35123193.5000,3.584200
2025-03-05,11.6100,11.6100,11.2200,11.3900,1972700,22393638.0000,-1.470600
2025-03-06,11.4900,11.6400,11.3300,11.5700,2431850,28067111.5000,1.580300
2025-03-07,11.6800,11.7400,11.4300,11.5400,2079850,24065916.5000,-0.259300
2025-03-10,11.6600,12.0700,11.6100,11.8400,3354250,39719398.5000,2.599700
2025-03-11,12.0400,12.0500,11.6500,11.8800,3366800,39846705.0000,0.337800
2025-03-12,11.9900,12.2900,11.8800,12.2000,4127700,49975544.5000,2.693600
2025-03-13,12.4900,13.4100,12.1900,12.2500,8265202,104391964.5600,0.409800
2025-03-14,12.3000,12.5300,12.1400,12.4500,4551596,56189896.8200,1.632700
2025-03-17,12.7100,13.5000,12.4400,13.3900,9562513,125211893.9300,7.550200
2025-03-18,13.3900,13.6200,13.2300,13.3700,5748861,76792426.9000,-0.149400
2025-03-19,13.3600,13.5500,12.7100,12.8500,6257049,81967549.2300,-3.889300
2025-03-20,12.8200,13.1900,12.8000,12.8700,3292165,42591274.5000,0.155600
2025-03-21,13.0600,13.1000,12.4000,12.4900,3333849,42114750.7700,-2.952600
2025-03-24,12.8200,12.8200,12.0100,12.2300,3069350,37859377.0000,-2.081700
2025-03-25,12.3000,14.6800,12.1200,14.5800,18596839,255911165.7400,19.215000
2025-03-26,16.8300,17.5000,16.2600,17.5000,29111205,499638530.9400,20.027400
2025-03-27,19.9600,21.0000,19.5200,21.0000,19411639,397761886.0500,20.000000
2025-03-28,23.2600,25.2000,22.0700,25.0000,43954603,1066013977.0300,19.047600
2025-03-31,24.3200,24.8200,20.1400,22.5000,31326412,711689368.9800,-10.000000
2025-04-01,23.5400,27.0000,23.0200,27.0000,30820812,785821959.8200,20.000000
2025-04-02,28.0000,30.6000,25.6000,29.2000,37538811,1069989204.4400,8.148100
2025-04-03,30.5400,34.9900,29.4000,34.9900,38058497,1229482006.8900,19.828800
2025-04-07,34.9900,38.8900,31.5500,32.3000,42087164,1500163046.3900,-7.687900
2025-04-08,33.0000,36.6600,27.3100,34.8100,49842590,1589456667.2500,7.770900
2025-04-09,29.5900,30.7200,27.8500,27.8500,39400981,1143243542.3600,-19.994300
2025-04-10,25.8000,27.6800,23.8700,26.7600,40208899,1046851638.8200,-3.913800
2025-04-11,25.9900,27.7900,24.7800,27.0200,36891155,970101930.5100,0.971600
2025-04-14,27.6000,29.2900,26.5000,29.2500,38612500,1084535035.1900,8.253100
2025-04-15,29.2600,29.2600,25.5100,26.0100,37661140,1022287041.0400,-11.076900
2025-04-16,26.6000,26.9000,24.2000,25.0700,29155908,743297920.1200,-3.614000
2025-04-17,24.6300,25.6500,24.0400,24.1000,25814443,638406882.9500,-3.869200
2025-04-18,23.7700,24.3000,21.8200,22.1000,31885825,723879564.7600,-8.298800
2025-04-21,22.3500,22.8200,22.0500,22.4400,22006974,494402455.3600,1.538500
2025-04-22,22.9900,23.6400,22.5600,22.9800,31689446,732970956.8200,2.406400
2025-04-23,22.7600,23.2900,22.0500,22.2100,24192928,542471318.1600,-3.350700
2025-04-24,21.8800,22.8400,21.3000,21.5000,24334888,534720957.2200,-3.196800
2025-04-25,21.5300,22.1000,21.2000,21.8600,17711962,385266556.1000,1.674400
2025-04-28,21.5200,21.8000,20.7200,21.0000,17317083,365531117.3100,-3.934100
2025-04-29,21.8800,22.1700,21.3100,21.9800,24766869,539490410.6900,4.666700
2025-04-30,22.7800,22.9600,21.4800,21.4800,19819523,433504724.1700,-2.274800
2025-05-06,22.0200,22.9900,21.7700,22.8100,26938797,605457503.8600,6.191800
2025-05-07,22.9800,23.9100,22.4300,23.9100,32887783,761182387.6800,4.822400
2025-05-08,23.4000,23.5000,22.6500,22.7900,27602399,631947668.2400,-4.684200
2025-05-09,22.6500,22.8900,21.9300,22.0700,18552883,413244190.0300,-3.159300
2025-05-12,22.0000,22.4300,21.8900,22.3500,14105880,313449617.7100,1.268700
2025-05-13,22.3600,22.7800,21.8000,22.0600,18010680,400039965.0500,-1.297500
2025-05-14,22.0200,23.3000,21.8800,22.7700,28717380,650727685.6500,3.218500
2025-05-15,22.7600,26.3900,22.6100,25.1600,59932114,1457201787.6200,10.496300
2025-05-16,23.9800,24.0000,21.9000,23.8200,43774880,1011052465.0100,-5.325900
2025-05-19,22.8500,23.7200,22.4800,23.5100,29125941,673220839.0100,-1.301400
2025-05-20,23.5900,28.1900,23.5000,26.2000,58258478,1497380316.3700,11.441900
2025-05-21,25.5000,28.1500,25.2500,27.0500,52347157,1396372641.7900,3.244300
2025-05-22,26.4600,27.5800,24.4200,24.5100,40790080,1045188522.5700,-9.390000
2025-05-23,24.4000,25.4900,23.9100,23.9500,28984834,713834305.9500,-2.284800
2025-05-26,24.3800,24.5100,23.6100,23.9800,19485136,466886445.2000,0.125300
2025-05-27,24.2000,25.6500,23.5100,25.3800,32685539,813591390.4400,5.838200
2025-05-28,25.2500,25.4000,23.3600,23.4100,28405689,681297540.1800,-7.762000
2025-05-29,22.8500,23.3100,22.0100,22.9400,21196154,482398288.2000,-2.007700
