date,open,high,low,close,volume,amount,pctChg
2025-01-02,13.7300,13.9100,13.0500,13.2700,3155200,42567090.0000,-3.770800
2025-01-03,13.4500,13.4500,12.2500,12.2700,3715700,47262941.0000,-7.535800
2025-01-06,12.1300,12.2900,11.4800,11.8700,2865408,34250003.1000,-3.260000
2025-01-07,11.9600,12.8000,11.9600,12.7200,3522600,43649196.0000,7.160900
2025-01-08,12.7500,12.9700,12.1800,12.7600,3074700,38739085.0000,0.314500
2025-01-09,12.8500,13.1500,12.6800,13.0600,2248600,29128343.0000,2.351100
2025-01-10,13.0600,13.1300,12.4600,12.4600,2096843,26845006.4000,-4.594200
2025-01-13,12.2600,12.7000,12.0000,12.4900,1693643,20961924.9400,0.240800
2025-01-14,12.6800,13.1800,12.6100,13.1600,2527400,32808440.0000,5.364300
2025-01-15,13.2900,13.3000,12.8800,12.9400,2057008,26849735.0400,-1.671700
2025-01-16,12.9400,13.2300,12.7000,12.7700,2344943,30316260.6900,-1.313800
2025-01-17,12.7700,12.9500,12.5000,12.7300,1755800,22277969.0000,-0.313200
2025-01-20,12.9900,13.2500,12.7000,13.1900,3012600,39285455.0000,3.613500
2025-01-21,13.2100,13.2700,12.8000,12.9000,2267800,29356263.0000,-2.198600
2025-01-22,13.0300,13.1400,12.6600,12.9600,3010600,38847038.0000,0.465100
2025-01-23,13.0900,13.6800,12.9900,13.1700,3931900,52659785.9200,1.620400
2025-01-24,13.2200,13.9500,13.0200,13.8700,4259950,57916918.2400,5.315100
2025-01-27,13.8900,14.4500,13.8000,14.4100,4964896,71010089.9600,3.893300
2025-02-05,14.5100,15.0800,14.3400,14.9600,4314337,63661981.9800,3.816800
2025-02-06,14.9800,15.0000,14.3000,14.5000,5562500,81095581.0000,-3.074900
2025-02-07,14.5200,14.9800,14.3600,14.5500,3603684,52864546.1600,0.344800
2025-02-10,14.6700,14.6700,14.3600,14.5300,3130296,45293429.4000,-0.137500
2025-02-11,14.5000,14.9500,14.5000,14.6600,2998100,44116822.0000,0.894700
2025-02-12,14.6600,14.8500,14.6000,14.8000,1976999,29125901.3800,0.955000
2025-02-13,14.8500,14.9400,14.5600,14.6500,2576200,37974869.0000,-1.013500
2025-02-14,14.6500,14.6800,14.4600,14.5700,2195928,31975969.9400,-0.546100
2025-02-17,14.6100,14.9800,14.5800,14.9500,3018000,44674407.2200,2.608100
2025-02-18,14.9500,15.1600,14.5300,14.5300,2144900,31740674.2300,-2.809400
2025-02-19,14.5100,14.8500,14.5100,14.7600,2108900,31005886.0000,1.582900
2025-02-20,14.8000,15.1300,14.7500,15.1100,3200300,47903720.0000,2.371300
