date,open,high,low,close,volume,amount,pctChg
2025-01-02,29.0800,30.0300,28.8100,29.1800,1314725,38595412.0000,0.000000
2025-01-03,29.2300,29.5300,28.5100,28.6700,931650,26980529.5600,-1.747800
2025-01-06,28.6600,29.4900,28.4000,29.0000,742700,21514914.0000,1.151000
2025-01-07,29.0000,29.7300,28.7500,29.5500,613475,18076049.5000,1.896600
2025-01-08,29.4100,29.9000,28.5900,29.6900,1004050,29343633.5000,0.473800
2025-01-09,29.5900,30.2000,29.4200,29.8600,1103600,32962993.5000,0.572600
2025-01-10,29.8500,30.1500,29.4000,29.4500,834700,24859062.5000,-1.373100
2025-01-13,29.1500,29.5000,28.8300,29.1900,549603,16011460.6700,-0.882900
2025-01-14,29.8100,31.0000,29.7000,30.8200,2589001,79059792.7200,5.584100
2025-01-15,31.0000,31.9000,30.9300,31.1000,1610350,50474432.7500,0.908500
2025-01-16,31.1900,31.6800,30.4100,30.5700,1339000,41408955.2500,-1.704200
2025-01-17,30.4700,31.1300,30.2000,30.5700,891875,27284871.0000,0.000000
2025-01-20,30.6600,31.4000,30.6100,31.0100,1141525,35357827.7500,1.439300
2025-01-21,31.1000,31.4500,30.7300,31.3700,1066600,33239835.0000,1.160900
2025-01-22,31.2100,31.5100,30.7600,31.0100,1082700,33593885.0000,-1.147600
2025-01-23,31.2100,31.6800,30.6500,31.1500,1511825,47070559.5000,0.451500
2025-01-24,30.8300,31.4500,30.8100,31.1000,990575,30813416.5000,-0.160500
2025-01-27,31.2000,31.3400,30.5000,30.8000,808860,25026328.4000,-0.964600
2025-02-05,31.0800,31.1200,30.3000,30.7900,833287,25569091.7200,-0.032500
2025-02-06,30.7800,31.4600,30.6200,31.4500,1156750,36149351.4200,2.143600
2025-02-07,31.7000,31.7000,30.5000,30.9300,2005975,62350875.8900,-1.653400
2025-02-10,31.0200,31.3000,30.6700,31.1300,1193266,36920745.9800,0.646600
2025-02-11,31.1100,31.1500,30.4400,30.7700,1093554,33580843.2200,-1.156400
2025-02-12,30.7800,30.9300,30.3400,30.8100,1043388,32033345.2200,0.130000
2025-02-13,30.7700,30.8700,30.1000,30.1800,1326811,40385005.7100,-2.044800
2025-02-14,30.2000,30.8500,30.0300,30.7000,2025958,61645207.8500,1.723000
2025-02-17,30.6800,31.1500,30.3500,31.1300,1243248,38464314.5200,1.400700
2025-02-18,31.1500,33.2900,30.8000,32.4500,4936850,160598734.6300,4.240300
2025-02-19,32.0100,33.0500,31.7200,32.9700,2880816,94313857.3300,1.602500
2025-02-20,33.4100,34.3000,33.0000,33.0100,2640312,88013213.3800,0.121300
2025-02-21,33.0400,34.0000,32.5700,33.8400,2911375,97195228.7500,2.514400
2025-02-24,33.8600,33.9200,33.0100,33.5200,1333000,44611187.8400,-0.945600
2025-02-25,33.0300,34.0800,33.0300,33.5800,1153325,38688989.5000,0.179000
2025-02-26,33.5800,33.9900,33.1800,33.3500,1018725,34231239.7500,-0.684900
2025-02-27,33.7400,33.9000,32.7300,33.2300,1379082,45708072.8900,-0.359800
2025-02-28,33.2000,33.2000,31.7500,31.8500,1521382,49025942.6800,-4.152900
2025-03-03,32.2200,32.6500,31.6300,31.9700,1423000,45736223.0000,0.376800
2025-03-04,32.1300,32.9200,31.6600,32.6200,986431,32116085.6800,2.033200
2025-03-05,32.4600,32.7000,32.0200,32.5300,624395,20174493.0500,-0.275900
2025-03-06,32.8300,32.9600,32.4800,32.6000,796600,26075590.0000,0.215200
2025-03-07,32.6000,33.7200,32.0500,33.3300,1341325,44514230.2500,2.239300
2025-03-10,33.4400,34.4800,33.0900,34.4100,1893445,64407762.5500,3.240300
2025-03-11,34.0000,36.3700,34.0000,35.1300,2620080,91771824.8500,2.092400
