date,open,high,low,close,volume,amount,pctChg
2025-01-02,13.7000,14.2400,13.4100,13.5800,9317600,128908822.2000,-0.875900
2025-01-03,13.7200,13.9600,13.0500,13.1300,10027345,134994839.4000,-3.313700
2025-01-06,12.9000,13.1600,12.5800,12.8900,6405645,82436507.2500,-1.827900
2025-01-07,12.9200,13.2100,12.8200,13.2100,6239000,81444717.0000,2.482500
2025-01-08,13.0900,13.5100,12.7400,13.3000,9257174,121659122.5200,0.681300
2025-01-09,13.2100,13.5000,13.0500,13.1400,7135600,94100162.0000,-1.203000
2025-01-10,13.1400,13.2200,12.3700,12.3700,7818500,99805758.0000,-5.860000
2025-01-13,12.2400,12.4300,12.0400,12.3900,5606200,68871489.0000,0.161700
2025-01-14,12.4800,12.9000,12.4800,12.8700,7393900,94048120.0000,3.874100
2025-01-15,12.8500,12.9400,12.6500,12.6900,5143100,65688431.0000,-1.398600
2025-01-16,13.1000,15.2300,13.1000,15.2300,21956100,321142872.0000,20.015800
2025-01-17,15.8400,16.2900,14.9900,15.0200,49090001,762550674.1600,-1.378900
2025-01-20,14.9300,15.0900,14.5000,14.6100,26731283,393579237.3800,-2.729700
2025-01-21,14.7000,14.7800,14.2700,14.3400,18109061,261524900.1800,-1.848000
2025-01-22,14.1700,14.2900,13.8000,13.9400,13428508,188007860.4600,-2.789400
2025-01-23,14.1300,14.5600,13.9700,13.9800,19264600,273807048.0000,0.286900
2025-01-24,13.8900,14.2600,13.6000,14.0600,13328900,186754728.0000,0.572200
2025-01-27,14.1000,14.2900,13.2900,13.2900,12626600,173229536.0000,-5.476500
2025-02-05,13.2900,13.6300,13.1100,13.6100,10100338,135505613.8000,2.407800
2025-02-06,13.5200,13.8400,13.3300,13.8300,10598638,144648782.4000,1.616500
2025-02-07,13.8100,14.3400,13.7000,14.1000,18545300,261198558.6200,1.952300
2025-02-10,14.2100,14.2400,14.0100,14.2000,10836600,153183215.0000,0.709200
2025-02-11,14.3000,14.3600,14.0100,14.0700,9327300,131848852.0000,-0.915500
2025-02-12,14.0100,14.2000,13.9600,14.2000,10061000,141832243.0000,0.924000
2025-02-13,14.1500,14.7800,14.0700,14.4800,21597394,314459962.7200,1.971800
2025-02-14,14.4900,14.5500,14.1400,14.2000,13150050,188241600.5000,-1.933700
2025-02-17,14.2100,14.7800,14.2100,14.5900,17572040,255967384.8000,2.746500
2025-02-18,14.5000,14.5300,13.8400,13.8400,13613600,193049870.0000,-5.140500
2025-02-19,14.4000,15.6100,14.1800,15.2400,38282597,573862571.5700,10.115600
2025-02-20,15.2300,15.8200,14.9000,15.7100,34887957,536354826.2100,3.084000
2025-02-21,15.6300,15.7900,15.4300,15.5200,23018400,358367308.0000,-1.209400
2025-02-24,15.5200,15.8200,15.2800,15.4800,17608970,274081730.5000,-0.257700
2025-02-25,15.2000,15.3800,15.0400,15.2100,12021507,183223790.6500,-1.744200
2025-02-26,15.3500,16.6600,15.3400,16.2700,37064636,600508959.1400,6.969100
2025-02-27,15.9400,17.1300,15.8500,16.9000,43832291,725375004.1700,3.872200
2025-02-28,16.6000,16.8100,15.3000,15.3800,29049612,458477605.1300,-8.994100
