date,open,high,low,close,volume,amount,pctChg
2025-01-02,21.0200,21.4200,20.4100,20.5900,1204700,25132722.0000,-2.138800
2025-01-03,20.6500,20.9000,19.5400,19.6300,2044100,41209372.0000,-4.662500
2025-01-06,19.6000,19.7500,18.6100,19.5800,1187500,22896194.0000,-0.254700
2025-01-07,19.7500,20.4100,19.5200,20.3500,1381500,27804736.0000,3.932600
2025-01-08,20.3600,20.5300,19.6400,20.3800,1304336,26329351.6000,0.147400
2025-01-09,20.3000,20.6500,20.1400,20.1700,871500,17760674.0000,-1.030400
2025-01-10,20.1700,20.4600,19.7000,19.7300,1096600,22068589.0000,-2.181500
2025-01-13,19.6000,20.0800,19.2200,19.8700,924866,18216451.3200,0.709600
2025-01-14,19.8900,21.1800,19.8900,21.1000,1296900,26931865.0000,6.190200
2025-01-15,21.0400,21.4500,20.8100,21.2900,1252600,26594517.0000,0.900500
2025-01-16,21.3700,22.0000,21.1200,21.3000,1243000,26695764.0000,0.047000
2025-01-17,21.4100,21.7000,21.2500,21.6200,834400,17944922.0000,1.502300
2025-01-20,21.8500,22.4000,21.6300,22.2200,1437200,31718278.1300,2.775200
2025-01-21,22.2200,22.4400,21.8500,22.2400,1110800,24596506.0000,0.090000
2025-01-22,21.9700,22.2800,21.9700,22.2000,946600,20992370.0000,-0.179900
2025-01-23,22.3500,22.6000,22.1000,22.2100,1141890,25530709.4000,0.045000
2025-01-24,22.4100,22.4600,21.9700,22.1800,1384500,30631370.0000,-0.135100
2025-01-27,22.2100,22.4900,21.7000,21.8500,1214142,26861496.2000,-1.487800
2025-02-05,21.9300,22.1200,21.6500,21.9000,1349100,29534658.0000,0.228800
2025-02-06,22.0000,22.4000,21.8600,22.4000,1481000,32813104.0000,2.283100
2025-02-07,22.3500,22.5400,21.9400,22.3000,1568500,35066912.1700,-0.446400
2025-02-10,22.3100,22.5200,22.0500,22.5200,1372852,30623805.9600,0.986500
2025-02-11,22.5700,22.5800,22.2400,22.5300,1124044,25166108.6400,0.044400
2025-02-12,22.5300,22.7200,22.2800,22.4000,1299710,29117384.5000,-0.577000
2025-02-13,22.5700,22.5800,21.5000,21.5000,1891200,41463899.0000,-4.017900
2025-02-14,21.5000,21.9000,21.4200,21.8800,1540793,33409329.2400,1.767400
2025-02-17,21.7800,22.2800,21.6800,22.2100,2068500,45605861.0000,1.508200
2025-02-18,22.1800,22.1800,21.3300,21.4000,2245300,48869797.0000,-3.647000
2025-02-19,21.4000,22.0300,21.4000,21.9100,1662452,36364824.9200,2.383200
2025-02-20,22.0300,22.4700,21.8400,22.4000,1896400,42071313.0000,2.236400
2025-02-21,22.4500,22.9100,22.1300,22.8000,2569400,58035457.0800,1.785700
2025-02-24,22.7800,23.2300,22.4400,22.9800,2262900,51782112.0000,0.789500
2025-02-25,22.6900,22.9600,22.5500,22.7500,1638800,37277729.0000,-1.000900
2025-02-26,22.8500,23.6000,22.8000,23.2100,2874911,66934359.7600,2.022000
2025-02-27,23.2200,23.6500,22.8500,23.4300,2765477,64363456.7500,0.947900
2025-02-28,23.4200,23.4300,22.4400,22.5600,2243700,51148059.0000,-3.713200
2025-03-03,22.5300,22.9000,22.1100,22.3000,1919547,43313015.0800,-1.152500
2025-03-04,22.2100,22.8700,22.0400,22.8100,1826900,41466934.0000,2.287000
2025-03-05,22.8100,23.0600,22.3900,22.9500,1750800,39759911.0000,0.613800
2025-03-06,22.9500,23.2900,22.8700,23.0500,2005900,46370268.0000,0.435700
2025-03-07,22.9500,23.2000,22.9000,23.0700,1918270,44239248.5000,0.086800
2025-03-10,23.1800,23.8700,23.0700,23.7100,4005717,94305062.8900,2.774200
2025-03-11,23.5800,28.4500,23.4200,28.4500,10551462,286234267.6800,19.991600
2025-03-12,30.6000,31.0000,27.0700,27.1000,18378314,522215115.5400,-4.745200
2025-03-13,27.1000,32.0500,27.0700,31.1900,18987311,560078127.1400,15.092300
2025-03-14,29.5000,30.5000,28.1800,29.5400,12641030,369659117.4500,-5.290200
2025-03-17,29.2000,29.2000,27.6800,28.6200,9664649,273815691.1000,-3.114400
2025-03-18,28.2500,28.7700,27.6800,28.5600,8016976,225893168.7400,-0.209600
2025-03-19,28.1700,29.1100,27.7800,27.9300,7667021,218478729.3400,-2.205900
2025-03-20,27.5000,27.8700,26.8300,27.3500,7017222,191520281.4500,-2.076600
2025-03-21,27.6500,27.6600,26.3300,26.3800,5289181,140773746.0000,-3.546600
2025-03-24,26.3700,26.7500,25.2900,26.2700,4846900,126356783.0000,-0.417000
2025-03-25,26.0100,26.4900,25.7300,26.1400,3467587,90670627.6100,-0.494900
