date,open,high,low,close,volume,amount,pctChg
2025-01-02,25.0200,25.9000,24.6300,24.8400,2583576,65428403.1100,-0.719400
2025-01-03,24.9000,25.3700,23.5800,23.7000,2839357,69108908.1300,-4.589400
2025-01-06,23.8800,25.7500,23.0100,25.5900,5958900,148556240.0000,7.974700
2025-01-07,25.3000,25.4000,24.0200,24.8000,4465200,109778157.0000,-3.087100
2025-01-08,24.6300,25.8600,24.1100,24.8500,3960625,99061176.2300,0.201600
2025-01-09,24.5000,25.1900,24.0200,24.7000,2429200,60013644.0000,-0.603600
2025-01-10,24.7000,24.8000,23.4200,23.4300,2373200,57152524.0000,-5.141700
2025-01-13,23.1100,23.6600,22.5000,23.6400,2005400,46658045.0000,0.896300
2025-01-14,23.9800,24.5800,23.6500,24.5800,2475100,59946898.0000,3.976300
2025-01-15,24.6000,25.1900,24.3800,24.4700,2055000,50691675.0000,-0.447500
2025-01-16,24.5200,25.3000,24.3600,24.7000,2139200,52999056.0000,0.939900
2025-01-17,24.5300,24.9000,24.1000,24.3100,1634000,39741044.0000,-1.578900
2025-01-20,24.7500,24.9600,24.2300,24.9000,2050400,50739881.0000,2.427000
2025-01-21,24.9000,25.0500,24.0800,24.3400,2221600,54341683.0000,-2.249000
2025-01-22,24.2800,24.2800,23.7000,23.7800,1589900,38018632.0000,-2.300700
2025-01-23,24.0000,24.3700,23.7200,23.7800,1619600,39081611.0000,0.000000
2025-01-24,23.7200,24.2400,23.6200,24.1700,1533199,36740938.1400,1.640000
2025-01-27,24.5200,24.9900,24.1200,24.1500,1767600,43424456.0000,-0.082700
2025-02-05,24.4200,24.9700,24.2600,24.9200,2004100,49538915.0000,3.188400
2025-02-06,24.9200,25.2200,24.4200,25.2200,2412100,60011020.0000,1.203900
2025-02-07,25.1200,27.1700,25.1200,26.8500,6487100,170953191.0000,6.463100
2025-02-10,26.8400,32.2200,26.1700,32.2200,16731142,503065757.3900,20.000000
2025-02-11,31.0100,31.0100,29.6700,29.8600,15039539,453362079.5600,-7.324600
2025-02-12,29.1100,30.9300,29.1100,30.1600,9767527,293001885.2200,1.004700
2025-02-13,29.9500,30.1900,28.9000,29.2500,6750376,198635547.0200,-3.017200
2025-02-14,28.9200,31.5900,28.9200,30.7100,12570109,386273834.8600,4.991500
2025-02-17,31.3000,32.7000,30.4900,30.7900,11223525,351998319.7700,0.260500
2025-02-18,30.7200,30.8100,28.9500,28.9600,7116297,211492959.1200,-5.943500
2025-02-19,29.1300,29.7800,28.5000,29.5600,4802725,140994056.5000,2.071800
2025-02-20,29.9800,31.2700,29.9700,30.4100,6650900,203350237.0000,2.875500
2025-02-21,30.2100,31.0000,29.8800,30.4900,5433800,164550196.0000,0.263100
2025-02-24,30.1200,30.3100,29.5100,29.7800,4095200,122265114.0000,-2.328600
