date,open,high,low,close,volume,amount,pctChg
2025-01-02,15.6100,16.4400,15.5500,15.8800,4308505,68866505.2700,0.506300
2025-01-03,15.7800,15.8800,14.2500,14.3100,4151903,61829899.5900,-9.886600
2025-01-06,14.3100,14.3500,13.3200,14.0500,2208901,30771706.6100,-1.816900
2025-01-07,14.0500,14.4800,13.9500,14.4800,1650200,23556746.0000,3.060500
2025-01-08,14.4800,14.6200,13.8000,14.4700,1615200,23146039.0000,-0.069100
2025-01-09,14.3000,14.7200,14.3000,14.4400,1409200,20458486.0000,-0.207300
2025-01-10,14.5000,14.5800,13.6100,13.7000,1411700,19892973.0000,-5.124700
2025-01-13,13.5000,13.9400,13.1100,13.8800,1609900,21976494.0000,1.313900
2025-01-14,14.1300,14.7200,14.0000,14.6800,1641000,23726556.0000,5.763700
2025-01-15,14.9000,15.0900,14.5700,14.6800,1475300,21820334.0000,0.000000
2025-01-16,14.9100,15.0100,14.6000,14.7800,1273200,18860449.8000,0.681200
2025-01-17,14.7000,14.8600,14.5600,14.6600,1016600,14932331.0000,-0.811900
2025-01-20,14.6600,15.0500,14.4800,14.9600,1611200,23959940.0000,2.046400
2025-01-21,15.0600,15.2000,14.5100,14.8200,1644662,24308215.4000,-0.935800
2025-01-22,14.7200,14.7600,14.4900,14.6100,1302800,19018438.0000,-1.417000
2025-01-23,14.9000,14.9900,14.5000,14.5600,1260200,18656161.0000,-0.342200
2025-01-24,14.7500,14.9000,14.4500,14.8800,1448200,21265956.0000,2.197800
2025-01-27,14.7300,15.1800,14.7300,14.7900,1715700,25649179.0000,-0.604800
2025-02-05,15.0700,15.2300,14.6500,15.1600,1742200,26287714.0000,2.501700
2025-02-06,15.1700,15.4400,15.0900,15.4000,1557493,23807449.4600,1.583100
2025-02-07,15.4000,15.7700,15.3800,15.6000,1979952,30860159.7600,1.298700
2025-02-10,15.6000,16.2800,15.6000,16.2800,2575800,41419240.1700,4.359000
2025-02-11,16.2800,16.3500,15.8000,15.9400,1678944,26732560.3200,-2.088500
2025-02-12,16.0400,16.1000,15.6500,15.8900,1212158,19167784.8000,-0.313700
2025-02-13,15.9800,15.9800,15.5000,15.5400,1139800,17830564.0000,-2.202600
2025-02-14,15.6100,15.6700,15.4900,15.6400,1110008,17301042.8000,0.643500
2025-02-17,15.6500,16.1000,15.6400,16.0200,1615700,25693868.0000,2.429700
2025-02-18,15.9800,16.0200,15.4000,15.4600,1420700,22312315.0000,-3.495600
2025-02-19,15.4600,15.8800,15.4000,15.8000,1188783,18703623.0300,2.199200
2025-02-20,15.6500,16.0300,15.6500,16.0300,1234693,19638615.4700,1.455700
2025-02-21,15.9100,16.0600,15.6300,15.8900,1357000,21469935.0000,-0.873400
2025-02-24,15.8900,16.0900,15.6600,15.9900,1421800,22591715.0000,0.629300
2025-02-25,15.7200,16.0500,15.7200,15.8000,945400,15045184.0000,-1.188200
2025-02-26,15.9300,16.0600,15.7700,15.8500,1212100,19290054.0000,0.316500
2025-02-27,15.8400,16.0300,15.5000,15.8400,1325800,20911530.0000,-0.063100
2025-02-28,15.7700,15.9500,15.4300,15.4500,1528455,23936378.9000,-2.462100
2025-03-03,15.4000,16.1400,15.2000,15.7900,2418153,38386454.5100,2.200600
2025-03-04,15.7900,16.2300,15.6700,16.1800,1803600,28853717.0000,2.469900
