date,open,high,low,close,volume,amount,pctChg
2025-01-02,16.5300,16.6300,15.2500,15.6200,6226400,99262333.1700,-6.634800
2025-01-03,15.6500,15.6800,14.6700,14.7200,4093304,61832608.2800,-5.761800
2025-01-06,14.7700,14.8500,14.3100,14.6500,2410604,35239580.5200,-0.475500
2025-01-07,14.6900,14.8900,14.5200,14.8500,2081004,30678001.6000,1.365200
2025-01-08,14.8600,14.8800,14.0600,14.5800,3260200,47213506.0000,-1.818200
2025-01-09,14.5700,14.6800,14.4300,14.5000,1884600,27488652.0000,-0.548700
2025-01-10,14.4200,14.5800,13.9600,13.9600,2432300,34721819.0000,-3.724100
2025-01-13,14.1100,15.1900,14.1100,14.4100,3973619,58060876.4600,3.223500
2025-01-14,14.2900,14.9000,14.2800,14.9000,3803400,55828735.5300,3.400400
2025-01-15,14.8000,14.8800,14.6100,14.6800,2095500,30892867.0000,-1.476500
2025-01-16,14.7500,14.9300,14.6100,14.7900,2532293,37467843.0300,0.749300
2025-01-17,14.7900,14.9000,14.6700,14.7600,2007000,29727553.0000,-0.202800
2025-01-20,14.8900,15.0100,14.7600,14.9900,2101000,31349445.0000,1.558300
2025-01-21,15.0300,15.1800,14.8000,15.0400,1995700,29888222.0000,0.333600
2025-01-22,14.9900,15.1200,14.8700,14.9600,1682900,25220612.0000,-0.531900
2025-01-23,15.0600,15.4300,14.9900,14.9900,2957600,44993254.0000,0.200500
2025-01-24,14.9100,15.1700,14.8500,15.1200,2094800,31475132.0000,0.867200
2025-01-27,15.1600,15.3000,15.0100,15.0200,1466400,22224147.0000,-0.661400
2025-02-05,15.2600,15.2600,15.0100,15.1100,1268800,19145015.0000,0.599200
2025-02-06,15.1100,15.3500,14.9800,15.3200,2112700,32058002.0000,1.389800
2025-02-07,15.3100,15.5300,15.2100,15.3800,2738300,42141238.0000,0.391600
2025-02-10,15.5200,15.5200,15.3300,15.4900,1858500,28663472.0000,0.715200
2025-02-11,15.4900,15.5700,15.2700,15.4000,1929300,29649445.0000,-0.581000
2025-02-12,15.4000,15.4900,15.2600,15.4200,2327899,35781528.6500,0.129900
2025-02-13,15.4400,15.5600,15.1000,15.1000,2638499,40310412.8000,-2.075200
2025-02-14,15.0300,15.3500,15.0300,15.2800,2004281,30557999.2000,1.192100
2025-02-17,15.3700,15.5300,15.1800,15.4700,2619550,40396741.0000,1.243500
2025-02-18,15.5200,15.5200,14.8000,14.9300,3050401,46092624.2100,-3.490600
2025-02-19,14.9500,15.1800,14.8400,15.1000,1967791,29661563.5500,1.138600
2025-02-20,15.1000,15.2000,14.9600,15.1800,2591200,39033957.0000,0.529800
2025-02-21,15.1100,15.1800,14.9000,15.1500,2481271,37347540.8400,-0.197600
2025-02-24,15.0900,15.3500,15.0600,15.1700,2263619,34421967.7000,0.132000
2025-02-25,15.0800,15.1600,14.9100,14.9600,2094657,31448680.8400,-1.384300
2025-02-26,14.9900,15.1800,14.9600,15.0900,2604019,39252988.3300,0.869000
2025-02-27,15.1000,15.2200,14.8000,15.1200,3032576,45586770.6800,0.198800
2025-02-28,15.0100,15.0900,14.6800,14.7100,2552000,37939022.0000,-2.711600
2025-03-03,14.7300,15.0600,14.7200,14.8600,1792400,26731059.0000,1.019700
2025-03-04,14.8400,15.2300,14.7100,15.2100,2511376,37872497.7600,2.355300
2025-03-05,15.1700,15.2700,14.8900,15.0100,1987253,29803227.1300,-1.314900
2025-03-06,15.0700,15.2700,14.9500,15.2000,2468157,37412203.1200,1.265800
2025-03-07,15.1800,15.2200,15.0100,15.1200,1954400,29531829.0000,-0.526300
2025-03-10,15.1600,15.4800,15.0600,15.2500,2288400,34983157.0000,0.859800
2025-03-11,15.1500,15.3100,15.1100,15.3000,1749700,26608425.0000,0.327900
2025-03-12,15.3200,15.3700,15.2000,15.2600,1896257,28955334.3900,-0.261400
2025-03-13,15.2600,15.4100,15.0300,15.3900,2579984,39263250.4400,0.851900
2025-03-14,15.3100,15.6400,15.3000,15.6300,4081657,63161393.6400,1.559500
2025-03-17,15.7000,15.7600,15.5100,15.6100,2329500,36357574.0000,-0.128000
2025-03-18,15.6500,15.7900,15.5500,15.6800,2017138,31544724.2800,0.448400
2025-03-19,15.6800,15.7400,15.5000,15.6000,1548100,24164642.0000,-0.510200
2025-03-20,15.8000,15.9900,15.6600,15.7200,3498500,55248678.0000,0.769200
2025-03-21,15.5300,15.8700,15.5200,15.5300,2885200,45145202.0000,-1.208700
2025-03-24,15.5400,15.7200,15.0100,15.3500,3040600,46453789.0000,-1.159000
2025-03-25,15.2200,15.9300,15.2200,15.7800,4110790,64454880.8000,2.801300
2025-03-26,15.8300,15.9300,15.6700,15.9100,2843300,44963758.8200,0.823800
2025-03-27,15.9100,15.9100,15.5600,15.7500,2420246,38073961.8200,-1.005700
2025-03-28,15.7700,15.7800,15.4300,15.5100,2127700,33124626.0000,-1.523800
2025-03-31,15.4300,15.4700,14.9800,15.3300,1978957,30166221.5300,-1.160500
2025-04-01,15.3200,15.9100,15.3100,15.7800,2913544,45846386.3200,2.935400
2025-04-02,15.7200,15.9800,15.6300,15.7400,2500600,39560195.0000,-0.253500
2025-04-03,15.5900,15.8300,15.4000,15.7000,2250800,35231093.0000,-0.254100
2025-04-07,15.0600,15.0600,12.5600,12.6500,6270500,85296408.0000,-19.426800
2025-04-08,13.0800,13.8300,13.0700,13.5000,5404918,73118863.9000,6.719400
2025-04-09,13.2900,14.0800,12.6100,13.9900,3943700,53226404.0000,3.629600
2025-04-10,14.1100,14.4000,14.0400,14.1100,3312000,47033366.0000,0.857800
2025-04-11,14.0700,14.2500,13.9200,14.0000,2270700,31993956.0000,-0.779600
2025-04-14,14.1900,14.6400,14.1900,14.3200,3017900,43408316.0000,2.285700
2025-04-15,14.3000,14.5600,14.1200,14.3600,2309200,33157078.0000,0.279300
2025-04-16,14.3000,14.3500,13.8900,14.1300,1755500,24765275.0000,-1.601700
2025-04-17,14.0000,14.3900,13.9600,14.2900,1648900,23517678.0000,1.132300
2025-04-18,14.4000,14.4000,14.0200,14.1500,1369800,19389624.0000,-0.979700
2025-04-21,14.1100,14.3300,14.0200,14.2900,1157800,16469095.0000,0.989400
2025-04-22,14.2900,14.5500,14.2600,14.4600,1676100,24124364.0000,1.189600
2025-04-23,14.5100,14.7800,14.4900,14.5600,1457400,21289380.0000,0.691600
2025-04-24,14.5500,14.8100,14.4500,14.5600,1490209,21801849.7700,0.000000
2025-04-25,14.5500,14.6500,14.4200,14.5300,1198100,17405276.0000,-0.206000
2025-04-28,14.4600,14.5500,14.2800,14.2800,1627600,23456380.0000,-1.720600
2025-04-29,14.2100,14.3500,14.1700,14.2800,1302300,18587132.0000,0.000000
2025-04-30,14.3500,14.4300,14.2500,14.2700,1314432,18831277.2000,-0.070000
2025-05-06,14.4800,14.7200,14.3600,14.7000,1720700,25097052.0000,3.013300
2025-05-07,14.9000,15.1000,14.7300,14.8700,2004000,29828601.0000,1.156500
2025-05-08,14.9200,15.0600,14.8100,14.9800,1616500,24148658.6800,0.739700
2025-05-09,15.0000,17.3400,14.9100,16.6900,16143932,264177486.3400,11.415200
2025-05-12,16.1000,16.3500,15.8500,16.3300,12617494,202535623.3700,-2.157000
2025-05-13,16.2500,16.2500,15.7200,15.8400,7379701,117104667.8200,-3.000600
2025-05-14,15.7100,15.8700,15.5800,15.8500,4309800,67802710.0000,0.063100
2025-05-15,15.7800,15.7900,15.5000,15.6100,3511060,54828666.8200,-1.514200
2025-05-16,15.5100,15.8200,15.5100,15.6300,2946779,46202349.7300,0.128100
2025-05-19,15.6000,15.9700,15.5600,15.9700,4360009,69209275.8100,2.175300
2025-05-20,16.0000,16.0300,15.7200,15.9000,3601100,57163343.4800,-0.438300
2025-05-21,15.8100,16.0200,15.6400,15.8900,3702601,58724530.7400,-0.062900
2025-05-22,15.8100,15.9900,15.4600,15.4800,2658054,41551454.4000,-2.580200
2025-05-23,15.4800,15.7200,15.4200,15.4500,1934269,30163790.9800,-0.193800
2025-05-26,15.5300,15.9900,15.4400,15.9600,4157069,65929727.0200,3.301000
2025-05-27,15.8900,16.0900,15.8200,16.0300,2579533,41141859.8200,0.438600
2025-05-28,16.1900,16.1900,15.7800,15.8900,2336057,37181234.5900,-0.873400
2025-05-29,15.8900,15.9800,15.8200,15.9800,2520800,40138350.0000,0.566400
2025-05-30,15.9800,16.0000,15.6500,15.6700,2024100,31867338.0000,-1.939900
