date,open,high,low,close,volume,amount,pctChg
2025-01-02,35.9400,36.3300,34.2900,34.6900,1679400,59233106.0000,-3.370500
2025-01-03,34.7500,34.9500,32.6100,32.7500,1545100,52179447.0000,-5.592400
2025-01-06,32.7500,33.1500,31.5000,32.3300,1155900,37487867.0000,-1.282400
2025-01-07,33.0000,34.0600,32.4200,33.9800,1522693,50771495.8600,5.103600
2025-01-08,33.8400,34.1900,32.2700,33.4100,1392900,46413572.0000,-1.677500
2025-01-09,33.3700,36.0800,33.0000,35.0200,2917600,102837347.0000,4.818900
2025-01-10,34.8400,35.1900,33.4000,33.4200,1887886,64992657.9200,-4.568800
2025-01-13,32.9200,33.8200,32.0000,33.6000,1414680,46840865.2000,0.538600
2025-01-14,33.6000,35.4800,33.6000,35.4300,1649980,57474005.2000,5.446400
2025-01-15,35.4800,35.5700,34.5000,34.7100,1283140,44821569.4000,-2.032200
2025-01-16,34.8100,35.4700,34.5100,34.9900,1234900,43220530.0000,0.806700
2025-01-17,34.6700,36.2000,34.6700,36.1800,2749040,98042389.6000,3.401000
2025-01-20,36.4200,36.5400,35.8300,36.4000,1978540,71784885.4000,0.608100
2025-01-21,36.5900,36.8000,35.5800,36.3500,1608700,58072771.0000,-0.137400
2025-01-22,36.1000,37.5200,35.6000,36.9200,2155740,79480796.0000,1.568100
2025-01-23,37.1900,37.9600,36.5000,36.5000,2417540,90326991.0000,-1.137600
2025-01-24,36.4600,36.9400,36.1000,36.4100,1670840,60906093.0000,-0.246600
2025-01-27,37.1000,37.8800,36.1000,36.1000,1763814,64764636.5800,-0.851400
2025-02-05,36.8100,37.1600,36.3000,36.8000,1495800,55063385.0000,1.939100
2025-02-06,36.8900,38.0500,36.5900,37.9700,1845300,69216925.0000,3.179300
2025-02-07,38.3600,38.4800,37.2700,37.8900,2440600,92937918.0000,-0.210700
2025-02-10,37.8900,38.5500,37.5900,38.5300,1801615,68726736.7000,1.689100
2025-02-11,38.6400,38.6800,37.8700,38.1800,1343100,51262579.0000,-0.908400
2025-02-12,38.3000,38.5600,37.9200,38.2700,1609500,61531033.0600,0.235700
2025-02-13,38.3000,38.3000,37.3200,37.3400,1378300,51948707.0000,-2.430100
2025-02-14,37.3400,37.9000,37.0200,37.4100,1083587,40615587.5100,0.187500
2025-02-17,37.6500,38.2700,37.4100,37.9400,1279287,48515878.1300,1.416700
2025-02-18,37.8400,38.5300,36.7500,36.8200,1342992,50527901.1000,-2.952000
2025-02-19,36.9200,37.8500,36.7200,37.8300,1419200,53308925.0000,2.743100
2025-02-20,37.8800,39.1500,37.6400,38.6400,2229100,85593967.0000,2.141200
2025-02-21,38.8800,39.0200,38.1700,38.9400,2178200,84311359.0000,0.776400
2025-02-24,38.9000,38.9900,38.2100,38.6200,1767100,68095870.0000,-0.821800
2025-02-25,37.9900,38.9400,37.6200,38.6900,1468000,56588715.0000,0.181300
2025-02-26,38.7000,39.0000,38.3700,39.0000,1783000,69046794.0000,0.801200
