date,open,high,low,close,volume,amount,pctChg
2025-01-02,11.1600,11.3400,10.6900,10.8500,15533209,171077119.6000,-3.555600
2025-01-03,10.9400,10.9800,10.1600,10.2200,17476499,183681644.9400,-5.806500
2025-01-06,10.1600,10.3200,9.9100,10.0500,13060601,132045491.4400,-1.663400
2025-01-07,10.1000,10.3600,10.0600,10.3600,12360434,125994735.9300,3.084600
2025-01-08,10.3000,10.4700,9.9100,10.3700,13762671,140728306.5100,0.096500
2025-01-09,10.2900,10.6500,10.2600,10.5000,13239521,139442223.7100,1.253600
2025-01-10,10.4200,10.5900,10.0600,10.0900,12402600,128613009.0000,-3.904800
2025-01-13,9.9200,10.2500,9.7100,10.1000,11167877,111830094.3900,0.099100
2025-01-14,10.3500,10.9300,10.1300,10.8900,21035550,223179655.5000,7.821800
2025-01-15,10.8900,10.9800,10.7200,10.7800,14275600,154708068.0000,-1.010100
2025-01-16,10.8500,11.0800,10.6600,10.7900,14639761,158882461.4800,0.092800
2025-01-17,10.7300,10.8800,10.6300,10.7500,9888000,106456072.0000,-0.370700
2025-01-20,10.8800,10.9300,10.7200,10.8500,9009400,97829053.0000,0.930200
2025-01-21,10.9900,11.0000,10.7100,10.9600,10722300,116445755.0000,1.013800
2025-01-22,10.8800,10.8900,10.6500,10.7600,9645532,104096689.0000,-1.824800
2025-01-23,10.8700,11.1100,10.6000,10.6300,14691050,159914871.9600,-1.208200
2025-01-24,10.5600,10.8800,10.5500,10.8500,11226000,120690432.0000,2.069600
2025-01-27,10.9200,10.9700,10.5000,10.5000,11255650,120420083.0000,-3.225800
2025-02-05,10.8000,11.2600,10.7100,11.1500,23626750,260400894.0000,6.190500
2025-02-06,11.1500,11.9000,11.0400,11.8800,35921783,417871513.2500,6.547100
2025-02-07,11.8000,12.2100,11.7000,11.9000,40858575,489803385.3700,0.168400
2025-02-10,11.8600,11.9900,11.8300,11.9900,22177615,264481741.3800,0.756300
2025-02-11,12.0000,12.2300,11.7600,12.0400,30707015,368310569.8000,0.417000
2025-02-12,11.9900,12.4000,11.8800,12.3700,39179039,481729602.5900,2.740900
2025-02-13,12.5500,12.6500,12.1400,12.1400,34501600,426136448.0000,-1.859300
2025-02-14,12.2200,12.3400,11.8800,12.2200,32838621,396357254.8200,0.659000
2025-02-17,12.0200,12.3300,11.9600,12.1100,25188215,305752008.1700,-0.900200
2025-02-18,12.0100,12.1900,11.5900,11.6300,20776276,246751931.0000,-3.963700
2025-02-19,11.6200,12.0700,11.6000,12.0500,18558050,221719335.0000,3.611300
2025-02-20,12.0400,12.3400,12.0400,12.2900,24152311,295601531.7400,1.991700
2025-02-21,12.2000,12.4000,12.1800,12.3700,29842600,367249153.0000,0.650900
2025-02-24,12.5800,13.0900,12.3500,12.8300,66502875,852117102.3000,3.718700
2025-02-25,12.4800,13.0700,12.3800,12.7900,48456867,621948637.3400,-0.311800
2025-02-26,12.7900,12.9000,12.6200,12.8400,33582818,428305433.9400,0.390900
2025-02-27,13.0000,13.0900,12.5200,12.8300,32875533,420238116.1000,-0.077900
