date,open,high,low,close,volume,amount,pctChg
2025-01-02,19.8000,21.0000,19.1400,19.8600,16464227,327362974.5700,-4.011600
2025-01-03,20.2400,20.3000,17.8100,17.9600,14052940,263511810.0000,-9.567000
2025-01-06,17.9500,18.2800,16.9400,17.7800,8907428,158153350.4000,-1.002200
2025-01-07,18.0000,19.3400,18.0000,19.2400,14255200,268091734.0000,8.211500
2025-01-08,19.1800,19.2900,18.1600,19.0000,10423906,195707195.2000,-1.247400
2025-01-09,19.0000,19.4500,18.8800,19.0400,7995711,152817172.1400,0.210500
2025-01-10,18.8600,19.4600,17.8300,17.8700,8517599,158285178.0700,-6.145000
2025-01-13,17.4400,17.9500,16.9100,17.7800,6819800,119647959.0000,-0.503600
2025-01-14,18.0000,19.0900,17.7100,19.0000,8969151,166465742.9100,6.861600
2025-01-15,19.0800,19.2700,18.5200,18.6100,6320600,118592790.0000,-2.052600
2025-01-16,18.7200,19.4000,18.5200,18.9900,10273000,194132722.0000,2.041900
2025-01-17,18.8300,19.3200,18.4200,19.0800,9327185,175771465.3700,0.473900
2025-01-20,19.4400,20.1300,19.4100,19.9200,13072100,259228431.0000,4.402500
2025-01-21,20.0500,20.2800,19.4600,20.0000,10422800,206922711.0000,0.401600
2025-01-22,20.2500,21.5000,20.2500,20.7900,16343809,342293588.2100,3.950000
2025-01-23,21.3100,21.8600,20.4400,20.4700,14963810,317412629.7000,-1.539200
2025-01-24,20.2000,21.0900,20.2000,20.8600,10304640,214491225.4000,1.905200
2025-01-27,20.8700,21.1000,19.7300,19.8000,8715900,176256814.0000,-5.081500
2025-02-05,20.4000,21.2900,20.0200,20.9000,9773300,202854628.0500,5.555600
2025-02-06,20.9100,21.4900,20.6500,21.4200,9924300,210594195.0100,2.488000
2025-02-07,21.4200,21.8200,21.0100,21.4700,10995480,236389966.4000,0.233400
2025-02-10,21.7800,22.0500,21.1600,21.7100,9726840,210235237.7400,1.117800
2025-02-11,21.7200,22.0500,21.3100,21.4900,8108096,175430411.8000,-1.013400
2025-02-12,21.3100,21.7300,21.2300,21.4300,8465647,181503895.8600,-0.279200
2025-02-13,21.3900,21.3900,20.7000,20.8600,7294300,152777647.4000,-2.659800
2025-02-14,20.7300,21.1000,20.4500,20.7700,6439900,133627015.4000,-0.431400
2025-02-17,21.0000,21.9600,21.0000,21.6900,10692100,230424046.8000,4.429500
2025-02-18,21.6100,21.9500,20.6500,20.8500,8016580,170804864.0000,-3.872800
2025-02-19,20.7400,21.3700,20.6500,21.3200,6091540,128967233.6000,2.254200
2025-02-20,21.4700,21.8300,21.2700,21.8100,8359561,180471734.7600,2.298300
2025-02-21,21.9000,23.0800,21.5500,22.7900,19866855,448121683.6300,4.493400
2025-02-24,22.5300,22.7000,22.0300,22.4700,12847681,286832998.7000,-1.404100
2025-02-25,21.7100,22.7000,21.6200,22.2700,9805378,217633070.9200,-0.890100
