date,open,high,low,close,volume,amount,pctChg
2025-01-02,16.0000,16.0800,15.2000,15.4600,8102346,126893572.3600,-3.736000
2025-01-03,15.8100,16.0000,13.9400,14.2200,7378501,111178547.2300,-8.020700
2025-01-06,14.5000,15.2000,14.3400,14.7900,6292386,93316831.6400,4.008400
2025-01-07,14.9800,15.9100,14.5100,15.8500,6414100,98903429.0000,7.167000
2025-01-08,15.7800,16.1000,15.5100,15.8000,5180500,81953194.0000,-0.315500
2025-01-09,15.8000,16.7500,15.7000,16.0200,6463855,105087159.9000,1.392400
2025-01-10,16.0100,16.2000,15.7500,15.7500,3461700,55130978.0000,-1.685400
2025-01-13,15.6800,16.0800,15.3000,16.0400,4336700,68368633.0000,1.841300
2025-01-14,16.0600,16.5900,16.0100,16.3600,6141045,100040685.2300,1.995000
2025-01-15,16.3600,16.4200,16.0900,16.3300,3468700,56470434.0000,-0.183400
2025-01-16,16.3700,17.1800,16.3400,17.0000,7986546,133184076.1000,4.102900
2025-01-17,17.0300,17.2200,16.8200,17.1500,4924700,83955129.0000,0.882400
2025-01-20,17.2200,17.5200,15.6800,16.5700,9932965,166812919.6400,-3.381900
2025-01-21,16.6800,16.8400,15.0500,16.1000,11378978,180487318.7800,-2.836500
2025-01-22,16.1600,17.0000,15.8600,16.9600,8161457,136314377.5900,5.341600
2025-01-23,16.9600,17.4600,16.5800,16.7900,6150150,103750417.4600,-1.002400
2025-01-24,16.6200,16.8400,16.1900,16.8000,3972826,65687652.6800,0.059600
2025-01-27,16.8000,17.2700,16.6100,16.9900,5041200,86010283.0000,1.131000
2025-02-05,16.9900,17.1000,16.0900,16.3100,7304238,120183615.7000,-4.002400
2025-02-06,16.2200,16.2600,15.9000,15.9900,4725700,75904110.0000,-1.962000
2025-02-07,16.1000,16.3900,15.5000,15.8100,6347500,101157092.0000,-1.125700
2025-02-10,15.7000,16.2100,15.3700,16.0300,4448900,70450773.0000,1.391500
2025-02-11,15.9700,16.0000,15.6600,15.8400,3161100,49988628.0000,-1.185300
2025-02-12,15.8000,16.9600,15.8000,16.8300,8586300,142453017.1200,6.250000
2025-02-13,16.8400,16.9100,16.1600,16.6400,6210342,102193207.6800,-1.128900
2025-02-14,16.5600,17.4700,16.3100,16.6600,7470211,127137409.5700,0.120200
2025-02-17,16.5900,16.9900,16.0800,16.5900,6354432,104995239.7600,-0.420200
2025-02-18,16.5000,16.8800,16.3100,16.3300,4088500,67671393.0000,-1.567200
2025-02-19,16.5200,16.6600,16.1500,16.4900,3706986,60683854.6400,0.979800
2025-02-20,16.4200,16.8900,16.1900,16.5400,4295700,70901005.0000,0.303200
2025-02-21,16.6900,16.6900,15.7000,15.9800,6691524,107256859.5200,-3.385700
2025-02-24,15.9900,16.1200,15.4900,15.8800,4602565,72649276.3500,-0.625800
2025-02-25,15.7800,15.7800,15.2000,15.4000,3898453,60501234.2700,-3.022700
2025-02-26,15.4900,15.5100,14.9900,15.0900,4140200,62796624.0000,-2.013000
2025-02-27,15.0900,15.3800,14.7000,15.0400,4850900,72842488.0000,-0.331300
2025-02-28,15.0300,15.0400,14.3000,14.8500,5303817,77854447.6900,-1.263300
2025-03-03,15.0300,15.0300,14.1600,14.3700,6534540,94425151.2000,-3.232300
2025-03-04,14.4700,14.7600,14.1800,14.5600,4133300,59929104.0000,1.322200
2025-03-05,14.7900,14.7900,14.3300,14.5500,3394755,49357910.0500,-0.068700
2025-03-06,14.5500,15.0300,14.4600,14.6900,4760025,70209198.0000,0.962200
2025-03-07,14.6900,14.7500,14.1600,14.2900,3124032,45134177.4600,-2.722900
2025-03-10,14.3700,14.6800,13.9000,14.2900,4867400,69756491.0000,0.000000
2025-03-11,14.2100,14.2600,13.9000,14.0800,3786800,53223488.0000,-1.469600
2025-03-12,14.1700,14.3400,13.7200,14.0500,4733973,66603269.9800,-0.213100
2025-03-13,14.0200,14.2000,13.3300,13.5600,6294149,85646403.6600,-3.487500
2025-03-14,13.6000,14.7300,13.3600,14.3000,7622000,107719188.0000,5.457200
2025-03-17,14.3000,14.6100,14.0000,14.5700,5213550,74680171.8000,1.888100
2025-03-18,14.4800,14.6400,14.3800,14.5700,2847600,41366940.0000,0.000000
2025-03-19,14.6000,14.7300,14.4100,14.4300,2628500,38246111.0000,-0.960900
2025-03-20,14.4800,14.5000,13.9300,14.0100,3659000,51439598.0000,-2.910600
2025-03-21,14.0500,14.4800,13.8500,14.4100,3817900,54029431.0000,2.855100
2025-03-24,14.2900,14.4800,13.3700,13.7000,4686308,64729204.2800,-4.927100
2025-03-25,13.5700,13.7000,12.6600,12.7500,6315824,82035952.5600,-6.934300
2025-03-26,12.6800,13.0000,12.4800,12.8000,4625108,59107646.2800,0.392200
2025-03-27,12.7700,12.8500,12.4700,12.7400,2758600,35005097.0000,-0.468800
2025-03-28,12.7900,13.0300,12.5400,12.7500,2772120,35370208.1200,0.078500
2025-03-31,12.7300,12.9100,12.4900,12.7900,2460025,31250762.7500,0.313700
2025-04-01,12.8900,13.3000,12.8000,12.9200,2427500,31702080.0000,1.016400
2025-04-02,13.0400,13.0600,12.7200,12.7400,2116100,27183851.7500,-1.393200
2025-04-03,12.6100,12.8900,12.5400,12.6300,2622824,33364117.6400,-0.863400
2025-04-07,11.7900,11.7900,10.1000,10.1000,6212000,65567403.0000,-20.031700
2025-04-08,10.1100,10.6200,9.7700,10.0700,7066400,71380338.0000,-0.297000
2025-04-09,9.8300,10.6400,9.0000,10.5500,7338800,73712849.0000,4.766600
2025-04-10,10.9200,11.1500,10.8500,10.9900,5453000,60064555.0000,4.170600
