date,open,high,low,close,volume,amount,pctChg
2025-01-02,38.7900,39.2000,37.2500,37.8000,2250600,86022591.0000,-3.571400
2025-01-03,38.0300,38.4000,35.7500,35.8200,2342030,86171252.3000,-5.238100
2025-01-06,35.2500,36.0800,34.5300,35.6700,1992800,70762861.0000,-0.418800
2025-01-07,35.6600,36.6100,35.6000,36.6100,1874400,67765315.0000,2.635300
2025-01-08,36.2000,40.8800,36.1000,39.0800,7198501,280775949.2100,6.746800
2025-01-09,38.8800,40.4500,38.6600,39.3400,6042570,238581598.9000,0.665300
2025-01-10,38.9000,39.8600,37.2200,37.3000,4189770,162104458.6000,-5.185600
2025-01-13,36.7700,38.5500,35.8100,38.2000,4176765,155670797.2500,2.412900
2025-01-14,38.2000,40.3600,37.9500,40.2600,5596961,219928930.8800,5.392700
2025-01-15,40.2400,40.2400,38.6800,38.8300,3600200,141569918.0000,-3.551900
2025-01-16,39.4100,40.2500,38.8300,39.7200,4113065,162669309.6000,2.292000
2025-01-17,39.3500,40.4900,38.4000,39.8400,5208400,205557419.0000,0.302100
2025-01-20,40.0500,41.0000,39.9900,40.6300,5107500,206315563.1200,1.982900
2025-01-21,40.8500,40.9800,39.8800,40.3100,3288965,132531626.6900,-0.787600
2025-01-22,40.0700,40.9000,39.5000,39.8300,3027600,121617626.0000,-1.190800
2025-01-23,40.4400,41.8300,39.8200,39.9400,4679700,190491072.0000,0.276200
2025-01-24,40.0100,41.4000,39.5000,41.3900,4872985,199383454.3000,3.630400
2025-01-27,41.8100,43.3800,40.2000,40.2400,4927500,205187453.0000,-2.778400
2025-02-05,40.0200,40.4600,39.0800,39.8000,3233105,128697795.1000,-1.093400
2025-02-06,39.9000,41.5800,39.3600,41.5100,4905200,200424599.0000,4.296500
2025-02-07,41.4500,42.1200,40.7500,41.3000,5343005,221813082.0500,-0.505900
2025-02-10,41.2000,41.6700,41.0700,41.4900,3199200,132301914.0000,0.460000
2025-02-11,41.9000,42.4400,41.2600,41.9300,3975741,165882361.2400,1.060500
2025-02-12,41.5100,42.1800,41.4000,42.1600,3742424,156593524.5100,0.548500
2025-02-13,42.0200,42.1300,40.6500,40.6500,3499079,144434939.6900,-3.581600
2025-02-14,40.4500,40.8100,40.3000,40.4400,2113001,85664884.6600,-0.516600
2025-02-17,40.4000,41.5000,40.2200,41.2800,3130410,128224435.7000,2.077200
