date,open,high,low,close,volume,amount,pctChg
2025-01-02,27.1000,27.2000,26.1300,26.3200,1569139,41802809.3400,-2.734700
2025-01-03,26.3300,27.1700,25.8700,25.9400,1742770,46344308.0000,-1.443800
2025-01-06,26.0000,26.0800,24.8100,25.3700,1327670,33697097.7000,-2.197400
2025-01-07,25.4400,25.9700,25.4400,25.8700,832310,21415769.0000,1.970800
2025-01-08,26.0700,26.0700,24.5300,25.5800,1565762,39614940.7500,-1.121000
2025-01-09,25.5000,26.5000,25.4600,26.2400,1201030,31328921.0000,2.580100
2025-01-10,26.2400,26.2400,25.1300,25.1300,1165410,29815453.0000,-4.230200
2025-01-13,24.9500,25.6600,24.3300,24.9400,610930,15225116.8000,-0.756100
2025-01-14,25.3500,26.2800,25.0300,26.2100,1123705,29011274.7000,5.092200
2025-01-15,26.0600,26.2300,25.7300,25.8800,591420,15307882.2000,-1.259100
2025-01-16,25.8900,26.7300,25.8900,26.4400,1490180,39162677.7000,2.163800
2025-01-17,26.4200,27.3600,26.2100,26.9400,1235505,33166251.1000,1.891100
2025-01-20,27.0600,28.0000,27.0600,27.7200,1714380,47261518.2000,2.895300
2025-01-21,27.7200,28.0000,27.2900,27.8600,1173150,32443065.5000,0.505100
2025-01-22,27.9700,27.9700,27.4400,27.4700,1049190,29039441.0000,-1.399900
2025-01-23,27.8800,27.9800,26.7000,26.7100,1762580,47747104.9000,-2.766700
2025-01-24,26.9200,27.2500,26.2300,27.1400,1017720,27260011.3000,1.609900
2025-01-27,27.1500,27.2300,26.5000,26.5100,847280,22728317.7000,-2.321300
2025-02-05,27.1400,27.1800,26.5600,26.9900,672060,18030144.4000,1.810600
2025-02-06,26.8100,28.5000,26.8100,28.1600,2535670,71291637.2000,4.334900
2025-02-07,28.2600,28.3600,27.7400,28.0600,1571640,44069607.3000,-0.355100
2025-02-10,28.1500,28.2500,27.7400,28.1000,924549,25890927.0400,0.142600
2025-02-11,28.1100,28.1600,27.7700,28.0400,643590,18008478.4000,-0.213500
2025-02-12,28.0400,28.3600,27.8600,28.3600,1058345,29860323.8500,1.141200
2025-02-13,28.4800,28.4800,27.5200,27.6900,1128320,31396222.3000,-2.362500
2025-02-14,27.5000,27.9300,27.4000,27.5300,656345,18121521.1500,-0.577800
2025-02-17,27.5200,27.7700,27.1600,27.3100,1181050,32304892.7000,-0.799100
2025-02-18,27.2000,27.9700,26.8000,26.8500,1742987,47691868.2100,-1.684400
2025-02-19,26.8500,27.9500,26.7600,27.4900,1788260,48839428.1000,2.383600
2025-02-20,27.5000,28.1400,27.2700,27.6300,1828080,50532220.7000,0.509300
2025-02-21,27.6700,27.9100,26.9200,27.3900,1543740,42046351.7000,-0.868600
2025-02-24,27.3700,27.3700,26.6400,26.9200,1999690,53773159.0000,-1.716000
2025-02-25,26.6600,27.6800,26.5600,27.0000,1859950,50546692.2000,0.297200
2025-02-26,27.0000,27.2700,26.6300,27.0000,1613050,43351304.2000,0.000000
2025-02-27,27.0000,27.0500,25.8000,26.3500,2311630,60798097.2000,-2.407400
2025-02-28,26.1100,26.3300,24.3500,24.5900,4230500,106505545.9000,-6.679300
2025-03-03,24.8000,25.1900,24.4000,24.5300,2344520,58255450.6000,-0.244000
2025-03-04,24.5200,24.9000,24.2400,24.6800,2017680,49697650.3000,0.611500
2025-03-05,24.8400,24.8400,24.1100,24.4900,1364950,33183646.5000,-0.769900
2025-03-06,24.6000,25.3400,24.4900,25.2000,1893700,47376470.0000,2.899100
2025-03-07,25.0900,25.3700,24.7500,24.9100,1638086,40937180.2000,-1.150800
2025-03-10,24.9100,25.1000,24.7000,24.9000,1023596,25461030.7000,-0.040100
2025-03-11,24.6500,24.8700,24.3500,24.7100,1551340,38141509.4000,-0.763100
2025-03-12,24.7300,25.1500,24.5800,24.9900,1419146,35372477.8400,1.133100
2025-03-13,24.9900,25.0000,23.9800,24.1700,2410210,58521340.5000,-3.281300
2025-03-14,23.9800,24.8400,23.9800,24.8100,1650110,40426033.8000,2.647900
2025-03-17,24.9800,25.1400,24.6300,25.0000,1736786,43225006.1800,0.765800
2025-03-18,25.0600,25.3500,24.8500,25.3400,1806240,45366164.1000,1.360000
2025-03-19,25.2000,25.5000,25.0200,25.1900,1303790,32850546.1000,-0.591900
2025-03-20,25.2000,25.2300,24.8000,24.8500,1150690,28778460.5000,-1.349700
