date,open,high,low,close,volume,amount,pctChg
2025-01-02,12.5300,12.8000,12.2000,12.3100,1665100,20808886.9900,-1.520000
2025-01-03,12.4000,12.4000,11.7400,11.7400,2382700,28531036.0000,-4.630400
2025-01-06,11.5900,11.8500,11.1500,11.7000,1493200,17347446.0000,-0.340700
2025-01-07,11.6300,12.1000,11.6300,12.1000,1923100,22861283.0000,3.418800
2025-01-08,12.0900,12.1500,11.6600,12.0100,1838500,22020510.0000,-0.743800
2025-01-09,12.0300,12.1500,11.9100,12.0500,1188100,14336602.0000,0.333100
2025-01-10,12.1100,12.1500,11.6500,11.6600,1143700,13574867.0000,-3.236500
2025-01-13,11.6600,11.7900,11.3000,11.7300,1202200,13943301.0000,0.600300
2025-01-14,11.7900,12.4000,11.7800,12.3400,1576500,19149972.6200,5.200300
2025-01-15,12.4000,12.5200,12.2400,12.4400,1489518,18473163.4800,0.810400
2025-01-16,12.5400,12.6600,12.2600,12.6200,1817000,22677047.0000,1.446900
2025-01-17,12.6100,12.6700,12.3500,12.5600,1967305,24684146.9100,-0.475400
2025-01-20,12.6200,12.9800,12.5000,12.8600,2703400,34554696.0000,2.388500
2025-01-21,12.8700,12.9700,12.4600,12.5200,1524380,19254771.4000,-2.643900
2025-01-22,12.4800,12.5500,12.3400,12.4400,1408636,17481810.7600,-0.639000
2025-01-23,12.5800,12.7700,12.4800,12.4800,1156300,14595138.0900,0.321500
2025-01-24,12.5600,12.7100,12.4000,12.6700,1257297,15760585.2300,1.522400
2025-01-27,12.6900,13.2000,12.6900,12.8000,2050400,26515231.0000,1.026000
2025-02-05,13.0000,13.0800,12.8100,12.9700,1131000,14628408.0000,1.328100
2025-02-06,13.0900,13.1000,12.8300,13.0900,1132900,14721048.0000,0.925200
2025-02-07,13.1500,13.2500,12.9700,13.1400,1622207,21318017.0500,0.382000
2025-02-10,13.1800,13.3500,13.0100,13.3300,1812254,23945581.1200,1.446000
2025-02-11,13.3500,13.4400,13.1800,13.2800,1024354,13584198.7400,-0.375100
2025-02-12,13.2200,13.3300,13.1000,13.2100,925900,12221981.0300,-0.527100
2025-02-13,13.2400,13.2400,12.9700,12.9900,1118700,14630740.0000,-1.665400
2025-02-14,12.9800,13.2000,12.9700,13.0500,1046800,13697066.0000,0.461900
2025-02-17,13.1800,13.3500,13.0000,13.2900,1593906,21077313.6200,1.839100
2025-02-18,13.2000,13.3900,12.8000,12.8700,1479807,19356620.4400,-3.160300
2025-02-19,12.8600,13.3000,12.7300,13.1700,1242699,16320447.7900,2.331000
2025-02-20,13.1400,13.3400,13.1400,13.2800,1299900,17245719.0000,0.835200
2025-02-21,13.2300,13.3200,13.0300,13.2400,1220800,16081395.0000,-0.301200
2025-02-24,13.2600,13.5800,13.1100,13.5200,2170100,29136323.0000,2.114800
2025-02-25,13.3900,13.4800,13.2500,13.3100,1307900,17469163.0000,-1.553300
2025-02-26,13.2600,13.8800,13.2600,13.5400,1639080,22233438.2000,1.728000
2025-02-27,13.5100,13.5900,13.2200,13.5000,1560480,20912870.6000,-0.295400
2025-02-28,13.5100,13.6300,13.1600,13.2100,1457948,19455420.7000,-2.148100
2025-03-03,13.2700,13.6300,13.1100,13.2500,1571100,21038606.0000,0.302800
2025-03-04,13.1700,13.4900,13.1700,13.4500,1155880,15495419.0000,1.509400
2025-03-05,13.5200,14.2700,13.1800,13.6400,3886407,52903958.8800,1.412600
2025-03-06,13.6400,14.0200,13.5800,13.7000,3889000,53663252.0000,0.439900
