date,open,high,low,close,volume,amount,pctChg
2025-01-02,10.5600,10.6700,10.1600,10.2700,8253100,86324624.0000,-2.654000
2025-01-03,10.3300,10.4300,9.8500,9.8700,8593086,86683472.3600,-3.894800
2025-01-06,9.8900,10.0400,9.5300,9.9200,6759700,66708234.0000,0.506600
2025-01-07,9.9400,10.2300,9.9300,10.2200,5984300,60299050.1400,3.024200
2025-01-08,10.2100,10.2400,9.8100,10.0400,6296486,63152674.8800,-1.761300
2025-01-09,9.9500,10.1000,9.9000,9.9500,5259086,52552008.5600,-0.896400
2025-01-10,9.9000,10.0000,9.6100,9.6100,5500700,53888125.0000,-3.417100
2025-01-13,9.5000,9.6800,9.3900,9.6400,4241600,40490383.0000,0.312200
2025-01-14,9.6800,10.0500,9.6800,10.0300,5473700,54247317.0000,4.045600
2025-01-15,10.0200,10.0500,9.8900,9.9000,4179282,41580918.6200,-1.296100
2025-01-16,9.9700,10.1000,9.9000,10.0200,5583686,55881966.5600,1.212100
2025-01-17,9.9800,10.0500,9.9200,9.9800,4020386,40160492.7000,-0.399200
2025-01-20,10.0400,10.1500,9.9700,10.0700,4441200,44740931.0000,0.901800
2025-01-21,10.0800,10.1400,9.9100,10.0000,3889000,38818581.0000,-0.695100
2025-01-22,10.0000,10.0500,9.9000,9.9500,3473200,34642587.0000,-0.500000
2025-01-23,10.0800,10.3400,10.0800,10.1100,8141300,83077221.0000,1.608000
2025-01-24,10.1000,10.1300,9.9800,10.0500,7120100,71473979.0000,-0.593500
2025-01-27,10.1300,10.2600,9.9600,9.9600,6596900,66573882.3600,-0.895500
2025-02-05,10.0400,10.0800,9.9300,10.0100,4563000,45657176.0000,0.502000
2025-02-06,9.9900,10.1800,9.9000,10.1700,6784800,68159933.0000,1.598400
2025-02-07,10.1600,10.3800,10.1100,10.2500,8105800,83165951.1400,0.786600
2025-02-10,10.2700,10.4500,10.2200,10.4500,7711700,79784123.0000,1.951200
2025-02-11,10.4500,10.4500,10.2300,10.3400,6049500,62345489.0000,-1.052600
2025-02-12,10.3000,10.4200,10.2500,10.3900,6548275,67763660.7500,0.483600
2025-02-13,10.3900,10.5600,10.3400,10.4500,10502800,109826379.0000,0.577500
2025-02-14,10.4000,10.9600,10.3200,10.8300,18751800,200239213.0000,3.636400
2025-02-17,11.3800,12.3600,11.1600,12.2400,49568700,591388036.0000,13.019400
2025-02-18,12.2300,12.3900,11.8800,11.9500,26540461,321925456.8600,-2.369300
