date,open,high,low,close,volume,amount,pctChg
2025-01-02,20.1500,20.5900,19.5500,19.7400,1070680,21423841.2000,-1.888700
2025-01-03,19.7700,19.9500,19.1400,19.1500,1101000,21543480.0000,-2.988900
2025-01-06,19.1500,19.6200,18.8700,19.1700,920684,17723544.5200,0.104400
2025-01-07,19.1700,19.3600,18.8700,19.3000,965450,18441639.5000,0.678100
2025-01-08,19.1800,19.4700,18.7400,19.1800,938961,17986291.8500,-0.621800
2025-01-09,19.1700,19.4100,18.8800,19.1100,677950,13005207.0000,-0.365000
2025-01-10,19.0900,19.1800,18.3400,18.3500,1602849,29895922.3500,-3.977000
2025-01-13,18.3500,18.6600,17.8900,18.6000,1125331,20668896.3600,1.362400
2025-01-14,18.7400,19.1000,18.6800,19.0900,1147660,21758827.0000,2.634400
2025-01-15,18.8000,18.9000,18.4600,18.8100,1448078,27085996.3200,-1.466700
2025-01-16,18.8400,19.1300,18.6600,18.7700,1186900,22398566.0000,-0.212700
2025-01-17,18.7600,18.7700,18.4900,18.6400,790680,14726435.7000,-0.692600
2025-01-20,18.7400,18.9400,18.6300,18.8000,1124005,21152260.8500,0.858400
2025-01-21,18.9900,19.0400,18.5100,18.6300,849610,15862460.1000,-0.904300
2025-01-22,18.5700,18.5700,18.2700,18.4000,665400,12229343.0000,-1.234600
2025-01-23,18.5300,18.9400,18.4700,18.4700,1387800,25989450.7000,0.380400
2025-01-24,18.5500,18.6100,18.2800,18.5100,848850,15644629.0000,0.216600
2025-01-27,18.6300,18.9900,18.5200,18.5800,903440,16947574.1000,0.378200
2025-02-05,18.6600,18.9500,18.6300,18.9000,959977,18077324.3600,1.722300
2025-02-06,18.9300,19.2300,18.6900,19.2200,1107027,21028599.5900,1.693100
2025-02-07,19.2200,19.8400,19.1900,19.6200,1714491,33546442.9600,2.081200
2025-02-10,19.6300,20.3800,19.5600,20.3300,1601030,32099149.0000,3.618800
2025-02-11,20.3400,20.3900,19.8200,20.1200,1232050,24655630.8200,-1.033000
2025-02-12,20.1200,20.2200,19.7900,20.2200,1282233,25629175.7500,0.497000
2025-02-13,21.0000,21.0000,20.0700,20.6500,3071164,62906767.8800,2.126600
2025-02-14,20.8800,21.1900,20.3300,20.8900,3736810,77801146.7400,1.162200
2025-02-17,20.8800,21.5100,20.7000,20.7700,3274479,69011575.8800,-0.574400
2025-02-18,20.6200,20.7800,20.0400,20.1000,1891440,38622490.2000,-3.225800
2025-02-19,20.1000,20.5500,19.9900,20.3200,1338367,27169051.6300,1.094500
2025-02-20,20.4000,21.2200,20.3300,20.9500,2130900,44668735.0000,3.100400
2025-02-21,21.0000,21.3000,20.4400,20.6700,1564110,32290318.2000,-1.336500
2025-02-24,20.6700,20.6700,20.2300,20.3600,1321960,26919311.1000,-1.499800
2025-02-25,20.1700,20.4100,20.0700,20.2400,789150,15985345.0000,-0.589400
2025-02-26,20.5000,20.5600,20.2500,20.3900,968929,19753040.8100,0.741100
2025-02-27,20.4500,21.2800,20.3100,20.7300,1909009,39575785.1900,1.667500
2025-02-28,20.6300,20.8000,20.0400,20.1100,1349340,27497308.4000,-2.990800
2025-03-03,20.1300,20.9500,20.1300,20.5900,1444000,29862729.0000,2.386900
2025-03-04,20.5000,21.3800,20.3600,21.3800,2081600,43731405.6200,3.836800
2025-03-05,22.2000,22.3500,20.7600,21.7900,3784309,80617310.0200,1.917700
2025-03-06,21.9900,21.9900,21.2600,21.5600,3505540,75454859.2000,-1.055500
2025-03-07,21.8100,21.8100,21.2200,21.2800,2423099,52195111.5000,-1.298700
2025-03-10,21.4800,21.7800,21.1000,21.4000,2373900,50881286.7900,0.563900
2025-03-11,21.0000,21.7400,21.0000,21.4400,1620530,34607218.5000,0.186900
2025-03-12,21.4300,21.8300,21.2400,21.4900,1699150,36563856.0000,0.233200
2025-03-13,21.6000,21.7600,21.0500,21.3800,1321700,28265186.0000,-0.511900
2025-03-14,21.3800,21.9400,21.3000,21.7500,2773541,59901355.2800,1.730600
2025-03-17,21.7600,21.8300,21.3900,21.4200,1538684,33143556.6800,-1.517200
2025-03-18,21.5500,21.7600,21.3300,21.4600,1343400,28879418.6000,0.186700
2025-03-19,21.4900,21.7300,21.3500,21.4600,1357090,29223058.1000,0.000000
2025-03-20,21.5200,21.5200,21.1800,21.2300,910000,19398089.0000,-1.071800
2025-03-21,21.2800,21.2800,20.8000,20.8700,1119350,23511553.0000,-1.695700
2025-03-24,20.8000,20.9700,19.9700,20.2800,1313147,26870783.0800,-2.827000
2025-03-25,20.2900,20.3400,19.8000,20.2200,1070550,21548119.5000,-0.295900
2025-03-26,20.2500,20.4200,20.1400,20.2800,748200,15188378.0000,0.296700
2025-03-27,20.2000,20.3400,19.7800,20.2000,1328760,26748557.5000,-0.394500
2025-03-28,20.2900,20.5900,20.0000,20.0100,1282110,26024181.0000,-0.940600
2025-03-31,19.9500,20.1700,19.5600,19.7600,987980,19538182.6000,-1.249400
2025-04-01,19.9000,20.7900,19.8700,20.4600,1799730,36901711.0000,3.542500
2025-04-02,20.4500,20.7300,20.2200,20.4900,1012800,20768278.0000,0.146600
2025-04-03,20.3800,20.8500,20.3100,20.4800,877930,18040752.3000,-0.048800
2025-04-07,19.8000,19.8700,16.4000,16.8300,3219700,57889693.3900,-17.822300
2025-04-08,17.1000,18.0400,16.9300,17.4900,2504200,43881563.0000,3.921600
2025-04-09,17.2000,17.9300,16.2400,17.8200,2230650,38217508.1000,1.886800
2025-04-10,18.0000,18.5900,17.9600,18.3000,1727107,31670807.0300,2.693600
2025-04-11,18.2400,18.7700,18.1800,18.3800,1626060,30072962.4000,0.437200
2025-04-14,18.5300,18.8700,18.4300,18.6100,1097600,20477187.0000,1.251400
2025-04-15,18.4900,18.8800,18.4000,18.5100,581650,10788242.5000,-0.537300
2025-04-16,18.6000,18.7500,17.8200,18.1000,2319600,42426240.0000,-2.215000
2025-04-17,17.9600,18.5000,17.8000,18.2500,1263600,23047513.0000,0.828700
2025-04-18,18.2500,18.5600,18.0100,18.1700,877300,15978889.0000,-0.438400
2025-04-21,18.1700,18.7200,17.9900,18.5100,900600,16601477.0000,1.871200
2025-04-22,18.4900,18.7900,18.4000,18.6600,1000605,18646447.5500,0.810400
2025-04-23,18.8600,18.8800,18.5500,18.6000,965000,18033513.0000,-0.321500
2025-04-24,18.6100,18.8800,18.4500,18.6300,1086900,20280162.0000,0.161300
2025-04-25,20.0700,22.0500,19.8200,21.4400,8754367,181232403.1600,15.083200
2025-04-28,20.2800,20.6700,19.7000,19.7500,6387207,127840599.0700,-7.882500
2025-04-29,19.7100,20.3700,19.7100,20.0500,4030423,80624080.3400,1.519000
2025-04-30,20.3000,20.3500,19.7700,19.8600,3058120,61023779.3000,-0.947600
2025-05-06,19.8900,20.4800,19.8900,20.4000,3015160,61063475.0000,2.719000
2025-05-07,20.6000,20.8400,20.2400,20.4000,2691141,55203838.4000,0.000000
2025-05-08,20.3700,20.8800,20.3300,20.7400,2096611,43235507.6600,1.666700
2025-05-09,20.7100,20.8400,20.3700,20.4400,1477021,30345243.9200,-1.446500
2025-05-12,20.5300,20.5700,20.2200,20.4900,1377000,28112756.0000,0.244600
2025-05-13,20.6200,20.7400,20.3400,20.4200,1427400,29258438.0000,-0.341600
2025-05-14,20.5100,20.5500,20.2400,20.4500,1395960,28464250.5000,0.146900
2025-05-15,20.4800,20.6800,20.2400,20.5700,1634850,33549144.0000,0.586800
2025-05-16,20.5500,20.8800,20.4000,20.7800,1490000,30826138.6000,1.020900
2025-05-19,20.8800,21.0400,20.6300,20.9700,1433950,29874602.7000,0.914300
2025-05-20,20.9100,21.3500,20.8200,21.2900,1414290,29966580.4000,1.526000
2025-05-21,21.2500,21.4800,21.1200,21.2500,1219200,25948779.0000,-0.187900
2025-05-22,21.2300,21.3300,20.7200,20.9000,1645400,34490215.0000,-1.647100
2025-05-23,20.9700,21.2000,20.6100,20.6900,1573680,33009703.2000,-1.004800
2025-05-26,20.6600,20.8600,20.4200,20.7400,1098100,22656498.0000,0.241700
2025-05-27,20.6800,21.0100,20.6100,20.9700,1097550,22856540.0000,1.109000
2025-05-28,21.0500,21.0500,20.6100,20.6700,805208,16712586.2800,-1.430600
2025-05-29,20.6700,21.2300,20.6200,21.1100,1139800,23985731.1100,2.128700
2025-05-30,21.0300,21.3200,20.9300,21.0400,1255500,26496980.0000,-0.331600
2025-06-03,20.9000,21.5500,20.6800,21.4700,2615837,55664562.9700,2.776400
2025-06-04,21.4100,22.8600,21.3000,22.5800,7226102,160771747.2800,5.170000
2025-06-05,22.4600,24.7900,21.9700,23.3300,9902659,230268087.5300,3.321500
2025-06-06,23.1000,24.0500,22.4600,22.8800,7096933,163614992.4300,-1.928800
2025-06-09,23.1800,23.6000,22.8500,23.3800,5660616,131387224.9200,2.185300
2025-06-10,23.3100,23.5800,22.4900,22.6100,5598604,127930496.2200,-3.293400
2025-06-11,22.6100,23.3800,22.4800,22.7300,3906310,89352662.9000,0.530700
2025-06-12,22.7100,22.9500,22.3900,22.6300,3162934,71517108.0600,-0.439900
2025-06-13,22.6600,22.7200,21.8500,21.9900,2974550,65835551.0000,-2.828100
2025-06-16,22.1300,22.3500,21.9400,22.0500,2219750,49060636.0000,0.272900
2025-06-17,22.2000,22.5900,21.7000,21.8200,2675400,58957157.0000,-1.043100
2025-06-18,21.7700,21.9300,21.3400,21.5100,1704051,36686912.7800,-1.420700
2025-06-19,21.5000,21.6100,20.8700,20.9700,1556987,33029909.1500,-2.510500
2025-06-20,21.1500,21.2500,20.7400,20.8300,1430250,29985649.0000,-0.667600
2025-06-23,20.6600,21.3100,20.6600,21.2400,1529000,32106084.0000,1.968300
2025-06-24,21.3400,21.5800,21.0000,21.5400,1295200,27782437.0000,1.412400
2025-06-25,21.6800,21.8200,21.2800,21.6600,1803100,38867416.0000,0.557100
2025-06-26,21.6400,21.7300,21.3800,21.4800,1211800,26138931.8000,-0.831000
2025-06-27,21.5500,22.0900,21.4900,21.6600,1705950,37072356.0000,0.838000
2025-06-30,21.6600,22.2100,21.4200,22.2000,2036801,44663230.1000,2.493100
2025-07-01,22.1300,22.1900,21.8000,22.0600,2236100,49212237.0000,-0.630600
2025-07-02,21.9000,22.1600,21.6000,21.8200,1684450,36669981.5000,-1.087900
2025-07-03,21.8100,21.9700,21.7000,21.8500,1504900,32896138.0000,0.137500
2025-07-04,21.8500,21.9200,21.4400,21.4500,1550950,33470933.0000,-1.830700
2025-07-07,21.4600,21.7300,21.3500,21.5700,1572300,33840976.0000,0.559400
2025-07-08,21.5900,21.8900,21.4600,21.8000,1634800,35531011.0000,1.066300
2025-07-09,21.7700,22.5500,21.6300,22.1900,3227550,71439976.0000,1.789000
2025-07-10,22.1200,22.3500,21.9300,22.3300,2428221,53888013.8300,0.630900
2025-07-11,22.3000,22.4100,22.0300,22.3600,1886061,42011565.8300,0.134300
2025-07-14,22.2300,22.7500,22.0700,22.6400,2172199,48814928.6700,1.252200
2025-07-15,22.6300,22.6500,22.0900,22.3700,2126760,47490205.0000,-1.192600
2025-07-16,22.3000,22.6500,22.2900,22.6300,1640580,36894000.6000,1.162300
2025-07-17,22.6000,22.9000,22.4700,22.8600,1969000,44726432.0000,1.016300
2025-07-18,22.9600,22.9700,22.6000,22.9500,1562600,35575594.0000,0.393700
2025-07-21,22.9400,23.1300,22.7500,22.9500,1533010,35170508.1000,0.000000
2025-07-22,22.9600,23.0500,22.7700,22.9800,1813850,41564239.5000,0.130700
2025-07-23,22.9500,23.8900,22.7300,23.0500,5038430,117457638.7000,0.304600
2025-07-24,22.9400,23.4900,22.4900,23.3300,4296290,99453621.5000,1.214800
2025-07-25,23.3300,23.5600,23.1900,23.2800,3245838,75844215.5400,-0.214300
2025-07-28,23.2500,23.7000,23.1400,23.2600,2435814,56756652.6400,-0.085900
2025-07-29,23.2400,23.5200,22.9600,23.3700,2448104,56819810.0400,0.472900
2025-07-30,23.3700,23.6300,23.0100,23.2600,2994800,69915958.0000,-0.470700
2025-07-31,23.2600,23.5400,22.8200,22.9900,2774000,64389252.0000,-1.160800
2025-08-01,22.9000,23.5900,22.9000,23.3000,2836720,66071314.6000,1.348400
2025-08-04,23.1800,23.4800,22.9000,23.4800,2983800,69502412.0000,0.772500
2025-08-05,23.5600,23.7000,23.3000,23.5100,2346350,55137423.0000,0.127800
2025-08-06,23.5600,23.8000,23.3200,23.3700,2845407,66862125.1400,-0.595500
2025-08-07,23.5300,23.7000,23.1000,23.2900,2355550,55116308.0000,-0.342300
2025-08-08,23.2300,23.5600,22.9600,23.3300,2411000,56020866.0000,0.171700
2025-08-11,23.3200,24.0100,23.3000,23.8700,2854253,67600112.7400,2.314600
2025-08-12,23.8800,24.2800,23.6500,23.7400,2374960,56819470.9100,-0.544600
2025-08-13,23.8100,24.3600,23.4300,24.0400,2974710,71221960.8000,1.263700
