date,open,high,low,close,volume,amount,pctChg
2025-01-02,16.6700,16.7900,16.0600,16.2000,3122253,51367578.2800,-2.877700
2025-01-03,16.2500,16.3000,15.6100,15.6300,2831230,45133100.4000,-3.518500
2025-01-06,15.8500,16.1400,15.4200,15.8900,2199947,34853295.9800,1.663500
2025-01-07,15.9500,15.9600,15.6500,15.9500,1591180,25164778.5000,0.377600
2025-01-08,15.9600,16.1500,15.6600,16.0300,2446200,38943505.5000,0.501600
2025-01-09,16.0600,16.1300,15.9600,16.0400,1488961,23883953.0000,0.062400
2025-01-10,16.0900,16.3400,15.9900,16.1300,2570097,41591838.3100,0.561100
2025-01-13,16.0200,16.2000,15.8500,16.1200,1587250,25485894.0400,-0.062000
2025-01-14,16.2000,16.4800,16.1300,16.4700,3443550,56365764.0400,2.171200
2025-01-15,16.4600,16.6600,16.3800,16.5400,2546811,42113936.3300,0.425000
2025-01-16,16.6700,16.8500,16.4500,16.5200,2266100,37737739.5000,-0.120900
2025-01-17,16.4200,16.6700,16.4100,16.5700,1387550,22957874.0000,0.302700
2025-01-20,16.7400,16.9500,16.5700,16.7700,2059750,34460412.0000,1.207000
2025-01-21,16.8600,16.8600,16.5800,16.7800,1177950,19677004.5000,0.059600
2025-01-22,16.7400,16.8600,16.6900,16.7300,1432150,24015585.0000,-0.298000
2025-01-23,16.8200,16.9200,16.7100,16.7200,1910331,32175396.2300,-0.059800
2025-01-24,16.7600,16.8400,16.5600,16.7200,1677705,27994463.0000,0.000000
2025-01-27,16.7400,17.1700,16.7400,17.1400,3356510,56991625.4000,2.512000
2025-02-05,17.2200,17.4300,16.9700,17.0500,2090300,35950997.0000,-0.525100
2025-02-06,17.0600,17.1300,16.8900,17.1300,1729400,29464923.0000,0.469200
2025-02-07,17.1000,17.2500,17.0000,17.1300,2953947,50579910.6400,0.000000
2025-02-10,17.1100,17.1600,16.9400,17.0100,1978550,33665585.5000,-0.700500
2025-02-11,17.0100,17.0900,16.8700,17.0300,1721950,29300798.0000,0.117600
2025-02-12,17.0200,17.0800,16.9500,17.0400,1192855,20290333.6500,0.058700
2025-02-13,17.0500,17.0500,16.8100,16.8100,1576002,26644495.3000,-1.349800
2025-02-14,16.8500,16.9000,16.7500,16.8000,1391050,23389905.5000,-0.059500
2025-02-17,16.8700,16.8800,16.7100,16.8700,1313218,22054431.5400,0.416700
