date,open,high,low,close,volume,amount,pctChg
2025-01-02,53.0000,57.7700,51.9800,55.5100,5137832,286231744.9200,4.617400
2025-01-03,59.0000,64.0500,51.0000,51.0000,6721699,377253486.0500,-8.124700
2025-01-06,51.2700,52.6000,47.1600,48.7400,7017187,348834722.7200,-4.431400
2025-01-07,48.3000,50.2900,47.7800,50.0600,3956850,194367191.0000,2.708200
2025-01-08,49.5800,50.4400,47.6800,49.6800,2905100,142765156.0000,-0.759100
2025-01-09,49.1000,51.6400,48.9100,50.9600,3414417,173330250.8100,2.576500
2025-01-10,52.0000,52.1500,48.4000,48.4000,4640007,233685651.6100,-5.023500
2025-01-13,47.4200,48.3800,45.8800,47.2000,2730807,128802235.2700,-2.479300
2025-01-14,47.6100,50.0900,47.2400,50.0500,2976402,146113445.8200,6.038100
2025-01-15,50.0000,50.2500,48.6300,49.0100,2108400,104122943.0000,-2.077900
2025-01-16,49.9300,50.3000,48.1900,48.5000,2070600,101583853.0000,-1.040600
2025-01-17,48.0000,48.9000,48.0000,48.2800,1717300,83158605.0000,-0.453600
2025-01-20,49.1300,51.0700,48.5500,50.8200,3243400,163015722.0000,5.261000
2025-01-21,50.8300,52.1600,50.3800,51.3500,2955600,150953763.0000,1.042900
2025-01-22,50.8600,51.8500,50.4100,50.8600,2129200,108511712.0000,-0.954200
2025-01-23,51.6500,51.9200,49.6100,49.6100,2726300,138594991.0000,-2.457700
2025-01-24,49.8000,50.8700,49.4000,49.9900,2154035,108044882.2100,0.766000
2025-01-27,50.1700,50.5600,48.0300,48.0800,2067200,101345487.0000,-3.820800
2025-02-05,48.5500,49.1200,47.9000,48.8000,1622000,78947370.0000,1.497500
2025-02-06,48.8000,53.4900,48.5400,52.9700,4357177,224972897.3300,8.545100
2025-02-07,52.7700,53.4000,51.7000,52.6400,3625320,191031464.6000,-0.623000
2025-02-10,52.5300,52.9900,51.7100,52.9900,2703701,141251307.4200,0.664900
2025-02-11,53.2300,53.9800,52.5000,52.6500,2843758,150486014.6800,-0.641600
2025-02-12,52.5000,53.3000,52.0000,53.2100,2576536,135701598.3600,1.063600
2025-02-13,53.5000,55.0000,53.0500,53.8000,5245500,284707589.1600,1.108800
2025-02-14,53.4000,54.6800,52.6000,53.1800,4264397,229813292.1600,-1.152400
2025-02-17,53.1700,54.1200,52.0900,52.8000,2881753,151911465.0600,-0.714600
2025-02-18,53.0000,53.9300,51.1300,51.4100,3157400,166602610.0000,-2.632600
2025-02-19,51.5000,53.7300,51.1000,53.4000,3194343,168255691.9700,3.870800
2025-02-20,59.0000,63.7800,57.3200,60.6900,10593339,636202652.6800,13.651700
2025-02-21,58.8200,61.2300,58.8200,59.8000,7099793,423451125.7800,-1.466500
2025-02-24,59.0800,61.0000,57.0000,60.1500,5524100,327481381.0200,0.585300
2025-02-25,58.3400,62.6300,58.3400,61.1500,5532900,335488466.9800,1.662500
2025-02-26,61.1800,65.5500,60.6500,62.9900,6831263,433091023.5000,3.009000
2025-02-27,63.1000,75.0000,62.2800,70.7000,8237380,561501001.5000,12.240000
2025-02-28,68.5300,74.8100,66.0000,66.8600,7504036,525626060.0500,-5.431400
2025-03-03,67.0100,72.6000,66.0000,70.3600,6677030,466446381.2100,5.234800
2025-03-04,68.0100,68.0500,63.5600,65.4300,5165235,337136136.5600,-7.006800
2025-03-05,64.5000,65.1800,61.8000,63.3200,5226516,329457891.2800,-3.224800
2025-03-06,63.6300,65.5000,63.4600,64.6500,4563520,294208751.8000,2.100400
2025-03-07,63.9900,65.0000,62.6000,63.0600,3711036,236311712.9400,-2.459400
2025-03-10,61.9900,63.8800,61.9900,62.5800,2853320,179399926.7800,-0.761200
2025-03-11,61.5400,63.9700,61.5400,63.6700,2954796,186723261.6800,1.741800
2025-03-12,64.2800,64.3000,62.8400,63.0000,2913642,185160647.6800,-1.052300
2025-03-13,62.8600,63.5600,59.9300,60.7500,3055300,187517497.1300,-3.571400
2025-03-14,60.7600,62.2900,59.7300,61.8100,2383550,145262976.0000,1.744900
2025-03-17,62.0700,63.1500,61.1100,62.6700,2546417,158981463.6500,1.391400
2025-03-18,62.4700,64.2800,62.1200,63.4000,2689050,170694157.0000,1.164800
2025-03-19,63.3900,63.3900,61.2300,62.0000,2137700,132505693.0000,-2.208200
2025-03-20,62.0500,62.6100,61.3300,61.3500,1506900,93307274.0000,-1.048400
2025-03-21,61.3500,61.3500,58.6000,58.8900,2233700,133489988.0000,-4.009800
2025-03-24,58.8800,60.4700,57.0400,59.0900,1814900,106328826.0000,0.339600
2025-03-25,58.5300,59.5100,57.3000,58.1300,1360250,79377705.5000,-1.624600
2025-03-26,57.7900,59.0000,57.7900,58.2700,1183700,69264277.0000,0.240800
2025-03-27,57.8000,59.5000,57.2000,58.1900,1371454,80258965.2200,-0.137300
2025-03-28,58.6100,62.3000,58.3100,62.0000,3888122,235415865.5600,6.547500
2025-03-31,61.1900,61.1900,58.4000,59.8100,2937152,174971372.2400,-3.532300
