date,open,high,low,close,volume,amount,pctChg
2025-03-03,80.0000,83.8000,68.8800,70.5900,13517054,1030621561.8400,149.170500
2025-03-04,60.2600,75.6800,60.2600,64.3000,10666253,707122232.0700,-8.910600
2025-03-05,60.5000,62.2000,58.8800,60.2800,7854574,473531971.7600,-6.251900
2025-03-06,60.3800,64.6000,59.3800,61.0300,8196896,506079151.2400,1.244200
2025-03-07,59.0100,59.0800,56.5700,56.7500,6504977,375301136.5300,-7.012900
2025-03-10,55.9000,56.4800,54.7100,55.2500,3851116,212704754.0400,-2.643200
2025-03-11,54.3000,55.7200,54.1000,55.5800,2951194,162356261.5300,0.597300
2025-03-12,55.5000,56.4000,55.3600,55.4700,3006435,168071079.0500,-0.197900
2025-03-13,54.5000,56.5300,54.5000,55.9200,3198267,178169821.7200,0.811200
2025-03-14,55.5500,55.9700,54.8000,55.7900,2878079,159287151.3200,-0.232500
2025-03-17,55.7500,56.5000,55.5100,56.2000,2641003,148195564.7900,0.734900
2025-03-18,55.9500,57.5500,55.6100,57.1900,3727065,211670435.4400,1.761600
2025-03-19,57.0700,59.7600,56.8000,58.4600,5142061,301208204.5500,2.220700
2025-03-20,58.0100,58.0100,56.2000,56.6100,3266510,185645423.8700,-3.164600
2025-03-21,56.6100,56.6100,54.8300,55.2200,2294671,127277639.8100,-2.455400
2025-03-24,55.2600,55.7000,53.4000,54.7500,2000900,109142406.5500,-0.851100
2025-03-25,54.7700,55.4900,54.4200,54.6100,1348788,74080476.6700,-0.255700
2025-03-26,54.5800,55.8700,54.2200,55.8600,1813705,100171170.3000,2.289000
2025-03-27,55.4400,55.8600,54.6000,55.0600,1578320,87248023.1200,-1.432200
2025-03-28,54.8000,55.5900,53.8400,54.0900,1611871,87710335.1800,-1.761700
2025-03-31,54.0000,56.8800,53.7100,55.8000,2868461,159661780.6500,3.161400
2025-04-01,55.2800,56.7800,54.6200,56.1900,2510022,139579232.0200,0.698900
2025-04-02,56.2000,56.5000,55.3000,55.5700,1559584,87146726.8900,-1.103400
2025-04-03,54.9100,56.3900,54.8000,56.3400,2015261,112458909.6100,1.385600
2025-04-07,53.5500,54.0000,45.0700,45.0900,2752799,134571579.9500,-19.968100
2025-04-08,45.5000,47.6900,44.8800,45.9200,1762236,81580456.8100,1.840800
2025-04-09,45.0400,46.2600,40.0300,45.9800,2719949,118907320.2300,0.130700
2025-04-10,46.6000,48.4500,46.6000,47.3000,2200626,104915901.2200,2.870800
2025-04-11,46.5000,48.1800,46.5000,47.4500,1473151,70288580.1900,0.317100
2025-04-14,48.2700,48.5300,47.5000,47.7700,1295168,62212993.6000,0.674400
2025-04-15,47.7800,49.0000,47.5100,48.6000,1619070,78266670.2500,1.737500
2025-04-16,48.3300,49.7100,47.8000,48.7600,2022513,98754486.8800,0.329200
2025-04-17,48.1000,49.2500,48.0500,48.6000,1413758,68882200.1600,-0.328100
2025-04-18,48.5000,49.3000,47.3100,48.9900,1767921,85473087.8100,0.802500
2025-04-21,48.7500,49.5400,48.7100,49.3600,1226180,60371674.4800,0.755300
2025-04-22,49.2900,49.5800,48.7700,48.8300,1083046,53158280.5800,-1.073700
2025-04-23,49.1900,50.3600,49.1900,50.1100,1801658,89754394.0900,2.621300
2025-04-24,49.9200,50.0900,48.0700,48.1200,1641566,80225752.6500,-3.971300
2025-04-25,45.0000,46.4100,44.0400,45.8000,2398327,109120966.2400,-4.821300
2025-04-28,45.6000,45.7700,44.6100,44.9000,1077619,48581432.1200,-1.965100
2025-04-29,44.8100,45.2500,44.2200,44.3500,985721,44156797.1400,-1.224900
2025-04-30,44.4100,45.4400,44.4100,44.9800,843981,37978009.6100,1.420500
2025-05-06,45.2200,46.2400,44.8800,46.2400,952651,43752325.5300,2.801200
2025-05-07,46.6000,47.0000,45.9000,46.3300,974674,45325077.4200,0.194600
2025-05-08,46.1000,47.3600,46.0400,47.3500,983453,46283282.0400,2.201600
2025-05-09,47.5100,47.5800,46.1300,46.4500,952300,44422699.0000,-1.900700
2025-05-12,46.9100,47.8700,46.9100,47.3200,947353,44870315.5500,1.873000
2025-05-13,47.9900,48.0900,46.6000,46.7000,997040,46920474.8100,-1.310200
2025-05-14,46.7000,47.1200,46.5100,46.7200,791351,37022169.1900,0.042800
2025-05-15,46.7000,46.9200,45.7000,46.7000,832492,38623058.3900,-0.042800
2025-05-16,46.7000,47.5000,46.4100,47.0500,1040313,49018911.6800,0.749500
2025-05-19,47.0500,47.1900,45.9700,46.3000,911533,42212907.8400,-1.594000
2025-05-20,46.3500,46.5000,46.0200,46.4300,607602,28145428.0700,0.280800
2025-05-21,46.5900,47.9500,45.9200,47.6400,1700658,79712207.4500,2.606100
2025-05-22,47.0900,47.3600,45.7100,45.8600,1543134,71816312.1900,-3.736400
2025-05-23,46.0000,48.0400,45.8500,46.5000,1926764,90562165.0800,1.395600
2025-05-26,46.1900,46.8800,45.7800,46.1900,1044600,48287416.4900,-0.666700
2025-05-27,46.0000,46.3600,45.0100,45.2100,1030751,46754707.5900,-2.121700
2025-05-28,45.2700,45.9800,44.8000,44.8800,849600,38517867.0000,-0.729900
2025-05-29,44.8800,45.4000,44.7300,45.2800,729251,32933074.7700,0.891300
2025-05-30,45.0000,45.0900,43.8400,43.9400,1015068,45002114.8400,-2.959400
2025-06-03,43.9400,44.3400,43.5300,43.9000,511600,22537894.8400,-0.091000
2025-06-04,43.8500,44.2600,43.8100,43.9900,644773,28363888.2700,0.205000
2025-06-05,43.9400,43.9400,43.3700,43.7300,702302,30606513.2400,-0.591000
2025-06-06,43.7300,43.9700,43.3500,43.9500,543918,23761714.1700,0.503100
