date,open,high,low,close,volume,amount,pctChg
2025-01-02,27.9500,28.4500,27.0000,27.3800,2125600,58930955.0000,-2.039400
2025-01-03,27.3600,27.6000,25.0200,25.1900,3010918,78737472.6400,-7.998500
2025-01-06,25.5900,25.5900,23.8000,24.5900,2155918,53293717.4400,-2.381900
2025-01-07,24.6600,25.9500,24.5800,25.9400,2374420,60209001.0000,5.490000
2025-01-08,25.8200,26.1900,24.5800,25.7000,2064200,52900169.0000,-0.925200
2025-01-09,25.7200,26.5000,25.2000,26.1400,1916114,50222248.6400,1.712100
2025-01-10,26.0000,26.7300,25.2800,25.2800,2292880,59760764.2000,-3.290000
2025-01-13,25.2300,25.9000,24.4400,25.6000,1583900,40033887.0000,1.265800
2025-01-14,25.8800,26.7700,25.7700,26.7200,2877540,76229840.0000,4.375000
2025-01-15,26.7300,27.0000,26.4400,26.8400,2839380,76012825.2000,0.449100
2025-01-16,27.1200,27.7000,26.5000,26.7200,2791276,75305503.2000,-0.447100
2025-01-17,26.8100,27.5000,26.1400,27.1000,2705960,72716004.0800,1.422200
2025-01-20,27.3000,28.8800,26.6200,27.9400,4405480,123632842.8000,3.099600
2025-01-21,28.0500,28.2000,26.8900,27.1700,2903920,79543535.0000,-2.755900
2025-01-22,27.2400,27.2500,26.5000,26.7000,1848700,49505471.0000,-1.729800
2025-01-23,27.0000,27.7900,26.5900,26.5900,2206700,60311210.0000,-0.412000
2025-01-24,26.6000,27.7500,26.4000,27.6800,3338400,91029230.2000,4.099300
2025-01-27,28.0000,28.3900,27.3000,27.3500,2433820,67699427.0000,-1.192200
2025-02-05,28.0000,28.8000,27.8500,28.4300,2821760,79974970.0000,3.948800
2025-02-06,28.4400,29.4800,28.0500,28.9500,3281760,94487063.8000,1.829100
2025-02-07,28.9700,30.8800,28.9500,30.0100,6001040,180134343.2000,3.661500
2025-02-10,30.4400,31.0000,29.8100,30.9200,4835660,148484574.2000,3.032300
2025-02-11,30.6200,31.1500,30.1000,30.5600,3752860,114846546.8000,-1.164300
2025-02-12,30.4800,31.3600,30.2000,30.8800,3284440,101218256.8000,1.047100
2025-02-13,30.8000,30.8700,30.0000,30.4900,3229580,98322900.0000,-1.263000
2025-02-14,30.7000,31.5000,30.4000,31.1700,5363320,166633080.0000,2.230200
