date,open,high,low,close,volume,amount,pctChg
2025-01-02,26.7800,27.9900,26.6300,27.1700,1866600,50934862.0000,0.443600
2025-01-03,27.1700,28.0200,26.7400,27.4700,2578843,70995051.2100,1.104200
2025-01-06,27.4300,28.3800,25.0100,27.9200,2900270,79618179.8700,1.638200
2025-01-07,28.0200,28.8000,27.5100,28.7500,2806421,79225875.0800,2.972800
2025-01-08,28.3400,29.6800,28.1700,29.6800,4065458,118521191.6900,3.234800
2025-01-09,29.3300,30.5500,29.0000,29.0600,4353900,129931823.4100,-2.088900
2025-01-10,28.7500,30.1500,28.2700,28.2700,2759800,80862766.0000,-2.718500
2025-01-13,28.2100,28.2500,26.5600,26.9800,2218600,60335026.0000,-4.563100
2025-01-14,26.9100,28.4900,26.9100,28.4500,1762500,49143699.0000,5.448500
2025-01-15,28.4500,28.5800,27.0000,27.8200,1882600,52173635.0000,-2.214400
2025-01-16,27.7400,28.3300,27.2600,28.1600,1608500,44967050.0000,1.222100
2025-01-17,27.8800,29.1300,27.6200,28.9500,2866900,82163426.0000,2.805400
2025-01-20,28.9000,29.0600,28.2000,28.4300,2148100,61552148.0000,-1.796200
2025-01-21,28.7200,29.7300,27.8000,29.6600,4061500,117328362.0000,4.326400
2025-01-22,29.2300,29.8600,29.1800,29.3800,2319250,68306790.5000,-0.944000
2025-01-23,30.0000,30.4700,29.2100,29.3600,1966300,58349382.0000,-0.068100
2025-01-24,29.4800,30.0700,29.2000,30.0000,2302800,68550369.0000,2.179800
2025-01-27,30.0000,31.0000,30.0000,30.5000,2663400,81367385.0000,1.666700
2025-02-05,30.1000,31.7800,30.0700,31.5400,2929600,91405934.0000,3.409800
2025-02-06,31.5400,32.3000,31.1800,31.3500,3041800,95793274.0000,-0.602400
2025-02-07,31.3500,32.0000,31.0000,31.4300,2441421,76869421.9100,0.255200
2025-02-10,31.3700,32.3000,31.2600,31.8400,1899100,60447695.4200,1.304500
2025-02-11,31.9400,33.0300,31.6900,32.9700,2246661,73110499.3300,3.549000
