date,open,high,low,close,volume,amount,pctChg
2025-01-02,45.2100,45.5700,43.4000,43.8200,2736984,121929265.3600,-3.074500
2025-01-03,44.0000,45.0100,43.1100,43.2500,3273824,144478356.5400,-1.300800
2025-01-06,43.3100,44.6900,43.0000,44.0000,2894860,127215743.3000,1.734100
2025-01-07,43.8000,44.5600,43.2000,44.3500,2042460,89978531.1000,0.795500
2025-01-08,44.2800,44.2900,42.4100,43.6900,2915869,126362774.7100,-1.488200
2025-01-09,43.5400,44.1800,43.2000,43.9000,1797994,79013993.9400,0.480700
2025-01-10,43.9100,44.3500,43.3100,43.3400,2147908,93745682.0000,-1.275600
2025-01-13,42.9100,44.4700,42.8100,43.9300,2258754,99103967.1800,1.361300
2025-01-14,44.2000,45.5000,43.7100,45.3500,3079130,138080455.3400,3.232400
2025-01-15,45.1700,45.7500,44.8100,45.0500,2196300,99026580.2000,-0.661500
2025-01-16,45.2900,45.9500,44.9000,45.3800,2286140,104003097.1800,0.732500
2025-01-17,45.4000,45.8900,45.0600,45.8800,2490506,113676798.3200,1.101800
2025-01-20,46.1300,46.4500,45.7100,45.8100,2531170,116394191.6000,-0.152600
2025-01-21,45.9100,46.1300,45.1300,45.8500,2082800,95202597.2000,0.087300
2025-01-22,45.8100,46.0800,45.3400,45.6300,1619455,73942622.4200,-0.479800
2025-01-23,45.7800,46.5700,45.3000,45.3000,3352810,154284362.6000,-0.723200
2025-01-24,45.2400,45.8900,45.1100,45.8800,2294963,104834301.6100,1.280400
2025-01-27,45.8900,46.4300,45.4600,45.5900,2062350,94779239.6000,-0.632100
2025-02-05,45.7700,46.2000,45.1400,45.4200,2372801,108504483.4600,-0.372900
2025-02-06,45.5200,46.8700,45.1800,46.7800,3644736,168509911.6600,2.994300
2025-02-07,46.5300,47.3600,46.3900,46.9700,3804809,178642457.9400,0.406200
2025-02-10,46.9800,47.0300,46.3200,46.7800,3052089,142334018.8200,-0.404500
2025-02-11,46.8900,46.9000,46.1100,46.4600,2430828,112754733.2200,-0.684100
2025-02-12,46.4500,47.7700,45.5600,47.3000,6205209,289446678.7500,1.808000
2025-02-13,46.8900,48.4200,46.4000,46.5800,5346103,252713785.8800,-1.522200
2025-02-14,46.4200,47.7900,46.1800,46.3600,4057103,190201601.2100,-0.472300
2025-02-17,46.1500,46.3500,45.0100,45.2800,4500259,204925569.3000,-2.329600
2025-02-18,45.6400,45.7400,44.4700,44.6700,3558056,160908240.9300,-1.347200
2025-02-19,44.3500,45.3600,44.1700,45.2100,3271753,146872277.2400,1.208900
2025-02-20,45.2300,45.8500,44.8000,45.2600,3509828,158892900.9800,0.110600
2025-02-21,45.2600,45.9800,45.1800,45.9600,3783944,172839413.7800,1.546600
2025-02-24,45.9000,46.3300,45.4500,46.0400,3042808,139643477.0400,0.174100
2025-02-25,48.2000,51.8700,48.2000,49.8000,18670658,940701177.5000,8.166800
2025-02-26,48.2600,49.3300,48.2500,48.8600,11212355,544896093.4400,-1.887600
2025-02-27,48.7400,51.7200,48.3800,50.7700,13597806,682179611.6300,3.909100
2025-02-28,50.7700,51.7100,49.7600,50.5600,12266623,625014198.4200,-0.413600
2025-03-03,52.9200,57.8500,52.6200,53.6500,19264629,1056939692.4600,6.111600
2025-03-04,52.7500,53.6300,52.0000,53.2100,11603142,611782313.3200,-0.820100
2025-03-05,53.2100,54.2500,50.9100,53.3900,10715599,561532724.2000,0.338300
